TRADEDATE,CLOSE
2009-12-11,12.4
2009-12-14,17.08
2009-12-15,20.496
2009-12-16,19.999
2009-12-17,20.0
2009-12-18,21.649
2009-12-21,22.42
2009-12-22,21.401
2009-12-23,19.987
2009-12-24,18.62
2009-12-25,18.5
2009-12-28,18.17
2009-12-29,17.779
2009-12-30,18.465
2009-12-31,18.35
2010-01-11,17.9
2010-01-12,17.648
2010-01-13,17.272
2010-01-14,16.24
2010-01-15,15.611
2010-01-18,14.5
2010-01-19,13.5
2010-01-20,16.124
2010-01-21,15.4
2010-01-22,15.0
2010-01-25,16.473
2010-01-26,15.75
2010-01-27,15.652
2010-01-28,15.799
2010-01-29,16.0
2010-02-01,15.975
2010-02-02,15.85
2010-02-03,15.74
2010-02-04,14.808
2010-02-05,14.99
2010-02-08,15.15
2010-02-09,15.0
2010-02-10,14.659
2010-02-11,14.49
2010-02-12,14.39
2010-02-15,14.242
2010-02-16,14.484
2010-02-17,14.41
2010-02-18,13.857
2010-02-19,13.901
2010-02-24,13.6
2010-02-25,13.35
2010-02-26,15.95
2010-02-27,14.98
2010-03-01,14.49
2010-03-02,14.199
2010-03-03,14.48
2010-03-04,14.14
2010-03-05,14.226
2010-03-09,14.199
2010-03-10,14.23
2010-03-11,14.2
2010-03-12,14.299
2010-03-15,14.563
2010-03-16,14.614
2010-03-17,14.54
2010-03-18,14.617
2010-03-19,14.456
2010-03-22,14.6
2010-03-23,14.439
2010-03-24,14.436
2010-03-25,14.34
2010-03-26,14.18
2010-03-29,14.165
2010-03-30,14.496
2010-03-31,14.382
2010-04-01,14.297
2010-04-02,14.195
2010-04-05,14.137
2010-04-06,14.133
2010-04-07,14.046
2010-04-08,13.938
2010-04-09,14.127
2010-04-12,13.987
2010-04-13,14.038
2010-04-14,14.053
2010-04-15,14.124
2010-04-16,14.037
2010-04-19,13.724
2010-04-20,13.99
2010-04-21,13.85
2010-04-22,13.8
2010-04-23,13.761
2010-04-26,13.837
2010-04-27,13.644
2010-04-28,13.169
2010-04-29,13.175
2010-04-30,13.143
2010-05-04,12.3
2010-05-05,12.281
2010-05-06,11.849
2010-05-07,10.645
2010-05-11,10.908
2010-05-12,11.397
2010-05-13,11.141
2010-05-14,10.793
2010-05-17,11.366
2010-05-18,11.27
2010-05-19,10.889
2010-05-20,10.67
2010-05-21,10.288
2010-05-24,10.48
2010-05-25,9.593
2010-05-26,10.063
2010-05-27,10.441
2010-05-28,10.555
2010-05-31,10.69
2010-06-01,10.537
2010-06-02,10.36
2010-06-03,10.391
2010-06-04,11.036
2010-06-07,11.1
