TRADEDATE,CLOSE
2011-11-21,21.894
2011-11-22,22.5
2011-11-23,23.2
2011-11-24,23.5
2011-11-25,24.0
2011-11-28,25.2
2011-11-29,25.7
2011-11-30,27.999
2011-12-01,26.8
2011-12-02,27.0
2011-12-05,26.698
2011-12-06,26.0
2011-12-07,25.319
2011-12-08,26.0
2011-12-09,24.361
2011-12-12,23.62
2011-12-13,23.845
2011-12-14,23.83
2011-12-15,24.351
2011-12-16,24.22
2011-12-19,24.0
2011-12-20,29.999
2011-12-21,23.7
2011-12-22,23.696
2011-12-23,23.402
2011-12-26,23.233
2011-12-27,22.8
2011-12-28,23.029
2011-12-29,23.3
2011-12-30,24.999
2012-01-03,22.751
2012-01-04,23.999
2012-01-05,24.045
2012-01-06,24.4
2012-01-09,24.47
2012-01-10,25.0
2012-01-11,24.7
2012-01-12,24.865
2012-01-13,25.1
2012-01-16,27.0
2012-01-17,25.598
2012-01-18,25.443
2012-01-19,25.523
2012-01-20,25.546
2012-01-23,25.899
2012-01-24,24.501
2012-01-25,25.5
2012-01-26,25.999
2012-01-27,26.7
2012-01-30,25.9
2012-01-31,25.0
2012-02-01,25.75
2012-02-02,26.13
2012-02-03,26.298
2012-02-06,26.052
2012-02-07,26.35
2012-02-08,26.0
2012-02-09,25.9
2012-02-10,25.3
2012-02-13,25.98
2012-02-14,26.4
2012-02-15,26.879
2012-02-16,26.89
2012-02-17,26.926
2012-02-20,26.301
2012-02-21,26.32
2012-02-22,27.0
2012-02-24,27.65
2012-02-27,27.98
2012-02-28,27.551
2012-02-29,28.12
2012-03-01,27.96
2012-03-02,27.9
2012-03-05,28.88
2012-03-06,26.811
2012-03-07,27.51
2012-03-11,27.88
2012-03-12,27.575
2012-03-13,28.56
2012-03-14,29.799
2012-03-15,28.675
2012-03-16,29.646
2012-03-19,28.71
2012-03-20,28.491
2012-03-21,28.6
2012-03-22,27.6
2012-03-23,27.261
2012-03-26,27.67
2012-03-27,27.307
2012-03-28,26.149
2012-03-29,26.03
2012-03-30,33.999
2012-04-02,25.86
2012-04-03,26.301
2012-04-04,25.859
2012-04-05,25.599
2012-04-06,25.25
2012-04-09,25.45
2012-04-10,25.288
2012-04-11,25.003
2012-04-12,25.3
2012-04-13,25.206
2012-04-16,25.519
2012-04-17,25.75
2012-04-18,25.7
2012-04-19,26.0
2012-04-20,25.912
2012-04-23,25.38
2012-04-24,25.0
2012-04-25,25.3
2012-04-26,24.8
2012-04-27,24.9
2012-04-28,24.5
2012-05-02,23.077
2012-05-03,24.32
2012-05-04,23.251
2012-05-05,23.3
2012-05-07,23.25
2012-05-08,23.052
2012-05-10,23.376
2012-05-11,23.3
2012-05-12,23.62
2012-05-14,22.706
2012-05-15,21.851
2012-05-16,22.299
2012-05-17,21.5
2012-05-18,22.0
2012-05-21,22.9
2012-05-22,22.101
2012-05-23,22.193
2012-05-24,22.506
2012-05-25,21.901
2012-05-28,23.5
2012-05-29,23.8
2012-05-30,24.175
2012-05-31,24.0
2012-06-01,22.6
2012-06-04,22.855
2012-06-05,23.001
2012-06-06,23.24
2012-06-07,24.261
2012-06-08,24.745
2012-06-09,24.65
2012-06-13,25.2
2012-06-14,17.8
2012-06-15,25.364
2012-06-18,24.961
2012-06-19,25.076
2012-06-20,24.599
2012-06-21,24.309
2012-06-22,24.42
2012-06-25,31.249
2012-06-26,24.62
2012-06-27,24.3
2012-06-28,23.936
2012-06-29,24.89
2012-07-02,24.974
2012-07-03,25.249
2012-07-04,24.802
2012-07-05,24.614
2012-07-06,24.002
2012-07-09,23.301
2012-07-10,24.19
2012-07-11,24.999
2012-07-12,23.831
2012-07-13,24.5
2012-07-16,24.801
2012-07-17,25.101
2012-07-18,25.8
2012-07-19,24.5
2012-07-20,24.8
2012-07-23,24.44
2012-07-24,24.29
2012-07-25,24.847
2012-07-26,25.25
2012-07-27,26.0
2012-07-30,26.15
2012-07-31,26.52
2012-08-01,27.246
2012-08-02,26.734
2012-08-03,25.0
2012-08-06,27.25
2012-08-07,27.366
2012-08-08,27.0
2012-08-09,26.999
2012-08-10,27.497
2012-08-13,19.003
2012-08-14,26.4
2012-08-15,26.275
2012-08-16,26.647
2012-08-17,26.088
2012-08-20,26.299
2012-08-21,26.55
2012-08-22,25.0
2012-08-23,19.002
2012-08-24,25.31
2012-08-27,25.3
2012-08-28,25.195
2012-08-29,25.48
2012-08-30,25.555
2012-08-31,27.0
2012-09-03,26.92
2012-09-04,26.3
2012-09-05,26.977
2012-09-06,27.44
2012-09-07,27.995
2012-09-10,27.98
2012-09-11,27.848
2012-09-12,27.784
2012-09-13,27.899
2012-09-14,27.075
2012-09-17,26.103
2012-09-18,26.366
2012-09-19,26.346
2012-09-20,26.597
2012-09-21,26.399
2012-09-24,26.396
2012-09-25,26.064
2012-09-26,25.251
2012-09-27,25.2
2012-09-28,24.35
2012-10-01,24.9
2012-10-02,27.999
2012-10-03,24.0
2012-10-04,24.86
2012-10-05,25.063
2012-10-08,20.001
2012-10-09,18.0
2012-10-10,23.0
2012-10-11,23.955
2012-10-12,23.4
2012-10-15,24.0
2012-10-16,24.1
2012-10-17,24.19
2012-10-18,24.31
2012-10-19,25.177
2012-10-22,25.266
2012-10-23,25.9
2012-10-24,24.677
2012-10-25,24.15
2012-10-26,23.101
2012-10-29,23.3
2012-10-30,23.21
2012-10-31,23.402
2012-11-01,23.2
2012-11-02,23.122
2012-11-06,22.89
2012-11-07,22.0
2012-11-08,21.999
2012-11-09,22.12
2012-11-12,25.496
2012-11-13,22.07
2012-11-14,21.9
2012-11-15,22.0
2012-11-16,22.53
2012-11-19,23.05
2012-11-20,23.289
2012-11-21,22.407
2012-11-22,23.0
2012-11-23,24.25
2012-11-26,17.009
2012-11-27,24.999
2012-11-28,25.432
2012-11-29,23.501
2012-11-30,24.0
2012-12-03,24.9
2012-12-04,24.939
2012-12-05,25.2
2012-12-06,24.812
