TRADEDATE,CLOSE
2006-10-20,834.93
2006-10-23,834.93
2006-10-24,801.0
2006-10-25,765.0
2006-10-26,735.0
2006-10-27,750.0
2006-10-30,711.1
2006-10-31,748.0
2006-11-01,730.0
2006-11-02,723.01
2006-11-03,734.99
2006-11-07,744.0
2006-11-08,719.0
2006-11-09,726.0
2006-11-10,720.0
2006-11-13,720.25
2006-11-14,725.0
2006-11-15,725.0
2006-11-16,722.0
2006-11-17,718.99
2006-11-20,717.0
2006-11-21,715.11
2006-11-22,715.5
2006-11-23,720.0
2006-11-24,711.5
2006-11-27,711.0
2006-11-28,712.0
2006-11-29,717.0
2006-11-30,733.0
2006-12-01,732.0
2006-12-04,741.0
2006-12-05,746.0
2006-12-06,760.0
2006-12-07,774.0
2006-12-08,760.0
2006-12-11,765.0
2006-12-12,761.1
2006-12-13,757.0
2006-12-14,755.0
2006-12-15,764.99
2006-12-18,750.0
2006-12-19,759.0
2006-12-20,759.99
2006-12-21,748.01
2006-12-22,735.0
2006-12-25,745.0
2006-12-26,754.0
2006-12-27,763.0
2006-12-28,763.0
2006-12-29,770.0
2007-01-09,755.0
2007-01-10,762.9
2007-01-11,785.0
2007-01-12,752.0
2007-01-15,769.61
2007-01-16,770.0
2007-01-17,759.0
2007-01-18,743.0
2007-01-19,748.0
2007-01-22,740.0
2007-01-23,740.0
2007-01-24,740.0
2007-01-25,750.0
2007-01-26,749.9
2007-01-29,741.0
2007-01-30,721.26
2007-01-31,730.0
2007-02-01,738.0
2007-02-02,732.0
2007-02-05,727.5
2007-02-06,727.5
2007-02-07,725.0
2007-02-08,720.16
2007-02-09,722.0
2007-02-12,719.01
2007-02-13,718.0
2007-02-14,716.0
2007-02-15,716.0
2007-02-16,713.6
2007-02-19,704.0
2007-02-20,698.01
2007-02-21,699.0
2007-02-22,701.0
2007-02-26,701.11
2007-02-27,690.0
2007-02-28,688.0
2007-03-01,669.99
2007-03-02,674.9
2007-03-05,650.0
2007-03-06,644.0
2007-03-07,649.0
2007-03-09,660.0
2007-03-12,655.0
2007-03-13,651.1
2007-03-14,643.0
2007-03-15,650.0
2007-03-16,650.0
2007-03-19,651.0
2007-03-20,645.0
2007-03-21,650.0
2007-03-22,651.98
2007-03-23,651.8
2007-03-26,651.7
2007-03-27,647.0
2007-03-28,655.0
2007-03-29,650.0
2007-03-30,649.5
2007-04-02,646.0
2007-04-03,635.0
2007-04-04,630.0
2007-04-05,632.0
2007-04-06,637.0
2007-04-09,649.0
2007-04-10,645.0
2007-04-11,643.5
2007-04-12,644.82
2007-04-13,643.0
2007-04-16,641.0
2007-04-17,622.0
2007-04-18,620.0
2007-04-19,615.0
2007-04-20,620.01
2007-04-23,617.99
2007-04-24,615.0
2007-04-25,616.99
2007-04-26,608.0
2007-04-27,602.02
2007-04-28,605.0
2007-05-02,610.0
2007-05-03,610.0
2007-05-04,609.0
2007-05-07,638.5
2007-05-08,634.9
2007-05-10,619.0
2007-05-11,619.89
2007-05-14,609.0
2007-05-15,608.0
2007-05-16,603.05
2007-05-17,603.0
2007-05-18,603.88
2007-05-21,606.0
2007-05-22,603.1
2007-05-23,602.97
2007-05-24,601.0
2007-05-25,597.0
2007-05-28,596.2
2007-05-29,594.0
2007-05-30,594.49
2007-05-31,600.0
2007-06-01,600.0
2007-06-04,595.5
2007-06-05,592.5
2007-06-06,600.0
2007-06-07,595.0
2007-06-08,597.5
2007-06-09,596.0
2007-06-13,596.99
2007-06-14,597.0
2007-06-15,597.0
2007-06-18,595.0
2007-06-19,597.0
2007-06-20,595.0
2007-06-21,595.0
2007-06-22,594.0
2007-06-25,599.0
2007-06-26,605.25
2007-06-27,609.9
2007-06-28,609.98
2007-06-29,606.0
2007-07-02,607.0
