TRADEDATE,CLOSE
2011-11-29,39.0
2011-11-30,54.6
2011-12-01,76.44
2011-12-02,45.864
2011-12-05,36.0
2011-12-06,35.0
2011-12-07,35.001
2011-12-08,35.0
2011-12-09,34.575
2011-12-12,36.974
2011-12-13,33.9
2011-12-14,34.0
2011-12-15,34.999
2011-12-16,36.972
2011-12-19,31.331
2011-12-20,31.0
2011-12-21,31.049
2011-12-22,30.583
2011-12-23,30.301
2011-12-26,30.999
2011-12-27,31.0
2011-12-28,30.299
2011-12-29,29.8
2011-12-30,30.7
2012-01-03,30.99
2012-01-04,30.6
2012-01-05,30.27
2012-01-06,30.093
2012-01-09,30.07
2012-01-10,30.497
2012-01-11,30.112
2012-01-12,30.687
2012-01-13,30.4
2012-01-16,30.15
2012-01-17,29.9
2012-01-18,27.0
2012-01-19,29.753
2012-01-20,30.001
2012-01-23,30.12
2012-01-24,30.0
2012-01-25,29.94
2012-01-26,29.996
2012-01-27,30.0
2012-01-30,29.679
2012-01-31,36.88
2012-02-01,30.001
2012-02-02,31.501
2012-02-03,31.85
2012-02-06,31.502
2012-02-07,33.17
2012-02-08,33.5
2012-02-09,32.999
2012-02-10,32.2
2012-02-13,33.3
2012-02-14,33.55
2012-02-15,33.002
2012-02-16,33.2
2012-02-17,33.251
2012-02-20,33.38
2012-02-21,32.201
2012-02-22,32.016
2012-02-24,32.9
2012-02-27,32.418
2012-02-28,31.685
2012-02-29,32.109
2012-03-01,31.023
2012-03-02,31.009
2012-03-05,32.4
2012-03-06,31.2
2012-03-07,31.526
2012-03-11,31.715
2012-03-12,31.037
2012-03-13,32.0
2012-03-14,32.0
2012-03-15,32.001
2012-03-16,32.0
2012-03-19,32.05
2012-03-20,31.93
2012-03-21,31.9
2012-03-22,31.9
2012-03-23,31.85
2012-03-26,31.79
2012-03-27,31.004
2012-03-28,32.0
2012-03-29,31.0
2012-03-30,31.095
2012-04-02,30.876
2012-04-03,30.0
2012-04-04,30.299
2012-04-05,29.8
2012-04-06,38.008
2012-04-09,29.889
2012-04-10,29.84
2012-04-11,29.401
2012-04-12,29.851
2012-04-13,30.039
2012-04-16,29.928
2012-04-17,29.679
2012-04-18,29.75
2012-04-19,29.798
2012-04-20,28.5
2012-04-23,29.81
2012-04-24,29.76
2012-04-25,29.9
2012-04-26,29.802
2012-04-27,28.0
2012-04-28,29.998
2012-05-02,35.997
2012-05-03,28.0
2012-05-04,27.6
2012-05-05,27.697
2012-05-07,22.158
2012-05-08,28.225
2012-05-10,27.45
2012-05-11,27.3
2012-05-12,26.7
2012-05-14,25.094
2012-05-15,24.6
2012-05-16,24.3
2012-05-17,23.71
2012-05-18,22.001
2012-05-21,22.855
2012-05-22,23.357
2012-05-23,22.642
2012-05-24,22.5
2012-05-25,22.4
2012-05-28,22.4
2012-05-29,23.1
2012-05-30,22.901
2012-05-31,22.787
2012-06-01,22.995
2012-06-04,29.893
2012-06-05,20.0
2012-06-06,23.951
2012-06-07,24.989
2012-06-08,24.3
2012-06-09,25.099
2012-06-13,25.0
2012-06-14,21.0
2012-06-15,25.999
2012-06-18,25.9
2012-06-19,26.0
2012-06-20,25.9
2012-06-21,25.45
2012-06-22,24.7
2012-06-25,24.486
2012-06-26,24.6
2012-06-27,24.9
2012-06-28,25.0
2012-06-29,24.15
2012-07-02,24.6
2012-07-03,24.801
2012-07-04,24.92
2012-07-05,24.501
2012-07-06,24.6
2012-07-09,24.901
2012-07-10,24.899
2012-07-11,24.548
2012-07-12,24.549
2012-07-13,24.8
2012-07-16,24.945
2012-07-17,23.0
2012-07-18,25.0
2012-07-19,24.5
2012-07-20,24.6
2012-07-23,23.0
2012-07-24,25.2
2012-07-25,25.45
2012-07-26,25.401
2012-07-27,25.4
2012-07-30,25.349
2012-07-31,24.008
2012-08-01,26.0
2012-08-02,25.1
2012-08-03,25.25
2012-08-06,24.5
2012-08-07,25.3
2012-08-08,25.15
2012-08-09,24.7
2012-08-10,24.9
2012-08-13,24.7
2012-08-14,25.0
2012-08-15,24.0
2012-08-16,25.1
2012-08-17,24.939
2012-08-20,24.748
2012-08-21,24.8
2012-08-22,24.8
2012-08-23,24.75
2012-08-24,24.65
2012-08-27,24.649
2012-08-28,24.679
2012-08-29,24.352
2012-08-30,24.4
2012-08-31,24.47
2012-09-03,24.63
2012-09-04,24.561
2012-09-05,24.599
2012-09-06,24.6
2012-09-07,24.853
2012-09-10,23.5
2012-09-11,24.6
2012-09-12,24.75
2012-09-13,23.5
2012-09-14,24.675
2012-09-17,24.698
2012-09-18,24.609
2012-09-19,23.897
2012-09-20,24.349
2012-09-21,24.363
2012-09-24,24.31
2012-09-25,24.299
2012-09-26,23.95
2012-09-27,24.073
2012-09-28,24.146
2012-10-01,24.35
2012-10-02,24.2
2012-10-03,24.15
2012-10-04,24.25
2012-10-05,24.3
2012-10-08,23.1
2012-10-09,23.1
2012-10-10,24.705
2012-10-11,24.651
2012-10-12,24.549
2012-10-15,23.72
2012-10-16,23.85
2012-10-17,22.55
2012-10-18,22.856
2012-10-19,22.772
2012-10-22,22.0
2012-10-23,24.499
2012-10-24,21.999
2012-10-25,22.95
2012-10-26,22.771
2012-10-29,22.501
2012-10-30,22.9
