TRADEDATE,CLOSE
2011-11-21,47.01
2011-11-22,46.02
2011-11-23,46.19
2011-11-24,46.01
2011-11-25,45.22
2011-11-28,47.34
2011-11-29,45.26
2011-11-30,48.5
2011-12-01,47.66
2011-12-02,46.67
2011-12-05,46.11
2011-12-06,43.56
2011-12-07,44.5
2011-12-08,44.01
2011-12-09,42.35
2011-12-12,42.0
2011-12-13,47.71
2011-12-14,41.01
2011-12-15,41.37
2011-12-16,42.2
2011-12-19,40.78
2011-12-20,40.0
2011-12-21,40.39
2011-12-22,40.99
2011-12-23,38.58
2011-12-26,40.0
2011-12-27,38.86
2011-12-28,39.29
2011-12-29,37.51
2011-12-30,37.75
2012-01-03,39.65
2012-01-04,39.46
2012-01-05,43.9
2012-01-06,48.61
2012-01-09,51.38
2012-01-10,48.47
2012-01-11,48.0
2012-01-12,47.98
2012-01-13,47.07
2012-01-16,45.66
2012-01-17,47.6
2012-01-18,47.22
2012-01-19,47.2
2012-01-20,46.91
2012-01-23,46.01
2012-01-24,46.0
2012-01-25,44.88
2012-01-26,44.01
2012-01-27,43.59
2012-01-30,46.22
2012-01-31,46.98
2012-02-01,46.5
2012-02-02,46.11
2012-02-03,46.2
2012-02-06,49.96
2012-02-07,45.9
2012-02-08,45.47
2012-02-09,45.63
2012-02-10,43.85
2012-02-13,45.01
2012-02-14,48.89
2012-02-15,45.56
2012-02-16,45.04
2012-02-17,45.31
2012-02-20,46.49
2012-02-21,45.3
2012-02-22,44.96
2012-02-24,45.6
2012-02-27,45.02
2012-02-28,44.56
2012-02-29,45.0
2012-03-01,44.5
2012-03-02,44.7
2012-03-05,46.8
2012-03-06,43.79
2012-03-07,43.74
2012-03-11,44.99
2012-03-12,47.49
2012-03-13,44.52
2012-03-14,44.53
2012-03-15,44.09
2012-03-16,44.22
2012-03-19,43.0
2012-03-20,43.0
2012-03-21,42.67
2012-03-22,42.07
2012-03-23,41.7
2012-03-26,42.0
2012-03-27,41.78
2012-03-28,41.0
2012-03-29,39.37
2012-03-30,39.9
