TRADEDATE,CLOSE
2015-06-10,55.0
2015-06-11,52.1
2015-06-15,53.5
2015-06-16,56.0
2015-06-18,57.0
2015-06-19,54.1
2015-06-22,58.9
2015-06-24,55.0
2015-06-25,55.0
2015-06-29,53.0
2015-06-30,53.0
2015-07-06,50.1
2015-07-08,47.2
2015-07-09,50.5
2015-07-10,51.9
2015-07-13,50.0
2015-07-14,50.2
2015-07-15,50.2
2015-07-16,50.0
2015-07-17,50.9
2015-07-20,48.1
2015-07-21,50.9
2015-07-22,50.9
2015-07-23,50.9
2015-07-24,51.9
2015-07-27,50.6
2015-07-28,50.9
2015-07-29,49.1
2015-07-30,50.9
2015-07-31,51.0
2015-08-03,52.6
2015-08-04,52.0
2015-08-05,56.8
2015-08-07,55.5
2015-08-10,56.9
2015-08-11,54.9
2015-08-12,53.0
2015-08-13,51.2
2015-08-17,52.6
2015-08-18,52.0
2015-08-19,51.9
2015-08-20,51.9
2015-08-24,38.0
2015-08-26,50.0
2015-08-27,50.9
2015-08-31,50.8
2015-09-01,50.5
2015-09-02,50.5
2015-09-03,50.5
2015-09-04,51.1
2015-09-07,50.0
2015-09-08,49.1
2015-09-09,49.0
2015-09-10,49.0
2015-09-11,49.7
2015-09-14,50.8
2015-09-15,48.3
2015-09-16,48.8
2015-09-17,45.8
2015-09-18,46.3
2015-09-21,46.1
2015-09-22,47.4
2015-09-23,45.3
2015-09-24,45.3
2015-09-25,46.1
2015-09-28,45.1
2015-09-29,44.9
2015-09-30,44.5
2015-10-01,44.5
2015-10-02,44.1
2015-10-05,45.0
2015-10-06,44.0
2015-10-07,45.9
2015-10-09,45.0
2015-10-12,42.0
2015-10-13,45.5
2015-10-14,44.1
2015-10-15,44.0
2015-10-16,44.5
2015-10-19,48.3
2015-10-20,48.4
2015-10-21,46.2
2015-10-22,46.5
2015-10-23,46.0
2015-10-26,45.5
2015-10-27,45.5
2015-10-28,45.0
2015-10-29,45.5
2015-10-30,45.5
2015-11-03,43.7
2015-11-05,44.9
2015-11-06,43.9
2015-11-09,42.0
2015-11-10,44.8
2015-11-11,43.4
2015-11-13,44.1
2015-11-18,45.2
2015-11-19,43.8
2015-11-20,44.9
2015-11-24,44.1
2015-11-26,43.7
2015-11-27,43.0
2015-11-30,42.9
2015-12-01,42.8
2015-12-02,42.5
2015-12-03,42.0
2015-12-07,41.3
2015-12-08,43.2
2015-12-09,44.0
2015-12-11,44.5
2015-12-15,39.5
2015-12-17,43.6
2015-12-18,43.0
2015-12-21,42.3
2015-12-23,41.1
2015-12-24,43.3
2015-12-30,44.0
2016-01-06,40.0
2016-01-11,42.9
2016-01-12,43.0
2016-01-13,41.1
2016-01-14,37.1
2016-01-15,41.4
2016-01-18,42.3
2016-01-19,41.2
2016-01-20,41.3
2016-01-21,42.8
2016-01-22,41.5
2016-01-25,41.7
2016-01-26,38.0
2016-01-27,41.7
2016-01-28,41.4
2016-01-29,42.9
2016-02-01,41.0
2016-02-02,40.8
2016-02-03,42.5
2016-02-04,44.9
2016-02-05,40.2
2016-02-08,39.3
2016-02-09,39.9
2016-02-11,40.0
2016-02-15,38.9
2016-02-16,38.5
2016-02-17,39.0
2016-02-18,39.0
2016-02-19,39.0
2016-02-20,38.5
2016-02-22,49.0
2016-02-24,38.8
2016-02-25,38.5
2016-02-26,37.7
2016-02-29,38.2
2016-03-01,37.7
2016-03-02,38.0
2016-03-03,38.9
2016-03-04,38.9
2016-03-07,39.3
2016-03-09,38.5
2016-03-10,37.0
2016-03-11,37.2
2016-03-14,37.0
2016-03-15,37.3
2016-03-16,37.0
2016-03-17,36.9
2016-03-18,37.5
2016-03-21,37.0
2016-03-22,36.4
2016-03-23,36.0
2016-03-24,35.8
2016-03-25,36.0
2016-03-28,35.8
2016-03-29,35.0
2016-03-30,34.9
2016-03-31,34.4
2016-04-01,36.7
2016-04-04,36.8
2016-04-05,35.5
2016-04-06,35.2
2016-04-07,34.5
2016-04-08,34.0
2016-04-11,34.9
2016-04-12,34.3
2016-04-13,33.9
2016-04-14,33.7
2016-04-15,34.0
2016-04-18,32.4
2016-04-19,33.9
2016-04-20,33.4
2016-04-21,33.9
2016-04-22,32.6
2016-04-25,33.0
2016-04-26,32.1
2016-04-27,33.5
2016-04-28,32.3
2016-04-29,30.0
2016-05-04,30.0
2016-05-05,28.2
2016-05-06,28.7
2016-05-10,30.5
2016-05-11,33.8
2016-05-12,32.6
2016-05-13,31.3
2016-05-16,32.4
2016-05-17,32.3
2016-05-18,31.2
2016-05-19,30.9
2016-05-20,32.6
2016-05-23,33.3
2016-05-24,31.7
2016-05-25,33.5
2016-05-27,33.2
2016-05-30,32.7
2016-05-31,33.3
2016-06-01,33.5
2016-06-02,32.6
2016-06-03,32.0
2016-06-06,31.1
2016-06-07,31.3
2016-06-08,30.1
2016-06-09,29.5
2016-06-10,29.5
2016-06-14,31.0
2016-06-15,31.0
2016-06-16,31.0
2016-06-17,31.5
2016-06-20,31.0
2016-06-21,31.0
2016-06-22,31.0
2016-06-23,30.0
2016-06-24,33.4
2016-06-27,33.4
2016-06-28,34.0
2016-06-29,34.0
2016-06-30,34.4
2016-07-01,31.6
2016-07-04,32.8
2016-07-05,31.8
2016-07-07,31.0
2016-07-08,31.1
2016-07-11,32.5
2016-07-12,31.8
2016-07-13,32.5
2016-07-14,31.8
2016-07-20,32.0
2016-07-21,32.5
2016-07-25,33.0
2016-07-26,34.4
2016-07-27,37.0
2016-07-28,34.1
2016-07-29,33.5
2016-08-01,33.0
2016-08-02,33.5
2016-08-03,33.5
2016-08-05,34.4
2016-08-08,36.5
2016-08-09,36.0
2016-08-10,37.6
2016-08-11,38.8
2016-08-15,39.2
2016-08-16,37.5
2016-08-17,38.0
2016-08-18,37.0
2016-08-19,38.3
2016-08-22,41.5
2016-08-23,40.5
2016-08-25,40.5
2016-08-26,39.5
2016-08-29,38.5
2016-08-30,38.5
2016-08-31,38.0
2016-09-01,39.0
2016-09-02,39.6
2016-09-06,41.6
2016-09-07,39.3
2016-09-08,36.0
2016-09-09,38.0
2016-09-13,40.1
2016-09-14,42.0
2016-09-15,41.0
2016-09-16,39.5
2016-09-19,41.2
2016-09-22,41.5
2016-09-23,39.5
2016-09-26,40.0
2016-09-27,39.7
2016-09-28,38.2
2016-09-29,38.6
2016-09-30,39.7
2016-10-04,42.5
2016-10-05,38.7
2016-10-06,39.0
2016-10-07,41.0
2016-10-10,39.6
2016-10-11,40.9
2016-10-12,40.4
2016-10-14,38.6
2016-10-17,40.4
2016-10-18,41.4
2016-10-19,41.2
2016-10-20,47.0
2016-10-21,48.0
2016-10-24,46.6
2016-10-25,57.0
2016-10-26,53.0
2016-10-27,57.0
2016-10-28,59.7
2016-10-31,60.0
2016-11-01,58.0
2016-11-02,59.9
2016-11-03,59.8
2016-11-07,69.9
2016-11-08,69.9
2016-11-09,69.8
2016-11-10,81.8
2016-11-11,80.0
2016-11-14,76.0
2016-11-15,76.2
2016-11-16,83.7
2016-11-17,75.0
2016-11-18,68.1
2016-11-21,69.7
2016-11-22,66.9
2016-11-23,65.7
2016-11-24,68.0
2016-11-25,69.3
2016-11-28,68.4
2016-11-29,67.4
2016-11-30,67.2
2016-12-01,71.0
2016-12-02,75.5
2016-12-05,78.5
2016-12-06,77.6
2016-12-07,88.7
2016-12-08,82.6
2016-12-09,85.0
2016-12-12,89.9
2016-12-13,90.0
2016-12-14,94.9
2016-12-15,93.0
2016-12-16,92.6
2016-12-19,95.8
2016-12-20,95.8
2016-12-21,84.1
2016-12-22,73.0
2016-12-23,73.5
2016-12-26,72.0
2016-12-27,77.9
2016-12-28,78.4
2016-12-30,89.9
2017-01-03,90.0
2017-01-04,105.0
2017-01-05,104.0
2017-01-06,99.2
2017-01-09,100.0
2017-01-10,101.0
2017-01-11,100.0
2017-01-12,98.9
2017-01-13,98.4
2017-01-16,92.8
2017-01-17,93.1
2017-01-19,89.6
2017-01-20,87.0
2017-01-23,88.7
2017-01-24,85.3
2017-01-25,81.8
2017-01-26,79.0
2017-01-27,80.2
2017-01-30,80.0
2017-01-31,80.0
2017-02-01,84.9
2017-02-02,87.0
2017-02-03,88.5
2017-02-06,87.1
2017-02-07,84.9
2017-02-08,84.0
2017-02-09,86.7
2017-02-10,79.0
2017-02-13,79.9
2017-02-14,79.5
2017-02-15,81.9
2017-02-17,78.7
2017-02-20,78.2
2017-02-21,75.5
2017-02-22,69.8
2017-02-24,56.5
2017-02-27,58.1
2017-02-28,58.6
2017-03-01,58.3
2017-03-02,57.8
2017-03-03,56.9
2017-03-06,60.0
2017-03-07,60.5
2017-03-09,56.0
2017-03-10,58.6
2017-03-13,60.4
2017-03-14,61.8
2017-03-15,59.5
2017-03-16,60.0
2017-03-17,61.0
2017-03-20,60.1
2017-03-22,59.0
2017-03-23,60.1
2017-03-24,60.1
2017-03-28,62.5
2017-03-29,62.4
2017-03-30,60.7
2017-03-31,60.7
2017-04-03,57.3
2017-04-04,59.4
2017-04-05,70.0
2017-04-06,66.2
2017-04-07,65.6
2017-04-10,68.0
2017-04-12,63.0
2017-04-13,61.3
2017-04-14,64.3
2017-04-17,61.0
2017-04-18,61.5
2017-04-19,62.0
2017-04-21,61.7
2017-04-24,60.0
2017-04-25,60.3
2017-04-26,84.2
2017-04-27,75.2
2017-04-28,104.2
2017-05-02,102.0
2017-05-03,109.9
2017-05-04,106.2
2017-05-05,105.0
2017-05-10,102.1
2017-05-11,102.0
2017-05-12,102.0
2017-05-15,102.0
2017-05-16,102.1
2017-05-17,103.0
2017-05-18,102.0
2017-05-19,102.0
2017-05-22,102.0
2017-05-23,113.5
2017-05-24,103.5
2017-05-25,105.0
2017-05-26,105.0
2017-05-30,105.0
2017-05-31,105.0
2017-06-01,109.0
2017-06-02,105.2
2017-06-05,111.0
2017-06-06,110.0
2017-06-08,104.0
2017-06-09,105.0
2017-06-14,112.7
2017-06-15,93.0
2017-06-16,115.0
2017-06-22,115.0
2017-06-23,115.9
2017-06-26,130.0
2017-06-27,133.1
2017-06-28,140.0
2017-06-29,145.0
2017-06-30,160.0
2017-07-03,180.0
2017-07-04,180.0
2017-07-05,174.0
2017-07-06,158.3
2017-07-07,160.0
2017-07-10,160.0
2017-07-11,178.6
2017-07-12,160.1
2017-07-17,160.0
2017-07-18,137.7
2017-07-19,154.0
2017-07-20,150.0
2017-07-21,150.0
2017-07-25,150.0
2017-07-26,168.9
2017-07-27,167.0
2017-07-28,167.0
2017-07-31,155.0
2017-08-01,173.5
2017-08-02,153.0
2017-08-03,157.0
2017-08-04,158.5
2017-08-07,157.0
2017-08-08,160.0
2017-08-09,179.5
2017-08-11,174.0
2017-08-14,174.5
2017-08-15,160.5
2017-08-17,158.5
2017-08-18,165.0
2017-08-21,164.5
2017-08-22,160.5
2017-08-24,165.5
2017-08-25,155.5
2017-08-28,153.5
2017-08-29,163.0
2017-08-30,157.0
2017-08-31,174.5
2017-09-01,172.0
2017-09-04,165.0
2017-09-05,161.0
2017-09-06,163.5
2017-09-07,168.5
2017-09-08,185.5
2017-09-11,186.0
2017-09-12,179.0
2017-09-13,201.0
2017-09-14,178.0
2017-09-15,163.0
2017-09-18,168.5
2017-09-19,180.0
2017-09-20,186.0
2017-09-21,186.0
2017-09-22,180.0
2017-09-25,185.0
2017-09-26,186.5
2017-09-27,184.5
2017-09-29,185.0
2017-10-02,185.0
2017-10-03,194.0
2017-10-04,200.0
2017-10-05,200.0
2017-10-09,200.0
2017-10-10,200.0
2017-10-11,195.0
2017-10-12,195.0
2017-10-13,200.0
2017-10-16,195.0
2017-10-17,195.0
2017-10-19,186.5
2017-10-20,194.5
2017-10-23,193.5
2017-10-24,182.0
2017-10-25,182.0
2017-10-26,171.0
2017-10-27,170.5
2017-10-30,164.5
2017-10-31,170.0
2017-11-01,165.0
2017-11-02,164.5
2017-11-03,167.5
2017-11-07,168.0
2017-11-08,169.0
2017-11-09,172.5
2017-11-10,171.5
2017-11-13,194.0
2017-11-14,164.0
2017-11-15,150.0
2017-11-16,150.0
2017-11-17,152.0
2017-11-20,152.0
2017-11-21,152.0
2017-11-22,148.0
2017-11-24,144.0
2017-11-27,140.0
2017-11-28,140.5
2017-11-29,138.5
2017-11-30,134.0
2017-12-01,133.0
2017-12-04,128.5
2017-12-05,124.0
2017-12-06,126.0
2017-12-07,128.0
2017-12-11,133.5
2017-12-12,142.0
2017-12-13,145.5
2017-12-14,140.0
2017-12-15,140.5
2017-12-18,138.0
2017-12-19,133.0
2017-12-20,134.0
2017-12-21,133.5
2017-12-25,133.5
2017-12-26,134.0
2017-12-27,130.5
2017-12-28,132.0
2017-12-29,157.0
2018-01-03,140.5
2018-01-04,152.0
2018-01-05,155.0
2018-01-09,162.0
2018-01-10,160.0
2018-01-11,162.0
2018-01-12,162.5
2018-01-15,169.0
2018-01-16,165.0
2018-01-17,165.0
2018-01-18,167.5
2018-01-19,167.5
2018-01-22,166.0
2018-01-23,168.0
2018-01-24,166.0
2018-01-25,158.0
2018-01-26,165.0
2018-01-29,166.0
2018-01-30,164.5
2018-01-31,160.0
2018-02-01,163.5
2018-02-02,164.5
2018-02-05,165.0
2018-02-06,164.5
2018-02-07,166.0
2018-02-08,162.0
2018-02-09,162.0
2018-02-12,164.5
2018-02-13,161.0
2018-02-14,164.0
2018-02-15,164.5
2018-02-16,171.5
2018-02-19,172.0
2018-02-20,168.0
2018-02-21,168.5
2018-02-22,170.0
2018-02-26,175.0
2018-02-27,177.0
2018-02-28,177.5
2018-03-01,189.0
2018-03-02,189.0
2018-03-05,189.0
2018-03-06,199.0
2018-03-07,196.0
2018-03-09,194.0
2018-03-12,199.0
2018-03-13,188.5
2018-03-14,199.0
2018-03-15,199.0
2018-03-16,198.5
2018-03-19,188.0
2018-03-20,185.0
2018-03-21,185.0
2018-03-22,188.5
2018-03-23,182.0
2018-03-26,169.5
2018-03-27,170.5
2018-03-28,152.0
2018-03-29,153.5
2018-03-30,154.0
2018-04-02,156.0
2018-04-03,142.5
2018-04-04,142.5
2018-04-05,140.0
2018-04-06,149.5
2018-04-09,115.0
2018-04-10,139.0
2018-04-11,138.0
2018-04-12,140.0
2018-04-13,144.0
2018-04-16,140.0
2018-04-17,139.0
2018-04-18,138.0
2018-04-19,138.0
2018-04-20,136.0
2018-04-23,142.5
2018-04-24,165.0
2018-04-25,173.5
2018-04-26,187.5
2018-04-27,203.0
2018-04-28,202.0
2018-04-30,187.0
2018-05-02,199.0
2018-05-03,205.0
2018-05-04,204.5
2018-05-07,220.0
2018-05-08,219.0
2018-05-10,215.0
2018-05-11,199.5
2018-05-14,198.0
2018-05-15,196.0
2018-05-16,199.5
2018-05-17,200.0
2018-05-18,199.5
2018-05-21,200.0
2018-05-22,199.5
2018-05-23,205.0
2018-05-24,205.0
