TRADEDATE,CLOSE
2023-10-13,466.2
2023-10-16,560.0
2023-10-17,531.6
2023-10-18,506.0
2023-10-19,502.7
2023-10-20,480.75
2023-10-23,497.7
2023-10-24,501.0
2023-10-25,505.5
2023-10-26,503.45
2023-10-27,499.1
2023-10-30,491.0
2023-10-31,488.0
2023-11-01,493.25
2023-11-02,490.5
2023-11-03,496.0
2023-11-06,516.95
2023-11-07,515.15
2023-11-08,510.25
2023-11-09,505.75
2023-11-10,507.05
2023-11-13,501.5
2023-11-14,502.85
2023-11-15,503.7
2023-11-16,516.45
2023-11-17,533.45
2023-11-20,517.15
2023-11-21,515.15
2023-11-22,513.35
2023-11-23,509.45
2023-11-24,508.2
2023-11-27,492.5
2023-11-28,492.45
2023-11-29,485.65
2023-11-30,481.0
2023-12-01,476.4
2023-12-04,464.4
2023-12-05,477.9
2023-12-06,461.8
2023-12-07,467.05
2023-12-08,461.9
2023-12-11,450.0
2023-12-12,450.2
2023-12-13,463.9
2023-12-14,470.0
2023-12-15,474.7
2023-12-18,493.0
2023-12-19,495.9
2023-12-20,517.0
2023-12-21,511.0
2023-12-22,516.4
2023-12-25,519.3
2023-12-26,510.3
2023-12-27,503.7
2023-12-28,496.6
2023-12-29,501.5
2024-01-03,513.1
2024-01-04,512.0
2024-01-05,514.6
2024-01-08,520.25
2024-01-09,533.0
2024-01-10,525.6
2024-01-11,522.1
2024-01-12,524.9
2024-01-15,526.55
2024-01-16,524.05
2024-01-17,525.3
2024-01-18,522.95
2024-01-19,517.85
2024-01-22,526.05
2024-01-23,542.75
2024-01-24,542.5
2024-01-25,537.5
2024-01-26,567.95
2024-01-29,561.0
2024-01-30,554.5
2024-01-31,563.3
2024-02-01,553.1
2024-02-02,551.6
2024-02-05,558.6
2024-02-06,554.85
2024-02-07,553.9
2024-02-08,542.75
2024-02-09,541.05
2024-02-12,569.15
2024-02-13,569.25
2024-02-14,560.4
2024-02-15,559.4
2024-02-16,559.4
2024-02-19,561.6
2024-02-20,543.35
2024-02-21,539.9
2024-02-22,545.0
