TRADEDATE,CLOSE
2008-03-19,120.98
2008-03-20,119.0
2008-03-21,119.0
2008-03-24,120.0
2008-03-25,119.0
2008-03-26,121.5
2008-03-27,113.35
2008-03-28,114.0
2008-03-31,111.46
2008-04-01,115.5
2008-04-02,115.0
2008-04-03,112.85
2008-04-04,112.01
2008-04-07,113.8
2008-04-08,114.5
2008-04-09,113.99
2008-04-10,115.5
2008-04-11,114.0
2008-04-14,115.99
2008-04-15,116.0
2008-04-16,119.0
2008-04-17,119.5
2008-04-18,122.0
2008-04-21,123.0
2008-04-22,125.0
2008-04-23,126.0
2008-04-24,122.5
2008-04-25,132.0
2008-04-28,132.3
2008-04-29,134.0
2008-04-30,135.0
2008-05-04,138.0
2008-05-05,139.01
2008-05-06,142.5
2008-05-07,142.99
2008-05-12,142.0
2008-05-13,143.4
2008-05-14,142.0
2008-05-15,141.9
2008-05-16,141.7
2008-05-19,149.24
2008-05-20,145.0
2008-05-21,143.09
2008-05-22,143.0
2008-05-23,142.5
2008-05-26,142.75
2008-05-27,143.4
2008-05-28,144.2
2008-05-29,147.0
2008-05-30,148.5
2008-06-02,149.6
2008-06-03,148.0
2008-06-04,151.5
2008-06-05,169.98
2008-06-06,173.5
2008-06-07,174.15
2008-06-09,174.45
2008-06-10,173.94
2008-06-11,172.0
2008-06-16,173.0
2008-06-17,173.0
2008-06-18,170.0
2008-06-19,171.99
2008-06-20,169.0
2008-06-23,168.75
2008-06-24,168.99
2008-06-25,167.5
2008-06-26,166.01
2008-06-27,170.6
2008-06-30,165.0
2008-07-01,165.0
2008-07-02,165.5
2008-07-03,160.85
2008-07-04,161.5
2008-07-07,162.0
2008-07-08,162.0
2008-07-09,160.0
2008-07-10,159.0
2008-07-11,157.05
2008-07-14,157.0
2008-07-15,142.5
2008-07-16,141.37
2008-07-17,148.43
2008-07-18,137.0
2008-07-21,144.9
2008-07-22,135.0
2008-07-23,138.0
2008-07-24,139.0
2008-07-25,135.0
2008-07-28,131.0
2008-07-29,122.5
2008-07-30,135.12
2008-07-31,135.0
2008-08-01,136.8
2008-08-04,140.4
2008-08-05,120.1
2008-08-06,121.1
2008-08-07,121.01
2008-08-08,117.02
2008-08-11,120.0
2008-08-12,130.0
2008-08-13,130.0
2008-08-14,133.0
2008-08-15,139.5
2008-08-18,145.0
2008-08-19,139.0
2008-08-20,140.0
2008-08-22,137.0
2008-08-25,134.0
2008-08-26,133.0
2008-08-27,130.0
2008-08-28,132.5
2008-08-29,133.0
2008-09-01,130.0
2008-09-02,132.0
2008-09-03,130.0
2008-09-04,131.0
2008-09-05,130.01
2008-09-08,131.0
2008-09-09,127.99
2008-09-10,117.0
2008-09-11,111.0
2008-09-12,114.5
2008-09-15,107.5
2008-09-16,98.58
2008-09-17,95.0
2008-09-19,119.0
2008-09-22,105.0
2008-09-23,102.0
2008-09-24,105.0
2008-09-25,105.0
2008-09-26,110.0
2008-09-29,102.0
2008-09-30,105.0
2008-10-01,102.0
2008-10-02,99.0
2008-10-03,98.0
2008-10-06,80.0
2008-10-07,83.99
2008-10-08,65.0
2008-10-09,80.0
2008-10-13,80.0
2008-10-14,80.7
2008-10-15,76.0
2008-10-16,62.58
2008-10-17,60.0
2008-10-20,57.0
2008-10-21,59.99
2008-10-22,52.0
2008-10-23,40.11
2008-10-28,40.86
2008-10-29,38.32
2008-10-30,36.0
2008-10-31,35.0
2008-11-01,33.0
2008-11-05,34.0
2008-11-06,32.0
2008-11-07,33.0
2008-11-10,34.4
2008-11-11,36.0
2008-11-13,32.99
2008-11-14,33.0
2008-11-17,33.0
2008-11-18,31.99
2008-11-19,31.3
2008-11-21,30.05
2008-11-24,30.5
2008-11-25,30.25
2008-11-26,30.5
2008-11-27,30.5
2008-11-28,36.0
2008-12-01,33.65
2008-12-02,32.3
2008-12-03,34.0
2008-12-04,34.9
2008-12-05,34.0
2008-12-08,34.03
2008-12-09,35.16
2008-12-10,33.55
2008-12-11,34.23
2008-12-12,34.0
2008-12-15,32.85
2008-12-16,32.87
2008-12-17,32.05
2008-12-18,32.05
2008-12-19,32.0
2008-12-22,32.6
2008-12-23,32.4
2008-12-25,32.42
2008-12-26,33.25
2008-12-29,33.0
2008-12-31,33.16
2009-01-11,34.98
2009-01-12,32.5
2009-01-13,32.0
2009-01-14,28.41
2009-01-15,29.0
2009-01-16,28.0
2009-01-19,28.0
2009-01-20,27.05
2009-01-21,26.55
2009-01-22,27.05
2009-01-23,27.05
2009-01-26,27.0
2009-01-27,26.05
2009-01-28,26.05
2009-01-29,23.13
2009-01-30,25.0
2009-02-02,24.5
2009-02-03,25.98
2009-02-04,24.69
2009-02-05,25.49
2009-02-06,26.48
2009-02-09,26.0
2009-02-10,26.1
2009-02-11,25.62
2009-02-12,24.55
2009-02-13,24.5
2009-02-16,24.9
2009-02-17,25.1
2009-02-18,25.1
2009-02-19,25.1
2009-02-20,25.1
2009-02-24,25.1
2009-02-25,25.1
2009-02-26,25.1
2009-02-27,25.1
2009-03-02,25.1
2009-03-03,25.1
2009-03-04,25.1
2009-03-05,25.19
2009-03-06,25.0
2009-03-10,25.05
2009-03-11,25.0
2009-03-12,24.97
2009-03-13,24.96
2009-03-16,24.0
2009-03-17,24.0
2009-03-18,23.99
2009-03-19,23.85
2009-03-20,24.5
2009-03-23,25.45
2009-03-24,25.75
2009-03-25,25.99
2009-03-26,26.85
