TRADEDATE,CLOSE
2015-07-01,3.68
2015-07-02,3.6455
2015-07-03,3.637
2015-07-06,3.67
2015-07-07,3.631
2015-07-08,3.649
2015-07-09,3.65
2015-07-10,3.65
2015-07-13,3.6545
2015-07-14,3.6525
2015-07-15,3.656
2015-07-16,3.676
2015-07-17,3.669
2015-07-20,3.6625
2015-07-21,3.677
2015-07-22,3.67
2015-07-23,3.677
2015-07-24,3.67
2015-07-27,3.6745
2015-07-28,3.6605
2015-07-29,3.655
2015-07-30,3.672
2015-07-31,3.6745
2015-08-03,3.6595
2015-08-04,3.639
2015-08-05,3.635
2015-08-06,3.63
2015-08-07,3.655
2015-08-10,3.655
2015-08-11,3.66
2015-08-12,3.68
2015-08-13,3.6905
2015-08-14,3.675
2015-08-17,3.691
2015-08-18,3.665
2015-08-19,3.66
2015-08-20,3.665
2015-08-21,3.65
2015-08-24,3.6205
2015-08-25,3.62
2015-08-26,3.625
2015-08-27,3.645
2015-08-28,3.65
2015-08-31,3.6455
2015-09-01,3.63
2015-09-02,3.64
2015-09-03,3.65
2015-09-04,3.652
2015-09-07,3.635
2015-09-08,3.6355
2015-09-09,3.66
2015-09-10,3.635
2015-09-11,3.635
2015-09-14,3.65
2015-09-15,3.68
2015-09-16,3.66
2015-09-17,3.635
2015-09-18,3.67
2015-09-21,3.66
2015-09-22,3.6455
2015-09-23,3.66
2015-09-24,3.66
2015-09-25,3.6655
2015-09-28,3.68
2015-09-29,3.69
2015-09-30,3.704
2015-10-01,3.7
2015-10-02,3.732
2015-10-05,3.7295
2015-10-06,3.7355
2015-10-07,3.715
2015-10-08,3.73
2015-10-09,3.748
2015-10-12,3.68
2015-10-13,3.748
2015-10-14,3.74
2015-10-15,3.756
2015-10-16,3.75
2015-10-19,3.755
2015-10-20,3.796
2015-10-21,3.79
2015-10-22,3.796
2015-10-23,3.796
2015-10-26,3.795
2015-10-27,3.76
2015-10-28,3.77
2015-10-29,3.73
2015-10-30,3.756
2015-11-02,3.77
2015-11-03,3.77
2015-11-05,3.77
2015-11-06,3.765
2015-11-09,3.75
2015-11-10,3.745
2015-11-11,3.74
2015-11-12,3.755
2015-11-13,3.78
2015-11-16,3.775
2015-11-17,3.81
2015-11-18,3.795
2015-11-19,3.78
2015-11-20,3.795
2015-11-23,3.775
2015-11-24,3.78
2015-11-25,3.795
2015-11-26,3.85
2015-11-27,3.91
2015-11-30,3.83
2015-12-01,3.85
2015-12-02,3.84
2015-12-03,3.805
2015-12-04,3.815
2015-12-07,3.84
2015-12-08,3.84
2015-12-09,3.835
2015-12-10,3.825
2015-12-11,3.825
2015-12-14,3.825
2015-12-15,3.84
2015-12-16,3.85
2015-12-17,3.68
2015-12-18,3.685
2015-12-21,3.67
2015-12-22,3.675
2015-12-23,3.67
2015-12-24,3.685
2015-12-25,3.75
2015-12-28,3.73
2015-12-29,3.77
2015-12-30,3.8
2016-01-04,3.93
2016-01-05,3.865
2016-01-06,3.885
2016-01-11,3.875
2016-01-12,3.82
2016-01-13,3.77
2016-01-14,3.75
2016-01-15,3.74
2016-01-18,3.74
2016-01-19,3.73
2016-01-20,3.735
2016-01-21,3.74
2016-01-22,3.74
2016-01-25,3.75
2016-01-26,3.745
2016-01-27,3.74
2016-01-28,3.745
2016-01-29,3.76
2016-02-01,3.77
2016-02-02,3.765
2016-02-03,3.77
2016-02-04,3.765
2016-02-05,3.76
2016-02-08,3.755
2016-02-09,3.74
2016-02-10,3.74
2016-02-11,3.765
2016-02-12,3.775
2016-02-15,3.78
2016-02-16,3.775
2016-02-17,3.78
2016-02-18,3.8
2016-02-19,3.805
2016-02-20,3.765
2016-02-22,3.805
2016-02-24,3.75
2016-02-25,3.78
2016-02-26,3.785
2016-02-29,3.62
2016-03-01,3.745
2016-03-02,3.78
2016-03-03,3.785
2016-03-04,3.805
2016-03-07,3.8
2016-03-09,3.84
2016-03-10,3.825
2016-03-11,3.85
2016-03-14,3.86
2016-03-15,3.87
2016-03-16,3.85
2016-03-17,3.87
2016-03-18,3.865
2016-03-21,3.87
2016-03-22,3.795
2016-03-23,3.825
2016-03-24,3.81
2016-03-25,3.82
2016-03-28,3.805
2016-03-29,3.855
2016-03-30,3.87
2016-03-31,3.88
2016-04-01,3.865
2016-04-04,3.865
2016-04-05,3.82
2016-04-06,3.84
2016-04-07,3.905
2016-04-08,3.875
2016-04-11,3.87
2016-04-12,3.87
2016-04-13,3.87
2016-04-14,3.875
2016-04-15,3.925
2016-04-18,3.9
2016-04-19,3.915
2016-04-20,3.905
2016-04-21,3.91
2016-04-22,3.91
2016-04-25,3.92
2016-04-26,3.915
2016-04-27,3.93
2016-04-28,3.905
2016-04-29,3.92
2016-05-04,3.925
2016-05-05,3.915
2016-05-06,3.93
2016-05-10,3.915
2016-05-11,3.93
2016-05-12,3.965
2016-05-13,3.98
2016-05-16,3.995
2016-05-17,3.98
2016-05-18,3.965
2016-05-19,3.97
2016-05-20,3.995
2016-05-23,3.985
2016-05-24,3.99
2016-05-25,4.0
2016-05-26,4.0
2016-05-27,3.94
2016-05-30,3.905
2016-05-31,3.91
2016-06-01,3.905
2016-06-02,3.945
2016-06-03,3.975
2016-06-06,3.995
2016-06-07,4.045
2016-06-08,4.035
2016-06-09,4.01
2016-06-10,3.98
2016-06-14,3.955
2016-06-15,3.955
2016-06-16,3.945
2016-06-17,3.95
2016-06-20,3.97
2016-06-21,3.955
2016-06-22,3.955
2016-06-23,3.965
2016-06-24,3.92
2016-06-27,3.95
2016-06-28,3.955
2016-06-29,3.985
2016-06-30,3.98
2016-07-01,3.995
2016-07-04,4.005
2016-07-05,3.975
2016-07-06,3.96
2016-07-07,3.985
2016-07-08,4.01
2016-07-11,3.995
2016-07-12,4.035
2016-07-13,4.015
2016-07-14,3.98
2016-07-18,3.955
2016-07-19,3.92
2016-07-20,3.92
2016-07-21,3.95
2016-07-22,3.97
2016-07-25,3.985
2016-07-27,3.975
2016-07-28,4.01
2016-07-29,3.98
2016-08-01,3.985
2016-08-02,3.94
2016-08-05,3.935
2016-08-08,3.95
2016-08-09,3.95
2016-08-10,3.915
2016-08-11,3.925
2016-08-12,3.91
2016-08-15,3.78
2016-08-16,3.91
2016-08-17,3.905
2016-08-18,3.965
2016-08-19,4.04
2016-08-22,4.15
2016-08-23,4.15
2016-08-24,4.125
2016-08-25,4.145
2016-08-26,4.16
2016-08-29,4.145
2016-08-30,4.155
2016-09-01,4.16
2016-09-02,4.205
2016-09-05,4.25
2016-09-06,4.26
2016-09-07,4.26
2016-09-12,4.235
2016-09-13,4.195
2016-09-14,4.195
2016-09-15,4.175
2016-09-16,4.185
2016-09-19,4.195
2016-09-21,4.195
2016-09-22,4.27
2016-09-23,4.24
2016-09-26,4.215
2016-09-27,4.22
2016-09-29,4.295
2016-09-30,4.25
2016-10-03,4.3
2016-10-04,4.295
2016-10-05,4.25
2016-10-07,4.26
2016-10-10,4.28
2016-10-11,4.305
2016-10-12,4.29
2016-10-13,4.24
2016-10-17,4.21
2016-10-18,4.21
2016-10-19,4.17
2016-10-20,4.15
2016-10-21,4.155
2016-10-24,4.16
2016-10-25,4.185
2016-10-28,4.25
2016-10-31,4.275
2016-11-01,4.292
2016-11-02,4.24
2016-11-03,4.245
2016-11-07,4.25
2016-11-09,4.365
2016-11-10,4.459
2016-11-11,4.453
2016-11-14,4.375
2016-11-15,4.35
2016-11-17,4.258
2016-11-18,4.25
2016-11-21,4.22
2016-11-22,4.257
2016-11-23,4.265
2016-11-24,4.31
2016-11-25,4.277
2016-11-29,4.265
2016-11-30,4.275
2016-12-01,4.285
2016-12-02,4.25
2016-12-05,4.246
2016-12-07,4.25
2016-12-08,4.235
2016-12-09,4.25
2016-12-12,4.236
2016-12-14,4.234
2016-12-15,4.245
2016-12-16,4.244
2016-12-19,4.253
2016-12-20,4.265
2016-12-21,4.267
2016-12-23,4.265
2016-12-26,4.288
2016-12-27,4.28
2016-12-28,4.299
2016-12-29,4.291
2017-01-04,4.255
2017-01-05,4.248
2017-01-06,4.275
2017-01-09,4.283
2017-01-10,4.29
2017-01-11,4.299
2017-01-13,4.309
2017-01-16,4.315
2017-01-17,4.309
2017-01-18,4.292
2017-01-19,4.297
2017-01-20,4.285
2017-01-24,4.295
2017-01-25,4.289
2017-01-26,4.299
2017-01-27,4.306
2017-01-30,4.265
2017-01-31,4.262
2017-02-02,4.276
2017-02-03,4.286
2017-02-06,4.273
2017-02-07,4.28
2017-02-09,4.241
2017-02-10,4.246
2017-02-13,4.259
2017-02-14,4.239
2017-02-15,4.25
2017-02-16,4.25
2017-02-20,4.24
2017-02-21,4.272
2017-02-22,4.263
2017-02-24,4.28
2017-02-27,4.255
2017-02-28,4.231
2017-03-02,4.26
2017-03-03,4.261
2017-03-06,4.255
2017-03-07,4.223
2017-03-09,4.207
2017-03-13,4.246
2017-03-14,4.24
2017-03-15,4.279
2017-03-16,4.32
2017-03-17,4.395
2017-03-20,4.368
2017-03-22,4.294
2017-03-23,4.261
2017-03-24,4.248
2017-03-27,4.242
2017-03-28,4.277
2017-03-29,4.325
2017-03-31,4.39
2017-04-03,4.4
2017-04-04,4.405
2017-04-05,4.44
2017-04-07,4.365
2017-04-10,4.349
2017-04-11,4.358
2017-04-12,4.339
2017-04-13,4.35
2017-04-18,4.34
2017-04-19,4.387
2017-04-20,4.386
2017-04-21,4.35
2017-04-24,4.402
2017-04-26,4.441
2017-04-27,4.435
2017-04-28,4.414
2017-05-02,4.42
2017-05-03,4.419
2017-05-10,4.421
2017-05-11,4.417
2017-05-12,4.422
2017-05-15,4.43
2017-05-16,4.431
2017-05-17,4.445
2017-05-18,4.447
2017-05-19,4.432
2017-05-22,4.394
2017-05-23,4.4
2017-05-24,4.351
2017-05-25,4.345
2017-05-26,4.32
2017-05-29,4.325
2017-05-30,4.27
