TRADEDATE,CLOSE
2024-10-01,106.94
2024-10-02,104.92
2024-10-03,105.24
2024-10-04,104.98
2024-10-07,105.78
2024-10-08,105.6
2024-10-09,106.08
2024-10-10,108.1
2024-10-11,111.66
2024-10-14,111.38
2024-10-15,112.0
2024-10-16,112.3
2024-10-17,114.02
2024-10-18,114.42
2024-10-21,114.9
2024-10-22,117.46
2024-10-23,122.54
2024-10-24,121.36
2024-10-25,118.3
2024-10-28,119.22
2024-10-29,118.28
2024-10-30,122.7
2024-10-31,124.74
2024-11-01,123.48
2024-11-02,125.6
2024-11-05,122.78
2024-11-06,118.5
2024-11-07,117.5
2024-11-08,119.32
2024-11-11,117.86
2024-11-12,118.18
2024-11-13,118.2
2024-11-14,117.78
2024-11-15,118.34
2024-11-18,118.5
2024-11-19,119.38
2024-11-20,120.3
2024-11-21,119.66
2024-11-22,118.16
2024-11-25,117.1
2024-11-26,114.84
2024-11-27,110.8
2024-11-28,113.56
2024-11-29,115.5
2024-12-02,115.68
2024-12-03,114.46
2024-12-04,114.22
2024-12-05,115.64
2024-12-06,122.34
2024-12-09,124.92
2024-12-10,122.78
2024-12-11,122.4
2024-12-12,121.22
2024-12-13,120.86
2024-12-16,119.4
2024-12-17,119.3
2024-12-18,123.38
2024-12-19,127.34
2024-12-20,133.0
2024-12-23,131.98
2024-12-24,133.0
2024-12-25,133.1
2024-12-26,130.8
2024-12-27,128.5
2024-12-28,131.98
2024-12-30,134.44
2025-01-03,135.22
2025-01-06,140.34
2025-01-08,158.28
2025-01-09,140.26
2025-01-10,136.86
2025-01-13,137.0
2025-01-14,138.26
2025-01-15,137.44
2025-01-16,141.3
2025-01-17,145.5
2025-01-20,144.5
2025-01-21,143.74
2025-01-22,145.9
2025-01-23,145.4
2025-01-24,145.24
2025-01-27,143.4
2025-01-28,144.12
2025-01-29,145.36
2025-01-30,152.0
2025-01-31,160.96
2025-02-03,165.62
2025-02-04,168.98
2025-02-05,159.8
2025-02-06,159.7
2025-02-07,158.42
2025-02-10,157.8
2025-02-11,156.0
2025-02-12,155.56
2025-02-13,153.0
2025-02-14,144.2
2025-02-17,147.16
2025-02-18,144.56
2025-02-19,147.04
2025-02-20,148.86
2025-02-21,146.0
2025-02-24,148.3
2025-02-25,148.12
2025-02-26,146.0
2025-02-27,143.02
2025-02-28,143.24
2025-03-03,146.92
2025-03-04,148.22
2025-03-05,147.9
2025-03-06,146.64
2025-03-07,144.1
2025-03-10,146.56
2025-03-11,146.3
2025-03-12,144.54
2025-03-13,141.68
2025-03-14,143.62
2025-03-17,145.26
2025-03-18,145.2
2025-03-19,148.52
2025-03-20,148.48
2025-03-21,146.58
2025-03-24,147.3
2025-03-25,145.48
2025-03-26,145.8
2025-03-27,143.3
2025-03-28,142.6
2025-03-31,140.68
2025-04-01,138.14
2025-04-02,137.36
2025-04-03,132.12
2025-04-04,128.68
2025-04-07,124.48
2025-04-08,129.36
2025-04-09,124.24
2025-04-10,129.78
2025-04-11,132.5
2025-04-14,132.7
2025-04-15,133.36
2025-04-16,132.72
2025-04-17,132.72
2025-04-18,129.32
2025-04-21,130.2
2025-04-22,129.46
2025-04-23,129.16
2025-04-24,130.0
2025-04-25,130.0
2025-04-28,129.84
2025-04-29,127.96
2025-04-30,130.14
2025-05-02,126.68
2025-05-05,126.3
2025-05-06,127.24
2025-05-07,127.66
2025-05-08,128.8
2025-05-12,130.0
2025-05-13,129.4
2025-05-14,127.38
2025-05-15,126.64
2025-05-16,127.0
2025-05-19,128.16
2025-05-20,127.0
2025-05-21,127.36
2025-05-22,125.34
2025-05-23,125.34
2025-05-26,123.08
2025-05-27,124.02
2025-05-28,124.88
2025-05-29,124.7
2025-05-30,124.4
2025-06-02,121.94
2025-06-03,123.64
2025-06-04,124.94
2025-06-05,126.42
2025-06-06,122.78
2025-06-09,120.88
2025-06-10,119.3
2025-06-11,119.68
2025-06-13,119.18
2025-06-16,119.48
2025-06-17,119.72
2025-06-18,120.2
2025-06-19,120.38
2025-06-20,121.3
2025-06-23,122.26
2025-06-24,123.18
2025-06-25,121.84
2025-06-26,120.5
2025-06-27,121.28
2025-06-30,120.78
2025-07-01,121.58
2025-07-02,121.5
2025-07-03,122.8
2025-07-04,122.44
2025-07-07,123.94
2025-07-08,123.52
2025-07-09,122.22
2025-07-10,123.64
2025-07-11,122.04
2025-07-14,123.24
2025-07-15,124.46
2025-07-16,124.0
2025-07-17,124.28
2025-07-18,121.64
2025-07-21,121.76
2025-07-22,121.62
2025-07-23,121.28
2025-07-24,123.74
2025-07-25,122.48
2025-07-28,120.66
2025-07-29,120.76
2025-07-30,119.76
2025-07-31,119.78
2025-08-01,119.12
2025-08-04,119.52
2025-08-05,120.12
2025-08-06,120.5
2025-08-07,120.54
2025-08-08,121.5
2025-08-11,122.52
2025-08-12,122.58
2025-08-13,122.22
2025-08-14,122.18
2025-08-15,122.2
2025-08-18,121.98
2025-08-19,123.52
2025-08-20,121.9
2025-08-21,121.0
2025-08-22,115.58
2025-08-25,114.1
2025-08-26,113.38
2025-08-27,113.18
2025-08-28,111.74
2025-08-29,110.88
2025-09-01,110.26
2025-09-02,108.42
2025-09-03,107.22
2025-09-04,113.14
2025-09-05,109.68
2025-09-08,108.14
2025-09-09,109.1
2025-09-10,114.16
2025-09-11,113.44
2025-09-12,110.04
2025-09-15,107.2
2025-09-16,106.5
2025-09-17,106.54
2025-09-18,106.2
2025-09-19,105.66
2025-09-22,104.84
2025-09-23,103.02
2025-09-24,102.28
2025-09-25,101.86
2025-09-26,104.64
2025-09-29,97.98
2025-09-30,99.1
2025-10-01,97.2
2025-10-02,93.34
2025-10-03,90.22
2025-10-06,94.18
2025-10-07,94.76
2025-10-08,91.9
2025-10-09,91.8
2025-10-10,90.98
2025-10-13,91.4
2025-10-14,91.36
2025-10-15,91.8
2025-10-16,96.16
2025-10-17,94.34
2025-10-20,95.06
2025-10-21,93.56
2025-10-22,93.16
2025-10-23,93.16
2025-10-24,92.42
2025-10-27,89.24
2025-10-28,89.54
2025-10-29,89.38
2025-10-30,90.8
2025-10-31,91.68
2025-11-01,92.04
2025-11-03,92.5
2025-11-05,92.08
2025-11-06,94.66
2025-11-07,93.34
2025-11-10,94.14
2025-11-11,94.58
2025-11-12,94.2
2025-11-13,94.28
2025-11-14,93.32
2025-11-17,92.08
2025-11-18,92.34
2025-11-19,93.3
2025-11-20,94.62
2025-11-21,92.98
