TRADEDATE,CLOSE
2014-12-01,0.837
2014-12-02,0.834
2014-12-03,0.832
2014-12-04,0.806
2014-12-05,0.81
2014-12-08,0.798
2014-12-09,0.786
2014-12-10,0.743
2014-12-11,0.79
2014-12-12,0.788
2014-12-15,0.727
2014-12-16,0.678
2014-12-17,0.663
2014-12-18,0.704
2014-12-19,0.718
2014-12-22,0.69
2014-12-23,0.709
2014-12-24,0.7
2014-12-25,0.695
2014-12-26,0.697
2014-12-29,0.729
2014-12-30,0.739
2015-01-05,0.723
2015-01-06,0.729
2015-01-08,0.732
2015-01-09,0.746
2015-01-12,0.746
2015-01-13,0.749
2015-01-14,0.75
2015-01-15,0.747
2015-01-16,0.732
2015-01-19,0.74
2015-01-20,0.762
2015-01-21,0.784
2015-01-22,0.788
2015-01-23,0.77
2015-01-26,0.759
2015-01-27,0.756
2015-01-28,0.73
2015-01-29,0.72
2015-01-30,0.733
2015-02-02,0.732
2015-02-03,0.744
2015-02-04,0.725
2015-02-05,0.747
2015-02-06,0.751
2015-02-09,0.725
2015-02-10,0.731
2015-02-11,0.763
2015-02-12,0.78
2015-02-13,0.789
2015-02-16,0.796
2015-02-17,0.792
2015-02-18,0.8
2015-02-19,0.785
2015-02-20,0.773
2015-02-24,0.79
2015-02-25,0.794
2015-02-26,0.823
2015-02-27,0.819
2015-03-02,0.813
2015-03-03,0.805
2015-03-04,0.816
2015-03-05,0.833
2015-03-06,0.809
2015-03-10,0.794
2015-03-11,0.8
2015-03-12,0.796
2015-03-13,0.793
2015-03-16,0.782
2015-03-17,0.76
2015-03-18,0.784
2015-03-19,0.78
2015-03-20,0.776
2015-03-23,0.773
2015-03-24,0.774
2015-03-25,0.765
2015-03-26,0.794
2015-03-27,0.791
2015-03-30,0.775
2015-03-31,0.788
2015-04-01,0.802
2015-04-02,0.833
2015-04-03,0.819
2015-04-06,0.821
2015-04-07,0.84
2015-04-08,0.837
2015-04-09,0.819
2015-04-10,0.813
2015-04-13,0.844
2015-04-14,0.84
2015-04-15,0.851
2015-04-16,0.861
2015-04-17,0.86
2015-04-20,0.868
2015-04-21,0.881
2015-04-22,0.871
2015-04-23,0.906
2015-04-24,0.914
2015-04-27,0.93
2015-04-28,0.925
2015-04-29,0.906
2015-04-30,0.914
2015-05-05,0.918
2015-05-06,0.901
2015-05-07,0.9
2015-05-08,0.909
2015-05-12,0.914
2015-05-13,0.905
2015-05-14,0.897
2015-05-15,0.921
2015-05-18,0.935
2015-05-19,0.901
2015-05-20,0.943
2015-05-21,0.925
2015-05-22,0.918
2015-05-25,0.915
2015-05-26,0.911
2015-05-27,0.907
2015-05-28,0.915
2015-05-29,0.886
2015-06-01,0.898
2015-06-02,0.9
2015-06-03,0.889
2015-06-04,0.892
2015-06-05,0.902
2015-06-08,0.902
2015-06-09,0.913
2015-06-10,0.913
2015-06-11,0.885
2015-06-15,0.909
2015-06-16,0.911
2015-06-17,0.937
2015-06-18,0.985
2015-06-19,0.977
2015-06-22,0.988
2015-06-23,0.984
2015-06-24,0.981
2015-06-25,0.969
2015-06-26,0.89
2015-06-29,0.869
2015-06-30,0.865
2015-07-01,0.855
2015-07-02,0.86
2015-07-03,0.858
2015-07-06,0.847
2015-07-07,0.854
2015-07-08,0.846
2015-07-09,0.846
2015-07-10,0.855
2015-07-13,0.844
2015-07-14,0.844
2015-07-15,0.85
2015-07-16,0.842
2015-07-17,0.84
2015-07-20,0.846
2015-07-21,0.86
2015-07-22,0.852
2015-07-23,0.865
2015-07-24,0.86
2015-07-27,0.832
2015-07-28,0.832
2015-07-29,0.828
2015-07-30,0.836
2015-07-31,0.84
2015-08-03,0.838
2015-08-04,0.83
2015-08-05,0.82
2015-08-06,0.823
2015-08-07,0.823
2015-08-10,0.84
2015-08-11,0.823
2015-08-12,0.829
2015-08-13,0.828
2015-08-14,0.828
2015-08-17,0.818
2015-08-18,0.819
2015-08-19,0.809
2015-08-20,0.82
2015-08-21,0.823
2015-08-24,0.789
2015-08-25,0.799
2015-08-26,0.798
2015-08-27,0.804
2015-08-28,0.81
2015-08-31,0.801
2015-09-01,0.805
2015-09-02,0.794
2015-09-03,0.799
2015-09-04,0.792
2015-09-07,0.784
2015-09-08,0.789
2015-09-09,0.791
2015-09-10,0.632
2015-09-11,0.798
2015-09-14,0.794
2015-09-15,0.787
2015-09-16,0.79
2015-09-17,0.785
2015-09-18,0.793
2015-09-21,0.806
2015-09-22,0.792
2015-09-23,0.78
2015-09-24,0.792
2015-09-25,0.793
2015-09-28,0.777
2015-09-29,0.761
2015-09-30,0.767
2015-10-01,0.777
2015-10-02,0.763
2015-10-05,0.77
2015-10-06,0.789
2015-10-07,0.778
2015-10-08,0.784
2015-10-09,0.781
2015-10-12,0.775
2015-10-13,0.784
2015-10-14,0.778
2015-10-15,0.786
2015-10-16,0.777
2015-10-19,0.784
2015-10-20,0.79
2015-10-21,0.805
2015-10-22,0.801
2015-10-23,0.814
2015-10-26,0.815
2015-10-27,0.808
2015-10-28,0.815
2015-10-29,0.783
2015-10-30,0.779
2015-11-02,0.782
2015-11-03,0.78
2015-11-05,0.77
2015-11-06,0.761
2015-11-09,0.896
2015-11-10,0.747
2015-11-11,0.722
2015-11-12,0.719
2015-11-13,0.715
2015-11-16,0.723
2015-11-17,0.749
2015-11-18,0.755
2015-11-19,0.88
2015-11-20,0.754
2015-11-23,0.748
2015-11-24,0.726
2015-11-25,0.752
2015-11-26,0.754
2015-11-27,0.733
2015-11-30,0.721
2015-12-01,0.71
2015-12-02,0.716
2015-12-03,0.717
2015-12-04,0.719
2015-12-07,0.721
2015-12-08,0.725
2015-12-09,0.73
2015-12-10,0.73
2015-12-11,0.728
2015-12-14,0.719
2015-12-15,0.714
2015-12-16,0.719
2015-12-17,0.713
2015-12-18,0.7
2015-12-21,0.697
2015-12-22,0.7
2015-12-23,0.697
2015-12-24,0.705
2015-12-25,0.691
2015-12-28,0.697
2015-12-29,0.707
2015-12-30,0.714
2016-01-04,0.716
2016-01-05,0.734
2016-01-06,0.735
2016-01-11,0.719
2016-01-12,0.705
2016-01-13,0.732
2016-01-14,0.72
2016-01-15,0.681
2016-01-18,0.669
2016-01-19,0.67
2016-01-20,0.664
2016-01-21,0.668
2016-01-22,0.654
2016-01-25,0.693
2016-01-26,0.681
2016-01-27,0.687
2016-01-28,0.689
2016-01-29,0.698
2016-02-01,0.72
2016-02-02,0.714
2016-02-03,0.732
2016-02-04,0.742
2016-02-05,0.737
2016-02-08,0.734
2016-02-09,0.717
2016-02-10,0.716
2016-02-11,0.716
