TRADEDATE,CLOSE
2020-02-20,814.0
2020-02-21,800.0
2020-02-25,763.2
2020-02-26,755.0
2020-02-27,736.3
2020-02-28,721.0
2020-03-02,731.0
2020-03-03,739.7
2020-03-04,736.0
2020-03-05,720.3
2020-03-06,679.9
2020-03-10,636.0
2020-03-11,641.4
2020-03-12,582.0
2020-03-13,589.9
2020-03-16,566.6
2020-03-17,566.3
2020-03-18,540.8
2020-03-19,542.3
2020-03-20,564.6
2020-03-23,560.2
2020-03-24,580.0
2020-03-25,590.0
2020-03-26,581.7
2020-03-27,561.7
2020-03-30,553.0
2020-03-31,552.2
2020-04-01,551.9
2020-04-02,550.5
2020-04-03,548.0
2020-04-06,550.7
2020-04-07,555.7
2020-04-08,568.8
2020-04-09,559.7
2020-04-10,553.8
2020-04-13,549.5
2020-04-14,557.0
2020-04-15,561.0
2020-04-16,572.1
2020-04-17,572.0
2020-04-20,568.9
2020-04-21,553.9
2020-04-22,577.0
2020-04-23,597.4
2020-04-24,618.8
2020-04-27,660.0
2020-04-28,636.0
2020-04-29,628.5
2020-04-30,620.0
2020-05-04,655.0
2020-05-05,648.0
2020-05-06,644.0
2020-05-07,637.0
2020-05-08,630.0
2020-05-12,620.5
2020-05-13,615.0
2020-05-14,607.0
2020-05-15,604.5
2020-05-18,605.0
2020-05-19,600.0
2020-05-20,605.0
2020-05-21,601.0
2020-05-22,594.0
2020-05-25,616.0
2020-05-26,612.0
2020-05-27,612.5
2020-05-28,620.0
2020-05-29,618.0
2020-06-01,622.0
2020-06-02,626.5
2020-06-03,622.5
2020-06-04,593.0
2020-06-05,609.0
2020-06-08,611.0
2020-06-09,618.0
2020-06-10,621.0
2020-06-11,603.0
2020-06-15,598.5
2020-06-16,605.5
2020-06-17,604.5
2020-06-18,604.5
2020-06-19,605.0
2020-06-22,598.0
2020-06-23,599.5
2020-06-25,585.0
2020-06-26,592.0
2020-06-29,595.0
2020-06-30,585.5
2020-07-02,590.0
2020-07-03,592.0
2020-07-06,587.5
2020-07-07,588.5
2020-07-08,587.5
2020-07-09,583.5
2020-07-10,585.5
2020-07-13,580.5
2020-07-14,590.5
2020-07-15,587.5
2020-07-16,590.0
2020-07-17,597.5
2020-07-20,591.5
2020-07-21,592.5
2020-07-22,632.0
2020-07-23,662.5
2020-07-24,686.0
2020-07-27,731.5
2020-07-28,747.5
2020-07-29,744.0
2020-07-30,751.0
2020-07-31,751.5
2020-08-03,735.0
2020-08-04,704.5
2020-08-05,706.0
2020-08-06,687.5
2020-08-07,693.0
2020-08-10,685.5
2020-08-11,688.5
2020-08-12,679.0
2020-08-13,670.0
2020-08-14,670.0
2020-08-17,668.5
2020-08-18,662.0
2020-08-19,670.0
2020-08-20,666.0
2020-08-21,672.0
2020-08-24,700.0
2020-08-25,702.5
2020-08-26,694.5
