TRADEDATE,CLOSE
2023-11-21,223.0
2023-11-22,222.5
2023-11-23,241.25
2023-11-24,248.95
2023-11-27,234.05
2023-11-28,245.0
2023-11-29,249.95
2023-11-30,245.5
2023-12-01,241.9
2023-12-04,241.95
2023-12-05,241.75
2023-12-06,233.25
2023-12-07,240.0
2023-12-08,248.0
2023-12-11,240.0
2023-12-12,239.0
2023-12-13,236.55
2023-12-14,235.8
2023-12-15,238.0
2023-12-18,238.3
2023-12-19,236.6
2023-12-20,237.0
2023-12-21,234.1
2023-12-22,234.85
2023-12-25,233.4
2023-12-26,231.55
2023-12-27,231.25
2023-12-28,236.8
2023-12-29,269.0
2024-01-03,260.0
2024-01-04,255.8
2024-01-05,264.0
2024-01-08,262.5
2024-01-09,365.4
2024-01-10,395.0
2024-01-11,362.7
2024-01-12,347.0
2024-01-15,333.0
2024-01-16,352.8
2024-01-17,350.85
2024-01-18,344.0
2024-01-19,339.9
2024-01-22,340.0
2024-01-23,340.5
2024-01-24,346.6
2024-01-25,344.8
2024-01-26,340.2
2024-01-29,337.0
2024-01-30,332.0
2024-01-31,321.95
2024-02-01,307.8
2024-02-02,320.0
2024-02-05,322.4
2024-02-06,316.15
2024-02-07,325.8
2024-02-08,315.5
2024-02-09,307.2
2024-02-12,308.0
2024-02-13,304.95
2024-02-14,294.0
2024-02-15,286.1
2024-02-16,276.8
2024-02-19,268.45
2024-02-20,270.15
2024-02-21,247.3
2024-02-22,239.5
2024-02-26,252.75
2024-02-27,262.4
2024-02-28,253.35
2024-02-29,250.75
2024-03-01,246.0
2024-03-04,257.3
2024-03-05,255.0
2024-03-06,280.0
2024-03-07,283.35
2024-03-11,275.4
2024-03-12,272.7
2024-03-13,271.0
2024-03-14,264.25
2024-03-15,258.7
2024-03-18,252.85
2024-03-19,260.0
2024-03-20,256.15
2024-03-21,254.4
2024-03-22,251.9
2024-03-25,249.35
2024-03-26,250.0
2024-03-27,247.9
2024-03-28,242.15
2024-03-29,242.0
2024-04-01,241.9
2024-04-02,240.35
2024-04-03,245.4
2024-04-04,249.4
2024-04-05,259.7
2024-04-08,265.85
2024-04-09,256.75
2024-04-10,252.7
2024-04-11,256.0
2024-04-12,249.2
2024-04-15,246.9
2024-04-16,245.0
2024-04-17,244.25
2024-04-18,242.5
2024-04-19,242.95
2024-04-22,244.0
2024-04-23,242.1
2024-04-24,240.75
2024-04-25,233.5
2024-04-26,229.0
2024-04-27,230.7
2024-04-29,241.7
2024-04-30,235.15
2024-05-02,236.0
2024-05-03,234.5
2024-05-06,231.5
2024-05-07,230.45
2024-05-08,230.65
2024-05-10,231.55
2024-05-13,230.3
2024-05-14,227.5
2024-05-15,225.95
2024-05-16,226.2
