TRADEDATE,CLOSE
2008-07-16,0.351
2008-07-17,0.368
2008-07-18,0.368
2008-07-21,0.345
2008-07-22,0.331
2008-07-23,0.304
2008-07-24,0.3
2008-07-25,0.284
2008-07-28,0.278
2008-07-29,0.28
2008-07-30,0.297
2008-07-31,0.3
2008-08-01,0.325
2008-08-04,0.315
2008-08-05,0.305
2008-08-06,0.304
2008-08-07,0.326
2008-08-08,0.32
2008-08-11,0.303
2008-08-12,0.34
2008-08-13,0.348
2008-08-14,0.367
2008-08-15,0.365
2008-08-18,0.373
2008-08-19,0.349
2008-08-20,0.348
2008-08-21,0.342
2008-08-22,0.331
2008-08-25,0.307
2008-08-26,0.289
2008-08-27,0.296
2008-08-28,0.311
2008-08-29,0.323
2008-09-01,0.327
2008-09-02,0.324
2008-09-03,0.321
2008-09-04,0.32
2008-09-05,0.297
2008-09-08,0.295
2008-09-09,0.28
2008-09-10,0.241
2008-09-11,0.24
2008-09-12,0.229
2008-09-15,0.194
2008-09-16,0.126
2008-09-17,0.118
2008-09-19,0.128
2008-09-22,0.187
2008-09-23,0.18
2008-09-24,0.181
2008-09-25,0.179
2008-09-26,0.175
2008-09-29,0.165
2008-09-30,0.156
2008-10-01,0.148
2008-10-02,0.136
2008-10-03,0.134
2008-10-06,0.102
2008-10-07,0.106
2008-10-08,0.09
2008-10-09,0.084
2008-10-13,0.069
2008-10-14,0.077
2008-10-15,0.083
2008-10-16,0.08
2008-10-17,0.075
2008-10-20,0.076
2008-10-21,0.076
2008-10-22,0.06
2008-10-23,0.064
2008-10-24,0.054
2008-10-28,0.051
2008-10-29,0.054
2008-10-30,0.056
2008-10-31,0.087
2008-11-01,0.1
2008-11-05,0.118
2008-11-06,0.111
2008-11-07,0.132
2008-11-10,0.132
2008-11-11,0.113
2008-11-13,0.118
2008-11-14,0.118
2008-11-17,0.11
2008-11-18,0.103
2008-11-19,0.093
2008-11-20,0.086
2008-11-21,0.093
2008-11-24,0.107
2008-11-25,0.11
2008-11-26,0.134
2008-11-27,0.161
2008-11-28,0.162
2008-12-01,0.14
2008-12-02,0.128
2008-12-03,0.137
2008-12-04,0.131
2008-12-05,0.127
2008-12-08,0.132
2008-12-09,0.139
2008-12-10,0.124
2008-12-11,0.12
2008-12-12,0.116
2008-12-15,0.112
2008-12-16,0.113
2008-12-17,0.126
2008-12-18,0.135
2008-12-19,0.155
2008-12-22,0.147
2008-12-23,0.145
2008-12-24,0.135
2008-12-25,0.134
2008-12-26,0.123
2008-12-29,0.12
2008-12-30,0.155
2008-12-31,0.121
2009-01-11,0.124
2009-01-12,0.131
2009-01-13,0.128
2009-01-14,0.117
2009-01-15,0.109
2009-01-16,0.107
2009-01-19,0.097
2009-01-20,0.087
2009-01-21,0.079
2009-01-22,0.08
2009-01-23,0.081
2009-01-26,0.082
2009-01-27,0.081
2009-01-28,0.084
2009-01-29,0.081
2009-01-30,0.084
2009-02-02,0.08
2009-02-03,0.084
2009-02-04,0.081
2009-02-05,0.082
2009-02-06,0.086
2009-02-09,0.094
2009-02-10,0.098
2009-02-11,0.101
2009-02-12,0.122
2009-02-13,0.12
2009-02-16,0.115
2009-02-17,0.103
2009-02-18,0.097
2009-02-19,0.103
2009-02-20,0.097
2009-02-24,0.117
2009-02-25,0.116
2009-02-26,0.121
2009-02-27,0.134
2009-03-02,0.129
2009-03-03,0.124
2009-03-04,0.125
2009-03-05,0.125
2009-03-06,0.127
2009-03-10,0.132
2009-03-11,0.126
2009-03-12,0.126
2009-03-13,0.131
2009-03-16,0.122
2009-03-17,0.134
2009-03-18,0.129
2009-03-19,0.126
2009-03-20,0.129
2009-03-23,0.128
2009-03-24,0.125
2009-03-25,0.125
2009-03-26,0.145
2009-03-27,0.144
2009-03-30,0.146
2009-03-31,0.149
2009-04-01,0.175
2009-04-02,0.174
2009-04-03,0.165
2009-04-06,0.199
2009-04-07,0.164
2009-04-08,0.174
2009-04-09,0.177
2009-04-10,0.171
2009-04-13,0.167
2009-04-14,0.175
2009-04-15,0.198
2009-04-16,0.235
2009-04-17,0.216
2009-04-20,0.204
2009-04-21,0.208
2009-04-22,0.223
2009-04-23,0.22
2009-04-24,0.22
2009-04-27,0.206
2009-04-28,0.202
2009-04-29,0.21
2009-04-30,0.221
2009-05-04,0.221
2009-05-05,0.209
2009-05-06,0.211
2009-05-07,0.209
2009-05-08,0.205
2009-05-12,0.217
2009-05-13,0.214
2009-05-14,0.205
2009-05-15,0.211
2009-05-18,0.215
2009-05-19,0.244
2009-05-20,0.244
2009-05-21,0.22
2009-05-22,0.224
2009-05-25,0.226
2009-05-26,0.24
2009-05-27,0.235
2009-05-28,0.248
2009-05-29,0.271
2009-06-01,0.297
2009-06-02,0.28
2009-06-03,0.272
2009-06-04,0.265
2009-06-05,0.281
2009-06-08,0.305
2009-06-09,0.298
2009-06-10,0.293
2009-06-11,0.283
2009-06-15,0.278
2009-06-16,0.294
2009-06-17,0.281
2009-06-18,0.283
2009-06-19,0.291
2009-06-22,0.261
2009-06-23,0.235
2009-06-24,0.249
2009-06-25,0.251
2009-06-26,0.257
2009-06-29,0.261
2009-06-30,0.268
2009-07-01,0.274
2009-07-02,0.264
2009-07-03,0.255
2009-07-06,0.246
2009-07-07,0.3
2009-07-08,0.237
2009-07-09,0.223
2009-07-10,0.207
2009-07-13,0.203
2009-07-14,0.26
2009-07-15,0.213
2009-07-16,0.208
2009-07-17,0.213
2009-07-20,0.22
2009-07-21,0.212
2009-07-22,0.209
2009-07-23,0.22
2009-07-24,0.234
2009-07-27,0.235
2009-07-28,0.222
2009-07-29,0.214
2009-07-30,0.218
2009-07-31,0.222
2009-08-03,0.238
2009-08-04,0.245
2009-08-05,0.25
2009-08-06,0.245
2009-08-07,0.244
2009-08-10,0.245
2009-08-11,0.229
2009-08-12,0.234
2009-08-13,0.237
2009-08-14,0.235
2009-08-17,0.231
2009-08-18,0.23
2009-08-19,0.229
2009-08-20,0.228
2009-08-21,0.24
2009-08-24,0.237
2009-08-25,0.233
2009-08-26,0.217
2009-08-27,0.23
2009-08-28,0.264
2009-08-31,0.238
2009-09-01,0.275
2009-09-02,0.264
2009-09-03,0.264
2009-09-04,0.255
2009-09-07,0.267
2009-09-08,0.276
2009-09-09,0.273
2009-09-10,0.271
2009-09-11,0.275
2009-09-14,0.279
2009-09-15,0.278
2009-09-16,0.292
2009-09-17,0.28
2009-09-18,0.288
2009-09-21,0.302
2009-09-22,0.302
2009-09-23,0.32
2009-09-24,0.224
2009-09-25,0.342
2009-09-28,0.35
2009-09-29,0.37
2009-09-30,0.352
2009-10-01,0.354
2009-10-02,0.314
2009-10-05,0.327
2009-10-06,0.311
2009-10-07,0.33
2009-10-08,0.336
2009-10-09,0.352
2009-10-12,0.362
2009-10-13,0.347
2009-10-14,0.352
2009-10-15,0.338
2009-10-16,0.336
2009-10-19,0.328
2009-10-20,0.334
2009-10-21,0.327
2009-10-22,0.331
2009-10-23,0.352
2009-10-26,0.355
2009-10-27,0.343
2009-10-28,0.356
2009-10-29,0.325
2009-10-30,0.314
2009-11-02,0.316
2009-11-03,0.302
2009-11-05,0.302
2009-11-06,0.306
2009-11-09,0.322
2009-11-10,0.341
2009-11-11,0.356
2009-11-12,0.354
2009-11-13,0.368
2009-11-16,0.397
2009-11-17,0.374
2009-11-18,0.385
2009-11-19,0.378
2009-11-20,0.383
2009-11-23,0.394
2009-11-24,0.381
2009-11-25,0.376
2009-11-26,0.348
2009-11-27,0.349
2009-11-30,0.367
2009-12-01,0.374
2009-12-02,0.37
2009-12-03,0.376
2009-12-04,0.342
2009-12-07,0.345
2009-12-08,0.351
2009-12-09,0.34
2009-12-10,0.34
2009-12-11,0.338
2009-12-14,0.334
2009-12-15,0.333
2009-12-16,0.355
2009-12-17,0.342
2009-12-18,0.345
2009-12-21,0.352
2009-12-22,0.34
2009-12-23,0.333
2009-12-24,0.33
2009-12-25,0.325
2009-12-28,0.326
2009-12-29,0.324
2009-12-30,0.32
2009-12-31,0.32
2010-01-11,0.33
2010-01-12,0.334
2010-01-13,0.347
2010-01-14,0.343
2010-01-15,0.342
2010-01-18,0.342
2010-01-19,0.343
2010-01-20,0.336
2010-01-21,0.332
2010-01-22,0.323
2010-01-25,0.343
2010-01-26,0.329
2010-01-27,0.339
2010-01-28,0.388
2010-01-29,0.34
2010-02-01,0.341
2010-02-02,0.34
2010-02-03,0.34
2010-02-04,0.333
2010-02-05,0.32
2010-02-08,0.308
2010-02-09,0.312
2010-02-10,0.308
2010-02-11,0.304
2010-02-12,0.274
2010-02-16,0.3
2010-02-17,0.301
2010-02-18,0.302
2010-02-24,0.305
2010-02-25,0.296
2010-02-27,0.305
2010-03-01,0.307
2010-03-02,0.318
2010-03-04,0.314
2010-03-05,0.313
2010-03-10,0.315
2010-03-11,0.318
2010-03-12,0.322
2010-03-16,0.328
2010-03-17,0.398
2010-03-19,0.333
2010-03-22,0.341
2010-03-23,0.349
2010-03-25,0.357
2010-03-26,0.364
2010-03-29,0.37
2010-03-31,0.371
2010-04-01,0.371
2010-04-02,0.375
2010-04-06,0.367
2010-04-07,0.363
2010-04-09,0.371
2010-04-12,0.387
2010-04-13,0.377
2010-04-15,0.365
2010-04-16,0.364
2010-04-20,0.366
2010-04-21,0.367
2010-04-22,0.365
2010-04-26,0.368
2010-04-27,0.362
2010-04-29,0.366
2010-04-30,0.363
2010-05-04,0.362
2010-05-06,0.353
2010-05-07,0.318
2010-05-12,0.33
2010-05-13,0.321
2010-05-14,0.326
2010-05-18,0.337
2010-05-19,0.33
2010-05-21,0.311
2010-05-24,0.314
2010-05-25,0.291
2010-05-27,0.327
2010-05-28,0.345
2010-06-01,0.341
2010-06-02,0.336
2010-06-03,0.336
2010-06-07,0.313
2010-06-08,0.302
2010-06-10,0.31
2010-06-11,0.305
2010-06-15,0.324
2010-06-18,0.334
2010-06-21,0.345
2010-06-23,0.343
2010-06-24,0.337
2010-06-25,0.328
2010-06-29,0.317
2010-06-30,0.345
2010-07-02,0.315
2010-07-05,0.34
2010-07-06,0.348
2010-07-08,0.341
2010-07-09,0.336
2010-07-13,0.351
2010-07-14,0.348
2010-07-15,0.337
2010-07-19,0.338
2010-07-20,0.331
2010-07-22,0.333
2010-07-23,0.336
2010-07-26,0.339
2010-07-28,0.334
2010-07-29,0.339
2010-08-02,0.333
2010-08-03,0.336
2010-08-04,0.348
2010-08-06,0.387
2010-08-09,0.354
2010-08-11,0.346
2010-08-12,0.337
2010-08-13,0.341
2010-08-17,0.336
2010-08-18,0.336
2010-08-20,0.338
2010-08-23,0.345
2010-08-24,0.338
2010-08-26,0.345
2010-08-27,0.352
2010-08-31,0.35
2010-09-01,0.353
2010-09-02,0.361
2010-09-07,0.36
2010-09-08,0.361
2010-09-10,0.36
2010-09-13,0.361
2010-09-14,0.364
2010-09-16,0.365
2010-09-17,0.361
2010-09-21,0.362
2010-09-22,0.365
2010-09-23,0.358
2010-09-27,0.351
2010-09-28,0.355
2010-09-30,0.368
2010-10-01,0.367
2010-10-04,0.363
2010-10-06,0.362
2010-10-07,0.359
2010-10-11,0.364
2010-10-12,0.365
2010-10-13,0.368
2010-10-15,0.36
2010-10-18,0.367
2010-10-20,0.362
2010-10-21,0.37
2010-10-22,0.375
2010-10-26,0.375
2010-10-27,0.371
2010-10-29,0.366
2010-11-01,0.369
2010-11-02,0.371
2010-11-08,0.36
2010-11-09,0.369
2010-11-11,0.36
2010-11-12,0.365
2010-11-13,0.364
2010-11-16,0.363
2010-11-17,0.356
2010-11-19,0.358
2010-11-22,0.366
2010-11-23,0.36
2010-11-29,0.358
2010-11-30,0.362
2010-12-02,0.362
2010-12-03,0.363
2010-12-06,0.366
2010-12-08,0.362
2010-12-09,0.362
2010-12-13,0.363
2010-12-14,0.36
2010-12-15,0.361
2010-12-17,0.36
2010-12-20,0.356
2010-12-22,0.358
2010-12-23,0.36
2010-12-24,0.362
2010-12-28,0.366
2010-12-29,0.364
2011-01-11,0.362
2011-01-12,0.377
2011-01-13,0.382
2011-01-17,0.391
2011-01-18,0.385
2011-01-20,0.385
2011-01-21,0.393
2011-01-24,0.41
2011-01-26,0.423
2011-01-27,0.445
2011-01-31,0.431
2011-02-01,0.43
2011-02-02,0.419
2011-02-04,0.422
2011-02-07,0.421
2011-02-09,0.401
2011-02-10,0.394
2011-02-11,0.411
2011-02-15,0.4
2011-02-16,0.421
2011-02-18,0.403
2011-02-21,0.401
2011-02-22,0.399
2011-02-28,0.408
2011-03-01,0.40033
2011-03-03,0.40603
2011-03-04,0.391
2011-03-05,0.40896
2011-03-10,0.40256
2011-03-11,0.39021
2011-03-15,0.378
2011-03-16,0.3654
2011-03-17,0.36448
2011-03-21,0.36408
2011-03-22,0.3713
2011-03-24,0.39453
2011-03-25,0.4039
2011-03-28,0.3969
2011-03-30,0.40512
2011-03-31,0.4036
2011-04-04,0.40803
2011-04-05,0.40704
2011-04-06,0.40501
2011-04-11,0.39181
2011-04-12,0.38006
2011-04-14,0.38105
2011-04-15,0.37531
2011-04-18,0.3689
2011-04-20,0.385
2011-04-21,0.38
2011-04-25,0.37028
2011-04-26,0.37326
2011-04-27,0.37103
2011-04-29,0.35388
2011-05-03,0.3415
2011-05-05,0.36302
2011-05-06,0.371
2011-05-11,0.36555
2011-05-12,0.35399
2011-05-16,0.354
2011-05-17,0.35101
2011-05-24,0.33097
2011-05-25,0.32456
2011-05-27,0.32859
2011-05-30,0.33295
2011-05-31,0.32701
2011-06-01,0.34555
2011-06-02,0.36078
2011-06-03,0.35355
2011-06-06,0.34788
2011-06-07,0.3558
2011-06-08,0.36767
2011-06-09,0.38
2011-06-10,0.37292
2011-06-14,0.3884
2011-06-15,0.38794
2011-06-16,0.38709
2011-06-17,0.37921
2011-06-20,0.37851
2011-06-21,0.38395
2011-06-22,0.387
2011-06-23,0.37104
2011-06-24,0.37245
2011-06-27,0.38503
2011-06-28,0.37788
2011-06-29,0.38798
2011-06-30,0.3731
2011-07-01,0.3844
2011-07-04,0.38832
2011-07-05,0.3975
2011-07-06,0.392
2011-07-07,0.39694
2011-07-08,0.395
2011-07-11,0.39416
2011-07-12,0.39612
2011-07-13,0.3985
2011-07-14,0.39613
2011-07-15,0.39258
2011-07-18,0.37161
2011-07-19,0.37998
2011-07-20,0.37772
2011-07-21,0.38735
2011-07-22,0.38335
2011-07-25,0.3811
2011-07-26,0.378
2011-07-27,0.375
2011-07-28,0.38998
2011-07-29,0.37396
2011-08-01,0.37802
2011-08-02,0.37251
2011-08-03,0.3682
2011-08-04,0.34504
2011-08-05,0.33553
2011-08-08,0.304
2011-08-09,0.29916
2011-08-10,0.26826
2011-08-11,0.2726
2011-08-12,0.28006
2011-08-15,0.28641
2011-08-16,0.28822
2011-08-17,0.29425
2011-08-18,0.28557
2011-08-19,0.2772
2011-08-22,0.28
2011-08-23,0.2655
2011-08-24,0.27
2011-08-25,0.265
2011-08-26,0.265
2011-08-29,0.27625
2011-08-30,0.28
2011-08-31,0.29111
2011-09-01,0.29051
2011-09-02,0.28005
2011-09-05,0.271
2011-09-06,0.27022
2011-09-07,0.2848
2011-09-08,0.28865
2011-09-09,0.28296
2011-09-12,0.26515
2011-09-13,0.25938
2011-09-14,0.25748
2011-09-15,0.26787
2011-09-16,0.267
2011-09-19,0.265
2011-09-20,0.27289
2011-09-21,0.268
2011-09-22,0.24011
2011-09-23,0.22512
2011-09-26,0.2298
2011-09-27,0.23401
2011-09-28,0.2275
2011-09-29,0.237
2011-09-30,0.2425
2011-10-03,0.245
2011-10-04,0.225
2011-10-05,0.2324
2011-10-06,0.2334
2011-10-07,0.2414
2011-10-10,0.25419
2011-10-11,0.25077
2011-10-12,0.2574
2011-10-13,0.254
2011-10-14,0.26556
2011-10-17,0.2601
2011-10-18,0.276
2011-10-19,0.27572
2011-10-20,0.26742
2011-10-21,0.26893
2011-10-24,0.27403
2011-10-25,0.269
2011-10-26,0.27025
2011-10-27,0.281
2011-10-28,0.28401
2011-10-31,0.28545
2011-11-01,0.2747
2011-11-02,0.28148
2011-11-03,0.28001
2011-11-07,0.294
2011-11-08,0.302
2011-11-09,0.29399
2011-11-10,0.29253
2011-11-11,0.31158
2011-11-14,0.31281
2011-11-15,0.32
2011-11-16,0.329
2011-11-17,0.31654
2011-11-18,0.3125
2011-11-21,0.314
2011-11-22,0.32
2011-11-23,0.32503
2011-11-24,0.3265
2011-11-25,0.31588
2011-11-28,0.32795
2011-11-29,0.3327
2011-11-30,0.34
2011-12-01,0.343
2011-12-02,0.33942
2011-12-05,0.33594
2011-12-06,0.3415
2011-12-07,0.32722
2011-12-08,0.3244
2011-12-09,0.3055
2011-12-12,0.2889
2011-12-13,0.29202
2011-12-16,0.303
2011-12-19,0.30688
2011-12-21,0.29986
2011-12-22,0.28405
2011-12-23,0.27652
2011-12-27,0.2783
2011-12-28,0.283
2011-12-30,0.27864
2012-01-03,0.29921
2012-01-04,0.31149
2012-01-09,0.30935
2012-01-10,0.32468
2012-01-12,0.31108
2012-01-13,0.30922
2012-01-16,0.32028
2012-01-18,0.324
2012-01-19,0.321
2012-01-23,0.32142
2012-01-24,0.3188
2012-01-25,0.3125
2012-01-27,0.30977
2012-01-30,0.30482
2012-02-01,0.33309
2012-02-02,0.333
2012-02-03,0.3479
2012-02-07,0.35209
2012-02-08,0.35293
2012-02-10,0.32608
2012-02-13,0.33216
2012-02-14,0.3305
2012-02-16,0.33854
2012-02-17,0.33333
2012-02-21,0.33112
2012-02-22,0.32511
2012-02-24,0.33334
2012-02-28,0.34
2012-02-29,0.34261
2012-03-02,0.35499
2012-03-05,0.35461
2012-03-06,0.343
2012-03-11,0.35999
2012-03-12,0.36
2012-03-14,0.356
2012-03-15,0.35378
2012-03-16,0.34275
2012-03-20,0.3295
2012-03-21,0.323
2012-03-23,0.31579
2012-03-26,0.32851
2012-03-27,0.3278
2012-03-30,0.313
2012-04-02,0.31053
2012-04-04,0.30614
2012-04-05,0.31
2012-04-06,0.307
2012-04-10,0.3081
2012-04-11,0.31211
2012-04-13,0.30426
2012-04-16,0.30899
2012-04-17,0.30098
2012-04-19,0.29679
2012-04-20,0.29329
2012-04-24,0.27844
2012-04-25,0.27615
2012-04-26,0.26798
2012-04-28,0.26693
2012-05-02,0.26
2012-05-04,0.24801
2012-05-05,0.24715
2012-05-07,0.25606
2012-05-10,0.25087
2012-05-11,0.22633
2012-05-14,0.21152
2012-05-15,0.21791
2012-05-16,0.22759
2012-05-18,0.22622
2012-05-21,0.22838
2012-05-22,0.22686
2012-05-23,0.2032
2012-05-24,0.19299
2012-05-25,0.1911
2012-05-29,0.192
2012-05-30,0.18052
2012-06-01,0.1597
2012-06-04,0.16014
2012-06-05,0.1749
2012-06-07,0.19289
2012-06-08,0.19001
2012-06-13,0.19308
2012-06-14,0.19189
2012-06-15,0.1948
2012-06-20,0.1817
2012-06-21,0.18434
2012-06-25,0.1781
2012-06-26,0.183
2012-06-27,0.1928
2012-06-29,0.19121
2012-07-02,0.19959
2012-07-04,0.22669
2012-07-05,0.21776
2012-07-06,0.22049
2012-07-10,0.23596
2012-07-11,0.231
2012-07-13,0.23036
2012-07-16,0.23711
2012-07-17,0.23898
2012-07-18,0.24054
2012-07-19,0.2395
2012-07-20,0.23366
2012-07-23,0.23099
2012-07-24,0.22403
2012-07-25,0.23548
2012-07-26,0.23324
2012-07-30,0.23699
2012-07-31,0.23409
2012-08-02,0.21501
2012-08-03,0.21103
2012-08-06,0.22222
2012-08-08,0.22851
2012-08-09,0.23239
2012-08-13,0.23211
2012-08-14,0.228
2012-08-15,0.22282
2012-08-16,0.22324
2012-08-17,0.23097
2012-08-20,0.21551
2012-08-22,0.21986
2012-08-23,0.22676
2012-08-24,0.22138
2012-08-27,0.22021
2012-08-28,0.208
2012-08-29,0.205
2012-08-31,0.2
2012-09-03,0.2017
2012-09-04,0.19985
2012-09-07,0.22151
2012-09-10,0.23032
2012-09-12,0.22585
2012-09-13,0.22246
2012-09-14,0.2413
2012-09-18,0.2427
2012-09-19,0.23348
2012-09-21,0.23213
2012-09-24,0.228
2012-09-25,0.23501
2012-09-27,0.22768
2012-09-28,0.23578
2012-10-02,0.23821
2012-10-03,0.23506
2012-10-04,0.23222
2012-10-08,0.23892
2012-10-09,0.23631
2012-10-11,0.235
2012-10-12,0.23299
2012-10-15,0.2293
2012-10-17,0.23513
2012-10-18,0.23298
2012-10-22,0.23138
2012-10-23,0.22442
2012-10-24,0.21841
2012-10-26,0.20402
2012-10-29,0.20044
2012-10-31,0.20406
2012-11-01,0.20648
2012-11-02,0.20484
2012-11-07,0.20782
2012-11-08,0.19372
2012-11-12,0.20492
2012-11-13,0.19665
2012-11-14,0.19185
2012-11-16,0.19338
2012-11-19,0.19551
2012-11-21,0.19399
2012-11-22,0.19945
2012-11-23,0.2122
2012-11-29,0.20696
2012-11-30,0.20919
2012-12-03,0.20963
2012-12-05,0.21301
2012-12-06,0.2109
2012-12-07,0.21049
2012-12-11,0.21233
2012-12-12,0.21701
2012-12-14,0.21372
2012-12-17,0.20611
2012-12-18,0.214
2012-12-20,0.21026
2012-12-21,0.20624
2012-12-25,0.20435
2012-12-26,0.206
2012-12-27,0.20305
2013-01-08,0.209
2013-01-09,0.20627
2013-01-11,0.2027
2013-01-14,0.20723
2013-01-15,0.2052
2013-01-18,0.21757
