TRADEDATE,CLOSE
2008-08-28,25.5
2008-08-29,25.0
2008-09-05,24.2
2008-09-22,24.0
2008-10-07,24.0
2008-10-09,23.8
2008-10-13,23.0
2008-10-16,23.0
2008-10-28,15.01
2008-10-29,15.01
2008-10-30,13.58
2008-10-31,13.75
2008-11-01,13.75
2008-11-05,13.32
2008-11-10,13.32
2008-11-13,13.32
2008-11-27,13.32
2008-11-28,13.32
2008-12-03,8.0
2008-12-11,9.0
2008-12-17,11.5
2008-12-18,12.1
2008-12-24,10.0
2008-12-25,10.99
2008-12-26,6.6
2008-12-29,9.37
2008-12-30,6.8
2009-01-15,8.0
2009-01-16,8.0
2009-01-19,8.0
2009-01-22,8.0
2009-01-26,7.5
2009-01-28,5.7
2009-01-30,7.0
2009-02-03,7.0
2009-02-04,6.5
2009-02-10,8.0
2009-02-12,7.99
2009-02-13,8.0
2009-02-16,6.43
2009-02-17,6.75
2009-02-18,6.93
2009-02-24,7.0
2009-02-25,7.5
2009-02-26,8.25
2009-03-02,7.5
2009-03-03,5.15
2009-03-04,6.55
2009-03-13,6.6
2009-03-16,7.0
2009-03-18,6.75
2009-03-19,6.4
2009-03-23,7.0
2009-03-24,6.45
2009-03-26,7.1
2009-03-27,6.51
2009-03-30,8.2
2009-03-31,6.3
2009-04-01,6.5
2009-04-03,6.8
2009-04-06,7.7
2009-04-07,7.45
2009-04-10,7.5
2009-04-13,6.91
2009-04-14,9.09
2009-04-15,9.0
2009-04-16,7.99
2009-04-17,8.0
2009-04-20,7.89
2009-04-21,7.5
2009-04-22,7.6
2009-04-23,7.54
2009-04-24,8.79
2009-04-27,8.49
2009-04-28,7.1
2009-04-29,7.73
2009-04-30,7.85
2009-05-04,7.95
2009-05-06,8.0
2009-05-07,7.0
2009-05-08,7.25
2009-05-12,7.95
2009-05-13,7.99
2009-05-14,7.21
2009-05-15,8.0
2009-05-18,10.39
2009-05-19,9.38
2009-05-20,9.6
2009-05-21,8.88
2009-05-22,9.0
2009-05-25,9.6
2009-05-26,9.23
2009-05-27,8.29
2009-05-28,8.04
2009-05-29,8.29
2009-06-01,8.52
2009-06-02,8.5
2009-06-03,8.23
2009-06-04,9.88
2009-06-05,10.51
2009-06-08,11.25
2009-06-09,11.89
2009-06-10,11.85
2009-06-11,11.9
2009-06-15,11.5
2009-06-16,11.65
2009-06-17,10.9
2009-06-18,10.39
2009-06-19,11.29
2009-06-22,11.04
2009-06-23,11.09
2009-06-24,11.5
2009-06-25,11.4
2009-06-26,10.95
2009-06-29,11.45
2009-06-30,11.19
2009-07-01,10.95
2009-07-02,10.78
2009-07-03,10.4
2009-07-06,9.7
2009-07-07,9.75
2009-07-08,9.99
2009-07-09,9.7
2009-07-10,9.25
2009-07-13,9.46
2009-07-14,9.0
2009-07-15,9.46
2009-07-16,9.29
2009-07-17,9.29
2009-07-20,9.13
2009-07-21,8.67
2009-07-22,9.8
2009-07-23,9.19
2009-07-24,9.6
2009-07-27,10.2
2009-07-28,9.9
2009-07-29,10.5
2009-07-30,10.6
2009-07-31,11.2
2009-08-03,11.2
2009-08-04,10.99
2009-08-05,10.89
2009-08-06,10.64
2009-08-07,11.16
2009-08-10,10.7
2009-08-11,9.52
2009-08-12,10.25
2009-08-13,10.2
2009-08-14,10.0
2009-08-17,10.02
2009-08-18,10.01
2009-08-19,9.52
2009-08-20,10.07
2009-08-21,10.25
2009-08-24,10.15
2009-08-25,10.02
2009-08-26,9.7
2009-08-27,9.92
2009-08-28,9.97
2009-08-31,10.0
2009-09-01,11.2
2009-09-02,10.26
2009-09-03,10.18
2009-09-04,10.09
2009-09-07,10.15
2009-09-08,10.19
2009-09-09,10.2
2009-09-10,10.93
2009-09-11,11.55
2009-09-14,12.0
2009-09-15,11.54
2009-09-16,11.54
2009-09-17,11.14
2009-09-18,11.87
2009-09-21,11.56
2009-09-22,11.54
2009-09-23,11.71
2009-09-24,11.46
2009-09-25,11.5
2009-09-28,11.61
2009-09-29,11.5
