TRADEDATE,CLOSE
2020-10-07,100.5
2020-10-08,100.5
2020-10-09,103.0
2020-10-12,103.55
2020-10-13,103.2
2020-10-14,103.0
2020-10-15,99.15
2020-10-16,100.47
2020-10-19,100.4
2020-10-20,100.07
2020-10-21,98.59
2020-10-22,96.5
2020-10-23,96.31
2020-10-26,99.1
2020-10-27,93.97
2020-10-28,97.3
2020-10-29,97.89
2020-10-30,98.09
2020-11-02,97.96
2020-11-03,97.31
2020-11-05,97.55
2020-11-06,93.97
2020-11-09,96.95
2020-11-10,96.8
2020-11-11,96.67
2020-11-12,96.57
2020-11-13,96.59
2020-11-16,97.7
2020-11-17,97.77
2020-11-18,95.98
2020-11-19,92.26
2020-11-20,97.51
2020-11-23,97.52
2020-11-24,97.31
2020-11-25,97.45
2020-11-26,97.41
2020-11-27,97.19
2020-11-30,96.29
2020-12-01,97.5
2020-12-02,96.75
2020-12-03,96.95
2020-12-04,96.98
2020-12-07,96.16
2020-12-08,96.11
2020-12-09,96.1
2020-12-10,95.89
2020-12-11,95.43
2020-12-14,95.02
2020-12-15,94.85
2020-12-16,94.48
2020-12-17,93.69
2020-12-18,93.45
2020-12-21,92.57
2020-12-22,92.02
2020-12-23,92.0
2020-12-24,90.9
2020-12-25,92.0
2020-12-28,90.61
2020-12-29,90.54
2020-12-30,90.58
2021-01-04,92.1
2021-01-05,93.58
2021-01-06,93.3
2021-01-08,93.5
2021-01-11,93.59
2021-01-12,92.27
2021-01-13,92.6
2021-01-14,92.49
2021-01-15,91.35
2021-01-18,92.0
2021-01-19,91.06
2021-01-20,91.62
2021-01-21,91.42
2021-01-22,91.04
2021-01-25,90.84
2021-01-26,90.89
2021-01-27,90.69
2021-01-28,90.81
2021-01-29,90.19
2021-02-01,91.5
2021-02-02,91.49
2021-02-03,91.1
2021-02-04,90.92
2021-02-05,90.65
2021-02-08,91.0
2021-02-09,90.93
2021-02-10,90.06
2021-02-11,90.05
2021-02-12,89.81
2021-02-15,90.02
2021-02-16,90.14
2021-02-17,89.85
2021-02-18,89.08
2021-02-19,91.22
2021-02-20,94.1
2021-02-22,89.65
2021-02-24,90.16
2021-02-25,90.52
2021-02-26,90.2
2021-03-01,90.92
2021-03-02,93.2
2021-03-03,91.6
2021-03-04,90.5
2021-03-05,90.16
2021-03-09,90.41
2021-03-10,90.64
2021-03-11,90.69
2021-03-12,90.7
2021-03-15,91.12
2021-03-16,91.3
2021-03-17,90.8
2021-03-18,90.96
2021-03-19,90.7
2021-03-22,90.3
2021-03-23,90.0
2021-03-24,89.15
2021-03-25,89.93
2021-03-26,89.02
2021-03-29,90.96
2021-03-30,90.39
2021-03-31,90.3
2021-04-01,89.29
2021-04-02,89.56
2021-04-05,89.8
2021-04-06,89.24
2021-04-07,89.15
2021-04-08,89.6
2021-04-09,89.6
2021-04-12,90.48
2021-04-13,89.91
2021-04-14,90.51
2021-04-15,91.2
2021-04-16,90.49
2021-04-19,89.9
2021-04-20,89.53
2021-04-21,89.34
2021-04-22,89.5
2021-04-23,89.48
2021-04-26,89.51
2021-04-27,89.28
2021-04-28,89.17
2021-04-29,89.02
2021-04-30,89.84
2021-05-04,88.63
2021-05-05,88.99
2021-05-06,88.75
2021-05-07,88.99
2021-05-10,88.94
2021-05-11,89.8
2021-05-12,89.5
2021-05-13,89.2
2021-05-14,89.87
2021-05-17,89.97
2021-05-18,90.34
2021-05-19,89.34
2021-05-20,89.26
2021-05-21,90.8
2021-05-24,90.7
2021-05-25,91.92
2021-05-26,91.4
2021-05-27,94.09
2021-05-28,92.19
2021-05-31,93.9
2021-06-01,94.32
2021-06-02,94.7
2021-06-03,94.67
2021-06-04,94.93
2021-06-07,94.35
2021-06-08,93.72
2021-06-09,93.56
2021-06-10,94.12
2021-06-11,94.5
2021-06-14,94.98
2021-06-15,94.74
2021-06-16,95.24
2021-06-17,95.5
2021-06-18,93.42
2021-06-21,93.92
2021-06-22,93.96
2021-06-23,93.98
2021-06-24,93.64
2021-06-25,93.79
2021-06-28,94.98
2021-06-29,92.19
2021-06-30,92.99
2021-07-01,93.01
2021-07-02,89.0
