TRADEDATE,CLOSE
2006-01-23,218.89
2006-01-24,224.0
2006-01-25,228.38
2006-01-26,224.47
2006-01-27,228.75
2006-01-30,216.0
2006-01-31,219.02
2006-02-01,223.99
2006-02-02,221.5
2006-02-03,221.01
2006-02-06,220.45
2006-02-07,220.5
2006-02-08,221.0
2006-02-09,222.0
2006-02-10,222.0
2006-02-13,219.95
2006-02-14,219.89
2006-02-15,219.78
2006-02-16,220.0
2006-02-17,226.5
2006-02-20,228.2
2006-02-21,225.0
2006-02-22,225.38
2006-02-26,227.38
2006-02-27,225.21
2006-02-28,218.79
2006-03-01,217.98
2006-03-02,218.98
2006-03-03,228.9
2006-03-06,231.99
2006-03-07,223.86
2006-03-09,219.2
2006-03-10,217.11
2006-03-13,223.3
2006-03-14,220.35
2006-03-15,221.23
2006-03-16,220.7
2006-03-17,229.3
2006-03-20,225.75
2006-03-21,224.4
2006-03-22,225.19
2006-03-23,226.5
2006-03-24,229.9
2006-03-27,231.63
2006-03-28,228.45
2006-03-29,228.62
2006-03-30,230.4
2006-03-31,230.15
2006-04-03,230.5
2006-04-04,231.52
2006-04-05,238.5
2006-04-06,243.3
2006-04-07,250.29
2006-04-10,268.7
2006-04-11,262.5
2006-04-12,264.7
2006-04-13,263.49
2006-04-14,267.9
2006-04-17,269.45
2006-04-18,271.69
2006-04-19,278.29
2006-04-20,276.11
2006-04-21,280.19
2006-04-24,286.97
2006-04-25,285.0
2006-04-26,309.3
2006-04-27,304.7
2006-04-28,310.25
2006-05-02,320.3
2006-05-03,323.36
2006-05-04,332.48
2006-05-05,336.35
2006-05-06,350.25
2006-05-10,331.8
2006-05-11,334.92
2006-05-12,320.2
2006-05-15,301.99
2006-05-16,306.99
2006-05-17,292.2
2006-05-18,283.5
2006-05-19,273.5
2006-05-22,240.68
2006-05-23,267.0
2006-05-24,258.49
2006-05-25,272.4
2006-05-26,291.3
2006-05-29,282.49
2006-05-30,282.9
2006-05-31,283.0
2006-06-01,287.99
2006-06-02,298.9
2006-06-05,297.86
2006-06-06,277.66
2006-06-07,280.4
2006-06-08,251.5
2006-06-09,255.67
2006-06-13,228.0
2006-06-14,244.0
2006-06-15,257.88
2006-06-16,258.17
2006-06-19,259.99
2006-06-20,264.0
2006-06-21,264.0
2006-06-22,259.15
2006-06-23,260.0
2006-06-26,257.9
2006-06-27,266.22
2006-06-28,266.31
2006-06-29,275.5
2006-06-30,281.83
2006-07-03,285.65
2006-07-04,286.8
2006-07-05,273.21
2006-07-06,285.0
2006-07-07,277.85
2006-07-10,280.0
2006-07-11,274.55
2006-07-12,277.01
2006-07-13,261.6
2006-07-14,265.0
2006-07-17,258.12
2006-07-18,262.97
2006-07-19,271.2
2006-07-20,268.3
2006-07-21,266.88
2006-07-24,272.0
2006-07-25,269.77
2006-07-26,270.75
2006-07-27,280.8
2006-07-28,279.55
2006-07-31,277.88
2006-08-01,275.66
2006-08-02,280.51
2006-08-03,284.89
2006-08-04,290.99
2006-08-07,294.49
2006-08-08,294.2
2006-08-09,304.82
2006-08-10,306.05
2006-08-11,313.45
2006-08-14,312.1
2006-08-15,312.4
2006-08-16,312.99
2006-08-17,304.68
2006-08-18,292.4
2006-08-21,300.15
2006-08-22,307.9
2006-08-23,309.17
2006-08-24,308.1
2006-08-25,313.29
2006-08-28,311.2
2006-08-29,310.0
2006-08-30,312.3
2006-08-31,313.45
2006-09-01,309.19
2006-09-04,311.2
2006-09-05,310.65
2006-09-06,302.2
2006-09-07,294.98
2006-09-08,298.01
2006-09-11,284.44
2006-09-12,289.9
2006-09-13,293.99
2006-09-14,292.18
2006-09-15,291.75
2006-09-18,293.82
2006-09-19,294.75
2006-09-20,288.01
2006-09-21,280.8
2006-09-22,272.0
2006-09-25,262.1
2006-09-26,273.91
2006-09-27,276.61
2006-09-28,289.7
2006-09-29,288.0
2006-10-02,290.1
2006-10-03,282.3
2006-10-04,286.19
2006-10-05,295.69
2006-10-06,293.2
2006-10-09,300.18
2006-10-10,294.82
2006-10-11,295.49
2006-10-12,290.6
2006-10-13,298.25
2006-10-16,297.78
2006-10-17,294.0
2006-10-18,299.69
2006-10-19,300.1
2006-10-20,297.2
2006-10-23,293.69
2006-10-24,293.05
2006-10-25,296.25
2006-10-26,291.5
2006-10-27,286.13
2006-10-30,277.28
2006-10-31,282.19
2006-11-01,291.0
2006-11-02,287.99
2006-11-03,291.0
2006-11-07,292.74
2006-11-08,289.7
2006-11-09,292.8
2006-11-10,291.99
2006-11-13,290.97
2006-11-14,293.53
2006-11-15,294.0
2006-11-16,293.64
2006-11-17,288.03
2006-11-20,285.69
2006-11-21,291.4
2006-11-22,288.01
2006-11-23,289.7
2006-11-24,289.99
2006-11-27,288.75
2006-11-28,295.19
2006-11-29,305.45
2006-11-30,305.5
2006-12-01,303.49
2006-12-04,304.99
2006-12-05,308.0
2006-12-06,308.7
2006-12-07,307.8
2006-12-08,305.7
2006-12-11,301.69
2006-12-12,297.1
2006-12-13,297.8
2006-12-14,303.18
2006-12-15,304.7
2006-12-18,302.2
2006-12-19,299.5
2006-12-20,301.5
2006-12-21,305.0
2006-12-22,303.6
2006-12-25,300.7
2006-12-26,299.68
2006-12-27,301.66
2006-12-28,302.33
