TRADEDATE,CLOSE
2008-05-22,2.032
2008-05-23,2.071
2008-05-26,2.086
2008-05-27,2.101
2008-05-28,2.051
2008-05-29,2.104
2008-05-30,2.001
2008-06-02,2.0
2008-06-03,2.101
2008-06-04,2.071
2008-06-05,2.113
2008-06-06,2.001
2008-06-07,1.98
2008-06-09,2.0
2008-06-10,2.002
2008-06-11,2.05
2008-06-16,2.027
2008-06-17,1.981
2008-06-18,1.961
2008-06-19,1.983
2008-06-20,2.0
2008-06-23,2.012
2008-06-24,1.941
2008-06-25,1.911
2008-06-26,2.05
2008-06-27,1.8
2008-06-30,1.838
2008-07-01,1.751
2008-07-02,1.753
2008-07-03,1.74
2008-07-04,1.51
2008-07-07,1.68
2008-07-08,1.603
2008-07-09,1.99
2008-07-10,1.59
2008-07-11,1.519
2008-07-14,1.551
2008-07-15,1.514
2008-07-16,1.7
2008-07-17,1.452
2008-07-18,1.43
2008-07-21,1.451
2008-07-22,1.454
2008-07-23,1.417
2008-07-24,1.401
2008-07-25,1.417
2008-07-28,1.39
2008-07-29,1.381
2008-07-30,1.486
2008-07-31,1.504
2008-08-01,1.549
2008-08-04,1.546
2008-08-05,1.421
2008-08-06,1.508
2008-08-07,1.57
2008-08-08,1.464
2008-08-11,1.485
2008-08-12,1.565
2008-08-13,1.571
2008-08-14,1.7
2008-08-15,1.735
2008-08-18,1.711
2008-08-19,1.602
2008-08-20,1.642
2008-08-21,1.637
2008-08-22,1.62
2008-08-25,1.514
2008-08-26,1.439
2008-08-27,1.258
2008-08-28,1.583
2008-08-29,1.671
2008-09-01,1.64
2008-09-02,1.69
2008-09-03,1.661
2008-09-04,1.63
2008-09-05,1.593
2008-09-08,1.604
2008-09-09,1.168
2008-09-10,1.267
2008-09-11,1.16
2008-09-12,1.135
2008-09-15,0.99
2008-09-16,0.706
2008-09-19,0.85
2008-09-22,0.834
2008-09-23,0.822
2008-09-24,0.782
2008-09-25,0.84
2008-09-26,0.773
2008-09-29,0.751
2008-09-30,0.88
2008-10-01,0.788
2008-10-02,0.801
2008-10-03,0.771
2008-10-06,0.65
2008-10-07,0.629
2008-10-08,0.555
2008-10-09,0.516
2008-10-13,0.476
2008-10-14,0.53
2008-10-15,0.446
2008-10-16,0.32
2008-10-17,0.359
2008-10-20,0.4
2008-10-21,0.427
2008-10-22,0.475
2008-10-23,0.475
2008-10-24,0.409
2008-10-28,0.41
2008-10-29,0.448
2008-10-30,0.474
2008-10-31,0.51
2008-11-01,0.531
2008-11-05,0.599
2008-11-06,0.56
2008-11-07,0.547
2008-11-10,0.564
2008-11-11,0.499
2008-11-13,0.56
2008-11-14,0.548
2008-11-17,0.52
2008-11-18,0.502
2008-11-19,0.465
2008-11-20,0.414
2008-11-21,0.471
2008-11-24,0.627
2008-11-26,0.805
2008-11-28,0.69
2008-12-01,0.667
2008-12-02,0.627
2008-12-03,0.615
2008-12-04,0.626
2008-12-05,0.657
2008-12-08,0.728
2008-12-09,0.673
2008-12-10,0.665
2008-12-11,0.64
2008-12-12,0.605
2008-12-15,0.602
2008-12-16,0.6
2008-12-17,0.64
2008-12-18,0.637
2008-12-19,0.68
2008-12-22,0.66
2008-12-23,0.548
2008-12-24,0.614
2008-12-25,0.575
2008-12-26,0.589
2008-12-29,0.591
2008-12-30,0.584
2008-12-31,0.596
2009-01-11,0.595
2009-01-12,0.635
2009-01-13,0.646
2009-01-14,0.605
2009-01-15,0.595
2009-01-16,0.6
2009-01-19,0.561
2009-01-20,0.525
2009-01-21,0.542
2009-01-22,0.507
2009-01-23,0.583
2009-01-26,0.536
2009-01-27,0.61
2009-01-28,0.64
2009-01-29,0.592
2009-01-30,0.59
2009-02-02,0.558
2009-02-03,0.586
2009-02-04,0.6
2009-02-05,0.601
2009-02-06,0.611
2009-02-09,0.615
2009-02-10,0.618
2009-02-11,0.61
