TRADEDATE,CLOSE
2024-06-04,297.6
2024-06-05,288.0
2024-06-06,297.65
2024-06-07,302.25
2024-06-10,299.0
2024-06-11,293.5
2024-06-13,293.8
2024-06-14,299.0
2024-06-17,298.0
2024-06-18,294.8
2024-06-19,293.1
2024-06-20,292.0
2024-06-21,292.2
2024-06-24,292.5
2024-06-25,294.2
2024-06-26,294.85
2024-06-27,294.95
2024-06-28,289.9
2024-07-01,290.0
2024-07-02,293.3
2024-07-03,291.0
2024-07-04,283.7
2024-07-05,277.0
2024-07-08,268.0
2024-07-09,259.25
2024-07-10,249.45
2024-07-11,262.0
2024-07-12,260.8
2024-07-15,257.4
2024-07-16,257.1
2024-07-17,253.9
2024-07-18,248.45
2024-07-19,249.9
2024-07-22,248.0
2024-07-23,247.85
2024-07-24,251.85
2024-07-25,249.65
2024-07-26,246.55
2024-07-29,235.6
2024-07-30,236.9
2024-07-31,238.0
2024-08-01,242.75
2024-08-02,242.2
2024-08-05,236.8
2024-08-06,233.1
2024-08-07,238.45
2024-08-08,237.9
2024-08-09,234.8
2024-08-12,230.5
2024-08-13,235.85
2024-08-14,231.3
2024-08-15,230.25
2024-08-16,231.95
2024-08-19,228.6
2024-08-20,228.95
2024-08-21,226.6
2024-08-22,223.7
2024-08-23,220.45
2024-08-26,223.2
2024-08-27,221.35
2024-08-28,218.5
2024-08-29,217.65
2024-08-30,208.9
2024-09-02,197.5
2024-09-03,194.75
2024-09-04,197.1
2024-09-05,212.45
2024-09-06,212.0
2024-09-09,219.15
2024-09-10,218.25
2024-09-11,220.95
2024-09-12,213.55
2024-09-13,214.15
2024-09-16,224.2
2024-09-17,223.9
2024-09-18,219.1
2024-09-19,221.3
2024-09-20,222.3
2024-09-23,228.05
2024-09-24,225.8
2024-09-25,218.7
2024-09-26,221.25
2024-09-27,220.5
2024-09-30,221.15
2024-10-01,218.0
2024-10-02,217.0
2024-10-03,212.5
2024-10-04,213.9
2024-10-07,211.8
2024-10-08,211.3
2024-10-09,211.7
2024-10-10,212.25
2024-10-11,210.9
2024-10-14,210.9
2024-10-15,210.85
2024-10-16,208.3
2024-10-17,207.05
2024-10-18,206.8
2024-10-21,207.3
2024-10-22,209.15
2024-10-23,207.75
2024-10-24,208.45
2024-10-25,200.25
2024-10-28,197.4
2024-10-29,198.05
2024-10-30,201.5
2024-10-31,199.8
2024-11-01,204.0
2024-11-02,206.3
2024-11-05,205.45
2024-11-06,207.1
2024-11-07,210.7
2024-11-08,218.75
2024-11-11,219.8
2024-11-12,218.55
2024-11-13,218.45
2024-11-14,212.0
2024-11-15,212.85
2024-11-18,210.9
2024-11-19,205.25
2024-11-20,205.3
2024-11-21,198.9
2024-11-22,199.7
2024-11-25,194.45
2024-11-26,193.45
2024-11-27,191.5
2024-11-28,190.35
2024-11-29,194.6
2024-12-02,194.5
2024-12-03,192.4
2024-12-04,192.1
2024-12-05,192.85
2024-12-06,193.95
2024-12-09,196.5
2024-12-10,192.5
2024-12-11,191.75
2024-12-12,192.0
2024-12-13,192.15
2024-12-16,189.9
2024-12-17,185.7
2024-12-18,187.4
2024-12-19,192.0
2024-12-20,201.8
2024-12-23,199.15
2024-12-24,195.4
2024-12-25,196.85
2024-12-26,196.2
2024-12-27,194.75
2024-12-28,195.0
2024-12-30,198.9
2025-01-03,201.6
2025-01-06,211.35
2025-01-08,222.65
2025-01-09,219.4
2025-01-10,220.9
2025-01-13,219.65
2025-01-14,230.0
2025-01-15,232.6
2025-01-16,232.3
2025-01-17,233.45
2025-01-20,234.7
2025-01-21,229.0
2025-01-22,231.7
2025-01-23,234.7
2025-01-24,235.05
2025-01-27,228.5
2025-01-28,227.15
2025-01-29,227.5
2025-01-30,228.55
2025-01-31,226.75
2025-02-03,222.0
2025-02-04,220.65
2025-02-05,219.85
2025-02-06,221.3
2025-02-07,219.55
2025-02-10,216.75
2025-02-11,216.1
2025-02-12,216.7
2025-02-13,211.0
2025-02-14,208.0
2025-02-17,209.4
2025-02-18,206.0
2025-02-19,205.4
2025-02-20,205.25
2025-02-21,203.8
2025-02-24,203.9
2025-02-25,205.8
2025-02-26,199.4
2025-02-27,193.65
2025-02-28,197.0
2025-03-03,189.35
2025-03-04,201.0
2025-03-05,200.1
2025-03-06,197.2
2025-03-07,194.5
2025-03-10,192.15
2025-03-11,191.1
2025-03-12,187.65
2025-03-13,183.6
2025-03-14,188.75
2025-03-17,195.1
2025-03-18,195.15
2025-03-19,193.95
2025-03-20,192.0
2025-03-21,191.1
2025-03-24,189.95
2025-03-25,187.55
2025-03-26,189.35
2025-03-27,180.4
2025-03-28,178.8
2025-03-31,175.85
2025-04-01,177.1
2025-04-02,175.15
2025-04-03,170.95
2025-04-04,162.65
2025-04-07,151.65
2025-04-08,157.0
2025-04-09,151.5
2025-04-10,150.65
2025-04-11,152.95
2025-04-14,152.7
2025-04-15,151.1
2025-04-16,149.05
2025-04-17,149.3
2025-04-18,147.0
2025-04-21,149.35
2025-04-22,149.45
2025-04-23,148.15
2025-04-24,148.5
2025-04-25,148.35
2025-04-28,148.2
2025-04-29,147.0
2025-04-30,145.8
2025-05-02,141.85
2025-05-05,141.5
2025-05-06,141.95
2025-05-07,141.25
2025-05-08,141.55
2025-05-12,143.25
2025-05-13,150.25
2025-05-14,145.3
2025-05-15,142.2
2025-05-16,137.25
2025-05-19,137.35
2025-05-20,136.5
2025-05-21,133.4
2025-05-22,126.85
2025-05-23,125.8
2025-05-26,123.0
2025-05-27,122.45
2025-05-28,128.0
2025-05-29,125.0
2025-05-30,123.5
2025-06-02,122.7
2025-06-03,124.05
2025-06-04,126.95
2025-06-05,128.65
2025-06-06,125.3
2025-06-09,125.65
2025-06-10,127.9
2025-06-11,129.85
2025-06-13,127.2
2025-06-16,123.2
2025-06-17,124.15
2025-06-18,123.4
2025-06-19,126.05
2025-06-20,124.45
2025-06-23,123.15
2025-06-24,125.0
2025-06-25,127.55
2025-06-26,133.35
2025-06-27,132.3
2025-06-30,136.0
2025-07-01,133.95
2025-07-02,131.1
2025-07-03,127.35
2025-07-04,127.35
2025-07-07,127.85
2025-07-08,124.05
2025-07-09,123.1
2025-07-10,122.2
2025-07-11,120.4
2025-07-14,124.4
2025-07-15,123.2
2025-07-16,122.75
2025-07-17,124.6
2025-07-18,125.9
2025-07-21,125.45
2025-07-22,137.8
2025-07-23,147.1
2025-07-24,188.95
2025-07-25,183.0
2025-07-28,197.0
2025-07-29,184.85
2025-07-30,175.1
2025-07-31,182.6
2025-08-01,177.5
2025-08-04,177.0
2025-08-05,171.3
2025-08-06,168.1
2025-08-07,160.0
2025-08-08,169.7
2025-08-11,172.05
2025-08-12,177.8
2025-08-13,176.15
2025-08-14,175.25
2025-08-15,173.15
2025-08-18,172.75
2025-08-19,171.75
2025-08-20,169.8
2025-08-21,173.75
2025-08-22,172.6
2025-08-25,169.25
2025-08-26,169.25
2025-08-27,169.55
2025-08-28,163.75
2025-08-29,159.55
2025-09-01,161.45
2025-09-02,157.9
2025-09-03,155.8
2025-09-04,155.05
2025-09-05,153.75
2025-09-08,154.2
2025-09-09,187.0
2025-09-10,176.0
2025-09-11,182.2
2025-09-12,174.5
2025-09-15,172.85
2025-09-16,175.25
2025-09-17,173.15
2025-09-18,171.4
2025-09-19,166.05
2025-09-22,168.25
2025-09-23,163.45
2025-09-24,165.45
2025-09-25,163.1
2025-09-26,180.85
2025-09-29,170.3
2025-09-30,167.6
2025-10-01,170.4
2025-10-02,168.3
2025-10-03,152.5
2025-10-06,166.65
2025-10-07,165.7
2025-10-08,160.0
2025-10-09,161.5
2025-10-10,162.0
2025-10-13,161.45
2025-10-14,161.9
2025-10-15,159.15
2025-10-16,164.9
2025-10-17,162.05
2025-10-20,167.15
2025-10-21,161.75
2025-10-22,159.45
2025-10-23,160.35
2025-10-24,158.2
2025-10-27,159.5
2025-10-28,159.5
2025-10-29,159.3
2025-10-30,160.35
2025-10-31,169.0
2025-11-01,165.85
2025-11-03,165.95
2025-11-05,168.0
2025-11-06,168.2
2025-11-07,166.95
2025-11-10,167.05
2025-11-11,165.15
2025-11-12,162.65
2025-11-13,162.45
2025-11-14,160.15
2025-11-17,158.5
2025-11-18,160.3
2025-11-19,163.35
2025-11-20,164.25
2025-11-21,162.45
