TRADEDATE,CLOSE
2005-02-09,13.8
2005-02-10,14.0
2005-02-11,14.5
2005-02-14,17.49
2005-02-15,23.0
2005-02-16,16.7
2005-02-17,16.75
2005-02-18,16.98
2005-02-21,16.9
2005-02-22,16.78
2005-02-24,16.73
2005-02-25,16.75
2005-02-28,16.3
2005-03-01,16.75
2005-03-02,16.5
2005-03-03,16.5
2005-03-04,16.5
2005-03-05,16.5
2005-03-09,16.4
2005-03-10,16.25
2005-03-11,16.25
2005-03-14,16.1
2005-03-15,16.0
2005-03-17,16.0
2005-03-18,16.0
2005-03-21,15.9
2005-03-22,16.0
2005-03-23,16.1
2005-03-24,15.8
2005-03-25,15.8
2005-03-28,15.85
2005-03-29,15.8
2005-03-30,15.28
2005-03-31,15.7
2005-04-01,16.0
2005-04-04,15.26
2005-04-05,15.32
2005-04-06,15.95
2005-04-07,16.0
2005-04-08,15.97
2005-04-11,15.16
2005-04-12,15.03
2005-04-13,16.5
2005-04-14,16.15
2005-04-15,15.8
2005-04-18,15.05
2005-04-19,15.45
2005-04-20,15.3
2005-04-21,15.29
2005-04-22,15.22
2005-04-25,14.74
2005-04-26,14.75
2005-04-27,14.56
2005-04-28,14.97
2005-04-29,15.0
2005-05-04,15.0
2005-05-05,15.6
2005-05-13,15.0
2005-05-14,14.16
2005-05-16,14.0
2005-05-17,14.0
2005-05-18,15.4
2005-05-19,15.5
2005-05-20,15.86
2005-05-23,15.25
2005-05-24,15.8
2005-05-27,14.51
2005-05-30,15.0
2005-05-31,15.54
2005-06-01,15.0
2005-06-02,15.85
2005-06-06,15.7
2005-06-07,15.47
2005-06-08,15.3
2005-06-09,15.06
2005-06-10,15.49
2005-06-14,15.3
2005-06-17,15.11
2005-06-20,15.35
2005-06-21,15.1
2005-06-22,15.2
2005-06-23,15.4
2005-06-24,15.39
2005-06-27,15.03
2005-06-28,15.2
2005-06-29,14.66
2005-06-30,13.75
2005-07-01,15.03
2005-07-04,15.22
2005-07-05,15.73
2005-07-06,15.31
2005-07-07,15.45
2005-07-08,15.66
2005-07-11,15.87
2005-07-12,16.0
2005-07-14,15.75
2005-07-18,16.65
2005-07-19,17.35
