TRADEDATE,CLOSE
2014-03-06,343.4
2014-03-07,349.0
2014-03-11,337.5
2014-03-12,328.0
2014-03-13,324.6
2014-03-14,311.9
2014-03-17,303.0
2014-03-18,327.0
2014-03-19,329.2
2014-03-20,329.01
2014-03-21,329.0
2014-03-24,333.0
2014-03-25,331.0
2014-03-26,333.0
2014-03-27,334.0
2014-03-28,334.01
2014-03-31,345.0
2014-04-01,338.0
2014-04-02,348.45
2014-04-03,352.1
2014-04-04,355.0
2014-04-07,356.0
2014-04-08,352.93
2014-04-09,352.8
2014-04-10,353.05
2014-04-11,354.0
2014-04-14,352.5
2014-04-15,343.15
2014-04-16,343.0
2014-04-17,354.3
2014-04-18,362.5
2014-04-21,353.5
2014-04-22,345.3
2014-04-23,342.99
2014-04-24,338.0
2014-04-25,338.0
2014-04-28,337.3
2014-04-29,342.3
2014-04-30,342.5
2014-05-02,339.0
2014-05-05,341.48
2014-05-06,342.0
2014-05-07,344.3
2014-05-08,349.9
2014-05-12,350.0
2014-05-13,349.0
2014-05-14,349.99
2014-05-15,346.5
2014-05-16,347.0
2014-05-19,339.3
2014-05-20,338.0
2014-05-21,337.5
2014-05-22,358.5
2014-05-23,361.0
2014-05-26,363.5
2014-05-27,368.45
2014-05-28,385.0
2014-05-29,411.0
2014-05-30,414.5
2014-06-02,415.0
2014-06-03,419.0
2014-06-04,429.0
2014-06-05,419.0
2014-06-06,413.0
2014-06-09,400.0
2014-06-10,412.0
2014-06-11,418.0
2014-06-16,422.0
2014-06-17,427.0
2014-06-18,425.0
2014-06-19,424.8
2014-06-20,431.5
2014-06-23,431.98
2014-06-24,438.0
2014-06-25,440.0
2014-06-26,449.58
2014-06-27,442.4
2014-06-30,438.2
2014-07-01,438.99
2014-07-02,429.9
2014-07-03,428.99
2014-07-04,426.97
2014-07-07,440.99
2014-07-08,435.0
2014-07-09,432.0
2014-07-10,429.03
2014-07-11,455.0
2014-07-14,465.73
2014-07-15,490.07
2014-07-16,478.0
2014-07-17,460.0
2014-07-18,462.0
2014-07-21,455.0
2014-07-22,461.0
2014-07-23,482.23
2014-07-24,470.0
2014-07-25,457.0
2014-07-28,446.0
2014-07-29,452.01
2014-07-30,450.0
2014-07-31,435.0
2014-08-01,432.98
2014-08-04,430.0
2014-08-05,433.11
2014-08-06,420.0
2014-08-07,403.0
2014-08-08,407.0
2014-08-11,414.98
2014-08-12,419.99
2014-08-13,422.0
2014-08-14,422.0
2014-08-15,426.15
2014-08-18,434.96
2014-08-19,443.0
2014-08-20,460.0
2014-08-21,456.99
2014-08-22,440.0
2014-08-25,446.99
2014-08-26,446.0
2014-08-27,450.31
2014-08-28,435.49
2014-08-29,439.97
2014-09-01,425.0
2014-09-02,430.0
2014-09-03,440.99
2014-09-04,434.98
2014-09-05,438.99
2014-09-08,444.0
2014-09-09,444.19
2014-09-10,444.93
2014-09-11,442.12
2014-09-12,420.01
2014-09-15,426.0
2014-09-16,434.0
2014-09-17,428.97
2014-09-18,438.97
2014-09-19,433.0
2014-09-22,432.01
2014-09-23,432.1
2014-09-24,422.17
2014-09-25,439.0
2014-09-26,441.01
2014-09-29,430.05
2014-09-30,432.98
2014-10-01,426.0
2014-10-02,437.0
2014-10-03,431.0
2014-10-06,433.0
2014-10-07,432.0
2014-10-08,438.0
2014-10-09,437.0
2014-10-10,439.0
2014-10-13,441.0
2014-10-14,418.0
2014-10-15,404.0
2014-10-16,391.0
2014-10-17,401.0
2014-10-20,418.0
2014-10-21,421.0
2014-10-22,421.0
2014-10-23,425.0
2014-10-24,421.0
2014-10-27,417.0
2014-10-28,416.0
2014-10-29,421.0
2014-10-30,416.0
2014-10-31,420.0
2014-11-03,423.0
2014-11-05,427.0
2014-11-06,431.0
2014-11-07,417.0
2014-11-10,417.0
2014-11-11,417.0
2014-11-12,412.0
2014-11-13,407.0
2014-11-14,413.0
2014-11-17,409.0
2014-11-18,406.0
2014-11-19,398.0
2014-11-20,397.0
2014-11-21,388.0
2014-11-24,382.0
2014-11-25,390.0
2014-11-26,399.0
2014-11-27,399.0
2014-11-28,390.0
2014-12-01,381.0
2014-12-02,379.0
2014-12-03,374.0
2014-12-04,376.0
2014-12-05,375.0
2014-12-08,369.0
2014-12-09,350.0
2014-12-10,350.0
2014-12-11,367.0
2014-12-12,381.0
2014-12-15,423.0
2014-12-16,449.0
2014-12-17,379.0
2014-12-18,375.0
2014-12-19,391.0
2014-12-22,419.0
2014-12-23,405.0
2014-12-24,385.0
2014-12-25,381.0
2014-12-26,390.0
2014-12-29,375.0
2014-12-30,364.0
2015-01-05,400.0
2015-01-06,402.0
2015-01-08,416.0
2015-01-09,400.0
2015-01-12,410.0
2015-01-13,451.0
2015-01-14,449.0
2015-01-15,427.0
2015-01-16,434.0
2015-01-19,426.0
2015-01-20,426.0
2015-01-21,423.0
2015-01-22,425.0
2015-01-23,419.0
2015-01-26,414.0
2015-01-27,420.0
2015-01-28,403.0
2015-01-29,388.0
2015-01-30,405.0
2015-02-02,381.0
2015-02-03,383.0
2015-02-04,380.0
2015-02-05,370.0
2015-02-06,377.0
2015-02-09,381.0
2015-02-10,374.0
2015-02-11,380.0
2015-02-12,399.0
2015-02-13,430.0
2015-02-16,439.0
2015-02-17,433.0
2015-02-18,426.0
2015-02-19,434.0
2015-02-20,458.0
2015-02-24,470.0
2015-02-25,463.0
2015-02-26,452.0
2015-02-27,452.0
2015-03-02,449.0
2015-03-03,436.0
2015-03-04,412.0
2015-03-05,404.0
2015-03-06,388.0
2015-03-10,391.0
2015-03-11,379.0
2015-03-12,412.0
2015-03-13,428.0
2015-03-16,423.0
2015-03-17,427.0
2015-03-18,409.0
2015-03-19,405.0
2015-03-20,407.0
