TRADEDATE,CLOSE
2003-08-20,581.0
2003-08-21,589.5
2003-08-22,589.0
2003-08-25,586.5
2003-08-26,581.0
2003-08-27,589.0
2003-08-28,592.6
2003-08-29,595.99
2003-09-01,601.3
2003-09-02,601.0
2003-09-03,592.05
2003-09-04,599.59
2003-09-05,578.0
2003-09-08,573.0
2003-09-09,572.97
2003-09-10,580.85
2003-09-11,586.0
2003-09-12,589.2
2003-09-15,595.01
2003-09-16,596.49
2003-09-17,589.23
2003-09-18,582.56
2003-09-19,567.0
2003-09-22,562.51
2003-09-23,593.99
2003-09-24,598.0
2003-09-25,592.8
2003-09-26,596.0
2003-09-29,623.69
2003-09-30,625.9
2003-10-01,637.61
2003-10-02,659.7
2003-10-03,684.31
2003-10-06,694.85
2003-10-07,713.0
2003-10-08,715.0
2003-10-09,702.0
2003-10-10,683.0
2003-10-13,693.0
2003-10-14,689.0
2003-10-15,683.5
2003-10-16,695.3
2003-10-17,721.0
2003-10-20,695.5
2003-10-21,681.5
2003-10-22,653.5
2003-10-23,646.52
2003-10-24,652.5
2003-10-27,625.0
2003-10-28,644.0
2003-10-29,630.12
2003-10-30,584.0
2003-10-31,609.5
2003-11-03,658.99
2003-11-04,654.0
2003-11-05,637.0
2003-11-06,634.65
2003-11-10,643.52
2003-11-11,635.0
2003-11-12,632.0
2003-11-13,633.97
2003-11-14,621.61
2003-11-17,604.0
2003-11-18,584.9
2003-11-19,580.02
2003-11-20,602.0
2003-11-21,615.0
2003-11-24,628.0
2003-11-25,638.3
2003-11-26,643.48
2003-11-27,649.0
2003-11-28,642.32
2003-12-01,636.11
2003-12-02,643.01
2003-12-03,661.4
2003-12-04,648.92
2003-12-05,653.0
2003-12-08,653.99
2003-12-09,681.0
2003-12-10,673.0
2003-12-11,675.0
2003-12-15,679.78
2003-12-16,656.6
2003-12-17,649.7
2003-12-18,649.0
2003-12-19,663.2
2003-12-22,664.98
2003-12-23,670.5
2003-12-24,664.0
2003-12-25,673.0
2003-12-26,669.81
2003-12-29,675.0
2003-12-30,677.0
2004-01-05,718.02
2004-01-06,718.0
2004-01-08,700.0
2004-01-09,714.89
2004-01-12,700.21
2004-01-13,703.0
2004-01-14,709.0
2004-01-15,687.8
2004-01-16,691.8
2004-01-19,705.0
2004-01-20,718.0
2004-01-21,733.48
2004-01-22,732.0
2004-01-23,742.9
2004-01-26,740.37
2004-01-27,751.6
2004-01-28,738.0
2004-01-29,742.1
2004-01-30,736.0
2004-02-02,722.0
2004-02-03,729.9
2004-02-04,740.49
2004-02-05,721.5
2004-02-06,726.97
2004-02-09,722.99
2004-02-10,723.8
2004-02-11,730.0
2004-02-12,744.99
2004-02-13,751.6
2004-02-16,757.9
2004-02-17,763.01
2004-02-18,768.79
2004-02-19,756.4
2004-02-20,765.0
2004-02-24,773.89
2004-02-25,773.69
2004-02-26,790.5
2004-02-27,801.8
2004-03-01,828.49
2004-03-02,819.4
2004-03-03,823.0
2004-03-04,830.5
2004-03-05,837.0
2004-03-09,839.1
2004-03-10,822.94
2004-03-11,808.93
2004-03-12,816.3
2004-03-15,803.01
2004-03-16,817.02
