TRADEDATE,CLOSE
2007-11-30,1768.0
2007-12-27,1787.0
2008-02-20,1658.0
2008-02-21,1650.0
2008-03-03,1763.0
2008-03-04,1800.0
2008-03-11,1807.0
2008-03-12,1859.0
2008-03-13,2000.0
2008-03-14,2000.0
2008-03-17,2100.0
2008-03-18,1791.0
2008-03-19,2000.0
2008-03-20,1710.0
2008-03-21,1712.0
2008-03-24,1813.0
2008-03-25,1833.0
2008-03-27,1880.0
2008-03-28,1774.0
2008-04-01,1700.0
2008-04-07,1715.0
2008-04-11,1899.0
2008-04-16,1800.0
2008-04-21,1890.0
2008-04-22,1785.0
2008-04-24,1750.0
2008-04-25,1800.0
2008-04-28,1800.0
2008-04-29,1800.0
2008-04-30,1750.0
2008-05-07,1845.0
2008-05-12,1890.0
2008-05-13,1890.0
2008-05-14,1950.0
2008-05-16,1920.01
2008-05-19,1855.0
2008-05-20,1880.0
2008-05-21,1860.0
2008-05-22,1900.0
2008-05-26,1980.0
2008-05-27,1980.0
2008-05-28,1915.0
2008-05-29,1900.0
2008-05-30,1900.0
2008-06-02,1932.0
2008-06-04,1790.0
2008-06-05,1770.0
2008-06-06,1850.0
2008-06-09,1745.0
2008-06-10,1699.0
2008-06-11,1700.0
2008-06-16,1700.0
2008-06-17,1736.0
2008-06-18,1700.0
2008-06-19,1699.0
2008-06-20,1730.0
2008-06-23,1750.0
2008-06-24,1720.0
2008-06-25,1700.0
2008-06-26,1710.0
2008-06-27,1650.0
2008-06-30,1635.0
2008-07-01,1636.0
2008-07-02,1550.0
2008-07-03,1540.05
2008-07-04,1550.0
2008-07-07,1650.0
2008-07-08,1600.0
2008-07-11,1490.0
2008-07-15,1490.0
2008-07-16,1480.0
2008-07-17,1600.0
2008-07-18,1500.0
2008-07-21,1400.0
2008-07-22,1366.67
2008-07-23,1390.0
2008-07-24,1370.0
2008-07-28,1359.0
2008-07-29,1448.99
2008-07-30,1445.99
2008-07-31,1538.96
2008-08-06,1640.0
2008-08-11,1211.0
2008-08-12,1477.58
2008-08-13,1330.0
2008-08-14,1450.0
2008-08-15,1499.0
2008-08-19,1600.0
2008-08-20,1495.0
2008-08-21,1550.0
2008-08-22,1300.0
2008-08-29,1150.0
2008-09-02,1300.0
2008-09-04,1400.0
2008-09-08,1398.02
2008-09-09,1400.0
2008-09-10,1120.0
2008-09-11,1395.0
2008-09-12,1200.0
2008-09-15,1320.0
2008-09-19,1015.31
2008-09-22,1118.88
2008-10-02,1118.88
2008-10-03,1118.88
2008-10-07,839.16
2008-10-13,797.68
2008-10-15,797.68
2008-10-16,797.68
2008-10-29,797.68
2008-11-01,797.68
2008-11-05,797.68
2008-11-06,800.0
2008-11-10,599.05
2008-11-14,396.41
2008-11-17,396.15
2008-11-18,396.15
2008-11-19,396.15
2008-11-25,145.0
2008-11-27,155.0
2008-11-28,138.0
2008-12-01,130.0
2008-12-02,132.5
2008-12-03,108.0
2008-12-04,110.0
2008-12-05,110.0
2008-12-08,115.0
2008-12-09,119.0
2008-12-10,114.0
2008-12-11,110.0
2008-12-12,111.0
2008-12-15,115.15
2008-12-16,118.0
2008-12-17,122.0
2008-12-18,127.27
2008-12-19,130.0
2008-12-22,128.0
2008-12-23,117.0
2008-12-24,130.0
2008-12-26,128.0
2008-12-29,128.0
2008-12-30,125.0
2008-12-31,122.0
2009-01-11,140.01
2009-01-12,150.0
2009-01-13,154.99
2009-01-14,150.0
2009-01-15,145.0
2009-01-16,155.0
2009-01-19,139.0
2009-01-20,131.51
2009-01-21,135.0
2009-01-22,130.0
2009-01-23,130.0
2009-01-26,123.0
2009-01-27,121.0
2009-01-28,129.0
2009-01-30,130.0
2009-02-02,130.0
2009-02-03,118.5
2009-02-04,114.0
2009-02-05,117.0
2009-02-06,117.0
2009-02-09,119.0
2009-02-10,125.0
2009-02-11,125.0
2009-02-12,117.51
2009-02-13,118.1
2009-02-16,122.0
2009-02-17,115.0
2009-02-18,111.0
2009-02-19,110.0
2009-02-20,110.0
2009-02-24,116.15
2009-02-25,120.0
2009-02-26,122.0
2009-02-27,116.0
2009-03-02,110.0
2009-03-03,111.0
2009-03-04,110.0
2009-03-05,115.0
2009-03-06,112.0
2009-03-10,118.5
2009-03-11,113.0
2009-03-12,112.0
2009-03-13,114.0
2009-03-16,111.0
2009-03-17,114.8
2009-03-18,111.61
2009-03-19,125.25
2009-03-20,134.0
2009-03-23,138.5
2009-03-24,131.85
2009-03-25,135.48
2009-03-26,143.01
2009-03-27,157.98
2009-03-30,145.0
2009-03-31,152.0
2009-04-01,145.52
2009-04-02,153.0
2009-04-03,155.0
2009-04-06,155.0
2009-04-07,152.5
2009-04-08,155.0
2009-04-09,190.0
2009-04-10,190.11
2009-04-13,213.99
2009-04-14,255.5
2009-04-15,258.95
2009-04-16,260.0
2009-04-17,299.0
2009-04-20,272.97
2009-04-21,255.0
2009-04-22,263.0
2009-04-23,307.0
2009-04-24,302.2
2009-04-27,297.99
2009-04-28,280.0
2009-04-29,307.0
2009-04-30,313.06
2009-05-04,320.0
2009-05-05,325.0
2009-05-06,324.0
2009-05-07,378.97
2009-05-08,394.8
2009-05-12,389.96
2009-05-13,381.57
2009-05-14,369.99
2009-05-15,390.0
2009-05-18,383.0
2009-05-19,389.94
2009-05-20,394.98
2009-05-21,373.97
2009-05-22,367.51
2009-05-25,359.84
2009-05-26,352.0
2009-05-27,349.0
2009-05-28,340.0
2009-05-29,368.94
2009-06-01,357.4
2009-06-02,379.96
2009-06-03,374.98
2009-06-04,375.98
2009-06-05,389.2
2009-06-08,383.97
2009-06-09,374.96
2009-06-10,384.97
2009-06-11,386.0
2009-06-15,357.0
2009-06-16,365.0
2009-06-17,350.0
2009-06-18,346.57
2009-06-19,351.0
2009-06-22,330.0
2009-06-23,299.99
2009-06-24,309.5
2009-06-25,316.0
2009-06-26,315.0
2009-06-29,313.0
2009-06-30,318.94
2009-07-01,310.0
2009-07-02,306.72
2009-07-03,303.03
2009-07-06,300.0
2009-07-07,298.05
2009-07-08,291.27
2009-07-09,293.93
2009-07-10,278.0
2009-07-13,280.82
2009-07-14,303.0
2009-07-15,310.97
2009-07-16,309.5
2009-07-17,300.0
2009-07-20,297.02
2009-07-21,280.0
2009-07-22,290.0
2009-07-23,315.0
2009-07-24,310.0
2009-07-27,327.0
2009-07-28,340.0
2009-07-29,404.86
2009-07-30,393.94
2009-07-31,390.0
2009-08-03,390.0
2009-08-04,388.97
2009-08-05,395.1
2009-08-06,428.27
2009-08-07,405.02
2009-08-10,412.69
2009-08-11,407.97
2009-08-12,403.99
2009-08-13,400.13
2009-08-14,400.01
2009-08-17,388.96
2009-08-18,386.45
2009-08-19,382.0
2009-08-20,388.7
2009-08-21,406.97
2009-08-24,400.21
2009-08-25,409.9
2009-08-26,410.21
2009-08-27,409.0
2009-08-28,468.0
2009-08-31,438.95
2009-09-01,436.0
2009-09-02,430.0
2009-09-03,430.0
2009-09-04,435.0
2009-09-07,439.0
2009-09-08,439.97
2009-09-09,438.0
2009-09-10,484.29
2009-09-11,496.5
2009-09-14,489.95
2009-09-15,475.0
2009-09-16,507.89
2009-09-17,630.0
2009-09-18,625.0
2009-09-21,585.0
2009-09-22,645.0
2009-09-23,603.0
2009-09-24,579.0
2009-09-25,578.0
2009-09-28,579.62
2009-09-29,564.9
2009-09-30,589.98
2009-10-01,600.0
2009-10-02,573.0
2009-10-05,554.0
2009-10-06,564.74
2009-10-07,598.9
2009-10-08,545.0
2009-10-09,550.0
2009-10-12,547.0
2009-10-13,533.0
2009-10-14,546.08
2009-10-15,551.0
2009-10-16,556.99
2009-10-19,569.98
2009-10-20,582.99
2009-10-21,565.0
2009-10-22,551.91
2009-10-23,549.3
2009-10-26,561.01
2009-10-27,533.33
2009-10-28,505.0
2009-10-29,518.99
2009-10-30,505.0
2009-11-02,514.98
2009-11-03,504.0
2009-11-05,514.0
2009-11-06,515.99
2009-11-09,518.0
2009-11-10,518.0
2009-11-11,513.0
2009-11-12,513.0
2009-11-13,512.0
2009-11-16,520.0
2009-11-17,528.0
2009-11-18,523.5
2009-11-19,527.5
2009-11-20,527.3
2009-11-23,524.98
2009-11-24,523.95
2009-11-25,522.0
2009-11-26,523.0
2009-11-27,521.79
2009-11-30,526.94
2009-12-01,518.0
2009-12-02,517.0
2009-12-03,513.5
2009-12-04,512.73
2009-12-07,510.91
2009-12-08,505.98
2009-12-09,506.0
2009-12-10,506.0
2009-12-11,506.0
2009-12-14,501.56
2009-12-15,501.0
2009-12-16,507.0
2009-12-17,524.0
2009-12-18,550.0
2009-12-21,563.0
2009-12-22,571.99
2009-12-23,570.5
2009-12-24,568.88
2009-12-25,565.0
2009-12-28,562.99
2009-12-29,572.0
2009-12-30,573.99
2009-12-31,578.0
2010-01-11,591.0
2010-01-12,596.0
2010-01-13,595.0
2010-01-14,594.0
2010-01-15,628.98
2010-01-18,630.0
2010-01-19,683.98
2010-01-20,734.99
2010-01-21,720.0
2010-01-22,681.0
2010-01-25,678.0
2010-01-26,659.99
2010-01-27,653.0
2010-01-28,709.39
2010-01-29,739.0
2010-02-01,720.0
2010-02-02,770.0
2010-02-03,800.15
2010-02-04,759.99
2010-02-05,751.0
2010-02-08,746.0
2010-02-09,759.0
2010-02-10,764.33
2010-02-11,759.55
2010-02-12,810.0
2010-02-15,854.5
2010-02-16,875.0
2010-02-17,867.93
2010-02-18,874.75
2010-02-19,848.0
2010-02-24,884.0
2010-02-25,908.25
2010-02-26,910.0
2010-02-27,930.0
2010-03-01,916.0
2010-03-02,900.0
2010-03-03,926.5
2010-03-04,927.95
2010-03-05,944.0
2010-03-09,925.0
2010-03-10,920.32
2010-03-11,922.5
2010-03-12,964.0
2010-03-15,993.99
2010-03-16,985.9
2010-03-17,968.45
2010-03-18,987.98
2010-03-19,994.9
2010-03-22,995.5
2010-03-23,1000.0
2010-03-24,1014.99
2010-03-25,1031.0
2010-03-26,1080.0
2010-03-29,1108.79
2010-03-30,1099.99
2010-03-31,1079.01
2010-04-01,1090.0
2010-04-02,1077.0
2010-04-05,1067.14
2010-04-06,1105.0
2010-04-07,1100.0
2010-04-08,1109.9
2010-04-09,1115.0
2010-04-12,1147.0
2010-04-13,1189.89
2010-04-14,1218.99
2010-04-15,1199.11
2010-04-16,1169.0
2010-04-19,1170.0
2010-04-20,1175.0
2010-04-21,1144.9
2010-04-22,1106.61
2010-04-23,1103.0
2010-04-26,1099.0
2010-04-27,1073.29
2010-04-28,1035.5
2010-04-29,1066.3
2010-04-30,1062.0
2010-05-04,1004.97
2010-05-05,968.51
2010-05-06,924.0
2010-05-07,874.0
2010-05-11,906.0
2010-05-12,965.2
2010-05-13,970.0
2010-05-14,940.01
2010-05-17,940.0
2010-05-18,978.99
2010-05-19,942.94
2010-05-20,870.0
2010-05-21,867.99
2010-05-24,900.0
2010-05-25,791.25
2010-05-26,857.89
2010-05-27,901.01
2010-05-28,884.2
2010-05-31,889.79
2010-06-01,890.0
2010-06-02,880.0
2010-06-03,910.1
2010-06-04,886.0
2010-06-07,879.0
2010-06-08,864.0
2010-06-09,876.76
2010-06-10,881.98
2010-06-11,872.99
2010-06-15,870.0
2010-06-16,860.0
2010-06-17,860.49
2010-06-18,835.0
2010-06-21,872.0
2010-06-22,865.0
2010-06-23,864.99
2010-06-24,864.13
2010-06-25,810.0
2010-06-28,800.0
2010-06-29,782.5
2010-06-30,790.0
2010-07-01,756.0
2010-07-02,759.23
2010-07-05,756.99
2010-07-06,782.0
2010-07-07,809.98
2010-07-08,826.99
2010-07-09,821.03
2010-07-12,810.99
2010-07-13,839.95
2010-07-14,837.0
2010-07-15,834.0
2010-07-16,845.0
2010-07-19,849.02
2010-07-20,833.52
2010-07-21,855.0
2010-07-22,853.0
2010-07-23,861.0
2010-07-26,858.0
2010-07-27,849.99
2010-07-28,848.5
2010-07-29,859.0
2010-07-30,849.0
2010-08-02,890.0
2010-08-03,894.95
2010-08-04,895.0
2010-08-05,890.0
2010-08-06,879.99
2010-08-09,882.0
2010-08-10,864.0
2010-08-11,838.22
2010-08-12,833.0
2010-08-13,837.0
2010-08-16,834.0
2010-08-17,846.0
2010-08-18,840.0
2010-08-19,840.23
2010-08-20,844.0
2010-08-23,830.1
2010-08-24,816.84
2010-08-25,824.0
2010-08-26,838.89
2010-08-27,845.9
2010-08-30,852.32
2010-08-31,850.0
2010-09-01,868.59
2010-09-02,866.99
2010-09-03,892.85
2010-09-06,898.0
2010-09-07,870.0
2010-09-08,880.0
2010-09-09,889.97
2010-09-10,882.02
2010-09-13,875.0
2010-09-14,862.46
2010-09-15,860.0
2010-09-16,858.97
2010-09-17,854.99
2010-09-20,850.0
2010-09-21,862.53
2010-09-22,843.0
2010-09-23,834.39
2010-09-24,835.69
2010-09-27,820.0
2010-09-28,804.98
2010-09-29,806.6
2010-09-30,822.0
2010-10-01,817.0
2010-10-04,829.0
2010-10-05,821.0
2010-10-06,815.42
2010-10-07,808.43
2010-10-08,806.02
2010-10-11,830.0
2010-10-12,860.0
2010-10-13,865.0
2010-10-14,872.33
2010-10-15,861.0
2010-10-18,868.98
2010-10-19,854.05
2010-10-20,843.05
2010-10-21,835.0
2010-10-22,832.0
2010-10-25,838.99
2010-10-26,844.75
2010-10-27,841.0
2010-10-28,839.93
2010-10-29,841.53
2010-11-01,861.6
2010-11-02,851.4
2010-11-03,859.81
2010-11-08,860.14
2010-11-09,874.0
2010-11-10,869.5
2010-11-11,861.5
2010-11-12,853.44
2010-11-13,851.86
2010-11-15,854.39
2010-11-16,846.35
2010-11-17,843.0
2010-11-18,858.0
2010-11-19,858.0
2010-11-22,857.32
2010-11-23,867.5
2010-11-24,869.0
2010-11-25,875.0
2010-11-26,870.0
2010-11-29,875.1
2010-11-30,880.0
2010-12-01,921.0
2010-12-02,944.0
2010-12-03,988.0
2010-12-06,1010.01
2010-12-07,1005.0
2010-12-08,1000.03
2010-12-09,1002.0
2010-12-10,1010.0
2010-12-13,1026.0
2010-12-14,1059.99
2010-12-15,1036.98
2010-12-16,1019.89
2010-12-17,1022.0
2010-12-20,1025.55
2010-12-21,1029.0
2010-12-22,1019.7
2010-12-23,1019.59
2010-12-24,1015.0
2010-12-27,1014.78
2010-12-28,1010.0
2010-12-29,1021.0
2010-12-30,1028.0
2011-01-11,1086.98
2011-01-12,1084.85
2011-01-13,1071.04
2011-01-14,1126.98
2011-01-17,1114.0
2011-01-18,1146.28
2011-01-19,1113.33
2011-01-20,1077.02
2011-01-21,1123.85
2011-01-24,1092.98
2011-01-25,1085.0
2011-01-26,1106.0
2011-01-27,1115.0
2011-01-28,1075.0
2011-01-31,1091.6
2011-02-01,1119.0
2011-02-02,1115.07
2011-02-03,1111.21
2011-02-04,1129.99
2011-02-07,1157.5
2011-02-08,1125.14
2011-02-09,1116.53
2011-02-10,1089.95
2011-02-11,1120.05
2011-02-14,1120.12
2011-02-15,1144.0
2011-02-16,1158.5
2011-02-17,1201.99
2011-02-18,1210.0
2011-02-21,1230.0
2011-02-22,1191.93
2011-02-24,1155.0
2011-02-25,1188.9
2011-02-28,1225.93
2011-03-01,1199.9
2011-03-02,1210.0
2011-03-03,1215.3
2011-03-04,1215.9
2011-03-05,1210.1
2011-03-09,1210.0
2011-03-10,1180.0
2011-03-11,1170.0
2011-03-14,1160.0
2011-03-15,1091.2
2011-03-16,1090.0
2011-03-17,1091.1
2011-03-18,1095.0
2011-03-21,1100.0
2011-03-22,1100.0
2011-03-23,1100.0
2011-03-24,1129.0
2011-03-25,1150.1
2011-03-28,1149.9
2011-03-29,1149.0
2011-03-30,1176.8
2011-03-31,1175.0
2011-04-01,1190.0
2011-04-04,1191.0
2011-04-05,1180.0
2011-04-06,1182.0
2011-04-07,1171.0
2011-04-08,1167.6
2011-04-11,1159.3
2011-04-12,1145.0
2011-04-13,1136.2
2011-04-14,1134.3
2011-04-15,1123.7
2011-04-18,1082.0
2011-04-19,1080.5
2011-04-20,1110.7
2011-04-21,1104.0
2011-04-22,1108.0
2011-04-25,1110.0
2011-04-26,1098.0
2011-04-27,1097.9
2011-04-28,1120.0
2011-04-29,1090.0
2011-05-03,1100.0
2011-05-04,1044.0
2011-05-05,1060.0
2011-05-06,1040.0
2011-05-10,1030.0
2011-05-11,1022.2
2011-05-12,1010.0
2011-05-13,1011.1
2011-05-16,1000.1
2011-05-17,1025.0
2011-05-18,1029.7
2011-05-19,1035.1
2011-05-20,1024.9
2011-05-23,1002.0
2011-05-24,1012.0
2011-05-25,1010.0
2011-05-26,1022.0
2011-05-27,1030.0
2011-05-30,1045.0
2011-05-31,1029.0
2011-06-01,1010.0
2011-06-02,1004.0
2011-06-03,998.5
2011-06-06,993.0
2011-06-07,994.8
2011-06-08,984.0
2011-06-09,985.0
2011-06-10,979.9
2011-06-14,987.9
2011-06-15,983.1
2011-06-16,970.0
2011-06-17,972.8
2011-06-20,965.1
2011-06-21,967.1
2011-06-22,963.5
2011-06-23,940.0
2011-06-24,950.0
2011-06-27,940.1
2011-06-28,947.4
2011-06-29,949.8
2011-06-30,970.0
2011-07-01,1028.1
2011-07-04,1030.1
2011-07-05,1029.0
2011-07-06,1023.5
2011-07-07,1035.0
