TRADEDATE,CLOSE
2006-01-18,19.0
2006-01-19,16.0
2006-01-20,15.5
2006-01-23,15.15
2006-01-24,15.5
2006-01-25,14.99
2006-01-26,15.14
2006-01-27,15.5
2006-01-30,17.18
2006-01-31,16.67
2006-02-01,16.5
2006-02-02,16.5
2006-02-03,16.49
2006-02-06,17.29
2006-02-07,25.11
2006-02-08,20.37
2006-02-09,20.51
2006-02-10,20.0
2006-02-13,18.0
2006-02-14,17.65
2006-02-15,18.34
2006-02-16,18.35
2006-02-17,19.0
2006-02-20,19.0
2006-02-21,18.79
2006-02-22,20.0
2006-02-26,20.96
2006-02-27,20.3
2006-02-28,19.98
2006-03-01,19.75
2006-03-02,20.1
2006-03-03,20.12
2006-03-06,19.9
2006-03-07,19.4
2006-03-09,18.6
2006-03-10,19.18
2006-03-13,19.2
2006-03-14,18.6
2006-03-15,18.98
2006-03-16,18.99
2006-03-17,18.93
2006-03-20,18.55
2006-03-21,19.15
2006-03-22,19.85
2006-03-23,20.0
2006-03-24,20.25
2006-03-27,20.1
2006-03-28,20.02
2006-03-29,20.0
2006-03-30,20.45
2006-03-31,21.3
2006-04-03,21.35
2006-04-04,21.0
2006-04-05,21.42
2006-04-06,21.2
2006-04-07,21.0
2006-04-10,20.97
2006-04-11,20.5
2006-04-12,20.33
2006-04-13,20.1
2006-04-14,20.0
2006-04-17,20.49
2006-04-18,20.6
2006-04-19,20.6
2006-04-20,20.349
2006-04-21,20.26
2006-04-24,20.359
2006-04-25,20.27
2006-04-26,20.5
2006-04-27,20.0
2006-04-28,20.4
2006-05-02,20.15
2006-05-03,20.215
2006-05-04,20.45
2006-05-05,20.25
2006-05-06,20.695
2006-05-10,20.2
2006-05-11,20.499
2006-05-12,20.9
2006-05-15,20.5
2006-05-16,20.4
2006-05-17,20.251
2006-05-18,20.5
2006-05-19,20.22
2006-05-22,18.51
2006-05-23,20.01
2006-05-24,20.0
2006-05-25,20.0
2006-05-26,20.64
2006-05-29,20.51
