TRADEDATE,CLOSE
2008-08-18,1.066
2008-08-19,1.0
2008-08-20,0.8
2008-08-21,0.8
2008-08-22,0.834
2008-08-25,0.842
2008-08-26,0.758
2008-08-27,0.821
2008-08-28,0.967
2008-08-29,0.935
2008-09-01,0.872
2008-09-02,0.945
2008-09-03,0.965
2008-09-04,0.949
2008-09-05,0.851
2008-09-08,0.95
2008-09-09,0.842
2008-09-10,0.842
2008-09-11,0.7
2008-09-12,0.9
2008-09-15,0.87
2008-09-16,0.601
2008-09-17,0.799
2008-09-19,0.749
2008-09-22,0.748
2008-09-23,0.72
2008-09-24,0.642
2008-09-25,0.6
2008-09-26,0.4
2008-09-29,0.625
2008-09-30,0.595
2008-10-01,0.59
2008-10-02,0.6
2008-10-03,0.575
2008-10-06,0.54
2008-10-07,0.587
2008-10-08,0.589
2008-10-09,0.432
2008-10-13,0.452
2008-10-14,0.3
2008-10-15,0.328
2008-10-16,0.42
2008-10-17,0.28
2008-10-20,0.28
2008-10-21,0.28
2008-10-22,0.265
2008-10-23,0.178
2008-10-24,0.231
2008-10-28,0.196
2008-10-29,0.209
2008-10-30,0.21
2008-10-31,0.201
2008-11-01,0.229
2008-11-05,0.151
2008-11-06,0.218
2008-11-07,0.23
2008-11-10,0.233
2008-11-11,0.231
2008-11-13,0.289
2008-11-14,0.31
2008-11-17,0.33
2008-11-18,0.213
2008-11-19,0.25
2008-11-20,0.21
2008-11-21,0.158
2008-11-24,0.295
2008-11-25,0.337
2008-11-26,0.236
2008-11-27,0.3
2008-11-28,0.35
2008-12-01,0.215
2008-12-02,0.38
2008-12-03,0.44
2008-12-04,0.268
2008-12-05,0.411
2008-12-08,0.449
2008-12-09,0.42
2008-12-10,0.258
2008-12-11,0.38
2008-12-12,0.39
2008-12-15,0.38
2008-12-16,0.231
2008-12-17,0.241
2008-12-18,0.383
2008-12-19,0.37
2008-12-22,0.226
2008-12-23,0.37
2008-12-24,0.378
2008-12-25,0.39
2008-12-26,0.371
2008-12-29,0.236
2008-12-30,0.36
2008-12-31,0.381
2009-01-11,0.419
2009-01-12,0.251
2009-01-13,0.246
2009-01-14,0.389
2009-01-15,0.45
2009-01-16,0.231
2009-01-19,0.375
2009-01-20,0.371
2009-01-21,0.253
2009-01-22,0.375
2009-01-23,0.38
2009-01-26,0.399
2009-01-27,0.37
2009-01-28,0.379
2009-01-29,0.252
2009-01-30,0.253
2009-02-02,0.37
2009-02-03,0.395
