TRADEDATE,CLOSE
2008-08-05,0.3205
2008-08-06,0.23
2008-08-07,0.3
2008-08-08,0.2405
2008-08-11,0.285
2008-08-12,0.2601
2008-08-13,0.2701
2008-08-14,0.2653
2008-08-15,0.3
2008-08-18,0.285
2008-08-19,0.295
2008-08-20,0.2213
2008-08-21,0.297
2008-08-22,0.2687
2008-08-25,0.2702
2008-08-26,0.2757
2008-08-27,0.278
2008-08-28,0.275
2008-08-29,0.2662
2008-09-01,0.27
2008-09-02,0.274
2008-09-03,0.273
2008-09-04,0.2541
2008-09-05,0.251
2008-09-08,0.24
2008-09-09,0.22
2008-09-10,0.2051
2008-09-11,0.2004
2008-09-12,0.2
2008-09-15,0.2001
2008-09-16,0.1502
2008-09-17,0.112
2008-09-19,0.171
2008-09-22,0.1899
2008-09-23,0.1833
2008-09-24,0.1777
2008-09-25,0.1777
2008-09-26,0.125
2008-09-29,0.121
2008-09-30,0.15
2008-10-01,0.1579
2008-10-02,0.14
2008-10-03,0.1375
2008-10-06,0.12
2008-10-07,0.12
2008-10-08,0.1299
2008-10-09,0.12
2008-10-13,0.0835
2008-10-14,0.12
2008-10-15,0.1097
2008-10-16,0.073
2008-10-17,0.0735
2008-10-20,0.0996
2008-10-21,0.1274
2008-10-23,0.101
2008-10-28,0.0995
2008-10-29,0.09
2008-10-30,0.086
2008-10-31,0.0804
2008-11-01,0.089
2008-11-05,0.0897
2008-11-06,0.0895
2008-11-07,0.0811
2008-11-10,0.0849
2008-11-11,0.0769
2008-11-13,0.079
2008-11-14,0.0789
2008-11-17,0.0601
2008-11-18,0.06
2008-11-19,0.0587
2008-11-20,0.0539
2008-11-21,0.0579
2008-11-24,0.0535
2008-11-25,0.05
2008-11-26,0.0456
2008-11-27,0.07
2008-11-28,0.0708
2008-12-01,0.0612
2008-12-02,0.0799
2008-12-03,0.0557
2008-12-04,0.0557
2008-12-05,0.076
2008-12-08,0.0535
2008-12-09,0.0755
2008-12-10,0.054
2008-12-11,0.0739
2008-12-12,0.0724
2008-12-15,0.074
2008-12-16,0.073
2008-12-17,0.051
2008-12-18,0.0739
2008-12-19,0.0521
2008-12-22,0.0696
2008-12-23,0.073
2008-12-24,0.0732
2008-12-25,0.0514
2008-12-26,0.0722
2008-12-29,0.0725
2008-12-30,0.086
2008-12-31,0.089
2009-01-11,0.0623
2009-01-12,0.0626
2009-01-13,0.0889
2009-01-14,0.0623
2009-01-15,0.0916
2009-01-16,0.09
2009-01-19,0.0893
2009-01-20,0.0897
2009-01-21,0.0916
2009-01-22,0.0881
2009-01-23,0.0897
2009-01-26,0.09
2009-01-27,0.0941
2009-01-28,0.08
2009-01-29,0.087
2009-01-30,0.086
2009-02-02,0.0864
2009-02-03,0.0605
2009-02-04,0.0864
2009-02-05,0.0605
2009-02-06,0.09
2009-02-09,0.061
2009-02-10,0.09
2009-02-11,0.094
2009-02-12,0.094
2009-02-13,0.1024
2009-02-17,0.0828
2009-02-18,0.0695
2009-02-19,0.0695
2009-02-20,0.094
2009-02-24,0.102
2009-02-25,0.1045
2009-02-26,0.1014
2009-02-27,0.104
2009-03-02,0.0981
2009-03-03,0.1025
2009-03-04,0.103
2009-03-05,0.1021
2009-03-06,0.095
2009-03-10,0.11
2009-03-11,0.1
2009-03-12,0.113
2009-03-13,0.1125
2009-03-16,0.117
2009-03-17,0.081
2009-03-18,0.1129
2009-03-19,0.1099
2009-03-20,0.107
2009-03-23,0.1077
2009-03-24,0.1047
2009-03-25,0.0757
2009-03-26,0.073
2009-03-27,0.1038
2009-03-30,0.1043
2009-03-31,0.1001
2009-04-01,0.074
2009-04-02,0.074
2009-04-03,0.1019
2009-04-06,0.102
2009-04-07,0.0718
2009-04-08,0.099
2009-04-09,0.1043
2009-04-10,0.1
2009-04-13,0.0721
2009-04-14,0.1021
2009-04-15,0.1021
2009-04-16,0.1027
2009-04-17,0.072
2009-04-20,0.072
2009-04-21,0.1009
2009-04-22,0.1011
2009-04-23,0.1012
2009-04-24,0.1013
2009-04-27,0.0711
2009-04-28,0.1001
2009-04-29,0.0997
2009-04-30,0.07
2009-05-04,0.0999
2009-05-05,0.099
2009-05-06,0.0995
2009-05-07,0.1
2009-05-08,0.0998
2009-05-12,0.0999
2009-05-13,0.0702
2009-05-14,0.1016
2009-05-15,0.106
2009-05-18,0.1159
2009-05-19,0.127
2009-05-20,0.139
2009-05-21,0.1429
2009-05-22,0.1005
2009-05-25,0.1395
2009-05-26,0.1404
2009-05-27,0.1601
2009-05-28,0.1125
2009-05-29,0.1515
2009-06-01,0.113
2009-06-02,0.1612
2009-06-03,0.161
2009-06-04,0.1615
2009-06-05,0.111
2009-06-08,0.1645
2009-06-09,0.1662
2009-06-10,0.16
2009-06-11,0.127
2009-06-15,0.1303
2009-06-16,0.1822
2009-06-17,0.1276
2009-06-18,0.177
2009-06-19,0.185
2009-06-22,0.128
2009-06-23,0.1628
2009-06-24,0.16
2009-06-25,0.16
2009-06-26,0.165
2009-06-29,0.1624
2009-06-30,0.16
2009-07-01,0.1587
2009-07-02,0.15
2009-07-03,0.1445
2009-07-06,0.16
2009-07-07,0.137
2009-07-08,0.1297
2009-07-09,0.1227
2009-07-10,0.1238
2009-07-13,0.124
2009-07-14,0.125
2009-07-15,0.1275
2009-07-16,0.1274
2009-07-17,0.1325
2009-07-20,0.132
2009-07-21,0.0904
2009-07-22,0.1299
2009-07-23,0.13
2009-07-24,0.1343
2009-07-27,0.1344
2009-07-28,0.124
2009-07-29,0.1205
2009-07-30,0.0897
2009-07-31,0.127
2009-08-03,0.1326
2009-08-04,0.1301
2009-08-05,0.1326
2009-08-06,0.1332
2009-08-07,0.1241
2009-08-10,0.1299
2009-08-11,0.1243
2009-08-12,0.121
2009-08-13,0.1205
2009-08-14,0.1197
2009-08-17,0.0838
2009-08-18,0.11
2009-08-19,0.1149
2009-08-20,0.1149
2009-08-21,0.1168
2009-08-24,0.1235
2009-08-25,0.126
2009-08-26,0.1235
