TRADEDATE,CLOSE
2008-08-22,0.3999
2008-08-25,0.3995
2008-08-27,0.3995
2008-09-01,0.3995
2008-09-05,0.3995
2008-09-08,0.3148
2008-09-09,0.2986
2008-09-10,0.235
2008-09-11,0.2403
2008-09-12,0.2699
2008-09-15,0.2303
2008-09-16,0.1851
2008-09-17,0.19
2008-09-19,0.2001
2008-09-22,0.244
2008-09-23,0.23
2008-09-24,0.214
2008-09-25,0.191
2008-09-26,0.1501
2008-09-29,0.1921
2008-09-30,0.189
2008-10-01,0.205
2008-10-02,0.21
2008-10-03,0.2056
2008-10-06,0.1901
2008-10-07,0.1703
2008-10-09,0.162
2008-10-13,0.155
2008-10-14,0.169
2008-10-15,0.145
2008-10-16,0.1499
2008-10-17,0.085
2008-10-20,0.084
2008-10-21,0.1128
2008-10-22,0.124
2008-10-23,0.1101
2008-10-24,0.109
2008-10-28,0.1086
2008-10-29,0.12
2008-10-30,0.0962
2008-10-31,0.0986
2008-11-01,0.0909
2008-11-05,0.07
2008-11-06,0.082
2008-11-07,0.0575
2008-11-10,0.0801
2008-11-11,0.076
2008-11-13,0.0782
2008-11-14,0.0802
2008-11-17,0.0805
2008-11-18,0.084
2008-11-19,0.0812
2008-11-20,0.0785
2008-11-21,0.0707
2008-11-24,0.0815
2008-11-25,0.075
2008-11-26,0.075
2008-11-27,0.0892
2008-11-28,0.082
2008-12-01,0.051
2008-12-02,0.0493
2008-12-03,0.086
2008-12-04,0.087
2008-12-05,0.0537
2008-12-08,0.0801
2008-12-09,0.0517
2008-12-10,0.0495
2008-12-11,0.081
2008-12-12,0.0805
2008-12-15,0.0492
2008-12-16,0.0474
2008-12-17,0.0481
2008-12-18,0.0502
2008-12-19,0.0501
2008-12-22,0.0765
2008-12-23,0.0765
2008-12-24,0.068
2008-12-25,0.073
2008-12-26,0.073
2008-12-29,0.064
2008-12-30,0.0502
2008-12-31,0.0724
2009-01-11,0.072
2009-01-12,0.0725
2009-01-14,0.071
2009-01-15,0.0602
2009-01-16,0.07
2009-01-19,0.07
2009-01-20,0.0625
2009-01-21,0.077
2009-01-22,0.0775
2009-01-23,0.08
2009-01-26,0.0601
2009-01-27,0.0751
2009-01-28,0.078
2009-01-29,0.076
2009-01-30,0.0601
2009-02-02,0.0794
2009-02-03,0.08
2009-02-04,0.0795
2009-02-05,0.0791
2009-02-06,0.0478
2009-02-09,0.0846
2009-02-10,0.0602
2009-02-11,0.0602
2009-02-12,0.0602
2009-02-13,0.0885
2009-02-16,0.0851
2009-02-17,0.0851
2009-02-18,0.0877
2009-02-19,0.0879
2009-02-20,0.085
2009-02-24,0.0517
2009-02-25,0.09
2009-02-26,0.0612
2009-02-27,0.0859
2009-03-02,0.0832
2009-03-03,0.0859
2009-03-04,0.0858
2009-03-05,0.086
2009-03-06,0.082
2009-03-10,0.098
2009-03-11,0.0611
2009-03-12,0.095
2009-03-13,0.094
2009-03-16,0.0995
2009-03-17,0.0997
2009-03-18,0.0976
2009-03-19,0.0947
2009-03-20,0.0949
2009-03-23,0.0898
2009-03-24,0.0702
2009-03-25,0.0702
2009-03-26,0.0891
2009-03-27,0.0871
2009-03-30,0.0702
2009-03-31,0.08
2009-04-01,0.0889
2009-04-02,0.092
2009-04-03,0.0925
2009-04-06,0.0947
2009-04-07,0.0948
2009-04-08,0.093
2009-04-09,0.0938
2009-04-10,0.066
2009-04-13,0.0675
2009-04-14,0.1
2009-04-15,0.1102
2009-04-16,0.0775
2009-04-17,0.1199
2009-04-20,0.1126
2009-04-21,0.1
2009-04-22,0.1087
2009-04-23,0.108
2009-04-24,0.08
2009-04-27,0.1059
2009-04-28,0.103
2009-04-29,0.1029
2009-04-30,0.106
2009-05-04,0.1063
2009-05-05,0.075
2009-05-06,0.106
2009-05-07,0.1091
2009-05-08,0.1079
2009-05-12,0.11
2009-05-13,0.1
2009-05-14,0.076
2009-05-15,0.1107
2009-05-18,0.115
2009-05-19,0.1127
2009-05-20,0.1165
2009-05-21,0.12
2009-05-22,0.1211
2009-05-25,0.1233
2009-05-26,0.123
2009-05-27,0.1256
2009-05-28,0.1245
2009-05-29,0.12
2009-06-01,0.1
2009-06-02,0.129
2009-06-03,0.12
2009-06-04,0.1279
2009-06-05,0.1304
2009-06-08,0.138
2009-06-09,0.1607
2009-06-10,0.17
2009-06-11,0.175
2009-06-15,0.1735
2009-06-16,0.1748
2009-06-17,0.1603
2009-06-18,0.1524
2009-06-19,0.1544
2009-06-22,0.1445
2009-06-23,0.1445
2009-06-24,0.09
2009-06-25,0.1375
2009-06-26,0.0963
2009-06-29,0.14
2009-06-30,0.0981
2009-07-01,0.13
2009-07-02,0.134
2009-07-03,0.1354
2009-07-06,0.132
2009-07-07,0.17
2009-07-08,0.0992
2009-07-09,0.1375
2009-07-10,0.13
2009-07-13,0.13
2009-07-14,0.138
2009-07-15,0.1376
2009-07-16,0.1375
2009-07-17,0.14
2009-07-20,0.0981
2009-07-21,0.0933
2009-07-22,0.1354
2009-07-23,0.1
2009-07-24,0.135
2009-07-27,0.0946
2009-07-28,0.1342
2009-07-29,0.1337
2009-07-30,0.0921
2009-07-31,0.1338
2009-08-03,0.0937
2009-08-04,0.135
2009-08-05,0.133
2009-08-06,0.0936
2009-08-07,0.1271
2009-08-10,0.1345
2009-08-11,0.133
2009-08-12,0.133
2009-08-13,0.133
2009-08-14,0.1302
2009-08-17,0.1285
2009-08-18,0.1256
2009-08-19,0.1278
2009-08-20,0.1244
2009-08-21,0.128
2009-08-24,0.0899
2009-08-25,0.1297
2009-08-26,0.0908
2009-08-27,0.128
2009-08-28,0.0899
2009-08-31,0.1396
2009-09-01,0.098
2009-09-02,0.1007
2009-09-03,0.1415
2009-09-04,0.1415
2009-09-07,0.141
2009-09-08,0.099
2009-09-09,0.167
2009-09-10,0.17
2009-09-11,0.16
2009-09-14,0.172
2009-09-15,0.1207
2009-09-16,0.185
2009-09-17,0.178
2009-09-18,0.1873
2009-09-21,0.131
2009-09-22,0.1311
2009-09-23,0.187
2009-09-24,0.19
2009-09-25,0.1332
2009-09-28,0.206
2009-09-29,0.216
2009-09-30,0.2382
2009-10-01,0.2614
2009-10-02,0.2479
2009-10-05,0.2552
2009-10-06,0.256
2009-10-07,0.2498
2009-10-08,0.2502
2009-10-09,0.1756
2009-10-12,0.241
2009-10-13,0.2405
2009-10-14,0.23
2009-10-15,0.2
2009-10-16,0.2483
2009-10-19,0.1741
2009-10-20,0.2583
2009-10-21,0.24
2009-10-22,0.268
