TRADEDATE,CLOSE
2008-09-09,0.11
2008-09-10,0.0801
2008-09-11,0.1
2008-09-12,0.0901
2008-09-15,0.08
2008-09-16,0.06
2008-09-17,0.0548
2008-09-19,0.0799
2008-09-22,0.08
2008-09-23,0.075
2008-09-24,0.0437
2008-09-25,0.048
2008-09-26,0.045
2008-09-29,0.0528
2008-09-30,0.0591
2008-10-01,0.05
2008-10-02,0.0565
2008-10-03,0.0511
2008-10-06,0.038
2008-10-07,0.0351
2008-10-09,0.042
2008-10-13,0.045
2008-10-14,0.045
2008-10-15,0.0387
2008-10-16,0.0235
2008-10-17,0.0319
2008-10-20,0.03
2008-10-21,0.029
2008-10-22,0.0323
2008-10-23,0.025
2008-10-24,0.0251
2008-10-28,0.021
2008-10-29,0.0227
2008-10-30,0.0239
2008-10-31,0.0251
2008-11-01,0.031
2008-11-05,0.0421
2008-11-06,0.043
2008-11-07,0.028
2008-11-10,0.0413
2008-11-11,0.0403
2008-11-13,0.0417
2008-11-14,0.0406
2008-11-17,0.0407
2008-11-18,0.0375
2008-11-19,0.034
2008-11-20,0.0345
2008-11-21,0.0225
2008-11-24,0.0239
2008-11-25,0.041
2008-11-26,0.0272
2008-11-27,0.028
2008-11-28,0.04
2008-12-01,0.0288
2008-12-02,0.04
2008-12-03,0.0595
2008-12-04,0.0614
2008-12-05,0.0372
2008-12-08,0.0366
2008-12-09,0.055
2008-12-10,0.057
2008-12-11,0.0576
2008-12-12,0.055
2008-12-15,0.0402
2008-12-16,0.0501
2008-12-17,0.051
2008-12-18,0.05
2008-12-19,0.06
2008-12-22,0.0403
2008-12-23,0.0615
2008-12-24,0.0595
2008-12-26,0.058
2008-12-29,0.062
2008-12-30,0.0672
2008-12-31,0.067
2009-01-11,0.0674
2009-01-12,0.0406
2009-01-13,0.073
2009-01-14,0.0441
2009-01-15,0.0441
2009-01-16,0.0702
2009-01-19,0.044
2009-01-20,0.07
2009-01-21,0.07
2009-01-22,0.0424
2009-01-23,0.0424
2009-01-26,0.0424
2009-01-27,0.07
2009-01-28,0.0423
2009-01-29,0.0707
2009-01-30,0.073
2009-02-02,0.07
2009-02-03,0.0422
2009-02-04,0.044
2009-02-05,0.07
2009-02-06,0.0815
2009-02-09,0.0458
2009-02-10,0.083
2009-02-11,0.0904
2009-02-12,0.093
2009-02-13,0.1
2009-02-16,0.1099
2009-02-17,0.0921
2009-02-18,0.0578
2009-02-19,0.06
2009-02-20,0.0861
2009-02-24,0.085
2009-02-25,0.079
2009-02-26,0.088
2009-02-27,0.088
2009-03-02,0.0851
2009-03-03,0.0899
2009-03-04,0.0887
