TRADEDATE,CLOSE
2008-09-04,0.2295
2008-09-05,0.2295
2008-09-09,0.2295
2008-09-10,0.1303
2008-09-11,0.125
2008-09-12,0.1382
2008-09-15,0.13
2008-09-16,0.085
2008-09-17,0.085
2008-09-19,0.08
2008-09-22,0.095
2008-09-23,0.118
2008-09-24,0.106
2008-09-25,0.0949
2008-09-26,0.0948
2008-09-29,0.06
2008-09-30,0.056
2008-10-01,0.0932
2008-10-02,0.0816
2008-10-03,0.0811
2008-10-06,0.0608
2008-10-07,0.0619
2008-10-09,0.0697
2008-10-13,0.0624
2008-10-14,0.06
2008-10-15,0.0587
2008-10-16,0.041
2008-10-17,0.0498
2008-10-20,0.0275
2008-10-21,0.0233
2008-10-22,0.0348
2008-10-23,0.0355
2008-10-24,0.0333
2008-10-28,0.0374
2008-10-29,0.0348
2008-10-30,0.0235
2008-10-31,0.0246
2008-11-01,0.0282
2008-11-05,0.0406
2008-11-06,0.042
2008-11-07,0.04
2008-11-10,0.0399
2008-11-11,0.03
2008-11-13,0.0405
2008-11-14,0.04
2008-11-17,0.039
2008-11-18,0.0385
2008-11-19,0.0347
2008-11-20,0.0338
2008-11-21,0.0338
2008-11-24,0.0335
2008-11-25,0.039
2008-11-26,0.04
2008-11-27,0.0268
2008-11-28,0.03
2008-12-01,0.0245
2008-12-02,0.0442
2008-12-03,0.0453
2008-12-04,0.0276
2008-12-05,0.05
2008-12-08,0.0327
2008-12-09,0.0315
2008-12-10,0.0352
2008-12-11,0.0492
2008-12-12,0.0498
2008-12-15,0.048
2008-12-16,0.0479
2008-12-17,0.028
2008-12-18,0.0352
2008-12-19,0.0351
2008-12-22,0.0461
2008-12-23,0.0514
2008-12-24,0.049
2008-12-25,0.05
2008-12-26,0.0296
2008-12-29,0.03
2008-12-30,0.049
2008-12-31,0.0549
2009-01-11,0.055
2009-01-12,0.0403
2009-01-13,0.0536
2009-01-14,0.0405
2009-01-15,0.0406
2009-01-16,0.0515
2009-01-19,0.0536
2009-01-20,0.0478
2009-01-21,0.054
2009-01-22,0.0534
2009-01-23,0.0528
2009-01-26,0.0408
2009-01-27,0.0562
2009-01-28,0.0409
2009-01-29,0.051
2009-01-30,0.0408
2009-02-02,0.05
2009-02-03,0.0559
2009-02-04,0.0408
2009-02-05,0.056
2009-02-06,0.06
2009-02-09,0.0408
2009-02-10,0.06
2009-02-11,0.0422
2009-02-12,0.062
2009-02-13,0.0622
2009-02-16,0.0455
2009-02-17,0.0657
2009-02-18,0.0728
2009-02-19,0.0635
2009-02-20,0.073
2009-02-24,0.076
2009-02-25,0.08
2009-02-26,0.0788
2009-02-27,0.0799
2009-03-02,0.072
2009-03-03,0.08
2009-03-04,0.0775
2009-03-05,0.08
2009-03-06,0.081
2009-03-10,0.082
2009-03-11,0.0846
2009-03-12,0.084
2009-03-13,0.0841
2009-03-16,0.086
2009-03-17,0.083
2009-03-18,0.0851
2009-03-19,0.08
2009-03-20,0.084
2009-03-23,0.06
2009-03-24,0.059
2009-03-25,0.083
2009-03-26,0.059
2009-03-27,0.0801
2009-03-31,0.0825
2009-04-01,0.0783
2009-04-02,0.0551
2009-04-03,0.0791
2009-04-06,0.0791
2009-04-07,0.0793
2009-04-08,0.0751
2009-04-09,0.08
2009-04-10,0.08
2009-04-13,0.065
2009-04-14,0.057
2009-04-15,0.0796
2009-04-16,0.0801
2009-04-17,0.079
2009-04-20,0.073
2009-04-21,0.069
2009-04-22,0.0518
2009-04-23,0.07
2009-04-24,0.055
2009-04-27,0.0509
2009-04-28,0.069
2009-04-29,0.0486
2009-04-30,0.0491
2009-05-04,0.0713
2009-05-05,0.072
2009-05-06,0.0521
2009-05-07,0.0681
2009-05-08,0.0639
2009-05-12,0.064
2009-05-13,0.065
2009-05-14,0.05
2009-05-15,0.069
2009-05-18,0.072
2009-05-19,0.0518
2009-05-20,0.0778
2009-05-21,0.0823
2009-05-22,0.0591
2009-05-25,0.058
2009-05-26,0.0825
2009-05-27,0.0589
2009-05-28,0.0847
2009-05-29,0.0898
2009-06-01,0.092
2009-06-02,0.0645
2009-06-03,0.0637
2009-06-04,0.07
2009-06-05,0.0585
2009-06-08,0.085
2009-06-09,0.0598
2009-06-10,0.097
2009-06-11,0.1002
2009-06-15,0.098
2009-06-16,0.0983
2009-06-17,0.09
2009-06-18,0.097
2009-06-19,0.0955
2009-06-22,0.091
2009-06-23,0.09
2009-06-24,0.093
2009-06-25,0.0852
2009-06-26,0.088
2009-06-29,0.081
2009-06-30,0.0825
2009-07-01,0.083
2009-07-02,0.08
2009-07-03,0.0844
2009-07-06,0.0831
2009-07-07,0.09
2009-07-08,0.0801
2009-07-09,0.08
2009-07-10,0.081
2009-07-13,0.08
2009-07-14,0.0821
2009-07-15,0.0576
2009-07-16,0.0618
2009-07-17,0.0904
2009-07-20,0.0908
2009-07-21,0.0904
2009-07-22,0.0634
2009-07-23,0.0889
2009-07-24,0.0904
2009-07-27,0.091
2009-07-28,0.089
2009-07-29,0.0631
2009-07-30,0.0908
2009-07-31,0.0631
2009-08-03,0.0909
2009-08-04,0.0821
2009-08-05,0.088
2009-08-06,0.0872
2009-08-07,0.0816
2009-08-10,0.061
2009-08-11,0.085
2009-08-12,0.0829
2009-08-13,0.0581
2009-08-14,0.0823
2009-08-17,0.0807
2009-08-18,0.0568
2009-08-19,0.0565
2009-08-20,0.0815
2009-08-21,0.083
2009-08-24,0.0585
2009-08-25,0.0871
2009-08-26,0.09
2009-08-27,0.0634
2009-08-28,0.0999
2009-08-31,0.1
2009-09-01,0.102
2009-09-02,0.1001
2009-09-03,0.1085
2009-09-04,0.1049
2009-09-07,0.1111
2009-09-08,0.117
2009-09-09,0.1
2009-09-10,0.12
2009-09-11,0.122
2009-09-14,0.12
2009-09-15,0.098
2009-09-16,0.1501
2009-09-17,0.15
2009-09-18,0.16
2009-09-21,0.154
2009-09-22,0.1605
2009-09-23,0.165
2009-09-24,0.162
2009-09-25,0.1159
2009-09-28,0.1648
2009-09-29,0.181
2009-09-30,0.19
2009-10-01,0.1382
2009-10-02,0.1424
2009-10-05,0.184
2009-10-06,0.1291
2009-10-07,0.187
2009-10-08,0.1954
2009-10-09,0.197
2009-10-12,0.2
2009-10-13,0.1402
2009-10-14,0.195
2009-10-15,0.161
2009-10-16,0.1388
2009-10-19,0.1869
2009-10-20,0.1311
2009-10-21,0.1873
2009-10-22,0.133
2009-10-23,0.2126
2009-10-26,0.21
2009-10-27,0.2029
2009-10-28,0.1422
2009-10-29,0.18
2009-10-30,0.1403
2009-11-02,0.205
2009-11-03,0.196
2009-11-05,0.1375
2009-11-06,0.1962
2009-11-09,0.2015
2009-11-10,0.2062
2009-11-11,0.2107
2009-11-12,0.2165
2009-11-13,0.2193
2009-11-16,0.2231
2009-11-17,0.1564
2009-11-18,0.1595
2009-11-19,0.236
2009-11-20,0.2424
2009-11-23,0.1699
2009-11-24,0.1725
2009-11-25,0.2605
2009-11-26,0.2585
2009-11-27,0.2622
2009-11-30,0.1822
2009-12-01,0.1823
2009-12-02,0.27
2009-12-03,0.25
2009-12-04,0.265
2009-12-07,0.2616
2009-12-08,0.25
2009-12-09,0.24
2009-12-10,0.2406
2009-12-11,0.1686
2009-12-14,0.1647
2009-12-15,0.225
2009-12-16,0.24
2009-12-17,0.2336
2009-12-18,0.2409
2009-12-21,0.2202
2009-12-22,0.2265
2009-12-23,0.2249
2009-12-24,0.1674
2009-12-25,0.2299
2009-12-28,0.23
2009-12-29,0.1612
2009-12-30,0.2089
2009-12-31,0.2319
2010-01-11,0.2151
2010-01-12,0.2466
2010-01-13,0.248
2010-01-14,0.25
2010-01-15,0.2469
2010-01-18,0.2449
2010-01-19,0.24
2010-01-20,0.2321
2010-01-21,0.2336
2010-01-22,0.2174
2010-01-25,0.2189
2010-01-26,0.223
2010-01-27,0.2404
2010-01-28,0.2301
2010-01-29,0.242
2010-02-01,0.1696
2010-02-02,0.2334
2010-02-03,0.2249
2010-02-04,0.1753
2010-02-05,0.2566
2010-02-08,0.2499
2010-02-09,0.2604
2010-02-10,0.269
2010-02-11,0.2451
2010-02-12,0.256
2010-02-15,0.1794
2010-02-16,0.263
2010-02-17,0.1844
2010-02-18,0.2617
2010-02-19,0.257
2010-02-24,0.1802
2010-02-25,0.24
2010-02-26,0.2359
2010-02-27,0.26
2010-03-01,0.1822
2010-03-02,0.265
2010-03-03,0.2621
2010-03-04,0.2749
2010-03-05,0.26
2010-03-09,0.2742
2010-03-10,0.2727
2010-03-11,0.1911
2010-03-12,0.276
2010-03-15,0.2693
2010-03-16,0.2685
2010-03-17,0.189
2010-03-18,0.22
2010-03-19,0.263
2010-03-22,0.1816
2010-03-23,0.1785
2010-03-24,0.1804
2010-03-25,0.2521
2010-03-26,0.2384
2010-03-29,0.1784
2010-03-30,0.1763
2010-03-31,0.25
2010-04-01,0.2599
2010-04-02,0.27
2010-04-05,0.273
2010-04-06,0.27
2010-04-07,0.1891
2010-04-08,0.2626
2010-04-09,0.2499
2010-04-12,0.25
2010-04-13,0.1871
2010-04-14,0.2602
2010-04-15,0.258
2010-04-16,0.2502
2010-04-19,0.1758
2010-04-20,0.1755
2010-04-21,0.2499
2010-04-22,0.2447
2010-04-23,0.1701
2010-04-26,0.2508
2010-04-27,0.244
2010-04-28,0.24
2010-04-29,0.242
2010-04-30,0.1695
2010-05-04,0.235
2010-05-05,0.1647
2010-05-06,0.2326
2010-05-07,0.22
2010-05-11,0.2325
2010-05-12,0.163
2010-05-13,0.236
2010-05-14,0.21
2010-05-17,0.21
2010-05-18,0.2
2010-05-19,0.21
2010-05-20,0.2108
2010-05-21,0.2175
2010-05-24,0.2128
2010-05-25,0.21
2010-05-26,0.2171
2010-05-27,0.221
2010-05-28,0.229
2010-05-31,0.1605
2010-06-01,0.1578
2010-06-02,0.2244
2010-06-03,0.22
2010-06-04,0.1612
2010-06-07,0.225
2010-06-08,0.1577
2010-06-09,0.225
2010-06-10,0.2328
2010-06-11,0.2328
2010-06-15,0.2328
2010-06-16,0.2372
2010-06-17,0.2354
2010-06-18,0.1658
2010-06-21,0.235
2010-06-22,0.227
2010-06-23,0.2
2010-06-24,0.228
2010-06-25,0.228
2010-06-28,0.1583
2010-06-29,0.1577
2010-06-30,0.1561
2010-07-01,0.218
2010-07-02,0.2171
2010-07-05,0.1522
