TRADEDATE,CLOSE
2003-09-10,2.055
2003-09-11,2.045
2003-09-12,2.059
2003-09-15,2.053
2003-09-16,2.038
2003-09-17,2.054
2003-09-18,2.064
2003-09-19,2.025
2003-09-22,1.941
2003-09-23,2.069
2003-09-24,2.048
2003-09-25,2.014
2003-09-26,2.03
2003-09-29,2.07
2003-09-30,2.071
2003-10-01,2.12
2003-10-02,2.125
2003-10-03,2.13
2003-10-06,2.186
2003-10-07,2.206
2003-10-08,2.36
2003-10-09,2.311
2003-10-10,2.33
2003-10-13,2.373
2003-10-14,2.343
2003-10-15,2.331
2003-10-16,2.372
2003-10-17,2.361
2003-10-20,2.409
2003-10-21,2.284
2003-10-22,2.172
2003-10-23,2.17
2003-10-24,2.209
2003-10-27,2.09
2003-10-28,2.125
2003-10-29,2.132
2003-10-30,1.933
2003-10-31,2.034
2003-11-03,2.16
2003-11-04,2.13
2003-11-05,2.058
2003-11-06,2.074
2003-11-10,2.089
2003-11-11,2.02
2003-11-12,1.941
2003-11-13,1.934
2003-11-14,1.942
2003-11-17,1.848
2003-11-18,1.76
2003-11-19,1.701
2003-11-20,1.871
2003-11-21,1.93
2003-11-24,1.929
2003-11-25,1.935
2003-11-26,1.925
2003-11-27,1.922
2003-11-28,1.898
2003-12-01,1.982
2003-12-02,1.999
2003-12-03,2.007
2003-12-04,1.982
2003-12-05,1.979
2003-12-08,1.954
2003-12-09,1.953
2003-12-10,1.956
2003-12-11,1.944
2003-12-15,1.978
2003-12-16,1.943
2003-12-17,1.946
2003-12-18,1.963
2003-12-19,1.987
2003-12-22,2.015
2003-12-23,1.972
2003-12-24,1.958
2003-12-25,1.983
2003-12-26,1.976
2003-12-29,1.979
2003-12-30,1.958
2004-01-05,2.039
2004-01-06,2.055
2004-01-08,2.067
2004-01-09,2.099
2004-01-12,2.041
2004-01-13,2.029
2004-01-14,2.075
2004-01-15,1.998
2004-01-16,2.025
2004-01-19,2.082
2004-01-20,2.085
2004-01-21,2.135
2004-01-22,2.151
2004-01-23,2.15
2004-01-26,2.14
2004-01-27,2.154
2004-01-28,2.128
2004-01-29,2.14
2004-01-30,2.099
2004-02-02,2.108
2004-02-03,2.13
2004-02-04,2.195
2004-02-05,2.249
2004-02-06,2.29
2004-02-09,2.385
2004-02-10,2.344
2004-02-11,2.348
2004-02-12,2.389
2004-02-13,2.4
2004-02-16,2.369
2004-02-17,2.39
2004-02-18,2.384
2004-02-19,2.333
2004-02-20,2.365
2004-02-24,2.277
2004-02-25,2.288
2004-02-26,2.321
2004-02-27,2.319
2004-03-01,2.335
2004-03-02,2.296
2004-03-03,2.3
2004-03-04,2.316
2004-03-05,2.331
2004-03-09,2.365
2004-03-10,2.338
2004-03-11,2.295
2004-03-12,2.314
2004-03-15,2.312
2004-03-16,2.335
2004-03-17,2.375
2004-03-18,2.364
2004-03-19,2.376
2004-03-22,2.341
2004-03-23,2.359
2004-03-24,2.33
2004-03-25,2.305
2004-03-26,2.313
2004-03-29,2.318
2004-03-30,2.339
2004-03-31,2.33
2004-04-01,2.356
2004-04-02,2.35
2004-04-05,2.374
2004-04-06,2.384
2004-04-07,2.517
2004-04-08,2.573
2004-04-09,2.618
2004-04-12,2.604
2004-04-13,2.58
2004-04-14,2.531
2004-04-15,2.563
2004-04-16,2.541
2004-04-19,2.695
2004-04-20,2.662
2004-04-21,2.545
2004-04-22,2.53
2004-04-23,2.489
2004-04-26,2.441
2004-04-27,2.467
2004-04-28,2.439
2004-04-29,2.295
2004-04-30,2.28
2004-05-05,2.29
2004-05-06,2.288
2004-05-07,2.254
2004-05-11,2.233
2004-05-12,2.269
2004-05-13,2.279
2004-05-14,2.239
2004-05-17,2.364
2004-05-18,2.332
2004-05-19,2.401
2004-05-20,2.411
2004-05-21,2.455
2004-05-24,2.443
2004-05-25,2.36
2004-05-26,2.385
2004-05-27,2.4
2004-05-28,2.368
2004-05-31,2.37
2004-06-01,2.301
2004-06-02,2.385
2004-06-03,2.449
2004-06-04,2.416
2004-06-07,2.41
2004-06-08,2.377
2004-06-09,2.373
2004-06-10,2.35
2004-06-11,2.28
2004-06-15,2.25
2004-06-16,2.218
2004-06-17,2.326
2004-06-18,2.292
2004-06-21,2.322
2004-06-22,2.26
2004-06-23,2.25
2004-06-24,2.231
2004-06-25,2.212
2004-06-28,2.175
2004-06-29,2.215
2004-06-30,2.23
2004-07-01,2.185
2004-07-02,2.118
2004-07-05,2.119
2004-07-06,2.092
2004-07-07,2.065
2004-07-08,2.05
2004-07-09,2.06
2004-07-12,2.11
2004-07-13,2.115
2004-07-14,2.125
2004-07-15,2.143
2004-07-16,2.118
2004-07-19,2.135
2004-07-20,2.109
2004-07-21,2.11
2004-07-22,2.064
2004-07-23,2.043
2004-07-26,1.98
2004-07-27,1.99
2004-07-28,2.15
2004-07-29,2.384
2004-07-30,2.6
2004-08-02,2.5
2004-08-03,2.51
2004-08-04,2.475
2004-08-05,2.4
2004-08-06,2.387
2004-08-09,2.435
2004-08-10,2.411
2004-08-11,2.304
2004-08-12,2.339
2004-08-13,2.37
2004-08-16,2.458
2004-08-17,2.497
2004-08-18,2.535
2004-08-19,2.665
2004-08-20,2.69
2004-08-23,2.8
2004-08-24,2.836
2004-08-25,2.951
2004-08-26,2.89
2004-08-27,2.957
2004-08-30,3.17
2004-08-31,3.34
2004-09-01,3.33
2004-09-02,3.257
2004-09-03,3.335
2004-09-06,3.322
2004-09-07,3.301
2004-09-08,3.37
2004-09-09,3.371
2004-09-10,3.28
2004-09-13,3.259
2004-09-14,3.285
2004-09-15,3.24
2004-09-16,3.247
2004-09-17,3.272
2004-09-20,3.27
2004-09-21,3.278
2004-09-22,3.3
2004-09-23,3.299
2004-09-24,3.365
2004-09-27,3.61
2004-09-28,4.395
2004-10-01,5.85
2004-10-05,9.95
2004-10-11,4.81
2004-10-13,4.73
2004-10-14,5.0
2004-10-15,4.69
2004-10-18,4.7
2004-10-19,4.521
2004-10-20,4.05
2004-10-21,3.825
2004-10-22,3.949
2004-10-25,3.835
2004-10-26,4.049
2004-10-27,4.55
2004-10-28,4.69
2004-10-29,4.646
2004-11-01,4.281
2004-11-02,4.151
2004-11-03,4.12
2004-11-04,4.244
2004-11-05,4.19
2004-11-09,4.175
2004-11-10,4.08
2004-11-11,4.067
2004-11-12,4.139
2004-11-15,4.1
2004-11-16,4.32
2004-11-17,4.929
2004-11-18,4.635
2004-11-19,4.269
2004-11-22,4.37
2004-11-23,4.238
2004-11-24,4.263
2004-11-25,4.16
2004-11-26,4.189
2004-11-29,4.263
2004-11-30,4.16
2004-12-01,3.95
2004-12-02,4.028
2004-12-03,4.015
2004-12-06,4.029
2004-12-07,4.119
2004-12-08,4.031
2004-12-09,4.08
2004-12-10,4.1
2004-12-14,4.11
2004-12-15,4.254
2004-12-16,4.26
2004-12-17,4.031
2004-12-20,4.079
2004-12-21,4.27
2004-12-22,4.16
2004-12-23,4.201
2004-12-24,4.22
2004-12-27,4.179
2004-12-28,4.131
2004-12-29,4.14
2004-12-30,4.1
2005-01-11,4.079
2005-01-12,4.06
2005-01-13,4.079
2005-01-14,4.044
2005-01-17,4.054
2005-01-18,4.03
2005-01-19,4.06
2005-01-20,4.047
2005-01-21,4.05
2005-01-24,4.095
2005-01-25,4.191
2005-01-26,4.18
2005-01-27,4.171
2005-01-28,4.218
2005-01-31,4.19
2005-02-01,4.215
2005-02-02,4.177
2005-02-03,4.2
2005-02-04,4.17
2005-02-07,4.073
2005-02-08,4.076
2005-02-09,4.049
2005-02-10,3.981
2005-02-11,3.987
2005-02-14,3.921
2005-02-15,3.938
2005-02-16,3.935
2005-02-17,3.929
2005-02-18,3.914
2005-02-21,3.988
2005-02-22,3.958
2005-02-24,3.97
2005-02-25,3.85
2005-02-28,3.791
2005-03-01,3.45
2005-03-02,3.29
2005-03-03,3.039
2005-03-04,3.081
2005-03-05,3.215
2005-03-09,3.14
2005-03-10,3.053
2005-03-11,3.01
2005-03-14,2.835
2005-03-15,2.785
2005-03-16,2.51
2005-03-17,2.83
2005-03-18,2.853
2005-03-21,2.851
2005-03-22,2.86
2005-03-23,2.87
2005-03-24,3.097
2005-03-25,3.093
2005-03-28,3.1
2005-03-29,3.07
2005-03-30,3.33
2005-03-31,3.2
2005-04-01,3.31
2005-04-04,2.739
2005-04-05,2.73
2005-04-06,2.72
2005-04-07,2.75
2005-04-08,2.686
2005-04-11,2.695
2005-04-12,2.606
2005-04-13,2.617
2005-04-14,2.58
2005-04-15,2.515
2005-04-18,2.377
2005-04-19,2.346
2005-04-20,2.293
2005-04-21,2.34
2005-04-22,2.612
2005-04-25,2.73
2005-04-26,2.607
2005-04-27,2.545
2005-04-28,2.531
2005-04-29,2.535
2005-05-03,2.551
2005-05-04,2.56
2005-05-05,2.564
2005-05-06,2.54
2005-05-11,2.504
2005-05-12,2.461
2005-05-13,2.433
2005-05-14,2.429
2005-05-16,2.3
2005-05-17,2.622
2005-05-18,2.637
2005-05-19,2.58
2005-05-20,2.579
2005-05-23,2.601
2005-05-24,2.616
2005-05-25,2.513
2005-05-26,2.518
2005-05-27,2.457
2005-05-30,2.43
2005-05-31,2.35
2005-06-01,2.272
2005-06-02,2.299
2005-06-03,2.27
2005-06-06,2.198
2005-06-07,2.195
2005-06-08,2.18
2005-06-09,2.15
2005-06-10,2.282
2005-06-14,2.27
2005-06-15,2.175
2005-06-17,2.167
2005-06-20,2.192
2005-06-21,2.169
2005-06-22,2.155
2005-06-23,2.127
2005-06-24,2.113
2005-06-27,2.125
2005-06-28,2.134
2005-06-29,2.153
2005-06-30,2.253
2005-07-01,2.266
2005-07-04,2.25
2005-07-05,2.259
2005-07-06,2.28
2005-07-07,1.73
2005-07-08,2.39
2005-07-11,2.405
2005-07-12,2.385
2005-07-13,2.4
2005-07-14,2.442
2005-07-15,2.453
2005-07-18,2.448
2005-07-19,2.45
2005-07-20,2.449
2005-07-21,2.43
2005-07-22,2.379
2005-07-25,2.365
2005-07-26,2.351
2005-07-27,2.389
2005-07-28,2.41
2005-07-29,2.4
2005-08-01,2.4
2005-08-02,2.425
2005-08-03,2.39
2005-08-04,2.422
2005-08-05,2.408
2005-08-08,2.41
2005-08-09,2.4
2005-08-10,2.391
2005-08-11,2.356
2005-08-12,2.365
2005-08-15,2.2
2005-08-16,2.38
2005-08-17,2.38
2005-08-18,2.358
2005-08-19,2.362
2005-08-22,2.358
2005-08-23,2.28
2005-08-24,2.2
2005-08-25,2.217
2005-08-26,1.7
2005-08-29,2.34
2005-08-30,1.8
2005-08-31,2.335
2005-09-01,2.4
2005-09-02,2.461
2005-09-05,2.45
2005-09-06,2.36
2005-09-07,2.378
2005-09-08,2.39
2005-09-09,2.66
2005-09-12,2.8
2005-09-13,2.676
2005-09-14,2.711
2005-09-15,2.73
2005-09-16,2.665
2005-09-19,2.657
2005-09-20,2.83
2005-09-21,2.949
2005-09-22,2.79
2005-09-23,2.823
2005-09-26,3.041
2005-09-27,3.46
2005-09-28,3.395
2005-09-29,3.217
2005-09-30,3.09
2005-10-03,3.44
2005-10-04,3.75
2005-10-05,3.588
2005-10-06,3.422
2005-10-07,3.5
2005-10-10,4.03
2005-10-11,4.016
2005-10-12,3.84
2005-10-13,3.65
2005-10-14,3.48
2005-10-17,3.687
2005-10-18,3.53
2005-10-19,3.382
2005-10-20,3.408
2005-10-21,2.7
2005-10-24,3.46
2005-10-25,3.359
2005-10-26,3.405
2005-10-27,3.344
2005-10-28,3.561
2005-10-31,3.618
2005-11-01,3.77
2005-11-02,3.88
2005-11-03,3.884
2005-11-07,3.86
2005-11-08,3.82
2005-11-09,3.8
2005-11-10,3.67
2005-11-11,3.736
2005-11-14,3.78
2005-11-15,3.76
