TRADEDATE,CLOSE
2011-04-21,480.0
2011-04-22,482.5
2011-04-25,485.0
2011-04-26,474.0
2011-04-27,470.0
2011-04-28,469.99
2011-04-29,463.0
2011-05-03,450.0
2011-05-04,430.0
2011-05-05,432.0
2011-05-06,442.0
2011-05-10,445.0
2011-05-11,446.0
2011-05-12,453.7
2011-05-13,444.48
2011-05-16,443.0
2011-05-17,421.0
2011-05-18,432.0
2011-05-19,428.0
2011-05-20,427.0
2011-05-23,410.0
2011-05-24,420.0
2011-05-25,416.66
2011-05-26,417.0
2011-05-27,424.0
2011-05-30,425.0
2011-05-31,437.0
2011-06-01,436.98
2011-06-02,439.0
2011-06-03,434.9
2011-06-06,434.0
2011-06-07,430.0
2011-06-08,430.0
2011-06-09,433.0
2011-06-10,433.0
2011-06-14,430.0
2011-06-15,429.99
2011-06-16,425.0
2011-06-17,421.24
2011-06-20,421.05
2011-06-21,421.55
2011-06-22,425.5
2011-06-23,422.0
2011-06-24,423.32
2011-06-27,419.99
2011-06-28,423.6
2011-06-29,423.01
2011-06-30,424.0
2011-07-01,439.01
2011-07-04,438.99
2011-07-05,441.0
2011-07-06,435.1
2011-07-07,438.99
2011-07-08,446.9
2011-07-11,440.75
2011-07-12,444.0
2011-07-13,423.0
2011-07-14,440.0
2011-07-15,442.89
2011-07-18,440.09
2011-07-19,440.0
2011-07-20,439.0
2011-07-21,440.48
2011-07-22,442.0
2011-07-25,439.01
2011-07-26,440.0
2011-07-27,440.0
2011-07-28,438.0
2011-07-29,440.89
2011-08-01,445.0
2011-08-02,448.0
2011-08-03,437.0
2011-08-04,426.5
2011-08-05,415.0
2011-08-08,380.0
2011-08-09,394.98
2011-08-10,382.0
2011-08-11,370.0
2011-08-12,370.0
2011-08-15,377.0
2011-08-16,379.0
2011-08-17,375.01
2011-08-18,368.0
2011-08-19,360.0
2011-08-22,370.0
2011-08-23,368.01
2011-08-24,350.0
2011-08-25,325.0
2011-08-26,336.0
2011-08-29,343.0
2011-08-30,342.0
2011-08-31,353.0
2011-09-01,354.74
2011-09-02,351.75
2011-09-05,347.99
