TRADEDATE,CLOSE
2008-12-26,114.0
2008-12-29,110.6
2008-12-30,112.7
2008-12-31,113.4
2009-01-11,121.0
2009-01-12,132.85
2009-01-13,121.45
2009-01-14,113.0
2009-01-15,106.0
2009-01-16,107.5
2009-01-19,99.6
2009-01-20,92.5
2009-01-21,85.0
2009-01-22,80.0
2009-01-23,75.0
2009-01-26,87.0
2009-01-27,93.0
2009-01-28,91.51
2009-01-29,92.0
2009-01-30,95.13
2009-02-02,101.89
2009-02-03,111.9
2009-02-04,124.0
2009-02-05,130.0
2009-02-06,147.0
2009-02-09,173.99
2009-02-10,188.8
2009-02-11,175.1
2009-02-12,154.15
2009-02-13,159.0
2009-02-16,156.0
2009-02-17,143.69
2009-02-18,139.0
2009-02-19,142.0
2009-02-20,134.0
2009-02-24,134.9
2009-02-25,142.0
2009-02-26,150.0
2009-02-27,134.97
2009-03-02,130.46
2009-03-03,128.0
2009-03-04,131.99
2009-03-05,128.51
2009-03-06,126.0
2009-03-10,132.8
2009-03-11,128.44
2009-03-12,121.12
2009-03-13,126.0
2009-03-16,133.0
2009-03-17,129.0
2009-03-18,126.5
2009-03-19,134.13
2009-03-20,142.0
2009-03-23,160.41
2009-03-24,147.0
2009-03-25,154.0
2009-03-26,157.99
2009-03-27,151.0
2009-03-30,140.0
2009-03-31,146.89
2009-04-01,145.92
2009-04-02,152.5
2009-04-03,156.29
2009-04-06,157.99
2009-04-07,158.98
2009-04-08,167.0
2009-04-09,198.9
2009-04-10,194.5
2009-04-13,195.0
2009-04-14,209.9
2009-04-15,202.0
2009-04-16,206.5
2009-04-17,218.0
2009-04-20,199.0
2009-04-21,193.6
2009-04-22,201.98
2009-04-23,203.0
2009-04-24,206.0
2009-04-27,198.9
2009-04-28,186.78
2009-04-29,187.0
2009-04-30,186.96
2009-05-04,206.0
2009-05-05,212.96
2009-05-06,214.5
2009-05-07,228.8
2009-05-08,230.5
2009-05-12,244.0
2009-05-13,231.31
2009-05-14,224.5
2009-05-15,226.8
2009-05-18,232.0
2009-05-19,255.0
2009-05-20,269.0
2009-05-21,256.1
2009-05-22,257.97
2009-05-25,256.98
2009-05-26,255.89
2009-05-27,265.88
2009-05-28,272.9
2009-05-29,283.0
2009-06-01,298.99
2009-06-02,316.5
2009-06-03,303.0
2009-06-04,294.99
2009-06-05,302.99
2009-06-08,289.0
2009-06-09,291.99
2009-06-10,293.47
2009-06-11,290.98
2009-06-15,266.97
2009-06-16,283.98
2009-06-17,262.99
2009-06-18,268.0
2009-06-19,274.45
2009-06-22,242.63
2009-06-23,238.5
2009-06-24,252.9
2009-06-25,244.0
2009-06-26,244.44
2009-06-29,248.4
2009-06-30,241.5
2009-07-01,245.98
2009-07-02,254.0
2009-07-03,253.0
2009-07-06,239.45
2009-07-07,239.98
2009-07-08,235.0
2009-07-09,233.8
2009-07-10,217.65
2009-07-13,211.0
2009-07-14,224.01
2009-07-15,243.0
2009-07-16,253.12
2009-07-17,262.99
2009-07-20,267.0
2009-07-21,269.29
2009-07-22,262.35
2009-07-23,280.0
2009-07-24,275.5
2009-07-27,282.48
2009-07-28,272.0
2009-07-29,275.67
2009-07-30,294.96
2009-07-31,293.0
2009-08-03,317.9
2009-08-04,312.98
2009-08-05,299.64
2009-08-06,304.58
2009-08-07,327.7
2009-08-10,328.0
2009-08-11,308.61
2009-08-12,325.98
2009-08-13,333.0
2009-08-14,333.89
2009-08-17,306.01
2009-08-18,312.99
2009-08-19,303.0
2009-08-20,309.95
2009-08-21,328.9
2009-08-24,332.98
2009-08-25,347.0
2009-08-26,349.13
2009-08-27,342.0
2009-08-28,357.5
2009-08-31,348.0
2009-09-01,350.0
2009-09-02,314.21
2009-09-03,339.85
2009-09-04,340.7
2009-09-07,343.0
2009-09-08,359.99
2009-09-09,359.0
2009-09-10,394.0
2009-09-11,436.0
2009-09-14,413.5
2009-09-15,426.89
2009-09-16,420.99
2009-09-17,431.0
2009-09-18,430.27
2009-09-21,414.95
2009-09-22,439.9
2009-09-23,459.89
2009-09-24,444.0
2009-09-25,449.19
2009-09-28,460.0
2009-09-29,494.99
2009-09-30,477.0
2009-10-01,484.99
2009-10-02,463.42
2009-10-05,451.33
2009-10-06,478.2
2009-10-07,469.99
2009-10-08,478.5
2009-10-09,477.02
2009-10-12,484.05
2009-10-13,478.0
2009-10-14,496.99
2009-10-15,502.0
2009-10-16,502.99
2009-10-19,506.0
2009-10-20,518.99
2009-10-21,519.99
2009-10-22,490.0
2009-10-23,498.84
2009-10-26,494.0
2009-10-27,470.0
2009-10-28,435.01
2009-10-29,465.0
2009-10-30,450.99
2009-11-02,459.4
2009-11-03,437.0
2009-11-05,492.09
2009-11-06,480.0
2009-11-09,491.0
2009-11-10,480.0
2009-11-11,482.0
2009-11-12,472.0
2009-11-13,469.9
2009-11-16,502.0
2009-11-17,485.41
2009-11-18,489.0
2009-11-19,478.5
2009-11-20,477.02
2009-11-23,480.0
2009-11-24,470.0
2009-11-25,464.79
2009-11-26,454.0
2009-11-27,469.0
2009-11-30,454.08
2009-12-01,467.96
2009-12-02,480.0
2009-12-03,478.75
2009-12-04,492.0
2009-12-07,490.0
2009-12-08,488.94
2009-12-09,473.0
2009-12-10,470.1
2009-12-11,474.04
2009-12-14,485.0
2009-12-15,486.95
2009-12-16,495.93
2009-12-17,486.97
2009-12-18,487.31
2009-12-21,492.14
2009-12-22,483.0
2009-12-23,482.0
2009-12-24,472.0
2009-12-25,477.0
2009-12-28,485.87
2009-12-29,484.5
2009-12-30,485.0
2009-12-31,487.0
2010-01-11,527.0
2010-01-12,519.0
2010-01-13,564.33
2010-01-14,605.02
2010-01-15,605.0
2010-01-18,625.5
2010-01-19,633.0
2010-01-20,625.0
2010-01-21,609.9
2010-01-22,587.5
2010-01-25,590.0
2010-01-26,576.0
2010-01-27,572.48
2010-01-28,575.0
2010-01-29,578.2
2010-02-01,592.0
2010-02-02,622.0
2010-02-03,640.0
2010-02-04,625.0
2010-02-05,599.98
2010-02-08,615.0
2010-02-09,634.19
2010-02-10,623.0
2010-02-11,621.0
2010-02-12,627.04
