TRADEDATE,CLOSE
2011-11-21,181.01
2011-11-22,189.76
2011-11-23,195.05
2011-11-24,194.99
2011-11-25,199.42
2011-11-28,207.01
2011-11-29,201.89
2011-11-30,211.97
2011-12-01,212.51
2011-12-02,212.01
2011-12-05,206.02
2011-12-06,204.07
2011-12-07,207.88
2011-12-08,208.77
2011-12-09,195.0
2011-12-12,196.46
2011-12-13,191.7
2011-12-14,190.12
2011-12-15,190.05
2011-12-16,189.01
2011-12-19,193.7
2011-12-20,188.76
2011-12-21,186.01
2011-12-22,183.0
2011-12-23,182.69
2011-12-26,188.98
2011-12-27,182.0
2011-12-28,180.01
2011-12-29,178.5
2011-12-30,183.98
2012-01-03,189.93
2012-01-04,187.06
2012-01-05,189.24
2012-01-06,198.5
2012-01-09,198.8
2012-01-10,203.44
2012-01-11,199.0
2012-01-12,201.03
2012-01-13,207.5
2012-01-16,206.07
2012-01-17,208.08
2012-01-18,209.01
2012-01-19,212.0
2012-01-20,212.93
2012-01-23,214.99
2012-01-24,208.67
2012-01-25,213.01
2012-01-26,218.62
2012-01-27,222.37
2012-01-30,214.01
2012-01-31,213.37
2012-02-01,223.39
2012-02-02,218.9
2012-02-03,217.99
2012-02-06,212.41
2012-02-07,219.2
2012-02-08,216.25
2012-02-09,223.75
2012-02-10,217.84
2012-02-13,219.98
2012-02-14,219.97
2012-02-15,221.01
2012-02-16,218.94
2012-02-17,215.12
2012-02-20,217.26
2012-02-21,220.78
2012-02-22,220.57
2012-02-24,224.9
2012-02-27,222.05
2012-02-28,223.39
2012-02-29,223.27
2012-03-01,224.01
2012-03-02,226.08
2012-03-05,230.0
2012-03-06,221.22
2012-03-07,225.86
2012-03-11,224.39
2012-03-12,226.5
2012-03-13,226.14
2012-03-14,230.59
2012-03-15,235.29
2012-03-16,236.01
2012-03-19,239.67
2012-03-20,232.0
2012-03-21,230.2
2012-03-22,228.4
2012-03-23,230.97
2012-03-26,229.01
2012-03-27,231.95
2012-03-28,231.93
2012-03-29,225.01
2012-03-30,229.89
2012-04-02,234.0
2012-04-03,235.05
2012-04-04,228.0
2012-04-05,236.91
2012-04-06,228.98
2012-04-09,234.3
2012-04-10,231.16
2012-04-11,230.51
2012-04-12,230.01
2012-04-13,237.25
2012-04-16,235.61
2012-04-17,231.51
2012-04-18,233.96
2012-04-19,235.01
2012-04-20,233.01
2012-04-23,228.5
2012-04-24,215.91
2012-04-25,227.03
2012-04-26,230.75
2012-04-27,230.01
2012-04-28,233.01
2012-05-02,234.43
2012-05-03,240.47
2012-05-04,232.33
2012-05-05,228.31
2012-05-07,233.25
2012-05-08,232.0
2012-05-10,233.83
2012-05-11,216.01
