TRADEDATE,CLOSE
2007-11-06,176.7
2007-11-07,174.23
2007-11-08,174.5
2007-11-09,172.0
2007-11-12,179.0
2007-11-13,178.65
2007-11-14,171.0
2007-11-15,189.99
2007-11-16,164.0
2007-11-19,160.7
2007-11-20,154.94
2007-11-22,150.0
2007-11-23,148.0
2007-11-26,145.5
2007-11-27,144.44
2007-11-28,145.1
2007-11-29,145.0
2007-11-30,149.0
2007-12-04,150.0
2007-12-05,151.0
2007-12-06,158.0
2007-12-07,154.0
2007-12-10,162.2
2007-12-12,172.0
2007-12-13,165.0
2007-12-14,161.0
2007-12-17,166.0
2007-12-18,167.45
2007-12-19,166.0
2007-12-20,170.0
2007-12-21,169.0
2007-12-24,172.0
2007-12-25,175.99
2007-12-26,173.0
2007-12-27,174.0
2007-12-28,178.38
2008-01-09,177.03
2008-01-11,193.5
2008-01-14,187.0
2008-01-15,188.99
2008-01-16,188.0
2008-01-17,183.75
2008-01-18,194.95
2008-01-21,186.55
2008-01-22,192.99
2008-01-23,170.0
2008-01-24,170.0
2008-01-25,170.0
2008-01-28,168.11
2008-01-29,164.0
2008-01-30,159.0
2008-01-31,162.0
2008-02-01,161.74
2008-02-04,164.36
2008-02-05,167.25
2008-02-06,167.52
2008-02-07,160.01
2008-02-08,167.0
2008-02-11,168.0
2008-02-12,174.5
2008-02-13,175.5
2008-02-14,175.0
2008-02-15,170.01
2008-02-18,174.5
2008-02-19,174.75
2008-02-20,176.05
2008-02-21,177.0
2008-02-22,176.0
2008-02-26,177.0
2008-02-27,179.31
2008-02-28,180.0
2008-02-29,172.02
2008-03-03,175.0
2008-03-04,179.99
2008-03-05,188.0
2008-03-06,194.25
2008-03-07,188.0
2008-03-11,195.65
2008-03-12,187.5
2008-03-13,189.0
2008-03-14,192.0
2008-03-17,187.01
2008-03-18,185.35
2008-03-19,184.0
2008-03-20,180.0
2008-03-21,190.0
2008-03-24,188.0
2008-03-25,187.0
2008-03-26,184.0
2008-03-27,180.0
2008-03-28,177.0
2008-03-31,175.0
2008-04-01,178.5
2008-04-02,178.0
2008-04-03,179.0
2008-04-04,178.0
2008-04-07,178.0
2008-04-08,176.0
2008-04-09,177.0
2008-04-11,170.0
2008-04-14,172.0
2008-04-15,173.0
2008-04-16,162.0
2008-04-17,164.9
2008-04-18,164.5
2008-04-21,166.0
2008-04-22,164.5
2008-04-23,168.0
2008-04-24,176.0
2008-04-25,178.0
2008-04-28,178.0
2008-04-29,184.0
2008-04-30,183.84
2008-05-04,182.5
2008-05-05,183.04
2008-05-06,181.5
2008-05-07,182.0
2008-05-12,190.0
2008-05-13,185.6
2008-05-14,199.89
2008-05-15,199.99
2008-05-16,211.05
2008-05-19,208.5
2008-05-20,205.0
2008-05-21,201.0
2008-05-22,202.99
2008-05-23,200.01
2008-05-26,200.0
2008-05-27,200.0
2008-05-28,200.99
2008-05-29,203.0
2008-05-30,203.0
2008-06-02,203.0
2008-06-03,206.5
2008-06-04,205.51
2008-06-05,203.0
2008-06-06,206.0
2008-06-07,206.85
2008-06-09,204.84
2008-06-10,200.0
2008-06-11,207.0
2008-06-16,208.75
2008-06-17,209.0
2008-06-18,208.5
2008-06-19,207.0
2008-06-20,203.0
2008-06-23,206.0
2008-06-24,200.0
2008-06-25,200.0
2008-06-26,198.0
2008-06-27,195.02
2008-06-30,194.99
2008-07-01,192.99
2008-07-02,187.5
2008-07-03,183.0
2008-07-04,182.0
2008-07-07,186.5
2008-07-08,187.89
2008-07-09,184.0
2008-07-10,187.0
2008-07-11,182.0
2008-07-14,183.5
2008-07-15,183.0
2008-07-16,179.0
2008-07-17,179.0
2008-07-18,180.0
2008-07-21,177.0
2008-07-22,171.6
2008-07-23,171.59
2008-07-24,172.19
2008-07-25,163.0
2008-07-29,160.0
2008-07-30,160.0
2008-07-31,163.0
2008-08-01,160.0
2008-08-04,149.0
2008-08-05,142.0
2008-08-06,143.0
2008-08-07,138.5
2008-08-08,140.18
2008-08-11,140.0
2008-08-12,150.0
2008-08-13,146.99
2008-08-14,145.01
2008-08-15,150.99
2008-08-18,150.0
2008-08-19,146.0
2008-08-20,146.5
2008-08-21,143.0
2008-08-22,143.99
2008-08-25,141.0
2008-08-26,141.0
2008-08-27,142.0
2008-08-28,141.45
2008-08-29,138.0
2008-09-01,134.9
2008-09-02,128.99
2008-09-03,128.99
2008-09-04,129.0
2008-09-05,126.07
2008-09-08,129.0
2008-09-09,130.0
2008-09-10,123.0
2008-09-11,103.0
2008-09-12,105.0
2008-09-15,102.0
2008-09-16,80.0
2008-09-17,88.0
2008-09-19,80.0
2008-09-22,83.0
2008-09-23,82.0
2008-09-24,80.68
2008-09-25,80.0
2008-09-26,78.92
2008-09-29,72.0
2008-09-30,69.0
2008-10-01,64.41
2008-10-02,60.02
2008-10-03,52.01
2008-10-06,51.0
2008-10-07,54.99
2008-10-08,51.0
2008-10-09,52.5
2008-10-13,48.0
2008-10-14,51.0
2008-10-15,49.51
2008-10-16,46.9
2008-10-17,48.0
2008-10-20,35.0
2008-10-22,24.8
2008-10-24,24.0
2008-10-28,18.0
2008-10-30,23.77
2008-11-01,31.99
2008-11-06,28.5
2008-11-07,28.49
2008-11-10,30.0
2008-11-11,28.5
2008-11-13,24.0
2008-11-14,28.5
2008-11-17,27.4
2008-11-18,26.99
2008-11-19,25.0
2008-11-20,24.5
2008-11-21,23.05
2008-11-24,24.0
2008-11-25,24.76
2008-11-26,24.35
2008-11-27,24.31
2008-11-28,26.0
2008-12-01,26.4
2008-12-02,25.0
2008-12-03,26.0
2008-12-04,25.0
2008-12-05,24.0
2008-12-08,24.0
2008-12-09,24.69
2008-12-10,24.1
2008-12-11,24.2
2008-12-12,24.7
2008-12-15,24.99
2008-12-16,24.0
2008-12-17,24.1
2008-12-18,23.65
2008-12-19,23.8
2008-12-22,24.0
2008-12-23,24.99
2008-12-24,25.16
2008-12-25,25.5
2008-12-26,25.88
2008-12-29,26.0
2008-12-30,25.0
2008-12-31,25.5
2009-01-11,26.4
2009-01-12,27.9
2009-01-13,28.5
2009-01-14,28.71
2009-01-15,28.49
2009-01-16,27.99
2009-01-19,29.68
2009-01-20,29.88
2009-01-21,28.5
2009-01-22,27.51
2009-01-23,25.48
2009-01-26,25.8
2009-01-27,25.8
2009-01-28,25.61
2009-01-29,26.2
2009-01-30,25.3
2009-02-02,25.4
2009-02-03,25.04
2009-02-04,25.25
2009-02-05,25.0
2009-02-06,25.48
2009-02-09,25.85
2009-02-10,25.4
2009-02-11,25.0
2009-02-12,24.7
2009-02-13,26.2
2009-02-16,25.6
2009-02-17,26.0
2009-02-18,26.5
2009-02-19,27.5
2009-02-20,27.3
2009-02-24,27.4
2009-02-25,28.0
2009-02-26,28.0
2009-02-27,27.85
2009-03-02,27.88
2009-03-03,27.8
2009-03-04,27.83
2009-03-05,27.5
2009-03-06,27.5
2009-03-10,28.3
2009-03-11,28.5
2009-03-12,28.0
2009-03-13,27.8
2009-03-16,27.52
2009-03-17,27.8
2009-03-18,27.5
2009-03-19,28.5
2009-03-20,28.0
2009-03-23,28.8
2009-03-24,28.25
2009-03-25,28.75
2009-03-26,28.76
2009-03-27,28.76
2009-03-30,29.2
2009-03-31,31.69
2009-04-01,32.45
2009-04-02,31.7
2009-04-03,41.28
2009-04-06,39.5
2009-04-07,41.99
2009-04-08,49.0
2009-04-09,54.54
2009-04-10,62.0
2009-04-13,58.2
2009-04-14,56.94
2009-04-15,56.1
2009-04-16,58.1
2009-04-17,67.5
2009-04-20,62.0
2009-04-21,61.98
2009-04-22,62.0
2009-04-23,61.25
2009-04-24,60.75
2009-04-27,60.25
2009-04-28,59.44
2009-04-29,60.0
2009-04-30,61.0
