TRADEDATE,CLOSE
2006-04-18,63.2
2006-04-19,66.0
2006-04-20,65.0
2006-04-21,65.5
2006-04-24,63.0
2006-04-25,65.0
2006-04-26,65.0
2006-04-27,62.1
2006-04-28,63.7
2006-05-02,63.0
2006-05-03,64.7
2006-05-04,63.5
2006-05-05,63.9
2006-05-06,63.2
2006-05-10,64.1
2006-05-11,67.8
2006-05-12,66.5
2006-05-15,63.5
2006-05-16,63.5
2006-05-17,64.5
2006-05-18,64.5
2006-05-19,62.0
2006-05-22,52.0
2006-05-23,56.6
2006-05-24,50.0
2006-05-25,51.2
2006-05-26,55.9
2006-05-29,58.3
2006-05-30,58.3
2006-05-31,60.5
2006-06-01,62.8
2006-06-02,64.4
2006-06-05,63.0
2006-06-06,60.0
2006-06-07,58.0
2006-06-08,53.0
2006-06-09,53.0
2006-06-13,51.0
2006-06-14,50.1
2006-06-15,55.2
2006-06-16,54.0
2006-06-19,56.0
2006-06-20,53.0
2006-06-21,53.0
2006-06-22,50.4
2006-06-23,51.5
2006-06-26,53.7
2006-06-27,53.5
2006-06-28,52.7
2006-06-29,56.0
2006-06-30,59.8
2006-07-03,58.0
2006-07-04,59.5
2006-07-05,59.6
2006-07-06,59.0
2006-07-07,59.1
2006-07-10,62.0
2006-07-11,63.0
2006-07-12,62.2
2006-07-13,58.0
2006-07-14,58.4
2006-07-17,55.0
2006-07-18,55.0
2006-07-19,57.0
2006-07-20,59.3
2006-07-21,58.7
2006-07-24,58.1
2006-07-25,57.2
2006-07-26,58.5
2006-07-27,59.6
2006-07-28,59.0
2006-07-31,58.2
2006-08-01,58.1
2006-08-02,59.6
2006-08-03,59.1
2006-08-04,59.1
2006-08-07,57.9
2006-08-08,58.0
2006-08-09,58.0
2006-08-10,57.2
2006-08-11,58.2
2006-08-14,57.6
2006-08-15,57.0
2006-08-16,56.3
2006-08-17,56.2
2006-08-18,55.7
2006-08-21,56.0
2006-08-22,56.8
2006-08-23,56.8
2006-08-24,55.8
2006-08-25,56.8
2006-08-28,57.9
2006-08-29,57.0
2006-08-30,54.2
2006-08-31,53.3
2006-09-01,53.9
2006-09-04,53.9
2006-09-05,53.0
2006-09-06,53.3
2006-09-07,53.0
2006-09-08,52.5
2006-09-11,51.8
2006-09-12,51.6
2006-09-13,50.8
2006-09-14,50.8
2006-09-15,50.2
2006-09-18,51.4
2006-09-19,51.0
2006-09-20,51.0
2006-09-21,52.0
2006-09-22,50.8
2006-09-25,49.9
2006-09-26,50.08
2006-09-27,52.45
2006-09-28,52.5
2006-09-29,51.5
2006-10-02,51.07
2006-10-03,50.0
2006-10-04,50.0
2006-10-05,51.0
2006-10-06,51.23
2006-10-09,52.44
2006-10-10,52.42
2006-10-11,52.55
2006-10-12,52.1
2006-10-13,52.9
2006-10-16,53.25
2006-10-17,54.22
2006-10-18,56.5
2006-10-19,57.05
2006-10-20,56.39
2006-10-23,56.5
2006-10-24,56.47
2006-10-25,57.5
2006-10-26,57.4
2006-10-27,57.6
2006-10-30,56.9
2006-10-31,56.8
2006-11-01,55.66
2006-11-02,55.94
2006-11-03,55.2
2006-11-07,56.51
2006-11-08,55.5
2006-11-09,56.6
2006-11-10,57.08
2006-11-13,57.0
2006-11-14,57.6
2006-11-15,59.19
2006-11-16,59.2
2006-11-17,58.79
2006-11-20,57.4
2006-11-21,58.09
2006-11-22,58.1
2006-11-23,58.3
2006-11-24,58.47
2006-11-27,59.15
2006-11-28,58.69
2006-11-29,59.01
2006-11-30,61.41
2006-12-01,62.0
2006-12-04,63.0
2006-12-05,63.9
2006-12-06,64.5
2006-12-07,63.1
2006-12-08,63.4
2006-12-11,61.19
2006-12-12,61.7
2006-12-13,60.89
2006-12-14,60.4
2006-12-15,60.25
2006-12-18,60.5
2006-12-19,61.65
2006-12-20,60.92
2006-12-21,61.5
2006-12-22,61.16
2006-12-25,61.5
2006-12-26,60.66
2006-12-27,61.23
2006-12-28,60.9
2006-12-29,63.45
2007-01-09,58.59
2007-01-10,58.08
2007-01-11,59.2
2007-01-12,58.61
2007-01-15,59.71
2007-01-16,58.71
2007-01-17,58.55
2007-01-18,58.07
2007-01-19,58.3
2007-01-22,59.04
2007-01-23,61.7
2007-01-24,62.59
2007-01-25,64.75
2007-01-26,63.55
2007-01-29,63.67
2007-01-30,64.1
2007-01-31,64.9
2007-02-01,67.45
2007-02-02,68.04
2007-02-05,69.46
2007-02-06,70.4
2007-02-07,69.5
2007-02-08,68.6
2007-02-09,69.61
2007-02-12,67.3
2007-02-13,68.0
2007-02-14,68.33
2007-02-15,68.1
2007-02-16,68.29
2007-02-19,68.97
2007-02-20,69.5
2007-02-21,72.9
2007-02-22,73.49
2007-02-26,77.24
2007-02-27,72.0
2007-02-28,70.0
2007-03-01,68.01
2007-03-02,67.25
2007-03-05,63.9
2007-03-06,65.3
2007-03-07,64.73
2007-03-09,71.2
2007-03-12,71.25
2007-03-13,72.55
2007-03-14,69.5
2007-03-15,70.8
2007-03-16,72.45
2007-03-19,60.0
2007-03-20,72.19
2007-03-21,71.46
2007-03-22,73.0
2007-03-23,75.0
2007-03-26,74.99
2007-03-27,74.0
2007-03-28,74.8
2007-03-29,75.4
2007-03-30,75.48
2007-04-02,60.0
2007-04-03,75.99
2007-04-04,77.15
2007-04-05,77.2
2007-04-06,76.4
2007-04-09,76.2
2007-04-10,78.1
2007-04-11,81.0
2007-04-12,77.74
2007-04-13,77.98
2007-04-16,77.8
2007-04-17,76.7
2007-04-18,75.5
2007-04-19,73.9
2007-04-20,76.8
2007-04-23,76.0
2007-04-24,75.1
2007-04-25,72.5
2007-04-26,72.8
