TRADEDATE,CLOSE
2011-11-21,390.15
2011-11-22,400.0
2011-11-23,391.0
2011-11-24,390.2
2011-11-25,407.97
2011-11-28,417.0
2011-11-29,413.01
2011-11-30,418.16
2011-12-01,413.45
2011-12-02,414.21
2011-12-05,409.0
2011-12-06,390.0
2011-12-07,387.0
2011-12-08,390.0
2011-12-09,393.0
2011-12-12,372.0
2011-12-13,375.95
2011-12-14,381.01
2011-12-15,385.0
2011-12-16,385.0
2011-12-19,374.77
2011-12-20,382.0
2011-12-21,377.02
2011-12-22,378.75
2011-12-23,379.0
2011-12-26,373.47
2011-12-27,370.0
2011-12-28,373.26
2011-12-29,378.85
2011-12-30,393.71
2012-01-03,400.7
2012-01-04,396.03
2012-01-05,393.0
2012-01-06,385.01
2012-01-09,395.97
2012-01-10,407.45
2012-01-11,395.4
2012-01-12,400.0
2012-01-13,391.0
2012-01-16,388.75
2012-01-17,384.95
2012-01-18,394.0
2012-01-19,389.02
2012-01-20,380.1
2012-01-23,389.8
2012-01-24,370.0
2012-01-25,381.84
2012-01-26,385.6
2012-01-27,381.0
2012-01-30,385.21
2012-01-31,391.71
2012-02-01,400.1
2012-02-02,395.03
2012-02-03,400.3
2012-02-06,405.0
2012-02-07,398.17
2012-02-08,393.1
2012-02-09,390.0
2012-02-10,382.77
2012-02-13,389.53
2012-02-14,392.17
2012-02-15,396.99
2012-02-16,395.5
2012-02-17,390.0
2012-02-20,393.5
2012-02-21,388.78
2012-02-22,382.62
2012-02-24,399.5
2012-02-27,398.0
2012-02-28,397.24
2012-02-29,399.0
2012-03-01,392.92
2012-03-02,403.92
2012-03-05,412.4
2012-03-06,398.6
2012-03-07,404.32
2012-03-11,415.3
2012-03-12,415.14
2012-03-13,415.0
2012-03-14,416.71
2012-03-15,419.5
2012-03-16,410.45
2012-03-19,407.5
2012-03-20,397.0
2012-03-21,400.0
2012-03-22,394.0
2012-03-23,399.98
2012-03-26,401.81
2012-03-27,400.0
2012-03-28,388.0
2012-03-29,380.0
2012-03-30,388.84
2012-04-02,396.31
2012-04-03,403.5
2012-04-04,388.61
2012-04-05,397.98
2012-04-06,386.0
2012-04-09,391.78
2012-04-10,387.3
2012-04-11,386.85
2012-04-12,384.77
2012-04-13,384.5
2012-04-16,376.56
2012-04-17,372.03
2012-04-18,375.58
2012-04-19,386.0
2012-04-20,393.49
2012-04-23,376.99
2012-04-24,370.53
2012-04-25,375.0
2012-04-26,376.0
2012-04-27,378.9
2012-04-28,378.61
2012-05-02,338.78
2012-05-03,328.49
2012-05-04,317.57
2012-05-05,312.12
2012-05-07,317.77
2012-05-08,317.89
2012-05-10,333.01
2012-05-11,331.0
2012-05-12,333.1
2012-05-14,321.4
2012-05-15,328.0
2012-05-16,328.0
2012-05-21,311.29
2012-05-22,310.01
2012-05-23,301.28
2012-05-24,300.02
2012-05-25,292.09
2012-05-28,292.4
2012-05-29,296.53
2012-05-30,288.46
2012-05-31,290.1
2012-06-01,287.0
2012-06-04,303.0
2012-06-05,300.08
2012-06-06,294.51
2012-06-13,322.0
2012-06-18,322.53
2012-06-19,342.93
2012-06-20,332.89
2012-06-21,319.84
2012-06-22,325.49
