TRADEDATE,CLOSE
2011-11-21,0.8647
2011-11-22,0.8564
2011-11-23,0.8776
2011-11-24,0.8739
2011-11-25,0.8402
2011-11-28,0.868
2011-11-29,0.8648
2011-11-30,0.8708
2011-12-01,0.8711
2011-12-02,0.8573
2011-12-05,0.8661
2011-12-06,0.8353
2011-12-07,0.8548
2011-12-08,0.8433
2011-12-09,0.8226
2011-12-12,0.8036
2011-12-13,0.8061
2011-12-14,0.7869
2011-12-15,0.805
2011-12-16,0.7803
2011-12-19,0.818
2011-12-20,0.7941
2011-12-21,0.7914
2011-12-22,0.77
2011-12-23,0.78
2011-12-26,0.7805
2011-12-27,0.7676
2011-12-28,0.7581
2011-12-29,0.7575
2011-12-30,0.7465
2012-01-03,0.7755
2012-01-04,0.799
2012-01-05,0.8099
2012-01-06,0.81
2012-01-09,0.8216
2012-01-10,0.8106
2012-01-11,0.7982
2012-01-12,0.8097
2012-01-13,0.7884
2012-01-16,0.7715
2012-01-17,0.7836
2012-01-18,0.7875
2012-01-19,0.7801
2012-01-20,0.7718
2012-01-23,0.7705
2012-01-24,0.7677
2012-01-25,0.752
2012-01-26,0.76
2012-01-27,0.7488
2012-01-30,0.74
2012-01-31,0.7592
2012-02-01,0.8099
2012-02-02,0.8157
2012-02-03,0.8529
2012-02-06,0.8642
2012-02-07,0.8699
2012-02-08,0.8804
2012-02-09,0.879
2012-02-10,0.8452
2012-02-13,0.8662
2012-02-14,0.8636
2012-02-15,0.8666
2012-02-16,0.857
2012-02-17,0.8599
2012-02-20,0.862
2012-02-21,0.8479
2012-02-22,0.8421
2012-02-24,0.8672
2012-02-27,0.8501
2012-02-28,0.8401
2012-02-29,0.8428
2012-03-01,0.84
2012-03-02,0.831
2012-03-05,0.8346
2012-03-06,0.7981
2012-03-07,0.8185
2012-03-11,0.8303
2012-03-12,0.8159
2012-03-13,0.8333
2012-03-14,0.8498
2012-03-15,0.8282
2012-03-16,0.8389
2012-03-19,0.8198
2012-03-20,0.799
2012-03-21,0.7918
2012-03-22,0.78
2012-03-23,0.79
2012-03-26,0.8006
2012-03-27,0.7896
2012-03-28,0.7688
2012-03-29,0.7399
2012-03-30,0.74
2012-04-02,0.74
2012-04-03,0.7412
2012-04-04,0.7315
2012-04-05,0.7385
2012-04-06,0.7279
2012-04-09,0.731
2012-04-10,0.7202
2012-04-11,0.7207
2012-04-12,0.7309
2012-04-13,0.7216
2012-04-16,0.719
2012-04-17,0.707
2012-04-18,0.6791
2012-04-19,0.687
2012-04-20,0.69
2012-04-23,0.6725
2012-04-24,0.6779
2012-04-25,0.6624
2012-04-26,0.618
2012-04-27,0.6077
2012-04-28,0.6096
2012-05-02,0.5799
2012-05-03,0.589
2012-05-04,0.5619
2012-05-05,0.5673
2012-05-07,0.5463
2012-05-08,0.5461
2012-05-10,0.558
2012-05-11,0.5572
2012-05-12,0.5629
2012-05-14,0.5305
2012-05-15,0.5645
2012-05-16,0.5663
2012-05-17,0.5002
2012-05-18,0.4805
2012-05-21,0.4884
2012-05-22,0.4456
2012-05-23,0.4063
2012-05-24,0.41
2012-05-25,0.4182
2012-05-28,0.42
2012-05-29,0.4274
2012-05-30,0.4101
2012-05-31,0.4013
2012-06-01,0.385
2012-06-04,0.3892
2012-06-05,0.3971
2012-06-06,0.4005
2012-06-07,0.419
2012-06-08,0.4604
2012-06-09,0.4723
2012-06-13,0.4767
2012-06-14,0.4612
2012-06-15,0.4634
2012-06-18,0.4766
2012-06-19,0.4555
2012-06-20,0.441
2012-06-21,0.4455
2012-06-22,0.439
2012-06-25,0.4371
2012-06-26,0.443
2012-06-27,0.463
2012-06-28,0.4546
2012-06-29,0.467
2012-07-02,0.4672
2012-07-03,0.4743
2012-07-04,0.4766
2012-07-05,0.4727
2012-07-06,0.4651
2012-07-09,0.4628
2012-07-10,0.4712
2012-07-11,0.4682
2012-07-12,0.4575
2012-07-13,0.4577
2012-07-16,0.4593
2012-07-17,0.46
2012-07-18,0.4624
2012-07-19,0.469
2012-07-20,0.4554
2012-07-23,0.4326
2012-07-24,0.4284
2012-07-25,0.4225
2012-07-26,0.4245
2012-07-27,0.4329
2012-07-30,0.4408
2012-07-31,0.4352
2012-08-01,0.4369
2012-08-02,0.4407
2012-08-03,0.4434
2012-08-06,0.4489
2012-08-07,0.45
2012-08-08,0.4567
2012-08-09,0.4501
2012-08-10,0.4499
2012-08-13,0.446
2012-08-14,0.4524
2012-08-15,0.4479
2012-08-16,0.4485
2012-08-17,0.4528
2012-08-20,0.4449
2012-08-21,0.4493
2012-08-22,0.4495
2012-08-23,0.4501
2012-08-24,0.4454
2012-08-27,0.445
2012-08-28,0.4449
2012-08-29,0.4347
2012-08-30,0.421
2012-08-31,0.4216
2012-09-03,0.4263
