TRADEDATE,CLOSE
2024-10-17,33.0
2024-10-18,33.6
2024-10-21,33.99
2024-10-22,33.81
2024-10-23,33.17
2024-10-24,33.07
2024-10-25,31.11
2024-10-28,29.63
2024-10-29,30.22
2024-10-30,30.25
2024-10-31,29.7
2024-11-01,29.62
2024-11-02,29.5
2024-11-05,29.5
2024-11-06,29.38
2024-11-07,29.23
2024-11-08,30.33
2024-11-11,31.08
2024-11-12,30.48
2024-11-13,30.27
2024-11-14,29.7
2024-11-15,29.67
2024-11-18,29.19
2024-11-19,28.91
2024-11-20,28.4
2024-11-21,28.09
2024-11-22,28.28
2024-11-25,27.64
2024-11-26,26.29
2024-11-27,27.3
2024-11-28,26.69
2024-11-29,27.4
2024-12-02,28.43
2024-12-03,28.23
2024-12-04,28.9
2024-12-05,29.22
2024-12-06,32.1
2024-12-09,32.11
2024-12-10,30.48
2024-12-11,31.04
2024-12-12,31.2
2024-12-13,30.39
2024-12-16,29.99
2024-12-17,30.0
2024-12-18,30.35
2024-12-19,31.2
2024-12-20,32.9
2024-12-23,33.12
2024-12-24,33.18
2024-12-25,33.24
2024-12-26,34.81
2024-12-27,34.51
2024-12-28,34.9
2024-12-30,41.47
2025-01-03,48.0
2025-01-06,52.29
2025-01-08,50.25
2025-01-09,42.0
2025-01-10,43.12
2025-01-13,42.26
2025-01-14,42.57
2025-01-15,42.03
2025-01-16,42.02
2025-01-17,40.78
2025-01-20,39.63
2025-01-21,39.9
2025-01-22,42.81
2025-01-23,43.01
2025-01-24,42.54
2025-01-27,42.19
2025-01-28,41.98
2025-01-29,41.91
2025-01-30,42.5
2025-01-31,42.57
2025-02-03,43.43
2025-02-04,43.0
2025-02-05,43.5
2025-02-06,46.98
2025-02-07,48.21
2025-02-10,47.55
2025-02-11,47.88
2025-02-12,47.49
2025-02-13,48.15
2025-02-14,50.96
2025-02-17,54.5
2025-02-18,53.19
2025-02-19,55.28
2025-02-20,57.82
2025-02-21,61.77
2025-02-24,60.82
2025-02-25,59.13
2025-02-26,57.0
2025-02-27,55.5
2025-02-28,55.12
2025-03-03,56.8
2025-03-04,56.99
2025-03-05,56.99
2025-03-06,56.4
2025-03-07,55.51
2025-03-10,56.68
2025-03-11,56.15
2025-03-12,55.14
2025-03-13,53.7
2025-03-14,55.41
2025-03-17,57.21
2025-03-18,56.54
2025-03-19,56.82
2025-03-20,56.85
2025-03-21,56.37
2025-03-24,56.7
2025-03-25,56.38
2025-03-26,55.74
2025-03-27,53.79
2025-03-28,52.59
2025-03-31,52.05
2025-04-01,51.5
2025-04-02,51.1
2025-04-03,49.58
2025-04-04,51.08
2025-04-07,50.2
2025-04-08,51.09
2025-04-09,49.06
2025-04-10,51.28
2025-04-11,52.04
2025-04-14,50.7
2025-04-15,51.2
2025-04-16,51.6
2025-04-17,55.53
2025-04-18,55.15
2025-04-21,56.89
2025-04-22,56.93
2025-04-23,56.48
2025-04-24,55.86
2025-04-25,56.01
2025-04-28,54.97
2025-04-29,53.25
2025-04-30,53.15
2025-05-02,51.79
2025-05-05,51.07
2025-05-06,51.66
2025-05-07,51.19
2025-05-08,51.3
2025-05-12,52.66
2025-05-13,52.41
2025-05-14,50.6
2025-05-15,50.95
2025-05-16,50.07
2025-05-19,49.9
2025-05-20,49.47
2025-05-21,48.77
2025-05-22,48.75
2025-05-23,49.06
2025-05-26,47.95
2025-05-27,49.18
2025-05-28,50.46
2025-05-29,49.96
2025-05-30,50.2
2025-06-02,50.12
2025-06-03,51.49
2025-06-04,50.51
2025-06-05,50.43
2025-06-06,49.94
2025-06-09,49.89
2025-06-10,49.84
2025-06-11,49.77
2025-06-13,49.65
2025-06-16,48.71
2025-06-17,47.02
2025-06-18,45.4
2025-06-19,45.79
2025-06-20,44.15
2025-06-23,42.9
2025-06-24,43.21
2025-06-25,44.14
2025-06-26,44.64
2025-06-27,44.78
2025-06-30,44.87
2025-07-01,44.79
2025-07-02,44.5
2025-07-03,44.57
2025-07-04,45.89
2025-07-07,47.71
2025-07-08,46.16
2025-07-09,45.9
2025-07-10,47.14
2025-07-11,46.11
2025-07-14,47.11
2025-07-15,48.1
2025-07-16,48.79
2025-07-17,49.58
2025-07-18,49.85
2025-07-21,49.99
2025-07-22,49.68
2025-07-23,50.15
2025-07-24,50.49
2025-07-25,51.86
2025-07-28,52.21
2025-07-29,51.83
2025-07-30,51.0
2025-07-31,50.45
2025-08-01,50.91
2025-08-04,52.2
2025-08-05,52.16
2025-08-06,52.1
2025-08-07,51.73
2025-08-08,51.97
2025-08-11,52.37
2025-08-12,52.7
2025-08-13,53.07
2025-08-14,52.81
2025-08-15,54.18
2025-08-18,54.41
2025-08-19,55.59
2025-08-20,56.38
2025-08-21,54.89
2025-08-22,55.94
2025-08-25,55.76
2025-08-26,56.78
2025-08-27,57.96
2025-08-28,58.69
2025-08-29,56.65
2025-09-01,57.3
2025-09-02,55.71
2025-09-03,55.86
2025-09-04,56.77
2025-09-05,56.54
2025-09-08,56.43
2025-09-09,55.76
2025-09-10,55.03
2025-09-11,55.13
2025-09-12,54.23
2025-09-15,55.17
2025-09-16,55.28
2025-09-17,55.02
2025-09-18,54.82
2025-09-19,53.66
2025-09-22,51.83
2025-09-23,50.38
2025-09-24,51.44
2025-09-25,51.9
2025-09-26,51.6
2025-09-29,50.79
2025-09-30,50.14
2025-10-01,48.45
2025-10-02,46.7
2025-10-03,49.88
2025-10-06,52.11
2025-10-07,53.37
2025-10-08,51.34
2025-10-09,50.84
2025-10-10,50.89
2025-10-13,50.57
2025-10-14,49.94
2025-10-15,49.85
2025-10-16,51.39
2025-10-17,51.7
2025-10-20,51.67
2025-10-21,50.27
2025-10-22,50.05
2025-10-23,50.83
2025-10-24,50.88
2025-10-27,49.96
2025-10-28,50.41
2025-10-29,50.39
2025-10-30,50.82
2025-10-31,51.4
2025-11-01,51.98
2025-11-03,51.91
2025-11-05,51.61
2025-11-06,50.96
2025-11-07,51.02
2025-11-10,51.22
2025-11-11,51.09
2025-11-12,50.75
2025-11-13,50.41
2025-11-14,50.54
2025-11-17,49.99
2025-11-18,50.26
2025-11-19,50.81
2025-11-20,51.15
2025-11-21,50.69
