TRADEDATE,CLOSE
2007-06-29,657.0
2007-07-02,669.0
2007-07-03,662.0
2007-07-04,639.0
2007-07-05,657.0
2007-07-06,657.4
2007-07-09,675.0
2007-07-10,678.2
2007-07-11,697.0
2007-07-12,714.0
2007-07-13,940.0
2007-07-16,819.94
2007-07-17,770.0
2007-07-18,721.01
2007-07-19,753.0
2007-07-20,766.0
2007-07-23,758.89
2007-07-24,769.88
2007-07-25,750.0
2007-07-26,734.0
2007-07-27,744.99
2007-07-30,800.0
2007-07-31,800.0
2007-08-01,760.0
2007-08-07,755.0
2007-08-08,730.0
2007-08-09,736.0
2007-08-10,725.0
2007-08-13,660.0
2007-08-14,663.6
2007-08-15,659.0
2007-08-16,625.0
2007-08-17,636.0
2007-08-20,635.0
2007-08-21,648.2
2007-08-22,661.5
2007-08-23,650.0
2007-08-24,680.0
2007-08-27,730.0
2007-08-28,719.0
2007-08-29,700.0
2007-08-30,710.0
2007-08-31,714.0
2007-09-03,709.0
2007-09-04,720.0
2007-09-05,720.0
2007-09-06,724.0
2007-09-07,725.0
2007-09-11,673.32
2007-09-12,706.64
2007-09-14,703.0
2007-09-17,660.0
2007-09-18,700.0
2007-09-19,690.0
2007-09-20,692.5
2007-09-21,700.0
2007-09-24,700.0
2007-09-25,679.99
2007-09-26,694.0
2007-09-27,680.99
2007-09-28,710.0
2007-10-01,700.0
2007-10-02,680.01
2007-10-03,699.98
2007-10-04,714.0
2007-10-05,750.0
2007-10-08,745.01
2007-10-09,772.0
2007-10-10,851.24
2007-10-11,770.0
2007-10-12,750.0
2007-10-15,716.79
2007-10-16,712.52
2007-10-17,710.0
2007-10-18,714.93
2007-10-19,720.0
2007-10-22,728.99
2007-10-23,728.06
2007-10-24,711.0
2007-10-25,711.0
2007-10-26,716.98
2007-10-29,701.0
2007-10-30,699.9
2007-10-31,699.97
2007-11-01,665.0
2007-11-02,666.59
2007-11-06,720.0
2007-11-07,720.0
2007-11-08,720.0
2007-11-09,717.0
2007-11-12,712.9
2007-11-13,720.0
2007-11-14,705.0
2007-11-15,710.25
2007-11-16,717.5
2007-11-19,710.1
2007-11-20,700.0
2007-11-21,700.45
2007-11-22,700.5
2007-11-23,706.7
2007-11-26,710.0
2007-11-27,700.5
2007-11-28,704.77
2007-11-29,709.8
2007-11-30,727.99
2007-12-03,742.01
2007-12-04,741.0
2007-12-05,745.11
2007-12-06,751.97
2007-12-07,755.0
2007-12-10,755.0
2007-12-11,747.9
2007-12-12,750.0
2007-12-13,745.0
2007-12-14,740.0
2007-12-17,743.0
2007-12-18,735.0
2007-12-19,728.0
2007-12-20,745.99
2007-12-21,751.0
2007-12-24,741.27
2007-12-25,741.03
2007-12-26,736.04
2007-12-27,740.0
2007-12-28,739.97
2008-01-09,740.0
2008-01-10,744.5
2008-01-11,743.0
2008-01-14,775.0
2008-01-15,780.0
2008-01-16,740.0
2008-01-17,750.0
2008-01-18,718.0
2008-01-21,695.0
2008-01-22,661.0
2008-01-23,664.0
2008-01-24,693.0
2008-01-25,691.5
2008-01-28,671.0
2008-01-29,675.0
2008-01-30,668.1
2008-01-31,675.0
2008-02-01,700.0
2008-02-04,707.02
2008-02-05,735.0
2008-02-06,719.0
2008-02-07,722.99
2008-02-08,700.0
2008-02-11,690.0
2008-02-12,712.5
2008-02-13,700.0
2008-02-14,699.49
2008-02-15,691.91
2008-02-18,699.98
2008-02-19,705.0
2008-02-20,696.04
2008-02-21,703.11
2008-02-22,724.99
2008-02-26,724.4
2008-02-27,724.5
2008-02-28,710.0
2008-02-29,714.95
2008-03-03,686.0
2008-03-04,672.75
2008-03-05,663.0
2008-03-06,664.0
2008-03-07,635.0
2008-03-11,663.0
2008-03-12,669.5
2008-03-13,669.0
2008-03-14,665.0
2008-03-17,660.0
2008-03-18,650.0
2008-03-19,634.0
2008-03-20,611.0
2008-03-21,623.0
2008-03-24,605.0
2008-03-25,615.99
2008-03-26,601.0
2008-03-27,590.0
2008-03-28,598.94
2008-03-31,572.0
2008-04-01,590.0
2008-04-02,585.0
2008-04-03,602.0
2008-04-04,585.0
2008-04-07,605.0
2008-04-08,590.0
2008-04-09,605.0
2008-04-10,619.27
2008-04-11,605.99
2008-04-14,585.0
2008-04-15,605.0
2008-04-16,609.0
2008-04-17,608.0
2008-04-18,610.0
2008-04-21,617.0
2008-04-22,628.0
2008-04-23,641.16
2008-04-24,631.0
2008-04-25,635.0
2008-04-28,630.0
2008-04-29,660.0
2008-04-30,675.0
2008-05-04,656.01
2008-05-05,632.9
2008-05-06,660.0
2008-05-07,650.0
2008-05-12,638.0
2008-05-13,636.97
2008-05-14,635.0
2008-05-15,628.5
2008-05-16,630.0
2008-05-19,665.0
2008-05-20,689.99
2008-05-21,690.0
2008-05-22,694.4
2008-05-23,694.9
2008-05-26,694.89
2008-05-27,667.0
2008-05-28,664.97
2008-05-29,683.99
2008-05-30,680.0
2008-06-02,666.0
2008-06-03,710.0
2008-06-04,711.0
2008-06-05,689.0
2008-06-06,670.5
2008-06-07,666.0
2008-06-09,667.74
2008-06-10,667.0
2008-06-11,669.99
2008-06-16,663.0
2008-06-17,670.0
2008-06-18,670.0
2008-06-19,674.0
2008-06-20,663.01
2008-06-23,656.0
2008-06-24,650.0
2008-06-25,641.0
2008-06-26,635.0
2008-06-27,625.0
2008-06-30,620.99
2008-07-01,608.0
2008-07-02,610.0
2008-07-03,609.6
2008-07-04,600.0
2008-07-07,605.0
2008-07-08,590.01
2008-07-09,600.0
2008-07-10,590.0
2008-07-11,586.0
2008-07-14,580.01
2008-07-15,555.55
2008-07-16,540.0
2008-07-17,560.01
2008-07-18,575.0
2008-07-21,570.0
2008-07-22,569.99
2008-07-23,546.81
2008-07-24,575.0
2008-07-25,550.0
2008-07-28,565.98
2008-07-29,535.85
2008-07-30,552.0
2008-07-31,540.01
2008-08-04,534.0
2008-08-05,535.0
2008-08-06,549.99
2008-08-07,540.0
2008-08-08,512.01
2008-08-11,518.12
2008-08-12,555.49
2008-08-13,579.9
2008-08-14,565.0
2008-08-15,550.0
2008-08-18,550.0
2008-08-19,516.0
2008-08-20,493.0
2008-08-21,496.0
2008-08-22,439.0
2008-08-25,450.0
2008-08-26,470.0
2008-08-27,465.51
2008-08-28,457.91
2008-08-29,445.0
2008-09-01,468.99
2008-09-02,479.49
2008-09-03,450.01
2008-09-04,443.0
2008-09-05,460.0
2008-09-08,470.0
2008-09-09,450.0
2008-09-10,417.0
2008-09-11,449.99
2008-09-12,402.01
2008-09-15,320.0
2008-09-16,310.29
2008-09-17,312.0
2008-09-19,321.0
2008-09-22,315.0
2008-09-23,279.0
2008-09-24,292.0
2008-09-25,223.5
2008-09-26,197.0
2008-09-29,170.0
2008-09-30,139.5
2008-10-01,142.8
2008-10-02,130.09
2008-10-03,130.1
2008-10-06,106.2
2008-10-07,127.99
2008-10-08,115.01
2008-10-09,115.0
2008-10-13,112.2
2008-10-14,114.52
2008-10-15,114.0
2008-10-16,90.12
2008-10-17,95.41
2008-10-20,97.8
2008-10-21,112.0
2008-10-22,112.0
2008-10-23,110.0
2008-10-24,102.13
2008-10-28,97.84
2008-10-29,96.0
2008-10-30,98.99
2008-10-31,97.92
2008-11-01,98.99
2008-11-05,99.0
2008-11-06,98.7
2008-11-07,100.0
2008-11-10,96.89
2008-11-11,95.5
2008-11-13,69.0
2008-11-17,55.0
2008-11-19,35.12
2008-11-21,27.0
2008-11-25,35.0
2008-11-27,38.98
2008-11-28,46.0
2008-12-01,60.14
2008-12-03,42.1
2008-12-05,40.0
2008-12-08,39.49
2008-12-09,36.4
2008-12-10,34.4
2008-12-11,34.3
2008-12-12,30.8
2008-12-15,28.6
2008-12-16,30.41
2008-12-17,30.02
2008-12-18,28.0
2008-12-19,30.0
2008-12-22,28.99
2008-12-23,28.99
2008-12-24,29.0
2008-12-25,28.0
2008-12-26,28.64
2008-12-29,28.51
2008-12-30,28.5
2008-12-31,28.0
2009-01-11,30.21
2009-01-12,30.29
2009-01-13,28.44
2009-01-14,27.0
2009-01-15,25.5
2009-01-16,26.16
2009-01-19,24.0
2009-01-20,24.7
2009-01-21,24.0
2009-01-22,23.89
2009-01-23,23.6
2009-01-26,23.9
2009-01-27,23.5
2009-01-28,23.45
2009-01-29,22.8
2009-01-30,22.35
2009-02-02,22.08
2009-02-03,21.76
2009-02-04,24.5
2009-02-05,25.18
2009-02-06,28.24
2009-02-09,30.3
2009-02-10,27.0
2009-02-11,28.03
2009-02-12,27.89
2009-02-13,27.53
2009-02-16,26.67
2009-02-17,23.99
2009-02-18,23.31
