TRADEDATE,CLOSE
2024-07-12,407.0
2024-07-15,401.05
2024-07-16,400.0
2024-07-17,401.0
2024-07-18,402.25
2024-07-19,400.7
2024-07-22,400.0
2024-07-23,400.5
2024-07-24,405.3
2024-07-25,420.5
2024-07-26,413.0
2024-07-29,405.0
2024-07-30,410.1
2024-07-31,415.1
2024-08-01,419.3
2024-08-02,422.05
2024-08-05,409.5
2024-08-06,405.5
2024-08-07,408.0
2024-08-08,407.0
2024-08-09,405.05
2024-08-12,402.1
2024-08-13,404.2
2024-08-14,401.0
2024-08-15,399.55
2024-08-16,398.0
2024-08-19,392.0
2024-08-20,393.3
2024-08-21,391.05
2024-08-22,378.05
2024-08-23,361.75
2024-08-26,374.0
2024-08-27,365.7
2024-08-28,359.8
2024-08-29,358.65
2024-08-30,361.1
2024-09-02,362.25
2024-09-03,349.0
2024-09-04,349.95
2024-09-05,362.0
2024-09-06,393.15
2024-09-09,399.6
2024-09-10,408.7
2024-09-11,411.2
2024-09-12,407.95
2024-09-13,407.5
2024-09-16,408.1
2024-09-17,404.7
2024-09-18,400.0
2024-09-19,399.35
2024-09-20,400.55
2024-09-23,405.6
2024-09-24,393.9
2024-09-25,379.4
2024-09-26,381.0
2024-09-27,381.6
2024-09-30,382.5
2024-10-01,375.2
2024-10-02,373.6
2024-10-03,368.45
2024-10-04,381.15
2024-10-07,383.7
2024-10-08,376.75
2024-10-09,379.7
2024-10-10,382.6
2024-10-11,379.0
2024-10-14,380.0
2024-10-15,376.35
2024-10-16,374.2
2024-10-17,373.2
2024-10-18,371.4
2024-10-21,372.25
2024-10-22,372.95
2024-10-23,371.25
2024-10-24,371.0
2024-10-25,361.0
2024-10-28,332.2
2024-10-29,341.55
2024-10-30,340.2
2024-10-31,343.7
2024-11-01,338.95
2024-11-02,338.75
2024-11-05,338.85
2024-11-06,339.85
2024-11-07,332.2
2024-11-08,330.1
2024-11-11,330.6
2024-11-12,332.5
2024-11-13,334.55
2024-11-14,329.2
2024-11-15,330.15
2024-11-18,324.5
2024-11-19,318.55
2024-11-20,319.15
2024-11-21,308.6
2024-11-22,317.35
2024-11-25,305.6
2024-11-26,285.0
2024-11-27,291.0
2024-11-28,295.5
2024-11-29,308.3
2024-12-02,325.65
2024-12-03,318.05
2024-12-04,316.1
2024-12-05,311.15
2024-12-06,312.0
2024-12-09,316.1
2024-12-10,310.0
2024-12-11,309.9
2024-12-12,309.95
2024-12-13,307.4
2024-12-16,289.45
2024-12-17,278.85
2024-12-18,286.0
2024-12-19,285.65
2024-12-20,298.0
2024-12-23,300.0
2024-12-24,293.3
2024-12-25,296.7
2024-12-26,314.85
2024-12-27,317.9
2024-12-28,326.6
2024-12-30,355.25
2025-01-03,393.0
2025-01-06,398.0
2025-01-08,379.5
2025-01-09,353.15
2025-01-10,368.2
2025-01-13,382.05
2025-01-14,387.85
2025-01-15,380.5
2025-01-16,384.6
2025-01-17,384.4
2025-01-20,394.4
2025-01-21,382.8
2025-01-22,398.3
2025-01-23,394.45
2025-01-24,392.0
2025-01-27,382.45
2025-01-28,386.8
2025-01-29,397.9
2025-01-30,401.55
2025-01-31,401.75
2025-02-03,400.85
2025-02-04,398.05
2025-02-05,399.8
2025-02-06,400.15
2025-02-07,398.7
2025-02-10,399.0
2025-02-11,403.0
2025-02-12,402.0
2025-02-13,399.05
2025-02-14,396.75
2025-02-17,406.45
2025-02-18,443.4
2025-02-19,465.0
2025-02-20,461.2
2025-02-21,456.0
2025-02-24,445.3
2025-02-25,452.2
2025-02-26,448.65
2025-02-27,445.3
2025-02-28,434.0
2025-03-03,427.85
2025-03-04,444.3
2025-03-05,449.4
2025-03-06,442.5
2025-03-07,442.5
2025-03-10,446.6
2025-03-11,433.0
2025-03-12,428.15
