TRADEDATE,CLOSE
2006-11-14,63.98
2006-11-15,62.99
2006-11-16,60.03
2006-11-17,62.74
2006-11-20,60.07
2006-11-23,62.0
2006-11-24,60.1
2006-11-27,62.0
2006-11-29,62.0
2006-11-30,62.0
2006-12-01,55.13
2006-12-04,55.0
2006-12-05,51.2
2006-12-06,51.0
2006-12-07,51.0
2006-12-08,51.65
2006-12-11,51.25
2006-12-12,51.3
2006-12-13,50.26
2006-12-14,51.8
2006-12-15,51.78
2006-12-18,51.2
2006-12-19,50.0
2006-12-20,51.5
2006-12-21,50.0
2006-12-22,49.72
2006-12-25,50.0
2006-12-26,49.0
2006-12-27,52.0
2006-12-28,50.15
2006-12-29,50.3
2007-01-09,48.0
2007-01-10,48.2
2007-01-11,47.58
2007-01-12,48.6
2007-01-15,48.7
2007-01-16,50.0
2007-01-17,50.2
2007-01-18,51.4
2007-01-19,51.4
2007-01-22,51.5
2007-01-23,52.3
2007-01-24,52.2
2007-01-25,52.0
2007-01-26,51.6
2007-01-29,52.3
2007-01-30,51.5
2007-01-31,51.7
2007-02-01,51.8
2007-02-02,51.03
2007-02-05,51.0
2007-02-06,52.3
2007-02-07,52.7
2007-02-08,52.5
2007-02-09,55.0
2007-02-12,54.89
2007-02-13,57.0
2007-02-14,59.5
2007-02-15,61.0
2007-02-16,61.0
2007-02-19,60.79
2007-02-20,57.5
2007-02-21,58.1
2007-02-22,58.32
2007-02-26,58.8
2007-02-27,58.5
2007-02-28,56.9
2007-03-01,57.0
2007-03-02,57.39
2007-03-05,53.59
2007-03-06,55.0
2007-03-07,54.0
2007-03-09,54.1
2007-03-12,54.0
2007-03-13,54.1
2007-03-14,53.5
2007-03-15,52.98
2007-03-16,54.25
2007-03-19,55.0
2007-03-20,56.99
2007-03-21,57.0
2007-03-22,58.4
2007-03-23,57.7
2007-03-26,58.51
2007-03-27,58.0
2007-03-28,58.14
2007-03-29,58.5
2007-03-30,58.3
2007-04-02,58.88
2007-04-03,59.03
2007-04-04,60.89
2007-04-05,61.0
2007-04-06,60.31
2007-04-09,60.95
2007-04-10,61.0
2007-04-11,62.9
2007-04-12,62.47
2007-04-13,62.0
2007-04-16,63.49
2007-04-17,62.1
2007-04-18,62.6
2007-04-19,62.3
2007-04-20,62.9
2007-04-23,62.9
2007-04-24,63.9
2007-04-25,63.4
2007-04-26,62.7
2007-04-27,61.5
2007-04-28,61.5
2007-05-02,61.8
2007-05-03,61.8
2007-05-04,62.3
2007-05-07,62.0
2007-05-08,62.2
2007-05-10,61.57
2007-05-11,60.0
2007-05-14,60.0
2007-05-15,58.5
2007-05-16,59.8
2007-05-17,57.69
2007-05-18,56.99
2007-05-21,58.77
2007-05-22,58.82
2007-05-23,57.75
2007-05-24,57.99
2007-05-25,58.0
2007-05-28,58.6
2007-05-29,58.0
2007-05-30,56.61
2007-05-31,59.5
2007-06-01,56.6
2007-06-04,56.7
2007-06-05,58.0
2007-06-06,57.8
2007-06-07,56.18
2007-06-08,57.0
2007-06-09,57.5
2007-06-13,59.5
2007-06-14,62.0
2007-06-15,64.0
2007-06-18,67.63
2007-06-19,68.0
2007-06-20,68.67
2007-06-21,67.5
2007-06-22,66.2
2007-06-25,68.0
2007-06-26,67.64
2007-06-27,67.0
2007-06-28,67.6
2007-06-29,66.5
2007-07-02,67.0
2007-07-03,68.5
2007-07-04,69.5
2007-07-05,70.6
2007-07-06,71.45
2007-07-09,72.0
2007-07-10,71.3
2007-07-11,72.0
2007-07-12,74.4
2007-07-13,72.55
2007-07-16,73.0
2007-07-17,74.02
2007-07-18,75.0
2007-07-19,78.29
2007-07-20,78.6
2007-07-23,79.0
2007-07-24,80.0
2007-07-25,78.57
2007-07-26,77.76
2007-07-27,76.7
2007-07-30,76.01
2007-07-31,77.0
2007-08-01,74.9
2007-08-02,77.04
2007-08-03,76.0
2007-08-06,73.01
2007-08-07,74.09
2007-08-08,74.61
2007-08-09,73.91
2007-08-10,69.51
2007-08-13,73.68
2007-08-14,72.99
2007-08-15,70.52
2007-08-16,69.79
2007-08-17,72.97
2007-08-20,69.55
2007-08-21,67.48
2007-08-22,69.43
2007-08-23,69.49
2007-08-24,69.48
2007-08-27,70.0
2007-08-28,71.51
2007-08-29,71.88
2007-08-30,71.94
2007-08-31,75.6
2007-09-03,76.25
2007-09-04,77.5
2007-09-05,78.39
2007-09-06,78.21
2007-09-07,78.15
2007-09-10,76.8
2007-09-11,76.0
