TRADEDATE,CLOSE
2016-11-25,558.0
2016-11-28,551.9
2016-11-29,550.2
2016-11-30,556.0
2016-12-01,557.3
2016-12-02,558.0
2016-12-05,559.5
2016-12-06,555.1
2016-12-07,554.5
2016-12-08,552.0
2016-12-09,551.0
2016-12-12,553.0
2016-12-13,552.4
2016-12-14,555.0
2016-12-15,555.0
2016-12-16,555.2
2016-12-19,556.8
2016-12-20,559.7
2016-12-21,559.8
2016-12-22,559.9
2016-12-23,558.8
2016-12-26,559.4
2016-12-27,559.5
2016-12-28,559.6
2016-12-29,559.6
2016-12-30,558.6
2017-01-03,559.2
2017-01-04,559.9
2017-01-05,559.9
2017-01-06,559.1
2017-01-09,559.3
2017-01-10,559.3
2017-01-11,559.3
2017-01-12,559.6
2017-01-13,559.4
2017-01-16,559.4
2017-01-17,559.6
2017-01-18,559.3
2017-01-19,559.6
2017-01-20,559.5
2017-01-23,559.4
2017-01-24,559.5
2017-01-25,559.6
2017-01-26,560.1
2017-01-27,559.3
2017-01-30,559.3
2017-01-31,559.3
2017-02-01,559.4
2017-02-02,559.4
2017-02-03,559.6
2017-02-06,559.5
2017-02-07,559.4
2017-02-08,559.9
2017-02-09,560.0
2017-02-10,559.9
2017-02-13,560.0
2017-02-14,562.4
2017-02-15,561.7
2017-02-16,560.0
2017-02-17,560.0
2017-02-20,559.2
2017-02-21,560.0
2017-02-22,560.2
2017-02-24,559.7
2017-02-27,559.8
2017-02-28,559.9
2017-03-01,561.2
2017-03-02,561.0
2017-03-03,560.3
2017-03-06,560.6
2017-03-07,559.7
2017-03-09,559.0
2017-03-10,559.2
2017-03-13,559.4
2017-03-14,559.3
2017-03-15,558.9
2017-03-16,558.2
2017-03-17,558.8
2017-03-20,558.2
2017-03-21,557.6
2017-03-22,557.4
2017-03-23,557.2
2017-03-24,558.6
2017-03-27,560.7
2017-03-28,562.1
2017-03-29,559.8
2017-03-30,562.0
2017-03-31,560.8
2017-04-03,561.8
2017-04-04,562.1
2017-04-05,560.8
2017-04-06,561.0
2017-04-07,561.6
2017-04-10,561.1
2017-04-11,559.8
2017-04-12,559.6
2017-04-13,560.9
2017-04-14,560.0
2017-04-17,560.2
2017-04-18,560.3
2017-04-19,560.7
2017-04-20,561.6
2017-04-21,563.5
2017-04-24,564.2
2017-04-25,564.7
2017-04-26,568.5
2017-04-27,579.7
2017-04-28,587.9
2017-05-02,587.2
2017-05-03,584.6
2017-05-04,587.8
2017-05-05,585.8
2017-05-10,583.8
2017-05-11,584.4
2017-05-12,585.3
2017-05-15,585.2
2017-05-16,584.9
2017-05-17,583.9
2017-05-18,584.6
2017-05-19,585.0
2017-05-22,584.9
2017-05-23,574.9
2017-05-24,586.5
2017-05-25,586.8
2017-05-26,586.3
2017-05-29,588.3
2017-05-30,587.1
2017-05-31,592.0
2017-06-01,599.9
2017-06-02,600.0
2017-06-05,609.8
2017-06-06,604.4
2017-06-07,600.0
2017-06-08,601.2
2017-06-09,601.3
2017-06-13,601.1
2017-06-14,600.7
2017-06-15,598.0
2017-06-16,576.4
2017-06-19,592.3
2017-06-20,594.7
2017-06-21,596.7
2017-06-22,596.9
2017-06-23,602.0
2017-06-26,601.0
2017-06-27,599.7
2017-06-28,602.0
2017-06-29,600.8
2017-06-30,601.0
2017-07-03,601.1
2017-07-04,601.1
2017-07-05,600.5
2017-07-06,600.8
2017-07-07,600.4
2017-07-10,600.5
2017-07-11,601.0
2017-07-12,600.3
2017-07-13,603.4
2017-07-14,603.4
2017-07-17,604.9
2017-07-18,606.1
2017-07-19,605.0
2017-07-20,604.3
2017-07-21,603.6
2017-07-24,603.4
2017-07-25,603.3
2017-07-26,602.7
2017-07-27,602.4
2017-07-28,601.8
2017-07-31,603.8
2017-08-01,601.6
2017-08-02,601.3
2017-08-03,601.2
2017-08-04,601.0
2017-08-07,600.9
2017-08-08,600.8
2017-08-09,600.7
2017-08-10,600.6
2017-08-11,599.8
