TRADEDATE,CLOSE
2006-07-19,203.95
2006-07-20,203.26
2006-07-21,202.0
2006-07-24,201.99
2006-07-25,202.69
2006-07-26,203.1
2006-07-27,203.5
2006-07-28,202.8
2006-07-31,202.6
2006-08-01,202.75
2006-08-02,201.99
2006-08-03,200.75
2006-08-04,200.99
2006-08-07,200.3
2006-08-08,196.85
2006-08-09,198.24
2006-08-10,200.0
2006-08-11,201.22
2006-08-14,198.0
2006-08-15,199.51
2006-08-16,201.0
2006-08-17,199.89
2006-08-18,199.4
2006-08-21,198.0
2006-08-22,199.9
2006-08-23,199.75
2006-08-24,200.0
2006-08-25,202.29
2006-08-28,201.3
2006-08-29,200.8
2006-08-30,199.5
2006-08-31,197.7
2006-09-01,200.3
2006-09-04,199.51
2006-09-05,201.9
2006-09-06,201.0
2006-09-07,200.7
2006-09-08,201.35
2006-09-11,199.8
2006-09-12,200.5
2006-09-13,201.0
2006-09-14,201.0
2006-09-15,204.2
2006-09-18,205.0
2006-09-19,207.2
2006-09-20,215.0
2006-09-21,209.96
2006-09-22,205.8
2006-09-25,202.03
2006-09-26,205.12
2006-09-27,207.28
2006-09-28,214.55
2006-09-29,211.99
2006-10-02,211.35
2006-10-03,208.0
2006-10-04,209.39
2006-10-05,212.5
2006-10-06,212.99
2006-10-09,213.2
2006-10-10,213.9
2006-10-11,212.5
2006-10-12,211.92
2006-10-13,214.0
2006-10-16,213.0
2006-10-17,218.56
2006-10-18,225.59
2006-10-19,226.59
2006-10-20,224.89
2006-10-23,223.79
2006-10-24,222.55
2006-10-25,229.39
2006-10-26,230.3
2006-10-27,234.24
2006-10-30,225.75
2006-10-31,229.8
2006-11-01,231.2
2006-11-02,229.0
2006-11-03,231.38
2006-11-07,231.66
2006-11-08,231.97
2006-11-09,238.45
2006-11-10,249.5
2006-11-13,247.81
2006-11-14,248.59
2006-11-15,247.4
2006-11-16,243.49
2006-11-17,242.45
2006-11-20,240.53
2006-11-21,244.53
2006-11-22,239.79
2006-11-23,241.88
2006-11-24,241.7
2006-11-27,241.54
2006-11-28,240.2
2006-11-29,242.9
2006-11-30,240.45
2006-12-01,237.7
2006-12-04,238.75
2006-12-05,242.0
2006-12-06,247.91
2006-12-07,246.99
2006-12-08,248.52
2006-12-11,246.35
2006-12-12,245.4
2006-12-13,242.84
2006-12-14,245.58
2006-12-15,249.01
2006-12-18,246.0
2006-12-19,240.61
2006-12-20,242.4
2006-12-21,242.87
2006-12-22,243.1
2006-12-25,241.04
2006-12-26,241.99
2006-12-27,243.6
2006-12-28,243.95
2006-12-29,243.31
2007-01-09,227.05
2007-01-10,227.0
2007-01-11,227.9
2007-01-12,226.04
2007-01-15,240.49
2007-01-16,234.2
2007-01-17,232.3
2007-01-18,234.52
2007-01-19,237.88
2007-01-22,238.5
2007-01-23,236.51
2007-01-24,237.67
2007-01-25,239.51
2007-01-26,237.91
2007-01-29,235.56
2007-01-30,236.24
2007-01-31,234.7
2007-02-01,238.3
2007-02-02,239.82
2007-02-05,239.26
2007-02-06,239.8
2007-02-07,238.69
2007-02-08,232.81
2007-02-09,233.99
2007-02-12,226.25
2007-02-13,229.22
2007-02-14,228.9
2007-02-15,226.5
2007-02-16,226.35
2007-02-19,226.4
2007-02-20,226.28
2007-02-21,232.0
2007-02-22,236.39
2007-02-26,234.85
2007-02-27,227.5
2007-02-28,221.5
2007-03-01,211.0
2007-03-02,211.55
2007-03-05,201.51
2007-03-06,204.1
2007-03-07,212.5
2007-03-09,217.95
2007-03-12,213.56
2007-03-13,213.99
2007-03-14,205.7
2007-03-15,207.4
2007-03-16,209.69
2007-03-19,215.9
2007-03-20,213.89
2007-03-21,216.3
2007-03-22,216.0
2007-03-23,218.16
2007-03-26,219.39
2007-03-27,216.0
2007-03-28,216.3
2007-03-29,217.47
2007-03-30,216.2
2007-04-02,217.5
2007-04-03,217.0
2007-04-04,216.26
2007-04-05,215.97
2007-04-06,215.45
2007-04-09,215.1
2007-04-10,213.86
2007-04-11,214.06
2007-04-12,217.8
2007-04-13,230.21
2007-04-16,234.6
2007-04-17,229.25
2007-04-18,227.16
2007-04-19,220.0
2007-04-20,223.85
2007-04-23,224.2
2007-04-24,228.7
2007-04-25,233.35
2007-04-26,229.99
2007-04-27,219.7
2007-04-28,223.79
2007-05-02,220.0
2007-05-03,223.65
2007-05-04,221.7
2007-05-07,219.99
2007-05-08,217.25
2007-05-10,214.35
2007-05-11,209.6
2007-05-14,209.8
