TRADEDATE,CLOSE
2003-10-01,36.99
2003-10-02,37.78
2003-10-03,36.65
2003-10-06,36.57
2003-10-07,36.6
2003-10-08,38.5
2003-10-09,40.01
2003-10-10,39.39
2003-10-13,39.7
2003-10-14,39.94
2003-10-15,40.1
2003-10-16,41.9
2003-10-17,43.95
2003-10-20,43.94
2003-10-21,41.31
2003-10-22,40.35
2003-10-23,40.9
2003-10-24,41.79
2003-10-27,37.4
2003-10-28,37.83
2003-10-29,38.06
2003-10-30,35.0
2003-10-31,36.35
2003-11-03,39.0
2003-11-04,38.29
2003-11-05,37.72
2003-11-06,37.47
2003-11-10,38.0
2003-11-11,36.7
2003-11-12,35.51
2003-11-13,35.9
2003-11-14,35.97
2003-11-17,34.82
2003-11-18,33.85
2003-11-19,33.93
2003-11-20,35.4
2003-11-21,35.41
2003-11-24,35.76
2003-11-25,37.24
2003-11-26,37.17
2003-11-27,36.96
2003-11-28,37.05
2003-12-01,37.45
2003-12-02,38.85
2003-12-03,39.05
2003-12-04,38.81
2003-12-05,39.2
2003-12-08,40.11
2003-12-09,39.9
2003-12-10,39.95
2003-12-11,39.9
2003-12-15,40.45
2003-12-16,39.85
2003-12-17,39.23
2003-12-18,39.88
2003-12-19,40.29
2003-12-22,40.04
2003-12-23,40.04
2003-12-24,40.0
2003-12-25,39.9
2003-12-26,40.29
2003-12-29,40.65
2003-12-30,41.59
2004-01-05,42.35
2004-01-06,42.62
2004-01-08,41.76
2004-01-09,42.84
2004-01-12,41.95
2004-01-13,41.36
2004-01-14,42.17
2004-01-15,41.52
2004-01-16,42.1
2004-01-19,42.63
2004-01-20,43.5
2004-01-21,43.4
2004-01-22,44.14
2004-01-23,44.08
2004-01-26,43.44
2004-01-27,43.65
2004-01-28,43.0
2004-01-29,43.15
2004-01-30,42.25
2004-02-02,41.18
2004-02-03,41.89
2004-02-04,42.25
2004-02-05,41.5
2004-02-06,41.45
2004-02-09,42.65
2004-02-10,42.35
2004-02-11,42.5
2004-02-12,43.27
2004-02-13,43.11
2004-02-16,43.55
2004-02-17,43.0
2004-02-18,42.91
2004-02-19,43.08
2004-02-20,44.15
2004-02-24,48.6
2004-02-25,48.15
2004-02-26,47.83
2004-02-27,48.15
2004-03-01,47.9
2004-03-02,46.95
2004-03-03,46.58
2004-03-04,46.8
2004-03-05,47.57
2004-03-09,48.0
2004-03-10,46.75
2004-03-11,46.5
2004-03-12,46.6
2004-03-15,45.0
2004-03-16,46.08
2004-03-17,47.35
2004-03-18,48.52
2004-03-19,48.28
2004-03-22,47.4
2004-03-23,48.0
2004-03-24,47.55
2004-03-25,47.2
2004-03-26,47.43
2004-03-29,47.67
2004-03-30,47.94
2004-03-31,47.79
2004-04-01,48.68
2004-04-02,50.0
2004-04-05,51.0
2004-04-06,49.72
2004-04-07,50.31
2004-04-08,50.6
2004-04-09,50.97
2004-04-12,50.99
2004-04-13,51.09
2004-04-14,51.65
2004-04-15,49.39
2004-04-16,49.19
2004-04-19,49.95
2004-04-20,50.12
2004-04-21,46.99
2004-04-22,47.3
2004-04-23,47.0
2004-04-26,47.19
2004-04-27,48.43
2004-04-28,47.51
2004-04-29,45.9
2004-04-30,47.0
2004-05-05,48.4
2004-05-06,48.06
2004-05-07,47.27
2004-05-11,46.25
2004-05-12,42.92
2004-05-13,42.3
2004-05-14,42.1
2004-05-17,45.0
2004-05-18,44.13
2004-05-19,44.57
2004-05-20,43.9
2004-05-21,43.99
2004-05-24,44.39
2004-05-25,43.55
2004-05-26,44.05
2004-05-27,43.41
2004-05-28,42.3
2004-05-31,42.2
2004-06-01,41.19
2004-06-02,41.54
2004-06-03,41.87
2004-06-04,41.1
2004-06-07,41.8
2004-06-08,43.7
2004-06-09,43.55
2004-06-10,42.65
2004-06-11,42.31
2004-06-15,40.75
2004-06-16,40.3
2004-06-17,42.0
2004-06-18,42.29
2004-06-21,42.5
2004-06-22,42.38
2004-06-23,42.87
2004-06-24,43.17
2004-06-25,42.35
2004-06-28,41.57
2004-06-29,41.35
2004-06-30,41.74
2004-07-01,41.3
2004-07-02,41.14
2004-07-05,41.3
2004-07-06,40.99
2004-07-07,40.3
2004-07-08,39.95
2004-07-09,39.87
2004-07-12,40.55
2004-07-13,41.5
2004-07-14,40.79
2004-07-15,41.15
2004-07-16,40.9
2004-07-19,41.32
2004-07-20,40.0
2004-07-21,40.19
2004-07-22,39.7
2004-07-23,39.6
2004-07-26,39.1
2004-07-27,38.14
2004-07-28,35.5
2004-07-29,36.17
2004-07-30,36.7
2004-08-02,37.19
2004-08-03,38.12
2004-08-04,37.99
2004-08-05,37.81
2004-08-06,37.7
2004-08-09,38.3
2004-08-10,38.29
2004-08-11,37.77
2004-08-12,37.89
2004-08-13,38.5
2004-08-16,39.09
2004-08-17,39.4
2004-08-18,39.1
2004-08-19,40.0
2004-08-20,40.02
2004-08-23,39.86
2004-08-24,40.3
2004-08-25,40.65
2004-08-26,40.5
2004-08-27,41.15
2004-08-30,41.27
2004-08-31,42.01
2004-09-01,41.9
2004-09-02,42.2
2004-09-03,42.93
2004-09-06,43.0
2004-09-07,42.8
2004-09-08,42.69
2004-09-09,42.8
2004-09-10,43.0
2004-09-13,43.25
2004-09-14,44.67
2004-09-15,45.0
