TRADEDATE,CLOSE
2015-03-30,37.34
2015-03-31,36.79
2015-04-01,35.825
2015-04-02,36.45
2015-04-03,36.72
2015-04-06,36.8
2015-04-07,36.66
2015-04-08,37.49
2015-04-09,36.55
2015-04-10,35.38
2015-04-13,34.79
2015-04-14,34.49
2015-04-15,34.7
2015-04-16,34.6
2015-04-17,34.54
2015-04-20,32.845
2015-04-21,31.98
2015-04-22,31.99
2015-04-23,31.0
2015-04-24,30.2
2015-04-27,30.325
2015-04-28,31.77
2015-04-29,31.13
2015-04-30,31.41
2015-05-05,31.21
2015-05-06,31.3
2015-05-07,30.72
2015-05-08,31.59
2015-05-12,31.0
2015-05-13,30.8
2015-05-14,31.3
2015-05-15,31.03
2015-05-18,30.74
2015-05-19,30.4
2015-05-20,29.7
2015-05-21,29.4
2015-05-22,28.9
2015-05-25,29.0
2015-05-26,29.05
2015-05-27,29.0
2015-05-28,29.38
2015-05-29,28.78
2015-06-01,28.75
2015-06-02,29.0
2015-06-03,28.8
2015-06-04,29.2
2015-06-05,29.26
2015-06-08,30.38
2015-06-09,30.3
2015-06-10,30.0
2015-06-11,29.86
2015-06-15,29.55
2015-06-16,29.47
2015-06-17,29.21
2015-06-18,29.31
2015-06-19,29.99
2015-06-22,30.0
2015-06-23,29.87
2015-06-24,29.85
2015-06-25,29.25
2015-06-26,29.22
2015-06-29,28.67
2015-06-30,28.73
2015-07-01,28.55
2015-07-02,27.18
2015-07-03,27.3
2015-07-06,26.49
2015-07-07,25.5
2015-07-08,24.2
2015-07-09,24.44
2015-07-10,25.42
2015-07-13,25.98
2015-07-14,27.75
2015-07-15,29.2
2015-07-16,28.79
2015-07-17,28.5
2015-07-20,28.44
2015-07-21,28.78
2015-07-22,29.0
2015-07-23,28.75
2015-07-24,29.3
2015-07-27,28.0
2015-07-28,28.39
2015-07-29,28.47
2015-07-30,28.15
2015-07-31,28.5
2015-08-03,28.88
2015-08-04,29.26
2015-08-05,29.45
2015-08-06,29.44
2015-08-07,30.09
2015-08-10,30.19
2015-08-11,29.95
2015-08-12,29.8
2015-08-13,29.3
2015-08-14,30.75
2015-08-17,32.85
2015-08-18,31.77
2015-08-19,31.0
2015-08-20,31.85
2015-08-21,30.9
2015-08-24,30.0
2015-08-25,30.9
2015-08-26,30.8
2015-08-27,30.54
2015-08-28,30.41
2015-08-31,30.39
2015-09-01,29.89
2015-09-02,29.8
2015-09-03,30.48
2015-09-04,30.03
2015-09-07,30.3
2015-09-08,30.2
2015-09-09,30.2
2015-09-10,31.38
2015-09-11,31.18
2015-09-14,31.25
2015-09-15,30.41
2015-09-16,30.3
2015-09-17,30.61
2015-09-18,30.1
2015-09-21,29.89
2015-09-22,29.22
2015-09-23,27.78
2015-09-24,27.1
2015-09-25,27.4
2015-09-28,27.0
2015-09-29,25.6
2015-09-30,26.1
2015-10-01,26.14
2015-10-02,26.15
2015-10-05,27.05
2015-10-06,27.0
2015-10-07,26.29
2015-10-08,26.8
2015-10-09,28.15
2015-10-12,27.0
2015-10-13,27.04
2015-10-14,26.8
2015-10-15,26.6
2015-10-16,26.35
2015-10-19,25.89
2015-10-20,25.9
2015-10-21,25.74
2015-10-22,25.8
2015-10-23,26.25
2015-10-26,26.1
2015-10-27,26.5
2015-10-28,25.6
2015-10-29,25.76
2015-10-30,25.6
2015-11-02,25.35
2015-11-03,25.0
2015-11-05,24.58
2015-11-06,24.95
2015-11-09,25.05
2015-11-10,24.71
2015-11-11,24.3
2015-11-12,24.56
2015-11-13,24.26
2015-11-16,23.5
2015-11-17,24.1
2015-11-18,23.75
2015-11-19,23.72
2015-11-20,23.76
2015-11-23,24.55
2015-11-24,23.96
2015-11-25,23.58
2015-11-26,23.57
2015-11-27,23.7
2015-11-30,23.52
2015-12-01,23.31
2015-12-02,23.24
2015-12-03,23.4
2015-12-04,23.35
2015-12-07,23.4
2015-12-08,23.55
2015-12-09,23.08
2015-12-10,23.3
2015-12-11,23.31
2015-12-14,23.36
2015-12-15,23.29
2015-12-16,22.85
2015-12-17,22.24
2015-12-18,22.1
2015-12-21,22.15
2015-12-22,21.46
2015-12-23,21.8
2015-12-24,22.23
2015-12-25,22.3
2015-12-28,21.87
2015-12-29,22.1
2015-12-30,22.5
2016-01-04,22.49
2016-01-05,23.1
2016-01-06,22.99
2016-01-11,22.3
2016-01-12,22.4
2016-01-13,22.45
2016-01-14,22.9
2016-01-15,22.33
2016-01-18,22.39
2016-01-19,22.4
2016-01-20,22.24
2016-01-21,22.51
2016-01-22,22.58
2016-01-25,20.0
2016-01-26,22.6
2016-01-27,22.5
2016-01-28,22.55
2016-01-29,22.53
2016-02-01,22.86
2016-02-02,23.3
2016-02-03,23.6
2016-02-04,23.67
2016-02-05,23.69
2016-02-08,23.48
2016-02-09,23.25
2016-02-10,22.97
2016-02-11,23.69
2016-02-12,22.88
2016-02-15,22.75
2016-02-16,22.7
2016-02-17,23.3
2016-02-18,22.94
2016-02-19,23.18
2016-02-20,23.28
2016-02-22,23.84
2016-02-24,23.32
2016-02-25,23.2
2016-02-26,24.05
2016-02-29,25.16
2016-03-01,25.97
2016-03-02,26.02
2016-03-03,27.05
2016-03-04,26.57
2016-03-07,27.0
2016-03-09,26.01
2016-03-10,25.55
2016-03-11,25.1
2016-03-14,25.0
2016-03-15,25.03
2016-03-16,24.6
2016-03-17,24.41
2016-03-18,24.0
2016-03-21,24.53
2016-03-22,24.13
2016-03-23,23.85
2016-03-24,23.63
2016-03-25,23.77
2016-03-28,23.83
2016-03-29,23.76
2016-03-30,23.89
2016-03-31,22.99
2016-04-01,22.77
2016-04-04,22.87
2016-04-05,23.35
2016-04-06,23.1
2016-04-07,22.6
2016-04-08,22.51
2016-04-11,22.75
2016-04-12,23.0
2016-04-13,23.45
2016-04-14,23.5
2016-04-15,23.3
2016-04-18,23.49
2016-04-19,23.27
2016-04-20,23.74
2016-04-21,24.6
2016-04-22,25.0
2016-04-25,24.82
2016-04-26,24.69
2016-04-27,23.8
2016-04-28,23.8
2016-04-29,23.42
2016-05-04,23.19
2016-05-05,22.95
2016-05-06,22.55
2016-05-10,22.4
2016-05-11,22.45
2016-05-12,22.4
2016-05-13,21.93
2016-05-16,21.6
2016-05-17,20.8
2016-05-18,20.88
2016-05-19,21.2
2016-05-20,21.17
2016-05-23,20.77
2016-05-24,20.77
2016-05-25,20.8
2016-05-26,20.7
2016-05-27,20.64
2016-05-30,20.81
2016-05-31,20.3
2016-06-01,20.45
2016-06-02,20.32
2016-06-03,20.4
2016-06-06,20.23
2016-06-07,20.35
2016-06-08,20.2
2016-06-09,20.1
2016-06-10,20.0
2016-06-14,19.8
2016-06-15,19.65
2016-06-16,19.65
2016-06-17,18.8
2016-06-20,18.71
2016-06-21,19.43
2016-06-22,19.01
2016-06-23,19.36
2016-06-24,20.7
2016-06-27,19.34
2016-06-28,19.39
2016-06-29,20.01
2016-06-30,20.24
2016-07-01,20.15
2016-07-04,21.2
2016-07-05,20.99
2016-07-06,20.8
2016-07-07,20.82
2016-07-08,20.62
2016-07-11,21.33
2016-07-12,21.4
2016-07-13,21.65
2016-07-14,21.37
2016-07-15,21.4
2016-07-18,21.66
2016-07-19,22.53
2016-07-20,23.06
2016-07-21,23.48
2016-07-22,23.24
2016-07-25,23.95
2016-07-26,23.45
2016-07-27,23.35
2016-07-28,23.4
2016-07-29,23.1
2016-08-01,22.85
2016-08-02,22.26
2016-08-03,22.6
2016-08-04,23.28
2016-08-05,22.91
2016-08-08,23.17
2016-08-09,23.22
2016-08-10,22.95
2016-08-11,23.0
2016-08-12,22.9
2016-08-15,23.3
2016-08-16,23.25
2016-08-17,23.07
2016-08-18,23.2
2016-08-19,23.04
2016-08-22,24.8
2016-08-23,24.89
2016-08-24,24.73
2016-08-25,24.25
2016-08-26,24.06
2016-08-29,24.31
2016-08-30,24.57
2016-08-31,24.1
2016-09-01,23.55
2016-09-02,24.28
2016-09-05,24.36
2016-09-06,24.48
2016-09-07,24.23
2016-09-08,24.2
2016-09-09,24.0
2016-09-12,23.63
2016-09-13,23.61
2016-09-14,22.93
2016-09-15,23.1
2016-09-16,23.66
2016-09-19,23.49
2016-09-20,22.9
2016-09-21,22.26
2016-09-22,22.12
2016-09-23,22.05
2016-09-26,22.2
2016-09-27,21.5
2016-09-28,22.01
2016-09-29,21.57
2016-09-30,21.89
2016-10-03,22.6
2016-10-04,23.76
2016-10-05,24.0
2016-10-06,23.19
2016-10-07,23.15
2016-10-10,22.73
2016-10-11,22.84
2016-10-12,22.54
2016-10-13,22.3
2016-10-14,22.26
2016-10-17,21.99
2016-10-18,21.75
2016-10-19,21.4
2016-10-20,21.29
2016-10-21,21.2
2016-10-24,20.86
2016-10-25,21.22
2016-10-26,21.17
2016-10-27,22.61
2016-10-28,23.03
2016-10-31,23.2
2016-11-01,23.7
2016-11-02,23.22
2016-11-03,22.79
2016-11-07,22.85
2016-11-08,23.25
2016-11-09,23.42
2016-11-10,25.24
2016-11-11,27.1
2016-11-14,26.86
2016-11-15,26.1
2016-11-16,25.87
2016-11-17,26.12
2016-11-18,25.3
2016-11-21,25.3
2016-11-22,26.12
2016-11-23,26.55
2016-11-24,26.89
2016-11-25,26.8
2016-11-28,27.3
2016-11-29,26.85
2016-11-30,26.55
2016-12-01,26.96
2016-12-02,27.06
2016-12-05,27.4
2016-12-06,28.54
2016-12-07,29.37
2016-12-08,29.0
2016-12-09,28.5
2016-12-12,27.98
2016-12-13,28.17
2016-12-14,27.97
2016-12-15,27.35
2016-12-16,26.72
2016-12-19,26.7
2016-12-20,26.13
2016-12-21,25.74
2016-12-22,25.98
2016-12-23,25.67
2016-12-26,26.09
2016-12-27,25.98
2016-12-28,25.76
2016-12-29,25.83
2016-12-30,26.23
2017-01-03,27.22
2017-01-04,27.11
2017-01-05,27.15
2017-01-06,26.81
2017-01-09,26.93
2017-01-10,27.09
2017-01-11,27.21
2017-01-12,26.98
2017-01-13,27.04
2017-01-16,27.93
2017-01-17,28.14
2017-01-18,28.65
2017-01-19,29.67
2017-01-20,29.27
2017-01-23,29.27
2017-01-24,30.8
2017-01-25,31.61
2017-01-26,34.39
2017-01-27,34.38
2017-01-30,34.7
2017-01-31,35.86
2017-02-01,35.31
2017-02-02,37.2
2017-02-03,35.13
2017-02-06,33.95
2017-02-07,33.89
2017-02-08,33.01
2017-02-09,32.18
2017-02-10,31.71
2017-02-13,30.85
2017-02-14,31.05
2017-02-15,31.6
2017-02-16,31.7
2017-02-17,31.4
2017-02-20,30.65
2017-02-21,30.81
2017-02-22,30.71
2017-02-24,29.5
2017-02-27,28.91
2017-02-28,28.69
2017-03-01,30.89
2017-03-02,30.62
2017-03-03,29.99
2017-03-06,29.75
2017-03-07,28.65
2017-03-09,27.31
2017-03-10,27.6
2017-03-13,28.54
2017-03-14,28.59
2017-03-15,28.21
2017-03-16,29.1
2017-03-17,30.24
2017-03-20,29.8
2017-03-21,29.35
2017-03-22,28.88
2017-03-23,28.79
2017-03-24,28.99
2017-03-27,27.65
2017-03-28,28.25
2017-03-29,28.7
2017-03-30,29.65
2017-03-31,29.89
2017-04-03,29.2
2017-04-04,29.58
2017-04-05,29.93
2017-04-06,29.78
2017-04-07,29.4
2017-04-10,28.4
2017-04-11,28.57
2017-04-12,27.97
2017-04-13,28.01
2017-04-14,27.54
2017-04-17,27.79
2017-04-18,26.91
2017-04-19,26.5
2017-04-20,26.62
2017-04-21,27.21
2017-04-24,27.73
2017-04-25,28.51
2017-04-26,29.48
2017-04-27,29.3
2017-04-28,29.38
2017-05-02,28.64
2017-05-03,28.03
2017-05-04,27.94
2017-05-05,27.94
2017-05-10,27.95
2017-05-11,27.36
2017-05-12,27.65
2017-05-15,27.56
2017-05-16,27.5
2017-05-17,27.93
2017-05-18,27.08
2017-05-19,27.11
2017-05-22,26.99
2017-05-23,27.3
2017-05-24,27.25
2017-05-25,27.2
2017-05-26,27.29
2017-05-29,27.25
2017-05-30,27.21
2017-05-31,27.16
2017-06-01,27.3
2017-06-02,27.05
2017-06-05,27.36
2017-06-06,27.42
2017-06-07,27.79
2017-06-08,27.33
2017-06-09,27.15
2017-06-13,27.16
2017-06-14,26.88
2017-06-15,25.99
2017-06-16,27.05
2017-06-19,27.82
2017-06-20,28.19
2017-06-21,27.99
2017-06-22,28.39
2017-06-23,28.35
2017-06-26,28.0
2017-06-27,27.89
2017-06-28,28.1
2017-06-29,28.12
2017-06-30,29.05
2017-07-03,29.41
2017-07-04,29.27
2017-07-05,30.08
2017-07-06,30.19
2017-07-07,30.34
2017-07-10,30.14
2017-07-11,29.91
2017-07-12,30.11
2017-07-13,30.64
2017-07-14,31.03
2017-07-17,32.2
2017-07-18,31.59
2017-07-19,32.1
2017-07-20,31.77
2017-07-21,30.93
2017-07-24,31.21
2017-07-25,31.44
2017-07-26,31.79
2017-07-27,32.49
2017-07-28,31.88
2017-07-31,32.3
2017-08-01,33.45
2017-08-02,33.69
2017-08-03,36.4
2017-08-04,35.42
2017-08-07,37.69
2017-08-08,40.02
2017-08-09,40.31
2017-08-10,40.45
2017-08-11,39.48
2017-08-14,39.06
2017-08-15,38.32
2017-08-16,39.86
2017-08-17,40.76
2017-08-18,40.18
2017-08-21,39.98
2017-08-22,40.35
2017-08-23,40.93
2017-08-24,41.3
2017-08-25,40.26
2017-08-28,39.02
2017-08-29,39.36
2017-08-30,40.35
2017-08-31,41.24
2017-09-01,40.68
2017-09-04,40.19
2017-09-05,39.98
2017-09-06,41.21
2017-09-07,40.99
2017-09-08,40.89
2017-09-11,41.49
2017-09-12,42.45
2017-09-13,43.41
2017-09-14,42.48
2017-09-15,41.56
2017-09-18,42.2
2017-09-19,42.3
2017-09-20,45.0
2017-09-21,45.5
2017-09-22,44.75
2017-09-25,43.07
2017-09-26,42.03
2017-09-27,42.6
2017-09-28,42.1
2017-09-29,43.25
2017-10-02,43.2
2017-10-03,44.67
2017-10-04,44.2
2017-10-05,44.45
2017-10-06,44.92
2017-10-09,44.0
2017-10-10,41.7
2017-10-11,41.22
2017-10-12,41.4
2017-10-13,40.79
2017-10-16,40.5
2017-10-17,40.4
2017-10-18,40.03
2017-10-19,38.18
2017-10-20,39.22
2017-10-23,39.18
2017-10-24,39.21
2017-10-25,38.92
2017-10-26,39.2
2017-10-27,39.06
2017-10-30,37.3
2017-10-31,37.71
2017-11-01,38.8
2017-11-02,39.17
2017-11-03,41.45
2017-11-07,40.88
2017-11-08,40.83
2017-11-09,40.04
2017-11-10,40.75
