TRADEDATE,CLOSE
2011-11-21,59.21
2011-11-22,59.48
2011-11-23,59.01
2011-11-24,58.39
2011-11-25,60.25
2011-11-28,64.21
2011-11-29,63.96
2011-11-30,67.04
2011-12-01,67.33
2011-12-02,68.56
2011-12-05,69.25
2011-12-06,65.88
2011-12-07,64.27
2011-12-08,64.96
2011-12-09,61.7
2011-12-12,60.99
2011-12-13,61.0
2011-12-14,59.58
2011-12-15,61.22
2011-12-16,60.0
2011-12-19,59.57
2011-12-20,60.15
2011-12-21,58.9
2011-12-22,59.25
2011-12-23,59.1
2011-12-26,60.36
2011-12-27,59.85
2011-12-28,58.76
2011-12-29,58.38
2011-12-30,59.44
2012-01-03,61.52
2012-01-04,61.3
2012-01-05,60.82
2012-01-06,61.38
2012-01-09,61.98
2012-01-10,64.11
2012-01-11,63.14
2012-01-12,62.62
2012-01-13,62.22
2012-01-16,62.5
2012-01-17,63.25
2012-01-18,63.27
2012-01-19,63.61
2012-01-20,63.73
2012-01-23,63.94
2012-01-24,63.96
2012-01-25,64.86
2012-01-26,66.24
2012-01-27,66.33
2012-01-30,65.0
2012-01-31,66.09
2012-02-01,67.18
2012-02-03,66.74
2012-02-06,69.19
2012-02-07,68.48
2012-02-08,71.29
2012-02-09,72.35
2012-02-10,70.78
2012-02-13,73.04
2012-02-14,73.69
2012-02-15,74.29
2012-02-16,73.12
2012-02-17,74.37
2012-02-20,74.48
2012-02-21,74.23
2012-02-22,73.57
2012-02-24,68.88
2012-02-27,75.42
2012-02-28,74.67
2012-02-29,75.94
2012-03-01,75.06
2012-03-02,76.29
2012-03-06,73.81
2012-03-07,74.53
2012-03-11,76.2
2012-03-12,77.11
2012-03-13,79.1
2012-03-14,83.45
2012-03-15,80.99
2012-03-16,81.24
2012-03-19,81.19
2012-03-20,78.9
2012-03-21,79.95
2012-03-22,76.41
2012-03-23,76.41
2012-03-26,79.6
2012-03-27,78.95
2012-03-28,77.92
2012-03-29,76.31
2012-03-30,78.49
2012-04-02,77.86
2012-04-03,79.12
2012-04-04,77.36
2012-04-05,78.61
2012-04-09,77.24
2012-04-10,77.81
2012-04-12,77.14
2012-04-13,75.13
2012-04-16,74.4
2012-04-17,73.39
2012-04-18,71.31
2012-04-19,72.55
2012-04-20,74.19
2012-04-23,72.21
2012-04-24,71.89
2012-04-25,70.99
2012-04-26,69.14
2012-04-27,68.31
2012-04-28,69.93
2012-05-02,68.19
2012-05-03,68.77
2012-05-04,66.7
2012-05-05,67.44
2012-05-07,66.96
2012-05-08,67.85
2012-05-10,69.03
2012-05-12,68.48
2012-05-14,65.3
2012-05-15,67.65
2012-05-16,65.9
2012-05-17,60.09
2012-05-18,60.25
2012-05-21,62.46
2012-05-22,61.65
2012-05-23,58.38
2012-05-24,58.81
2012-05-25,59.15
2012-05-28,60.13
2012-05-29,61.7
2012-05-30,60.51
2012-05-31,60.51
2012-06-01,56.93
2012-06-04,55.01
2012-06-05,54.96
2012-06-06,56.35
2012-06-07,57.94
2012-06-08,56.53
2012-06-09,57.98
2012-06-13,57.59
2012-06-14,57.82
2012-06-15,59.5
2012-06-18,61.49
2012-06-19,62.58
2012-06-20,59.87
2012-06-21,60.4
2012-06-22,60.1
2012-06-25,58.48
2012-06-26,59.07
2012-06-27,59.9
2012-06-28,59.01
2012-06-29,62.41
2012-07-02,63.62
2012-07-03,65.15
2012-07-04,65.88
2012-07-05,66.11
2012-07-06,63.61
2012-07-09,64.19
2012-07-10,65.78
2012-07-11,65.71
2012-07-12,65.62
2012-07-13,66.84
2012-07-16,67.63
2012-07-18,66.63
2012-07-19,66.63
2012-07-20,66.75
2012-07-23,62.46
2012-07-24,62.89
2012-07-25,61.74
2012-07-26,62.82
2012-07-27,63.79
2012-07-30,64.71
2012-07-31,63.73
2012-08-01,63.8
2012-08-02,63.42
2012-08-03,65.34
2012-08-06,66.79
2012-08-07,67.71
2012-08-08,67.74
2012-08-10,67.36
2012-08-13,67.59
2012-08-14,67.76
2012-08-16,67.44
2012-08-17,67.33
2012-08-20,66.85
2012-08-21,68.81
2012-08-23,70.74
2012-08-24,69.27
2012-08-27,69.5
2012-08-28,70.4
2012-08-29,69.75
2012-08-30,68.1
2012-08-31,68.3
2012-09-03,69.8
2012-09-04,69.2
2012-09-05,68.48
2012-09-06,70.09
2012-09-07,69.8
2012-09-10,70.04
2012-09-11,70.57
2012-09-12,70.1
2012-09-13,70.25
2012-09-14,76.25
2012-09-17,73.82
2012-09-18,72.71
2012-09-19,70.55
2012-09-20,70.34
2012-09-21,70.51
2012-09-24,69.93
2012-09-25,69.02
2012-09-26,66.2
2012-09-27,66.86
2012-09-28,66.15
2012-10-01,67.85
2012-10-02,68.15
2012-10-03,67.35
2012-10-04,66.75
2012-10-05,67.8
2012-10-08,67.6
2012-10-09,67.5
2012-10-10,67.24
2012-10-11,67.4
2012-10-12,66.3
2012-10-15,66.55
2012-10-16,67.4
2012-10-17,68.75
2012-10-18,69.26
2012-10-19,69.3
2012-10-22,69.72
2012-10-23,68.0
2012-10-24,67.4
2012-10-25,67.37
2012-10-26,66.5
2012-10-29,66.3
2012-10-30,66.1
2012-10-31,66.09
2012-11-01,65.85
2012-11-02,66.25
2012-11-06,66.06
2012-11-07,65.0
2012-11-08,62.8
2012-11-09,62.26
2012-11-12,62.5
2012-11-13,61.25
2012-11-14,61.99
2012-11-15,62.6
2012-11-16,62.05
2012-11-19,63.35
2012-11-20,63.4
2012-11-21,64.06
2012-11-22,63.9
2012-11-23,64.9
2012-11-26,64.9
2012-11-27,65.09
2012-11-28,64.95
2012-11-29,65.9
2012-12-03,67.15
2012-12-04,66.55
2012-12-05,67.76
2012-12-06,66.85
2012-12-07,66.71
2012-12-10,67.26
2012-12-11,68.0
2012-12-12,68.27
2012-12-13,67.86
2012-12-14,67.49
2012-12-17,66.89
2012-12-19,68.97
2012-12-20,68.15
2012-12-21,67.31
2012-12-24,66.63
2012-12-26,68.59
2012-12-27,68.03
2012-12-28,67.87
2013-01-08,70.41
2013-01-09,70.54
2013-01-10,70.9
2013-01-11,71.25
2013-01-14,72.39
2013-01-15,71.31
2013-01-16,71.97
2013-01-17,72.9
2013-01-18,74.68
2013-01-21,74.68
2013-01-22,73.2
2013-01-23,75.04
2013-01-24,74.35
2013-01-25,74.86
2013-01-28,77.25
2013-01-29,77.87
2013-01-30,78.12
2013-01-31,78.11
2013-02-01,76.64
2013-02-04,75.4
2013-02-05,76.22
