TRADEDATE,CLOSE
2011-09-30,16.17
2011-10-03,16.2
2011-10-18,16.39
2011-10-21,18.0
2011-10-24,17.77
2011-10-25,18.505
2011-10-26,20.898
2011-10-27,19.3
2011-10-28,18.376
2011-10-31,17.3
2011-11-01,16.983
2011-11-02,15.85
2011-11-03,16.0
2011-11-07,16.0
2011-11-08,15.05
2011-11-09,14.5
2011-11-10,14.9
2011-11-11,15.0
2011-11-14,14.001
2011-11-15,13.63
2011-11-16,14.3
2011-11-17,15.0
2011-11-18,14.89
2011-11-21,14.7
2011-11-22,13.998
2011-11-23,14.0
2011-11-24,14.5
2011-11-25,14.301
2011-11-28,15.0
2011-11-29,16.28
2011-11-30,15.4
2011-12-01,14.749
2011-12-02,13.683
2011-12-05,13.199
2011-12-06,13.31
2011-12-07,13.411
2011-12-08,12.499
2011-12-09,9.496
2011-12-12,9.545
2011-12-13,11.44
2011-12-14,11.0
2011-12-15,10.292
2011-12-16,9.75
2011-12-19,12.65
2011-12-20,14.9
2011-12-21,13.95
2011-12-22,13.301
2011-12-23,12.261
2011-12-26,13.01
2011-12-27,14.2
2011-12-28,14.0
2011-12-29,12.201
2011-12-30,10.256
2012-01-03,10.499
2012-01-04,10.59
2012-01-05,10.477
2012-01-06,10.554
2012-01-09,10.3
2012-01-10,10.552
2012-01-11,9.676
2012-01-12,10.0
2012-01-13,11.0
2012-01-16,10.562
2012-01-17,10.3
2012-01-18,10.889
2012-01-19,10.8
2012-01-20,10.458
2012-01-23,10.35
2012-01-24,10.498
2012-01-25,10.05
2012-01-26,10.059
2012-01-27,9.901
2012-01-30,9.85
2012-01-31,9.947
2012-02-01,10.7
2012-02-02,10.5
2012-02-03,10.99
2012-02-06,11.483
2012-02-07,10.934
2012-02-08,11.2
2012-02-09,11.497
2012-02-10,11.0
2012-02-14,10.801
2012-02-17,11.4
2012-02-20,11.199
2012-02-21,11.014
2012-02-22,11.001
2012-02-24,12.0
2012-02-27,11.205
2012-02-28,10.85
2012-02-29,10.75
2012-03-01,10.9
2012-03-02,10.9
2012-03-05,11.0
2012-03-06,11.205
