TRADEDATE,CLOSE
2018-01-03,780.0
2018-01-04,789.0
2018-01-05,776.5
2018-01-09,770.0
2018-01-10,780.0
2018-01-11,770.5
2018-01-12,779.0
2018-01-15,779.5
2018-01-16,778.0
2018-01-17,761.5
2018-01-18,765.0
2018-01-19,767.0
2018-01-22,749.5
2018-01-23,769.0
2018-01-24,764.0
2018-01-25,750.0
2018-01-26,735.0
2018-01-29,722.0
2018-01-30,754.0
2018-01-31,751.0
2018-02-01,758.0
2018-02-02,762.0
2018-02-05,759.0
2018-02-06,760.0
2018-02-07,775.0
2018-02-08,759.0
2018-02-09,749.5
2018-02-12,766.5
2018-02-13,759.0
2018-02-14,754.5
2018-02-15,754.5
2018-02-16,749.5
2018-02-19,730.0
2018-02-20,747.0
2018-02-21,751.0
2018-02-22,748.0
2018-02-26,748.0
2018-02-27,748.0
2018-02-28,751.0
2018-03-01,748.5
2018-03-02,748.0
2018-03-05,737.5
2018-03-06,737.5
2018-03-07,737.5
2018-03-09,736.5
2018-03-12,725.0
2018-03-13,751.5
2018-03-14,731.0
2018-03-15,739.0
2018-03-16,764.5
2018-03-19,735.0
2018-03-20,739.5
2018-03-21,765.0
2018-03-22,729.5
2018-03-23,730.5
2018-03-26,720.0
2018-03-27,720.5
2018-03-28,718.0
2018-03-29,724.0
2018-03-30,742.0
2018-04-02,712.5
2018-04-03,703.5
2018-04-04,686.0
2018-04-05,693.5
2018-04-06,710.0
2018-04-09,525.0
2018-04-10,573.0
2018-04-11,600.0
2018-04-12,639.5
2018-04-13,577.5
2018-04-16,562.0
2018-04-17,572.5
2018-04-18,566.0
2018-04-19,503.0
2018-04-20,572.5
2018-04-23,555.0
2018-04-24,562.0
2018-04-25,555.0
2018-04-26,590.0
2018-04-27,617.5
2018-04-28,642.0
2018-04-30,650.0
2018-05-02,700.0
2018-05-03,680.0
2018-05-04,689.0
2018-05-07,685.0
2018-05-08,704.0
2018-05-10,730.0
2018-05-11,735.0
2018-05-14,738.0
2018-05-15,743.0
2018-05-16,743.0
2018-05-17,743.0
2018-05-18,770.0
2018-05-21,749.0
2018-05-22,752.0
2018-05-23,755.0
2018-05-24,748.0
2018-05-25,745.0
2018-05-28,750.0
2018-05-29,751.0
2018-05-30,760.0
2018-05-31,743.0
2018-06-01,737.0
2018-06-04,705.0
2018-06-05,699.0
2018-06-06,702.0
2018-06-07,679.0
2018-06-08,700.0
2018-06-09,689.0
2018-06-11,690.0
2018-06-13,703.0
2018-06-14,724.0
2018-06-15,780.0
2018-06-18,720.0
2018-06-19,723.0
2018-06-20,717.0
2018-06-21,733.0
2018-06-22,750.0
2018-06-25,747.0
2018-06-26,741.0
2018-06-27,744.0
2018-06-28,740.0
2018-06-29,718.0
2018-07-02,707.0
2018-07-03,700.0
2018-07-04,703.0
2018-07-05,703.0
2018-07-06,700.0
2018-07-09,698.0
2018-07-10,724.0
2018-07-11,711.0
2018-07-12,716.0
2018-07-13,705.0
2018-07-16,700.0
2018-07-17,707.0
2018-07-18,704.0
2018-07-19,609.0
2018-07-20,688.0
2018-07-23,667.0
2018-07-24,675.0
2018-07-25,658.0
2018-07-26,693.0
2018-07-27,714.0
2018-07-30,748.0
2018-07-31,728.0
2018-08-01,678.0
2018-08-02,612.0
2018-08-03,670.0
2018-08-06,716.0
2018-08-07,726.0
2018-08-08,720.0
2018-08-09,725.0
2018-08-10,680.0
2018-08-13,655.0
2018-08-14,639.0
2018-08-15,617.6
2018-08-16,615.6
2018-08-17,644.6
2018-08-20,615.0
