TRADEDATE,CLOSE
2021-04-28,7.968
2021-04-29,7.9
2021-04-30,7.88
2021-05-04,7.91
2021-05-05,8.0
2021-05-06,8.0
2021-05-07,8.0
2021-05-10,7.981
2021-05-11,7.994
2021-05-12,7.965
2021-05-13,7.97
2021-05-14,7.951
2021-05-17,7.742
2021-05-18,7.69
2021-05-19,7.95
2021-05-20,7.994
2021-05-21,7.96
2021-05-24,7.99
2021-05-25,7.97
2021-05-26,7.97
2021-05-27,7.774
2021-05-28,7.8
2021-05-31,7.824
2021-06-01,7.86
2021-06-02,7.8
2021-06-03,7.767
2021-06-04,7.659
2021-06-07,7.281
2021-06-08,7.612
2021-06-09,7.894
2021-06-10,7.931
2021-06-11,7.949
2021-06-14,7.965
2021-06-15,7.869
2021-06-16,7.106
2021-06-17,7.774
2021-06-18,7.603
2021-06-21,7.68
2021-06-22,7.66
2021-06-23,7.685
2021-06-24,7.6
2021-06-25,7.327
2021-06-28,7.63
2021-06-29,7.523
2021-06-30,7.62
2021-07-01,7.652
2021-07-02,7.563
2021-07-05,7.65
2021-07-06,7.67
2021-07-07,7.555
2021-07-08,7.455
2021-07-09,7.45
2021-07-12,7.421
2021-07-13,7.4
2021-07-14,7.291
2021-07-15,7.205
2021-07-16,6.808
2021-07-19,6.805
2021-07-20,6.95
2021-07-21,7.027
2021-07-22,7.289
2021-07-23,7.41
2021-07-26,7.233
2021-07-27,6.732
2021-07-28,7.38
2021-07-29,7.46
2021-07-30,7.35
2021-08-02,7.366
2021-08-03,7.321
2021-08-04,7.342
2021-08-05,7.4
2021-08-06,7.25
2021-08-09,7.17
2021-08-10,7.219
2021-08-11,7.31
2021-08-12,7.23
2021-08-13,7.23
2021-08-16,7.001
2021-08-17,7.211
2021-08-18,7.23
2021-08-19,7.32
2021-08-20,7.45
2021-08-23,7.53
2021-08-24,7.69
2021-08-25,8.0
2021-08-26,7.626
2021-08-27,8.181
2021-08-30,8.688
2021-08-31,8.463
2021-09-01,8.621
2021-09-02,8.557
2021-09-03,8.821
2021-09-06,8.839
2021-09-07,8.938
2021-09-08,8.869
2021-09-09,8.637
2021-09-10,8.681
2021-09-13,8.817
2021-09-14,8.777
2021-09-15,8.655
2021-09-16,8.686
2021-09-17,8.78
2021-09-20,8.536
2021-09-21,8.508
2021-09-22,8.571
2021-09-23,8.639
2021-09-24,8.71
2021-09-27,8.797
2021-09-28,8.717
2021-09-29,8.7
2021-09-30,8.788
2021-10-01,8.696
2021-10-04,8.728
2021-10-05,8.754
2021-10-06,8.75
2021-10-07,8.971
2021-10-08,9.481
2021-10-11,9.99
2021-10-12,9.78
2021-10-13,10.359
2021-10-14,10.451
2021-10-15,10.75
2021-10-18,11.134
2021-10-19,11.0
2021-10-20,11.301
2021-10-21,10.87
2021-10-22,10.75
2021-10-25,10.85
2021-10-26,10.78
2021-10-27,10.516
2021-10-28,10.135
2021-10-29,9.854
2021-11-01,10.516
2021-11-02,10.32
2021-11-03,10.201
2021-11-05,10.202
2021-11-08,10.261
2021-11-09,10.75
2021-11-10,10.79
2021-11-11,10.729
2021-11-12,10.861
2021-11-15,10.897
2021-11-16,10.713
2021-11-17,10.807
2021-11-18,10.909
2021-11-19,10.576
2021-11-22,10.05
2021-11-23,10.099
2021-11-24,10.285
2021-11-25,10.451
2021-11-26,10.1
2021-11-29,10.52
2021-11-30,10.6
2021-12-01,10.75
2021-12-02,10.67
2021-12-03,10.679
2021-12-06,10.69
2021-12-07,10.8
2021-12-08,10.517
2021-12-09,10.78
2021-12-10,10.8
2021-12-13,10.473
2021-12-14,10.58
2021-12-15,10.802
2021-12-16,10.885
2021-12-17,10.532
2021-12-20,10.814
2021-12-21,10.866
2021-12-22,10.931
2021-12-23,10.943
2021-12-24,10.928
2021-12-27,10.94
2021-12-28,10.789
2021-12-29,11.084
2021-12-30,11.09
2022-01-03,11.07
2022-01-04,11.08
2022-01-05,10.907
2022-01-06,10.622
2022-01-10,10.565
2022-01-11,10.666
2022-01-12,10.676
2022-01-13,10.63
2022-01-14,10.45
2022-01-17,10.205
2022-01-18,9.919
2022-01-19,10.726
2022-01-20,10.045
