TRADEDATE,CLOSE
2003-07-31,6.906
2003-08-01,6.84
2003-08-04,6.87
2003-08-05,6.877
2003-08-06,6.939
2003-08-07,7.002
2003-08-08,7.017
2003-08-11,7.233
2003-08-12,7.21
2003-08-13,7.341
2003-08-14,7.65
2003-08-15,7.85
2003-08-18,7.88
2003-08-19,7.8
2003-08-20,7.74
2003-08-21,8.12
2003-08-22,8.37
2003-08-25,8.255
2003-08-26,8.096
2003-08-27,8.06
2003-08-28,8.096
2003-08-29,8.23
2003-09-01,8.569
2003-09-02,8.755
2003-09-03,8.411
2003-09-04,8.499
2003-09-05,8.415
2003-09-08,8.185
2003-09-09,8.019
2003-09-10,8.161
2003-09-11,8.15
2003-09-12,8.22
2003-09-15,8.38
2003-09-16,8.499
2003-09-17,8.4
2003-09-18,8.442
2003-09-19,8.246
2003-09-22,8.15
2003-09-23,8.32
2003-09-24,8.319
2003-09-25,8.202
2003-09-26,8.27
2003-09-29,8.531
2003-09-30,8.65
2003-10-01,9.07
2003-10-02,9.2
2003-10-03,9.35
2003-10-06,9.41
2003-10-07,9.721
2003-10-08,10.35
2003-10-09,10.479
2003-10-10,10.201
2003-10-13,10.88
2003-10-14,10.8
2003-10-15,10.717
2003-10-16,11.149
2003-10-17,11.75
2003-10-20,11.738
2003-10-21,11.42
2003-10-22,11.0
2003-10-23,11.19
2003-10-24,11.3
2003-10-27,10.4
2003-10-28,10.403
2003-10-29,10.097
2003-10-30,8.83
2003-10-31,9.819
2003-11-03,10.55
2003-11-04,10.29
2003-11-05,10.01
2003-11-06,10.32
2003-11-10,10.08
2003-11-11,9.739
2003-11-12,9.7
2003-11-13,9.729
2003-11-14,9.649
2003-11-17,9.16
2003-11-18,8.901
2003-11-19,8.701
2003-11-20,8.8
2003-11-21,9.156
2003-11-24,9.252
2003-11-25,9.352
2003-11-26,9.96
2003-11-27,10.026
2003-11-28,10.222
2003-12-01,10.6
2003-12-02,10.47
2003-12-03,10.501
2003-12-04,10.2
2003-12-05,10.318
2003-12-08,10.374
2003-12-09,10.2
2003-12-10,10.372
2003-12-11,10.371
2003-12-15,10.439
2003-12-16,10.056
2003-12-17,10.051
2003-12-18,10.23
2003-12-19,10.497
2003-12-22,10.557
2003-12-23,10.57
2003-12-24,10.75
2003-12-25,10.876
2003-12-26,11.09
2003-12-29,11.23
2003-12-30,11.38
2004-01-05,11.566
2004-01-06,11.688
2004-01-08,11.402
2004-01-09,11.777
2004-01-12,11.7
2004-01-13,11.6
2004-01-14,11.646
2004-01-15,11.261
2004-01-16,11.301
2004-01-19,11.331
2004-01-20,11.533
2004-01-21,11.464
2004-01-22,11.508
2004-01-23,11.463
2004-01-26,11.195
2004-01-27,11.36
2004-01-28,11.049
2004-01-29,11.098
2004-01-30,10.74
2004-02-02,10.7
2004-02-03,10.57
2004-02-04,10.63
2004-02-05,10.53
2004-02-06,10.55
2004-02-09,10.598
2004-02-10,10.571
2004-02-11,10.794
2004-02-12,11.117
2004-02-13,11.165
2004-02-16,11.151
2004-02-17,11.333
2004-02-18,11.23
2004-02-19,11.336
2004-02-20,11.522
2004-02-24,11.34
2004-02-25,11.483
2004-02-26,11.915
2004-02-27,12.9
2004-03-01,12.899
2004-03-02,12.36
2004-03-03,12.147
2004-03-04,12.785
2004-03-05,13.381
2004-03-09,13.641
2004-03-10,13.681
2004-03-11,13.21
2004-03-12,13.11
2004-03-15,13.185
2004-03-16,13.45
2004-03-17,13.651
2004-03-18,13.733
2004-03-19,13.946
2004-03-22,13.715
2004-03-23,13.53
2004-03-24,13.427
2004-03-25,13.405
2004-03-26,13.551
2004-03-29,13.771
2004-03-30,13.707
2004-03-31,13.826
2004-04-01,13.851
2004-04-02,14.096
2004-04-05,14.156
2004-04-06,13.787
2004-04-07,13.956
2004-04-08,14.147
2004-04-09,14.05
2004-04-12,13.88
2004-04-13,13.475
2004-04-14,13.032
2004-04-15,13.301
2004-04-16,13.079
2004-04-19,13.411
2004-04-20,13.454
2004-04-21,12.67
2004-04-22,12.45
2004-04-23,12.59
2004-04-26,12.312
2004-04-27,12.25
2004-04-28,12.36
2004-04-29,11.855
2004-04-30,12.588
2004-05-05,13.07
2004-05-06,12.913
2004-05-07,12.2
2004-05-11,12.24
2004-05-12,12.45
2004-05-13,12.33
2004-05-14,11.85
2004-05-17,12.347
2004-05-18,12.15
2004-05-19,12.488
2004-05-20,12.622
2004-05-21,12.72
2004-05-24,12.778
2004-05-25,12.53
2004-05-26,12.501
2004-05-27,12.511
2004-05-28,12.21
2004-05-31,12.121
2004-06-01,11.84
2004-06-02,12.1
2004-06-03,11.921
2004-06-04,11.54
2004-06-07,11.8
2004-06-08,11.85
2004-06-09,11.846
2004-06-10,11.552
2004-06-11,11.707
2004-06-15,11.31
2004-06-16,11.202
2004-06-17,12.089
2004-06-18,12.175
2004-06-21,12.3
2004-06-22,12.081
2004-06-23,12.195
2004-06-24,12.399
2004-06-25,12.402
2004-06-28,12.27
2004-06-29,12.44
2004-06-30,12.87
2004-07-01,12.7
2004-07-02,12.851
2004-07-05,12.752
2004-07-06,12.52
2004-07-07,12.345
2004-07-08,12.299
2004-07-09,12.349
2004-07-12,12.454
2004-07-13,12.871
2004-07-14,12.87
2004-07-15,12.843
2004-07-16,12.75
2004-07-19,12.979
2004-07-20,12.75
2004-07-21,12.79
2004-07-22,12.4
2004-07-23,12.277
2004-07-26,12.206
2004-07-27,12.1
2004-07-28,11.431
2004-07-29,11.719
2004-07-30,11.989
2004-08-02,12.01
2004-08-03,12.172
2004-08-04,12.1
2004-08-05,12.101
2004-08-06,12.19
2004-08-09,12.132
2004-08-10,11.938
2004-08-11,11.7
2004-08-12,11.857
2004-08-13,12.4
2004-08-16,12.285
2004-08-17,12.66
2004-08-18,12.07
2004-08-19,12.184
2004-08-20,12.201
2004-08-23,12.252
2004-08-24,12.23
2004-08-25,12.311
2004-08-26,12.321
2004-08-27,12.51
2004-08-30,12.44
2004-08-31,12.777
2004-09-01,12.712
2004-09-02,12.8
2004-09-03,12.902
2004-09-06,13.112
2004-09-07,13.251
2004-09-08,13.25
2004-09-09,13.585
2004-09-10,13.661
2004-09-13,13.75
2004-09-14,13.772
2004-09-15,13.67
2004-09-16,13.88
2004-09-17,13.833
2004-09-20,13.905
2004-09-21,14.012
2004-09-22,13.85
2004-09-23,13.825
2004-09-24,14.0
2004-09-27,14.01
2004-09-28,14.06
2004-09-29,14.19
2004-09-30,14.18
2004-10-01,14.625
2004-10-04,14.856
2004-10-05,14.975
2004-10-06,15.81
2004-10-07,16.0
2004-10-08,15.89
2004-10-11,16.055
2004-10-12,15.38
2004-10-13,15.919
2004-10-14,15.743
2004-10-15,15.56
2004-10-18,15.788
2004-10-19,15.56
2004-10-20,15.156
2004-10-21,15.125
2004-10-22,15.16
2004-10-25,15.25
2004-10-26,15.271
2004-10-27,15.57
2004-10-28,15.151
2004-10-29,15.18
2004-11-01,15.102
2004-11-02,15.027
2004-11-03,15.303
2004-11-04,15.599
2004-11-05,15.502
2004-11-09,15.565
2004-11-10,15.33
2004-11-11,15.401
2004-11-12,15.486
2004-11-15,15.48
2004-11-16,15.536
2004-11-17,16.16
2004-11-18,16.52
2004-11-19,16.01
2004-11-22,16.47
2004-11-23,16.43
2004-11-24,16.65
2004-11-25,16.3
2004-11-26,16.181
2004-11-29,16.399
2004-11-30,15.9
2004-12-01,15.45
2004-12-02,15.4
2004-12-03,14.749
2004-12-06,14.46
2004-12-07,14.465
2004-12-08,13.98
2004-12-09,12.86
2004-12-10,12.62
2004-12-14,13.42
2004-12-15,14.05
2004-12-16,13.726
2004-12-17,13.248
2004-12-20,14.2
2004-12-21,14.131
2004-12-22,14.2
2004-12-23,14.4
2004-12-24,14.38
2004-12-27,14.805
2004-12-28,14.643
2004-12-29,14.91
2004-12-30,15.1
2005-01-11,15.02
2005-01-12,15.063
2005-01-13,15.0
2005-01-14,15.3
2005-01-17,15.144
2005-01-18,15.2
2005-01-19,15.134
2005-01-20,14.871
2005-01-21,14.802
2005-01-24,15.011
2005-01-25,15.154
2005-01-26,14.998
2005-01-27,15.062
2005-01-28,15.33
2005-01-31,15.901
2005-02-01,16.0
2005-02-02,16.18
2005-02-03,16.27
2005-02-04,16.275
2005-02-07,16.4
2005-02-08,16.812
2005-02-09,16.456
2005-02-10,16.85
2005-02-11,16.926
2005-02-14,16.888
2005-02-15,16.75
2005-02-16,16.68
2005-02-17,16.932
2005-02-18,16.95
2005-02-21,17.112
2005-02-22,17.01
2005-02-24,17.561
2005-02-25,17.828
2005-02-28,18.153
2005-03-01,17.98
2005-03-02,17.7
2005-03-03,18.114
2005-03-04,18.388
2005-03-05,18.411
2005-03-09,18.85
2005-03-10,17.97
2005-03-11,18.1
2005-03-14,17.88
2005-03-15,17.54
2005-03-16,16.8
2005-03-17,17.075
2005-03-18,17.018
2005-03-21,16.42
2005-03-22,16.772
2005-03-23,16.685
2005-03-24,17.226
2005-03-25,17.382
2005-03-28,16.58
2005-03-29,16.302
2005-03-30,16.29
2005-03-31,16.5
2005-04-01,17.08
2005-04-04,16.79
2005-04-05,16.821
2005-04-06,17.2
2005-04-07,17.044
2005-04-08,17.237
2005-04-11,16.9
2005-04-12,16.72
2005-04-13,16.61
2005-04-14,16.155
2005-04-15,15.8
2005-04-18,15.291
2005-04-19,15.463
2005-04-20,15.644
2005-04-21,15.496
2005-04-22,15.262
2005-04-25,15.48
2005-04-26,15.44
2005-04-27,15.53
2005-04-28,15.6
2005-04-29,15.789
2005-05-03,15.6
2005-05-04,15.47
2005-05-05,15.412
2005-05-06,15.341
2005-05-11,14.96
2005-05-12,14.565
2005-05-13,14.47
2005-05-14,14.412
2005-05-16,14.3
2005-05-17,14.7
2005-05-18,14.61
2005-05-19,14.452
2005-05-20,14.52
2005-05-23,14.5
2005-05-24,14.853
2005-05-25,14.77
2005-05-26,14.739
2005-05-27,14.708
2005-05-30,14.69
2005-05-31,14.697
