TRADEDATE,CLOSE
2003-07-31,11.48
2003-08-01,11.259
2003-08-04,11.32
2003-08-05,11.19
2003-08-06,11.362
2003-08-07,11.5
2003-08-08,11.468
2003-08-11,11.853
2003-08-12,11.7
2003-08-13,12.069
2003-08-14,12.93
2003-08-15,13.261
2003-08-18,13.42
2003-08-19,13.059
2003-08-20,12.597
2003-08-21,12.92
2003-08-22,12.88
2003-08-25,12.94
2003-08-26,12.444
2003-08-27,12.51
2003-08-28,12.86
2003-08-29,13.17
2003-09-01,13.225
2003-09-02,13.939
2003-09-03,13.47
2003-09-04,13.38
2003-09-05,13.237
2003-09-08,13.0
2003-09-09,12.89
2003-09-10,12.97
2003-09-11,12.915
2003-09-12,12.96
2003-09-15,13.434
2003-09-16,13.785
2003-09-17,13.529
2003-09-18,13.551
2003-09-19,13.343
2003-09-22,13.109
2003-09-23,13.47
2003-09-24,13.55
2003-09-25,13.306
2003-09-26,13.358
2003-09-29,13.734
2003-09-30,13.904
2003-10-01,14.88
2003-10-02,15.165
2003-10-03,15.15
2003-10-06,15.44
2003-10-07,16.138
2003-10-08,17.2
2003-10-09,16.763
2003-10-10,16.47
2003-10-13,17.139
2003-10-14,17.0
2003-10-15,17.1
2003-10-16,17.59
2003-10-17,18.005
2003-10-20,17.994
2003-10-21,17.07
2003-10-22,16.2
2003-10-23,16.099
2003-10-24,16.149
2003-10-27,15.46
2003-10-28,15.754
2003-10-29,15.1
2003-10-30,12.95
2003-10-31,14.706
2003-11-03,16.06
2003-11-04,15.8
2003-11-05,15.53
2003-11-06,16.09
2003-11-10,15.749
2003-11-11,15.069
2003-11-12,15.36
2003-11-13,15.199
2003-11-14,15.225
2003-11-17,14.829
2003-11-18,14.1
2003-11-19,14.165
2003-11-20,14.469
2003-11-21,14.64
2003-11-24,15.055
2003-11-25,15.2
2003-11-26,15.67
2003-11-27,15.81
2003-11-28,15.625
2003-12-01,16.551
2003-12-02,16.5
2003-12-03,16.805
2003-12-04,16.448
