TRADEDATE,CLOSE
2021-11-01,512.9
2021-11-02,522.0
2021-11-03,511.6
2021-11-05,507.0
2021-11-08,512.32
2021-11-09,508.28
2021-11-10,502.4
2021-11-11,504.26
2021-11-12,512.97
2021-11-15,507.0
2021-11-16,509.11
2021-11-17,501.27
2021-11-18,497.2
2021-11-19,493.99
2021-11-22,485.54
2021-11-23,486.66
2021-11-24,487.51
2021-11-25,483.2
2021-11-26,472.22
2021-11-29,480.0
2021-11-30,477.98
2021-12-01,480.0
2021-12-02,485.0
2021-12-03,510.0
2021-12-06,512.0
2021-12-07,503.0
2021-12-08,500.39
2021-12-09,500.74
2021-12-10,484.5
2021-12-13,485.2
2021-12-14,473.35
2021-12-15,465.1
2021-12-16,472.22
2021-12-17,464.9
2021-12-20,454.85
2021-12-21,461.6
2021-12-22,465.78
2021-12-23,473.05
2021-12-24,478.6
2021-12-27,479.4
2021-12-28,489.44
2021-12-29,513.99
2021-12-30,516.51
2022-01-03,514.88
2022-01-04,504.49
2022-01-05,501.67
2022-01-06,508.97
2022-01-10,486.0
2022-01-11,485.0
2022-01-12,488.84
2022-01-13,487.56
2022-01-14,463.59
2022-01-17,445.0
2022-01-18,445.08
2022-01-19,447.17
2022-01-20,442.0
2022-01-21,416.0
2022-01-24,358.8
2022-01-25,340.0
2022-01-26,360.0
2022-01-27,348.05
2022-01-28,360.92
2022-01-31,373.84
2022-02-01,389.8
2022-02-02,430.0
2022-02-03,426.0
2022-02-04,453.0
2022-02-07,460.0
2022-02-08,466.3
2022-02-09,462.0
2022-02-10,461.6
2022-02-11,462.0
2022-02-14,448.0
2022-02-15,451.7
2022-02-16,445.7
2022-02-17,424.1
2022-02-18,429.9
2022-02-21,410.0
2022-02-22,368.9
2022-02-24,245.4
2022-02-25,264.9
2022-03-30,275.0
2022-03-31,299.5
2022-04-01,311.6
2022-04-04,312.8
2022-04-05,289.4
2022-04-06,281.4
2022-04-07,276.9
2022-04-08,268.0
2022-04-11,256.9
2022-04-12,249.7
2022-04-13,248.0
2022-04-14,248.8
2022-04-15,227.1
2022-04-18,214.6
2022-04-19,189.0
2022-04-20,215.0
2022-04-21,201.4
2022-04-22,202.0
2022-04-25,188.0
2022-04-26,185.8
2022-04-27,190.3
2022-04-28,190.6
2022-04-29,190.7
2022-05-04,185.9
2022-05-05,185.8
2022-05-06,181.0
2022-05-11,174.1
2022-05-12,165.9
2022-05-13,163.0
2022-05-16,166.7
2022-05-17,166.7
2022-05-18,164.1
2022-05-19,161.2
2022-05-20,160.0
2022-05-23,152.5
2022-05-24,142.0
2022-05-25,144.9
2022-05-26,148.9
2022-05-27,145.2
2022-05-30,144.0
2022-05-31,140.0
2022-06-01,138.1
2022-06-02,137.0
2022-06-03,133.2
2022-06-06,130.5
2022-06-07,126.6
2022-06-08,128.0
2022-06-09,114.4
2022-06-10,107.2
2022-06-14,101.0
2022-06-15,99.8
2022-06-16,111.1
2022-06-17,117.8
2022-06-20,115.3
2022-06-21,113.0
2022-06-22,112.4
2022-06-23,114.2
2022-06-24,112.6
2022-06-27,114.6
2022-06-28,114.8
2022-06-29,114.0
2022-06-30,112.0
2022-07-01,112.5
2022-07-04,113.3
2022-07-05,113.4
2022-07-06,112.7
2022-07-07,145.6
2022-07-08,154.0
2022-07-11,145.3
2022-07-12,142.6
2022-07-13,145.5
2022-07-14,147.5
2022-07-15,152.1
2022-07-18,169.9
2022-07-19,170.0
2022-07-20,151.8
2022-07-21,168.8
2022-07-22,164.8
2022-07-25,165.0
2022-07-26,164.0
2022-07-27,162.9
2022-07-28,162.5
2022-07-29,158.4
2022-08-01,174.3
2022-08-02,178.6
2022-08-03,171.5
2022-08-04,168.2
2022-08-05,156.7
2022-08-08,169.5
2022-08-09,168.7
2022-08-10,168.7
2022-08-11,165.0
2022-08-12,162.5
2022-08-15,160.4
2022-08-16,160.8
2022-08-17,162.3
2022-08-18,160.4
2022-08-19,155.9
2022-08-22,156.6
2022-08-23,156.3
2022-08-24,154.4
2022-08-25,153.4
2022-08-26,148.3
2022-08-29,151.1
2022-08-30,150.6
2022-08-31,150.8
2022-09-01,152.0
2022-09-02,158.1
2022-09-05,156.9
2022-09-06,152.0
2022-09-07,153.6
2022-09-08,152.1
2022-09-09,150.3
2022-09-12,148.5
2022-09-13,144.0
2022-09-14,139.7
2022-09-15,144.3
2022-09-16,141.7
2022-09-19,143.0
2022-09-20,126.8
2022-09-21,119.1
2022-09-22,117.3
2022-09-23,113.5
2022-09-26,103.0
2022-09-27,104.8
2022-09-28,105.0
2022-09-29,101.6
2022-09-30,99.6
2022-10-03,108.1
2022-10-04,107.5
2022-10-05,108.7
2022-10-06,108.8
2022-10-07,102.5
2022-10-10,100.0
2022-10-11,104.5
2022-10-12,103.8
2022-10-13,102.6
2022-10-14,103.2
2022-10-17,121.0
2022-10-18,121.3
2022-10-19,115.0
2022-10-20,122.4
2022-10-21,121.3
2022-10-24,119.8
2022-10-25,120.0
2022-10-26,120.8
2022-10-27,135.0
2022-11-03,120.7
2022-11-07,119.3
2022-11-08,112.5
2022-11-09,107.7
2022-11-10,108.5
2022-11-11,106.6
2022-11-14,109.1
2022-11-15,107.5
2022-11-16,107.2
2022-11-17,107.4
2022-11-18,106.4
2022-11-21,103.5
2022-11-22,105.9
2022-11-23,104.7
2022-11-24,105.1
2022-11-25,103.8
2022-11-28,102.2
2022-11-29,102.8
2022-11-30,105.5
2022-12-01,104.8
2022-12-02,103.6
2022-12-05,102.5
2022-12-06,100.7
2022-12-07,100.5
2022-12-08,100.3
2022-12-09,99.8
2022-12-12,98.2
2022-12-13,96.4
2022-12-14,94.2
2022-12-15,93.0
2022-12-16,92.4
2022-12-19,93.1
2022-12-20,95.0
2022-12-21,93.3
2022-12-22,92.7
2022-12-23,95.1
2022-12-26,96.6
2022-12-27,96.1
2022-12-28,94.3
2022-12-29,94.3
2022-12-30,93.1
2023-01-03,95.1
2023-01-04,94.8
2023-01-05,95.0
2023-01-06,94.7
2023-01-09,96.5
2023-01-10,101.7
2023-01-11,103.5
2023-01-12,106.4
2023-01-13,107.0
2023-01-16,113.0
2023-01-17,108.6
2023-01-18,107.7
2023-01-19,104.5
2023-01-20,104.0
2023-01-23,107.4
2023-01-24,107.7
2023-01-25,107.0
2023-01-26,109.7
2023-01-27,109.7
2023-01-30,110.2
2023-01-31,110.5
2023-02-01,107.9
2023-02-02,108.9
2023-02-03,109.0
2023-02-06,112.6
2023-02-07,111.6
2023-02-08,117.3
2023-02-09,120.3
2023-02-10,117.9
2023-02-13,117.8
2023-02-14,113.5
2023-02-15,105.6
2023-02-16,108.7
2023-02-17,109.3
2023-02-20,110.0
2023-02-21,112.5
2023-02-22,112.2
2023-02-24,113.2
2023-02-27,114.1
2023-02-28,114.3
2023-03-01,114.5
2023-03-02,111.3
2023-03-03,112.0
2023-03-06,115.0
2023-03-07,113.8
2023-03-09,114.0
2023-03-10,113.3
2023-03-13,112.1
2023-03-14,111.2
2023-03-15,110.4
2023-03-16,109.1
2023-03-17,110.0
2023-03-20,109.9
2023-03-21,108.7
2023-03-22,108.7
2023-03-23,108.9
2023-03-24,107.7
2023-03-27,110.5
2023-03-28,109.3
2023-03-29,108.3
2023-03-30,109.4
2023-03-31,108.9
2023-04-03,110.2
2023-04-04,111.3
2023-04-05,114.5
2023-04-06,116.4
2023-04-07,118.7
2023-04-10,123.0
2023-04-11,122.0
2023-04-12,126.6
2023-04-13,124.2
2023-04-14,124.3
2023-04-17,126.0
2023-04-18,124.8
2023-04-19,122.3
2023-04-20,120.9
2023-04-21,120.9
2023-04-24,124.1
2023-04-25,122.5
2023-04-26,124.2
2023-04-27,123.0
2023-04-28,122.7
2023-05-02,115.1
2023-05-03,111.6
2023-05-04,129.6
2023-05-05,134.5
2023-05-08,125.9
2023-05-10,129.8
2023-05-11,128.2
2023-05-12,125.2
2023-05-15,126.4
2023-05-16,127.3
2023-05-17,131.3
2023-05-18,128.6
2023-05-19,129.6
2023-05-22,128.4
2023-05-23,128.2
2023-05-24,125.4
2023-05-25,124.0
2023-05-26,128.1
2023-05-29,131.0
2023-05-30,127.0
2023-05-31,126.1
2023-06-01,124.7
2023-06-02,125.3
2023-06-05,129.7
2023-06-06,130.3
2023-06-07,139.3
2023-06-08,150.0
2023-06-09,154.4
2023-06-13,152.7
2023-06-14,152.5
2023-06-15,149.6
2023-06-16,151.7
2023-06-19,152.2
2023-06-20,153.3
2023-06-21,153.1
2023-06-22,151.0
2023-06-23,148.0
2023-06-26,142.3
2023-06-27,150.1
2023-06-28,153.8
2023-06-29,158.2
2023-06-30,154.1
2023-07-03,157.3
2023-07-04,155.3
2023-07-05,157.1
2023-07-06,160.0
2023-07-07,156.8
2023-07-10,158.2
2023-07-11,159.5
2023-07-12,161.1
2023-07-13,160.0
2023-07-14,162.4
2023-07-17,164.2
2023-07-18,166.3
2023-07-19,164.4
2023-07-20,160.0
2023-07-21,161.4
2023-07-24,167.7
2023-07-25,190.0
2023-07-26,240.0
2023-07-27,231.3
2023-07-28,225.5
2023-07-31,234.5
2023-08-01,232.6
2023-08-02,230.0
2023-08-03,231.2
2023-08-04,231.0
2023-08-07,229.3
2023-08-08,225.0
2023-08-09,222.3
2023-08-10,235.0
2023-08-11,245.0
2023-08-14,238.6
2023-08-15,237.0
2023-08-16,232.6
2023-08-17,239.7
2023-08-18,240.2
2023-08-21,244.0
2023-08-22,235.9
2023-08-23,232.3
2023-08-24,229.7
2023-08-25,230.1
2023-08-28,240.0
2023-08-29,268.4
2023-08-30,263.2
2023-08-31,269.7
2023-09-01,267.9
2023-09-04,266.0
2023-09-05,258.1
2023-09-06,240.6
2023-09-07,220.0
2023-09-08,216.1
2023-09-11,219.5
2023-09-12,223.8
2023-09-13,214.0
2023-09-14,216.6
2023-09-15,216.0
2023-09-18,209.7
2023-09-19,196.3
2023-09-25,160.0
2023-09-26,148.6
2023-09-27,150.04
2023-09-28,200.5
