TRADEDATE,CLOSE
2005-05-14,420.1
2005-05-18,415.0
2005-06-03,424.5
2005-06-06,422.0
2005-06-07,426.0
2005-06-08,421.0
2005-06-09,420.0
2005-06-10,416.0
2005-06-14,416.0
2005-06-16,416.0
2005-06-20,405.0
2005-06-28,408.0
2005-06-30,410.0
2005-07-05,412.0
2005-07-07,413.0
2005-07-08,419.0
2005-07-11,420.0
2005-07-12,426.0
2005-07-13,426.0
2005-07-14,425.5
2005-07-15,431.5
2005-07-18,431.0
2005-07-19,430.5
2005-07-20,440.0
2005-07-21,444.0
2005-07-22,473.0
2005-07-25,474.01
2005-07-28,473.99
2005-07-29,460.03
2005-08-01,480.0
2005-08-02,479.0
2005-08-03,480.0
2005-08-04,485.0
2005-08-05,499.0
2005-08-08,480.0
2005-08-09,487.0
2005-08-11,465.0
2005-08-12,460.0
2005-08-15,459.85
2005-08-16,472.0
2005-08-17,468.0
2005-08-18,480.0
2005-08-19,473.0
2005-08-22,474.0
2005-08-23,470.0
2005-08-24,470.0
2005-08-25,469.0
2005-08-26,469.0
2005-08-29,467.0
2005-08-30,470.0
2005-08-31,469.0
2005-09-01,468.0
2005-09-02,464.0
2005-09-05,465.0
2005-09-07,479.0
2005-09-08,479.99
2005-09-09,476.49
2005-09-12,466.0
2005-09-14,481.99
2005-09-15,488.0
2005-09-16,481.0
2005-09-19,499.95
2005-09-20,510.5
2005-09-21,520.0
2005-09-22,535.0
2005-09-23,530.0
2005-09-26,507.0
2005-09-27,550.0
2005-09-28,555.0
2005-09-29,533.0
2005-09-30,543.0
2005-10-03,580.0
2005-10-04,570.0
2005-10-05,599.98
2005-10-06,590.0
2005-10-07,600.0
2005-10-10,589.0
2005-10-11,575.0
2005-10-12,570.0
2005-10-13,545.0
2005-10-14,532.0
2005-10-18,593.0
2005-10-19,520.0
2005-10-20,540.0
2005-10-21,520.0
2005-10-26,510.0
2005-10-31,570.0
2005-11-01,506.06
2005-11-02,559.95
2005-11-10,513.0
2005-11-11,505.04
2005-11-14,529.99
2005-11-15,507.01
2005-11-16,519.0
2005-11-17,534.0
2005-11-18,538.99
2005-11-21,533.0
2005-11-22,510.0
2005-11-23,500.0
2005-11-24,495.0
2005-11-25,500.0
2005-11-28,500.0
2005-11-29,500.0
2005-11-30,500.0
2005-12-01,497.0
2005-12-02,495.0
2005-12-07,492.11
2005-12-09,507.0
2005-12-12,500.0
2005-12-13,490.01
2005-12-14,484.0
2005-12-15,493.0
2005-12-16,490.0
2005-12-19,482.0
2005-12-20,487.0
2005-12-21,489.99
2005-12-22,487.0
2005-12-23,502.89
2005-12-26,501.0
2005-12-27,500.99
2005-12-28,500.5
2005-12-29,514.0
2005-12-30,523.89
2006-01-10,515.8
2006-01-11,524.0
2006-01-12,536.0
2006-01-13,542.01
2006-01-16,563.0
2006-01-17,555.05
2006-01-18,612.0
2006-01-19,616.0
2006-01-20,617.9
2006-01-23,617.0
2006-01-24,613.0
2006-01-25,618.0
2006-01-26,612.0
2006-01-27,610.0
2006-01-30,600.0
2006-01-31,588.84
2006-02-01,578.5
2006-02-02,583.0
2006-02-03,596.0
2006-02-06,601.0
2006-02-07,624.0
2006-02-08,719.0
2006-02-09,685.0
2006-02-10,668.0
2006-02-13,690.0
2006-02-14,700.0
2006-02-15,694.5
2006-02-16,685.0
2006-02-17,693.0
2006-02-20,700.0
2006-02-21,664.5
2006-02-22,685.0
2006-02-26,680.0
2006-02-27,680.01
2006-02-28,667.0
2006-03-01,677.91
2006-03-02,679.99
2006-03-03,680.5
2006-03-06,706.0
2006-03-07,675.0
2006-03-09,664.9
2006-03-10,655.0
2006-03-13,659.99
2006-03-14,658.0
2006-03-15,645.51
2006-03-16,658.0
2006-03-17,668.0
2006-03-20,655.0
2006-03-21,655.0
2006-03-22,655.0
2006-03-23,664.8
2006-03-24,669.0
2006-03-27,669.0
2006-03-28,668.0
2006-03-29,665.0
2006-03-30,660.0
2006-03-31,662.0
2006-04-03,662.0
2006-04-04,669.0
2006-04-05,682.0
2006-04-06,667.0
2006-04-07,672.0
2006-04-10,666.59
2006-04-11,662.01
2006-04-12,663.5
2006-04-13,664.01
2006-04-14,669.0
2006-04-17,665.51
2006-04-18,662.1
2006-04-19,670.0
2006-04-20,665.0
2006-04-21,677.0
2006-04-24,668.0
2006-04-25,674.0
2006-04-26,678.5
2006-04-27,654.0
2006-04-28,679.9
2006-05-02,657.12
2006-05-03,665.0
2006-05-04,661.05
2006-05-05,663.01
2006-05-06,670.0
2006-05-10,662.0
2006-05-11,655.0
2006-05-12,645.15
2006-05-15,620.0
2006-05-16,595.0
2006-05-17,600.0
2006-05-18,619.88
2006-05-19,600.0
2006-05-22,560.0
2006-05-23,579.95
2006-05-24,555.0
2006-05-25,527.78
2006-05-26,524.0
2006-05-29,520.5
2006-05-30,537.0
2006-05-31,543.0
2006-06-01,547.0
2006-06-02,544.0
2006-06-05,595.0
2006-06-06,572.0
2006-06-07,560.0
2006-06-08,540.01
2006-06-09,533.35
2006-06-13,490.0
2006-06-14,541.0
2006-06-15,555.0
2006-06-16,528.0
2006-06-19,549.89
2006-06-20,550.0
2006-06-21,532.0
2006-06-22,544.0
2006-06-23,549.0
2006-06-26,540.0
2006-06-27,522.01
2006-06-28,515.0
2006-06-29,510.01
2006-06-30,520.01
2006-07-03,532.1
2006-07-04,533.0
2006-07-05,475.0
2006-07-06,525.0
2006-07-07,520.0
2006-07-10,525.0
2006-07-11,520.0
2006-07-12,524.99
2006-07-13,515.0
2006-07-14,524.9
2006-07-17,512.0
2006-07-18,493.1
2006-07-19,484.0
2006-07-20,493.99
2006-07-21,480.0
2006-07-24,490.0
2006-07-25,488.98
2006-07-26,489.6
2006-07-27,504.5
2006-07-28,505.5
2006-07-31,501.99
2006-08-01,494.01
2006-08-02,496.5
2006-08-03,498.0
2006-08-04,501.0
2006-08-07,498.98
2006-08-08,498.0
2006-08-09,501.0
2006-08-10,499.0
2006-08-11,499.0
2006-08-14,500.0
2006-08-15,499.1
2006-08-16,505.0
2006-08-17,500.03
2006-08-18,500.01
2006-08-21,500.0
2006-08-22,503.0
2006-08-23,503.0
2006-08-24,502.5
2006-08-25,505.0
2006-08-28,507.03
2006-08-29,506.77
2006-08-30,513.0
2006-08-31,512.49
2006-09-01,512.0
2006-09-04,510.0
2006-09-05,514.0
2006-09-06,513.0
2006-09-07,511.5
2006-09-08,511.33
2006-09-11,511.99
2006-09-12,511.48
2006-09-13,511.69
2006-09-14,526.98
2006-09-15,558.2
2006-09-18,563.8
2006-09-19,562.0
2006-09-20,544.0
2006-09-21,539.5
2006-09-22,516.0
2006-09-25,513.98
2006-09-26,522.25
2006-09-27,525.0
2006-09-28,539.0
2006-09-29,544.99
2006-10-02,555.0
2006-10-03,555.0
2006-10-04,550.8
2006-10-05,562.0
2006-10-06,571.0
2006-10-09,575.0
2006-10-10,590.0
2006-10-11,613.31
2006-10-12,614.0
2006-10-13,615.35
2006-10-16,610.25
2006-10-17,612.9
2006-10-18,615.0
2006-10-19,619.0
2006-10-20,621.0
2006-10-23,640.0
2006-10-24,639.9
2006-10-25,636.5
2006-10-26,658.0
2006-10-27,673.0
2006-10-30,670.0
2006-10-31,680.0
2006-11-01,677.0
2006-11-02,679.0
2006-11-03,671.0
2006-11-07,680.0
2006-11-08,678.0
2006-11-09,679.99
2006-11-10,679.0
2006-11-13,665.01
2006-11-14,673.0
2006-11-15,679.99
2006-11-16,687.98
2006-11-17,680.0
2006-11-20,673.85
2006-11-21,691.0
2006-11-22,690.0
2006-11-23,691.99
2006-11-24,691.69
2006-11-27,690.0
2006-11-28,692.7
2006-11-29,699.9
2006-11-30,699.0
2006-12-01,702.5
2006-12-04,698.1
2006-12-05,711.0
2006-12-06,715.0
2006-12-07,723.0
2006-12-08,736.0
2006-12-11,735.0
2006-12-12,740.0
2006-12-13,734.11
2006-12-14,735.5
2006-12-15,736.1
2006-12-18,743.0
2006-12-19,745.0
2006-12-20,743.21
2006-12-21,767.98
2006-12-22,766.45
2006-12-25,764.5
2006-12-26,775.0
2006-12-27,785.0
2006-12-28,806.0
2006-12-29,814.9
2007-01-09,778.0
2007-01-10,754.86
2007-01-11,770.0
2007-01-12,768.01
2007-01-15,760.0
2007-01-16,740.0
2007-01-17,743.0
2007-01-18,745.0
2007-01-19,740.0
2007-01-22,745.0
2007-01-23,758.0
2007-01-24,751.5
2007-01-25,768.5
2007-01-26,776.97
2007-01-29,757.19
2007-01-30,761.5
2007-01-31,765.5
2007-02-01,767.8
2007-02-02,760.0
2007-02-05,805.0
2007-02-06,885.0
2007-02-07,895.0
2007-02-08,880.0
2007-02-09,897.0
2007-02-12,884.02
2007-02-13,865.0
2007-02-14,843.1
2007-02-15,850.0
2007-02-16,844.99
2007-02-19,840.0
2007-02-20,826.01
2007-02-21,845.0
2007-02-22,863.0
2007-02-26,890.0
2007-02-27,858.0
2007-02-28,830.0
2007-03-01,780.05
2007-03-02,804.0
2007-03-05,772.0
2007-03-06,795.0
2007-03-07,780.0
2007-03-09,792.97
2007-03-12,800.0
2007-03-13,790.0
2007-03-14,773.0
2007-03-15,792.0
2007-03-16,780.01
2007-03-19,794.99
2007-03-20,829.0
2007-03-21,814.99
2007-03-22,832.5
2007-03-23,837.15
2007-03-26,847.0
2007-03-27,845.15
2007-03-28,853.95
2007-03-29,850.0
2007-03-30,850.0
2007-04-02,824.98
2007-04-03,811.4
2007-04-04,814.49
2007-04-05,814.3
2007-04-06,809.99
2007-04-09,806.04
2007-04-10,803.0
2007-04-11,802.0
2007-04-12,802.0
2007-04-13,802.0
2007-04-16,784.79
2007-04-17,785.0
2007-04-18,776.0
2007-04-19,770.0
2007-04-20,778.0
2007-04-23,780.0
2007-04-24,789.0
2007-04-25,830.0
2007-04-26,830.05
2007-04-27,815.98
2007-04-28,826.0
2007-05-02,830.0
2007-05-03,829.37
2007-05-04,824.0
2007-05-07,829.0
2007-05-08,829.8
2007-05-10,834.0
2007-05-11,827.0
2007-05-14,817.0
2007-05-15,807.0
2007-05-16,814.5
2007-05-17,808.0
2007-05-18,814.0
2007-05-21,822.37
2007-05-22,825.0
2007-05-23,811.0
2007-05-24,820.0
2007-05-25,817.0
2007-05-28,817.0
2007-05-29,805.0
2007-05-30,800.0
2007-05-31,817.0
2007-06-01,812.85
2007-06-04,811.37
2007-06-05,813.25
2007-06-06,815.0
2007-06-07,811.21
2007-06-08,815.0
2007-06-09,840.0
2007-06-13,825.0
2007-06-14,831.01
2007-06-15,870.0
2007-06-18,880.0
2007-06-19,856.11
2007-06-20,863.0
2007-06-21,855.0
2007-06-22,862.0
2007-06-25,860.01
2007-06-26,873.5
2007-06-27,869.0
2007-06-28,867.0
2007-06-29,868.0
2007-07-02,869.95
2007-07-03,908.0
2007-07-04,912.0
2007-07-05,901.0
2007-07-06,913.0
2007-07-09,954.0
2007-07-10,954.37
2007-07-11,941.01
2007-07-12,940.0
2007-07-13,939.37
2007-07-16,928.0
2007-07-17,925.0
2007-07-18,918.99
2007-07-19,914.0
2007-07-20,913.0
