TRADEDATE,CLOSE
2023-12-15,12.505
2023-12-18,12.9
2023-12-19,12.61
2023-12-20,12.805
2023-12-21,13.16
2023-12-22,13.71
2023-12-25,13.5
2023-12-26,13.52
2023-12-27,18.9
2023-12-28,13.605
2023-12-29,13.7
2024-01-03,14.245
2024-01-04,14.155
2024-01-05,14.185
2024-01-08,14.315
2024-01-09,14.15
2024-01-10,14.2
2024-01-11,13.995
2024-01-12,13.81
2024-01-15,13.805
2024-01-16,13.755
2024-01-17,13.88
2024-01-18,13.7
2024-01-19,13.7
2024-01-22,13.9
2024-01-23,14.895
2024-01-24,14.78
2024-01-25,14.975
2024-01-26,14.965
2024-01-29,15.05
2024-01-30,17.415
2024-01-31,17.02
2024-02-01,15.34
2024-02-02,15.3
2024-02-05,15.405
2024-02-06,16.065
2024-02-07,17.69
2024-02-08,18.06
2024-02-09,17.355
2024-02-12,17.21
2024-02-13,17.8
2024-02-14,17.54
2024-02-15,17.51
2024-02-16,17.48
2024-02-19,18.85
2024-02-20,18.25
2024-02-21,18.19
2024-02-22,19.3
2024-02-26,18.645
2024-02-27,18.475
2024-02-28,18.285
2024-02-29,18.475
2024-03-01,19.28
2024-03-04,19.17
2024-03-05,19.28
2024-03-06,19.565
2024-03-07,22.795
2024-03-11,22.93
2024-03-12,19.215
2024-03-13,19.175
2024-03-14,19.03
2024-03-15,18.97
2024-03-18,19.32
2024-03-19,19.06
2024-03-20,18.865
2024-03-21,19.1
2024-03-22,18.96
2024-03-25,18.905
2024-03-26,19.03
2024-03-27,18.94
2024-03-28,18.955
2024-03-29,19.35
2024-04-01,19.905
2024-04-02,22.64
2024-04-03,20.255
2024-04-04,20.05
2024-04-05,19.98
2024-04-08,20.01
2024-04-09,19.685
2024-04-10,19.545
2024-04-11,19.285
2024-04-12,20.0
2024-04-15,19.41
2024-04-16,19.27
2024-04-17,19.145
2024-04-18,19.08
2024-04-19,19.165
2024-04-22,19.125
2024-04-23,20.07
2024-04-24,19.0
2024-04-25,19.07
2024-04-26,19.075
2024-04-27,19.14
2024-04-29,19.15
2024-04-30,19.05
2024-05-02,18.935
2024-05-03,18.61
2024-05-06,19.155
2024-05-07,18.65
2024-05-08,19.24
2024-05-10,19.695
2024-05-13,20.2
2024-05-14,19.8
2024-05-15,19.82
2024-05-16,19.36
2024-05-17,21.0
2024-05-20,18.825
2024-05-21,18.975
2024-05-22,18.85
2024-05-23,18.74
2024-05-24,18.22
2024-05-27,17.935
2024-05-28,17.975
2024-05-29,19.5
2024-05-30,17.42
2024-05-31,17.06
2024-06-03,17.55
2024-06-04,18.305
2024-06-05,17.85
2024-06-06,17.76
2024-06-07,18.24
2024-06-10,18.32
2024-06-11,17.845
2024-06-13,17.985
2024-06-14,18.125
2024-06-17,17.82
2024-06-18,17.415
2024-06-19,16.76
2024-06-20,17.33
2024-06-21,17.4
2024-06-24,16.735
2024-06-25,17.07
2024-06-26,17.25
2024-06-27,16.95
2024-06-28,16.9
2024-07-01,16.885
2024-07-02,16.79
2024-07-03,16.435
2024-07-04,16.565
2024-07-05,16.5
2024-07-08,15.7
2024-07-09,15.0
2024-07-10,14.2
2024-07-11,15.045
2024-07-12,14.39
2024-07-15,14.06
2024-07-16,14.16
2024-07-17,14.33
2024-07-18,14.865
2024-07-19,15.355
2024-07-22,15.515
2024-07-23,15.5
2024-07-24,15.32
2024-07-25,15.365
2024-07-26,14.82
2024-07-29,15.0
2024-07-30,14.865
2024-07-31,14.855
2024-08-01,14.775
2024-08-02,14.44
2024-08-05,14.145
2024-08-06,14.17
2024-08-07,14.65
2024-08-08,14.865
2024-08-09,14.4
2024-08-12,14.445
2024-08-13,14.595
2024-08-14,14.315
2024-08-15,14.185
2024-08-16,14.06
2024-08-19,13.98
2024-08-20,14.135
2024-08-21,13.5
2024-08-22,13.9
2024-08-23,13.665
2024-08-26,13.69
2024-08-27,13.46
2024-08-28,13.63
2024-08-29,13.395
2024-08-30,12.99
2024-09-02,12.96
2024-09-03,13.015
2024-09-04,13.305
2024-09-05,13.24
2024-09-06,13.25
2024-09-09,13.79
2024-09-10,13.595
2024-09-11,13.055
2024-09-12,13.475
2024-09-13,13.265
2024-09-16,13.87
2024-09-17,14.045
2024-09-18,13.8
2024-09-19,13.935
2024-09-20,14.125
2024-09-23,14.995
2024-09-24,14.485
2024-09-25,13.98
2024-09-26,13.96
2024-09-27,14.025
2024-09-30,13.99
2024-10-01,13.885
2024-10-02,13.595
2024-10-03,13.97
2024-10-04,14.09
2024-10-07,13.5
2024-10-08,13.5
2024-10-09,13.45
2024-10-10,13.52
2024-10-11,13.35
2024-10-14,13.55
2024-10-15,13.53
2024-10-16,13.18
2024-10-17,13.59
2024-10-18,13.36
2024-10-21,13.325
2024-10-22,13.17
2024-10-23,12.875
2024-10-24,12.965
2024-10-25,12.5
2024-10-28,12.6
2024-10-29,12.695
2024-10-30,12.465
2024-10-31,12.31
2024-11-01,12.31
2024-11-02,12.35
2024-11-05,12.695
2024-11-06,12.995
2024-11-07,12.915
2024-11-08,13.28
2024-11-11,13.59
2024-11-12,13.115
2024-11-13,13.14
2024-11-14,13.205
2024-11-15,13.67
2024-11-18,14.15
2024-11-19,14.025
2024-11-20,14.31
2024-11-21,14.145
2024-11-22,13.62
2024-11-25,12.855
2024-11-26,12.6
2024-11-27,13.05
2024-11-28,12.86
2024-11-29,13.0
2024-12-02,12.865
2024-12-03,12.65
2024-12-04,12.46
2024-12-05,12.775
2024-12-06,12.655
2024-12-09,12.705
2024-12-10,12.485
2024-12-11,12.675
2024-12-12,12.28
2024-12-13,12.205
2024-12-16,11.84
2024-12-17,12.62
2024-12-18,12.975
2024-12-19,13.11
2024-12-20,14.0
2024-12-23,14.105
2024-12-24,13.705
2024-12-25,13.93
2024-12-26,13.685
2024-12-27,13.65
2024-12-28,13.78
2024-12-30,14.165
2025-01-03,14.085
2025-01-06,14.0
2025-01-08,14.32
2025-01-09,13.93
2025-01-10,14.515
2025-01-13,14.565
2025-01-14,14.8
2025-01-15,15.395
2025-01-16,15.35
2025-01-17,15.3
2025-01-20,14.965
2025-01-21,15.325
2025-01-22,15.095
2025-01-23,15.0
2025-01-24,15.03
2025-01-27,14.81
2025-01-28,15.16
2025-01-29,15.105
2025-01-30,15.15
2025-01-31,14.97
2025-02-03,14.93
2025-02-04,14.9
2025-02-05,15.065
2025-02-06,15.185
2025-02-07,15.14
2025-02-10,15.26
2025-02-11,15.785
2025-02-12,16.5
2025-02-13,16.465
2025-02-14,16.245
2025-02-17,17.35
2025-02-18,16.86
2025-02-19,16.975
2025-02-20,16.86
2025-02-21,16.895
2025-02-24,17.19
2025-02-25,17.24
2025-02-26,16.46
2025-02-27,15.915
2025-02-28,16.625
2025-03-03,16.44
2025-03-04,17.25
2025-03-05,17.53
2025-03-06,17.4
2025-03-07,17.7
2025-03-10,17.51
2025-03-11,17.385
2025-03-12,17.275
2025-03-13,17.195
2025-03-14,17.775
2025-03-17,18.715
2025-03-18,18.665
2025-03-19,18.84
2025-03-20,18.72
2025-03-21,18.565
2025-03-24,18.305
2025-03-25,18.37
2025-03-26,17.965
2025-03-27,16.915
2025-03-28,16.69
2025-03-31,16.97
2025-04-01,16.365
2025-04-02,16.745
2025-04-03,16.585
2025-04-04,15.455
2025-04-07,15.525
2025-04-08,15.645
2025-04-09,16.24
2025-04-10,16.335
2025-04-11,16.425
2025-04-14,16.125
2025-04-15,16.205
2025-04-16,16.125
2025-04-17,16.33
2025-04-18,16.14
2025-04-21,16.48
2025-04-22,16.9
2025-04-23,16.58
2025-04-24,16.555
2025-04-25,16.765
2025-04-28,16.4
2025-04-29,15.69
2025-04-30,15.385
2025-05-02,14.855
2025-05-05,14.595
2025-05-06,14.72
2025-05-07,14.83
2025-05-08,15.095
2025-05-12,15.53
2025-05-13,15.59
2025-05-14,15.8
2025-05-15,15.515
2025-05-16,15.745
2025-05-19,15.46
2025-05-20,15.57
2025-05-21,15.375
2025-05-22,15.195
2025-05-23,15.09
2025-05-26,14.4
2025-05-27,14.91
2025-05-28,15.605
2025-05-29,15.255
2025-05-30,15.585
2025-06-02,15.745
2025-06-03,16.2
2025-06-04,16.14
2025-06-05,16.215
2025-06-06,15.665
2025-06-09,15.45
2025-06-10,15.525
2025-06-11,15.53
2025-06-13,15.41
2025-06-16,15.33
2025-06-17,15.635
2025-06-18,15.59
2025-06-19,16.045
2025-06-20,15.815
2025-06-23,15.48
2025-06-24,15.67
2025-06-25,15.855
2025-06-26,15.865
2025-06-27,16.06
2025-06-30,16.45
2025-07-01,16.405
2025-07-02,16.395
2025-07-03,16.22
2025-07-04,16.32
2025-07-07,16.195
