TRADEDATE,CLOSE
2011-11-21,93.01
2011-11-22,97.29
2011-11-23,95.6
2011-11-24,96.6
2011-11-25,94.0
2011-11-28,95.0
2011-11-29,93.6
2011-11-30,96.0
2011-12-01,97.32
2011-12-02,95.56
2011-12-05,94.25
2011-12-06,90.1
2011-12-07,91.8
2011-12-08,92.0
2011-12-09,90.65
2011-12-12,89.0
2011-12-13,81.12
2011-12-14,90.12
2011-12-15,90.99
2011-12-16,90.99
2011-12-19,91.99
2011-12-20,91.85
2011-12-21,91.1
2011-12-22,89.89
2011-12-23,85.7
2011-12-26,88.7
2011-12-27,88.7
2011-12-28,88.55
2011-12-29,84.82
2011-12-30,88.02
2012-01-03,92.48
2012-01-04,90.1
2012-01-05,91.91
2012-01-06,91.7
2012-01-09,93.0
2012-01-10,92.12
2012-01-11,91.35
2012-01-12,92.0
2012-01-13,91.8
2012-01-16,99.89
2012-01-17,94.0
2012-01-18,96.78
2012-01-19,96.25
2012-01-20,96.47
2012-01-23,96.14
2012-01-24,96.17
2012-01-25,98.06
2012-01-26,98.93
2012-01-27,99.27
2012-01-30,97.01
2012-01-31,99.0
2012-02-01,99.0
2012-02-02,89.01
2012-02-03,97.86
2012-02-06,98.61
2012-02-07,98.44
2012-02-08,98.26
2012-02-09,98.5
2012-02-10,96.3
2012-02-13,97.98
2012-02-14,98.0
2012-02-15,98.8
2012-02-16,96.7
2012-02-17,98.7
2012-02-20,98.99
2012-02-21,100.0
2012-02-22,100.0
2012-02-24,101.52
2012-02-27,99.1
2012-02-28,99.11
2012-02-29,102.97
2012-03-01,102.29
2012-03-02,102.5
2012-03-05,102.57
2012-03-06,100.11
2012-03-07,101.32
2012-03-11,101.16
2012-03-12,102.49
2012-03-13,100.03
2012-03-14,103.5
2012-03-15,102.0
2012-03-16,103.5
2012-03-19,102.0
2012-03-20,101.5
2012-03-21,101.25
2012-03-22,100.03
2012-03-23,109.0
2012-03-26,102.29
2012-03-27,102.0
2012-03-28,101.53
2012-03-29,99.6
2012-03-30,100.98
2012-04-02,101.43
2012-04-03,101.95
2012-04-04,100.53
2012-04-05,101.25
2012-04-06,98.1
2012-04-09,98.01
2012-04-10,100.1
2012-04-11,99.6
2012-04-12,98.01
2012-04-13,99.49
2012-04-16,100.3
2012-04-17,98.6
2012-04-18,97.44
2012-04-19,97.4
2012-04-20,95.86
2012-04-23,94.9
2012-04-24,94.6
2012-04-25,95.15
2012-04-26,95.2
2012-04-27,94.98
2012-04-28,93.0
2012-05-02,94.75
2012-05-03,94.0
2012-05-04,90.0
2012-05-05,92.02
2012-05-07,93.15
2012-05-08,91.98
2012-05-10,93.91
2012-05-11,91.9
2012-05-12,92.49
2012-05-14,88.52
2012-05-15,80.19
2012-05-16,76.0
2012-05-17,76.0
2012-05-18,72.32
2012-05-21,74.99
2012-05-22,75.67
2012-05-23,74.0
2012-05-24,76.99
2012-05-25,78.96
2012-05-28,79.88
2012-05-29,84.32
2012-05-30,81.0
2012-05-31,83.0
2012-06-01,82.0
2012-06-04,81.94
2012-06-05,82.0
2012-06-06,85.46
2012-06-07,81.63
2012-06-08,82.03
