TRADEDATE,CLOSE
2011-11-21,142.04
2011-11-22,156.99
2011-11-23,146.67
2011-11-24,165.93
2011-11-25,174.65
2011-11-28,158.58
2011-11-29,155.13
2011-11-30,164.0
2011-12-01,168.48
2011-12-02,169.97
2011-12-05,168.01
2011-12-06,164.49
2011-12-07,161.01
2011-12-08,160.03
2011-12-09,154.15
2011-12-12,149.99
2011-12-13,152.3
2011-12-14,153.97
2011-12-15,154.99
2011-12-16,151.75
2011-12-19,145.06
2011-12-20,149.01
2011-12-21,149.4
2011-12-22,151.69
2011-12-23,152.0
2011-12-26,153.4
2011-12-27,149.07
2011-12-28,155.12
2011-12-29,153.2
2011-12-30,158.4
2012-01-03,171.0
2012-01-04,172.6
2012-01-05,166.05
2012-01-06,178.85
2012-01-09,172.2
2012-01-10,174.0
2012-01-11,174.0
2012-01-12,171.48
2012-01-13,168.85
2012-01-16,168.0
2012-01-17,172.08
2012-01-18,171.82
2012-01-19,174.99
2012-01-20,173.11
2012-01-23,174.51
2012-01-24,172.14
2012-01-25,174.86
2012-01-26,176.24
2012-01-27,177.86
2012-01-30,181.98
2012-01-31,175.01
2012-02-01,176.01
2012-02-02,178.42
2012-02-03,179.87
2012-02-06,179.69
2012-02-07,179.71
2012-02-08,176.07
2012-02-09,174.32
2012-02-10,173.9
2012-02-13,174.79
2012-02-14,176.99
2012-02-15,175.36
2012-02-16,180.78
2012-02-17,183.49
2012-02-20,187.98
2012-02-21,189.98
2012-02-22,185.07
2012-02-24,189.07
2012-02-27,187.03
2012-02-28,187.54
2012-02-29,194.45
2012-03-01,191.47
2012-03-02,196.97
2012-03-05,197.0
2012-03-06,191.99
2012-03-07,187.06
2012-03-11,194.71
2012-03-12,193.52
2012-03-13,198.87
2012-03-14,201.88
2012-03-15,198.21
2012-03-16,203.0
2012-03-19,197.5
2012-03-20,191.68
2012-03-21,193.67
2012-03-22,189.9
2012-03-23,196.67
2012-03-26,199.66
2012-03-27,198.3
2012-03-28,194.68
2012-03-29,186.11
2012-03-30,196.99
2012-04-02,194.69
2012-04-03,198.01
2012-04-04,193.07
2012-04-05,194.34
2012-04-06,191.67
2012-04-09,189.69
2012-04-10,191.66
2012-04-11,185.02
2012-04-12,183.01
2012-04-13,182.54
2012-04-16,183.31
2012-04-17,180.0
2012-04-18,178.99
2012-04-19,181.04
2012-04-20,187.67
2012-04-23,179.19
2012-04-24,177.0
2012-04-25,184.65
2012-04-26,178.1
2012-04-27,178.05
2012-04-28,180.77
2012-05-02,180.04
2012-05-03,179.1
2012-05-04,170.68
2012-05-05,170.29
2012-05-07,179.2
2012-05-08,173.76
2012-05-10,172.95
2012-05-11,171.01
2012-05-12,171.31
2012-05-14,163.99
2012-05-15,159.0
2012-05-16,157.21
2012-05-17,153.34
2012-05-18,149.42
2012-05-21,155.01
2012-05-22,155.17
2012-05-23,150.07
2012-05-24,161.47
2012-05-25,164.93
2012-05-28,164.01
2012-05-29,173.0
2012-05-30,168.75
2012-05-31,166.21
2012-06-01,166.37
2012-06-04,168.67
2012-06-05,166.39
2012-06-06,168.97
2012-06-07,175.85
2012-06-08,176.59
2012-06-09,179.22
2012-06-13,177.48
2012-06-14,181.18
2012-06-15,184.51
2012-06-18,186.28
2012-06-19,184.9
2012-06-20,187.99
2012-06-21,180.82
2012-06-22,175.78
2012-06-25,176.2
2012-06-26,171.51
2012-06-27,178.39
2012-06-28,169.63
2012-06-29,182.21
2012-07-02,182.24
2012-07-03,187.07
2012-07-04,193.6
2012-07-05,198.67
2012-07-06,193.02
2012-07-09,191.01
2012-07-10,191.12
2012-07-11,186.5
2012-07-12,181.77
2012-07-13,190.15
2012-07-16,197.76
2012-07-17,199.89
2012-07-18,192.84
2012-07-19,198.0
2012-07-20,191.71
2012-07-23,184.0
2012-07-24,181.42
2012-07-25,188.0
2012-07-26,192.01
2012-07-27,200.05
2012-07-30,221.08
2012-07-31,196.41
2012-08-01,199.06
2012-08-02,219.99
2012-08-03,201.12
2012-08-06,203.6
2012-08-07,203.5
2012-08-08,205.99
2012-08-09,221.98
2012-08-10,200.9
2012-08-13,222.18
2012-08-14,204.26
2012-08-15,203.17
2012-08-16,196.51
2012-08-17,203.0
2012-08-20,199.2
2012-08-21,194.82
2012-08-22,195.01
2012-08-23,203.33
2012-08-24,203.19
2012-08-27,202.0
2012-08-28,201.0
2012-08-29,200.0
2012-08-30,198.09
2012-08-31,202.0
2012-09-03,196.7
2012-09-04,196.02
2012-09-05,195.0
2012-09-06,203.93
2012-09-07,200.11
2012-09-10,204.18
2012-09-11,204.29
2012-09-12,204.97
2012-09-13,200.0
2012-09-14,211.16
2012-09-17,206.71
2012-09-18,206.04
2012-09-19,209.39
2012-09-20,204.02
2012-09-21,204.04
2012-09-24,205.43
2012-09-25,203.46
