TRADEDATE,CLOSE
2007-04-17,232.0
2007-04-18,230.9
2007-04-19,224.0
2007-04-20,232.0
2007-04-23,231.53
2007-04-24,236.78
2007-04-25,231.98
2007-04-26,236.0
2007-04-27,232.5
2007-04-28,236.0
2007-05-02,238.5
2007-05-03,239.53
2007-05-04,239.1
2007-05-07,234.49
2007-05-08,238.99
2007-05-10,239.83
2007-05-11,230.0
2007-05-14,235.5
2007-05-15,235.35
2007-05-16,235.0
2007-05-17,234.21
2007-05-18,230.0
2007-05-22,235.9
2007-05-23,234.26
2007-05-28,232.99
2007-05-29,234.29
2007-05-30,234.42
2007-06-01,234.0
2007-06-04,236.95
2007-06-05,236.7
2007-06-06,235.0
2007-06-08,235.1
2007-06-09,236.0
2007-06-13,231.0
2007-06-14,229.2
2007-06-15,231.81
2007-06-18,233.82
2007-06-19,232.0
2007-06-20,243.7
2007-06-21,243.6
2007-06-26,240.87
2007-06-27,239.73
2007-06-28,241.1
2007-06-29,237.32
2007-07-02,237.5
2007-07-03,238.19
2007-07-04,237.33
2007-07-05,246.98
2007-07-06,241.33
2007-07-09,244.33
2007-07-10,247.0
2007-07-11,255.0
2007-07-12,268.0
2007-07-13,261.77
2007-07-16,290.0
2007-07-17,267.46
2007-07-18,263.47
2007-07-19,262.0
2007-07-20,268.0
2007-07-23,272.0
2007-07-24,267.0
2007-07-25,261.58
2007-07-26,260.0
2007-07-27,262.0
2007-07-30,250.0
2007-07-31,257.0
2007-08-01,250.33
2007-08-02,252.0
2007-08-03,250.83
2007-08-06,243.0
2007-08-07,247.9
2007-08-08,252.99
2007-08-09,247.0
2007-08-10,237.0
2007-08-13,243.0
2007-08-14,242.99
2007-08-15,233.0
2007-08-16,234.32
2007-08-17,229.07
2007-08-20,223.01
2007-08-21,223.9
2007-08-22,226.9
2007-08-23,221.03
2007-08-24,222.0
2007-08-27,229.0
2007-08-28,222.3
2007-08-29,231.01
2007-08-30,230.0
2007-08-31,247.0
2007-09-03,241.4
2007-09-04,242.5
2007-09-05,254.58
2007-09-06,254.4
2007-09-07,255.01
2007-09-10,250.89
2007-09-11,252.0
2007-09-12,247.75
2007-09-13,247.63
2007-09-14,248.5
2007-09-17,245.0
2007-09-18,241.0
2007-09-19,250.9
2007-09-20,251.0
2007-09-21,259.59
2007-09-24,261.46
2007-09-25,256.26
2007-09-26,256.01
2007-09-27,255.0
2007-09-28,259.67
2007-10-01,258.88
2007-10-02,260.0
2007-10-03,267.0
2007-10-04,265.0
2007-10-05,271.14
2007-10-08,270.01
2007-10-09,279.7
2007-10-10,277.22
2007-10-11,279.98
2007-10-12,290.0
2007-10-15,288.99
2007-10-16,290.0
2007-10-17,299.9
2007-10-18,308.99
2007-10-19,309.99
2007-10-22,287.0
2007-10-23,308.79
2007-10-24,297.9
2007-10-25,288.4
2007-10-26,316.0
2007-10-29,320.0
2007-10-30,320.0
2007-10-31,308.0
2007-11-01,310.1
2007-11-02,322.9
2007-11-06,326.0
2007-11-07,313.0
2007-11-08,309.99
2007-11-09,294.0
2007-11-12,301.0
2007-11-13,283.0
2007-11-14,274.96
2007-11-15,272.3
2007-11-16,263.0
2007-11-19,255.0
2007-11-20,257.99
2007-11-21,251.49
2007-11-22,248.0
2007-11-23,253.67
2007-11-26,261.0
2007-11-27,256.0
2007-11-28,255.0
2007-11-29,259.48
2007-11-30,272.95
2007-12-03,271.5
2007-12-04,274.0
2007-12-05,276.99
2007-12-06,275.33
2007-12-07,276.0
2007-12-10,282.5
2007-12-11,283.64
2007-12-12,282.49
2007-12-13,276.55
2007-12-14,275.0
2007-12-17,275.2
2007-12-18,276.02
2007-12-19,274.87
2007-12-20,276.0
2007-12-21,276.99
2007-12-24,275.9
2007-12-25,273.9
2007-12-26,274.0
2007-12-27,272.85
2007-12-28,271.0
2008-01-09,273.0
2008-01-10,274.5
2008-01-11,274.01
2008-01-14,275.7
2008-01-15,272.1
2008-01-16,255.99
2008-01-17,256.9
2008-01-18,253.05
2008-01-21,243.5
2008-01-22,246.98
2008-01-23,235.0
2008-01-24,240.0
2008-01-25,245.0
2008-01-28,238.0
2008-01-29,246.0
2008-01-30,236.49
2008-01-31,224.99
2008-02-01,227.2
2008-02-04,230.89
2008-02-05,224.0
2008-02-06,225.99
2008-02-07,224.98
2008-02-08,213.1
2008-02-11,219.0
2008-02-12,223.8
2008-02-13,228.99
2008-02-14,228.01
2008-02-15,228.0
2008-02-18,240.0
2008-02-19,240.99
2008-02-20,236.0
2008-02-21,239.0
2008-02-22,233.86
2008-02-26,227.98
2008-02-27,224.89
2008-02-28,225.0
2008-02-29,216.0
2008-03-03,213.5
2008-03-04,213.25
2008-03-05,210.0
2008-03-06,207.99
2008-03-07,193.99
2008-03-11,182.62
2008-03-12,186.2
2008-03-13,192.99
2008-03-14,194.99
2008-03-17,184.9
2008-03-18,185.89
2008-03-19,184.4
2008-03-20,180.71
2008-03-21,181.1
2008-03-24,182.35
2008-03-25,177.99
2008-03-26,180.1
2008-03-27,185.8
2008-03-28,188.5
2008-03-31,185.8
2008-04-01,189.0
2008-04-02,187.9
2008-04-03,187.0
2008-04-04,187.17
2008-04-07,191.46
2008-04-08,189.61
2008-04-09,193.0
2008-04-10,189.5
2008-04-11,186.0
2008-04-14,182.8
2008-04-15,180.03
2008-04-16,180.3
2008-04-17,179.0
2008-04-18,182.3
2008-04-21,177.0
2008-04-22,177.89
2008-04-23,176.3
2008-04-24,177.1
2008-04-25,179.55
2008-04-28,189.75
2008-04-29,189.8
2008-04-30,192.49
2008-05-04,193.3
2008-05-05,191.39
2008-05-06,192.5
2008-05-07,194.0
2008-05-12,194.97
2008-05-13,197.1
2008-05-14,202.0
2008-05-15,197.0
2008-05-16,196.0
2008-05-19,202.0
2008-05-20,197.35
2008-05-21,197.5
2008-05-22,195.49
2008-05-23,197.3
2008-05-26,194.0
2008-05-27,192.0
2008-05-28,190.0
2008-05-29,191.95
2008-05-30,195.49
2008-06-02,192.0
2008-06-03,190.02
2008-06-04,186.51
2008-06-05,189.45
2008-06-06,188.85
2008-06-07,185.66
2008-06-09,186.36
2008-06-10,182.8
2008-06-11,184.25
2008-06-16,183.3
2008-06-17,183.99
2008-06-18,185.0
2008-06-19,187.79
2008-06-20,186.3
2008-06-23,191.7
2008-06-24,192.6
2008-06-25,214.99
2008-06-26,202.0
2008-06-27,210.0
2008-06-30,203.03
2008-07-01,200.49
2008-07-02,203.88
2008-07-03,194.11
2008-07-04,195.01
2008-07-07,202.0
2008-07-08,198.0
2008-07-09,200.7
2008-07-10,198.0
2008-07-11,192.0
2008-07-14,192.95
2008-07-15,189.0
2008-07-16,193.48
2008-07-17,196.0
2008-07-18,189.5
2008-07-21,192.2
2008-07-22,186.09
2008-07-23,186.1
2008-07-24,189.39
2008-07-25,182.0
2008-07-28,174.0
2008-07-29,172.0
2008-07-30,183.49
2008-07-31,185.0
2008-08-01,187.0
2008-08-04,194.0
2008-08-05,181.11
2008-08-06,185.0
2008-08-07,184.52
2008-08-08,189.1
2008-08-11,192.5
2008-08-12,198.0
2008-08-13,196.8
2008-08-14,199.25
2008-08-15,199.65
2008-08-18,195.0
2008-08-19,183.5
2008-08-20,189.4
2008-08-21,179.7
2008-08-22,176.0
2008-08-25,172.01
2008-08-26,163.05
2008-08-27,157.8
2008-08-28,167.19
2008-08-29,161.99
2008-09-01,164.3
2008-09-02,161.12
2008-09-03,155.99
2008-09-04,151.69
2008-09-05,150.0
2008-09-08,158.0
2008-09-09,146.5
2008-09-10,140.91
2008-09-11,142.5
2008-09-12,146.95
2008-09-15,141.0
2008-09-16,120.0
2008-09-17,105.0
2008-09-19,138.0
2008-09-22,151.88
2008-09-23,149.99
2008-09-24,148.5
2008-09-25,149.9
2008-09-26,146.0
2008-09-29,144.4
2008-09-30,149.07
2008-10-01,145.94
2008-10-02,131.0
2008-10-03,128.0
2008-10-06,106.0
2008-10-07,102.0
2008-10-08,94.99
2008-10-09,99.89
2008-10-13,89.9
2008-10-14,85.2
2008-10-15,82.95
2008-10-16,74.99
2008-10-17,69.89
2008-10-20,61.68
2008-10-21,63.0
2008-10-22,61.01
2008-10-23,58.0
2008-10-24,48.01
2008-10-28,47.99
2008-10-29,52.0
2008-10-30,52.51
2008-10-31,50.0
2008-11-01,54.0
2008-11-05,52.75
2008-11-06,49.0
2008-11-07,46.33
2008-11-10,49.9
2008-11-11,46.23
2008-11-13,41.0
2008-11-14,36.21
2008-11-17,28.18
2008-11-19,19.91
2008-11-21,13.99
2008-11-25,19.5
2008-11-27,24.7
2008-12-01,31.0
2008-12-03,34.6
2008-12-04,39.78
2008-12-05,43.11
2008-12-08,42.73
2008-12-09,42.01
2008-12-10,41.9
2008-12-11,45.0
2008-12-12,38.0
2008-12-15,38.7
2008-12-16,36.94
2008-12-17,34.15
2008-12-18,32.47
2008-12-19,32.8
2008-12-22,37.1
2008-12-23,35.15
2008-12-24,36.5
2008-12-25,35.7
2008-12-26,34.1
2008-12-29,33.4
2008-12-30,29.41
2008-12-31,29.65
2009-01-11,31.37
2009-01-12,32.68
2009-01-13,32.38
2009-01-14,30.5
2009-01-15,35.14
2009-01-16,32.49
2009-01-19,31.45
2009-01-20,30.8
2009-01-21,31.33
2009-01-22,28.2
2009-01-23,25.5
2009-01-26,27.5
2009-01-27,28.55
2009-01-28,32.39
2009-01-29,32.68
2009-01-30,34.3
2009-02-02,34.29
2009-02-03,34.4
2009-02-04,36.25
2009-02-05,37.2
2009-02-06,44.0
2009-02-09,44.35
2009-02-10,43.0
2009-02-11,41.72
2009-02-12,43.33
2009-02-13,44.6
2009-02-16,42.2
2009-02-17,37.88
2009-02-18,37.5
2009-02-19,37.55
2009-02-20,36.76
2009-02-24,35.29
2009-02-25,36.28
2009-02-26,38.92
2009-02-27,37.81
2009-03-02,37.0
2009-03-03,37.34
2009-03-04,38.28
2009-03-05,37.79
2009-03-06,36.96
2009-03-10,37.5
2009-03-11,37.0
2009-03-12,36.25
2009-03-13,35.34
2009-03-16,36.55
2009-03-17,36.5
2009-03-18,33.98
2009-03-19,34.65
2009-03-20,36.96
2009-03-23,41.3
2009-03-24,41.0
2009-03-25,40.66
2009-03-26,39.0
2009-03-27,37.05
2009-03-30,37.0
2009-03-31,38.65
2009-04-01,37.5
2009-04-02,39.38
2009-04-03,40.78
2009-04-06,39.93
2009-04-07,40.56
2009-04-08,41.0
2009-04-09,43.99
2009-04-10,47.49
2009-04-13,45.0
2009-04-14,48.5
2009-04-15,48.0
2009-04-16,49.44
2009-04-17,50.54
2009-04-20,45.2
2009-04-21,45.07
2009-04-22,49.0
2009-04-23,50.0
2009-04-24,53.4
2009-04-27,52.19
2009-04-28,55.25
2009-04-29,59.0
2009-04-30,65.7
2009-05-04,65.7
2009-05-05,66.5
2009-05-06,64.75
2009-05-07,70.1
2009-05-08,73.0
2009-05-12,77.97
2009-05-13,73.0
2009-05-14,73.2
2009-05-15,72.0
2009-05-18,71.0
2009-05-19,71.0
2009-05-20,73.7
2009-05-21,69.69
2009-05-22,69.5
2009-05-25,71.2
2009-05-26,69.29
2009-05-27,69.37
2009-05-28,67.88
2009-05-29,63.48
2009-06-01,67.89
2009-06-02,67.5
2009-06-03,70.03
2009-06-04,75.6
2009-06-05,76.0
2009-06-08,75.0
2009-06-09,85.22
2009-06-10,93.95
2009-06-11,98.03
2009-06-15,89.99
2009-06-16,91.2
2009-06-17,84.99
2009-06-18,80.5
2009-06-19,84.0
2009-06-22,76.5
2009-06-23,75.0
2009-06-24,81.6
2009-06-25,79.0
2009-06-26,80.99
2009-06-29,82.0
2009-06-30,77.05
2009-07-01,76.0
2009-07-02,75.4
2009-07-03,77.0
2009-07-06,73.3
2009-07-07,73.0
2009-07-08,72.87
2009-07-09,68.8
2009-07-10,63.9
2009-07-13,66.0
2009-07-14,65.99
2009-07-15,67.62
2009-07-16,66.63
2009-07-17,69.5
2009-07-20,71.6
2009-07-21,73.8
2009-07-22,73.2
2009-07-23,79.9
2009-07-24,77.0
2009-07-27,76.1
2009-07-28,75.55
2009-07-29,75.25
2009-07-30,77.77
2009-07-31,82.01
2009-08-03,84.0
2009-08-04,82.85
2009-08-05,81.97
2009-08-06,83.49
2009-08-07,83.73
