TRADEDATE,CLOSE
2016-07-01,2.604
2016-07-04,2.608
2016-07-05,2.598
2016-07-06,2.65
2016-07-07,2.65
2016-07-08,2.638
2016-07-11,2.65
2016-07-12,2.655
2016-07-13,2.654
2016-07-14,2.666
2016-07-15,2.723
2016-07-18,2.77
2016-07-19,2.76
2016-07-20,2.76
2016-07-21,2.803
2016-07-22,2.812
2016-07-25,2.857
2016-07-26,2.847
2016-07-27,2.858
2016-07-28,2.95
2016-07-29,3.0
2016-08-01,2.941
2016-08-02,2.845
2016-08-03,2.848
2016-08-04,2.886
2016-08-05,2.88
2016-08-08,2.923
2016-08-09,2.954
2016-08-10,2.923
2016-08-11,2.92
2016-08-12,2.9
2016-08-15,2.883
2016-08-16,2.834
2016-08-17,2.881
2016-08-18,2.9
2016-08-19,2.892
2016-08-22,2.874
2016-08-23,2.83
2016-08-24,2.794
2016-08-25,2.824
2016-08-26,2.83
2016-08-29,2.81
2016-08-30,2.827
2016-08-31,2.83
2016-09-01,2.8
2016-09-02,2.807
2016-09-05,2.795
2016-09-06,2.796
2016-09-07,2.801
2016-09-08,2.797
2016-09-09,2.805
2016-09-12,2.802
2016-09-13,2.79
2016-09-14,2.791
2016-09-15,2.783
2016-09-16,2.797
2016-09-19,2.72
2016-09-20,2.735
2016-09-21,2.773
2016-09-22,2.802
2016-09-23,2.794
2016-09-26,2.771
2016-09-27,2.85
2016-09-28,2.888
2016-09-29,2.86
2016-09-30,2.899
2016-10-03,2.831
2016-10-04,2.868
2016-10-05,2.837
2016-10-06,2.801
2016-10-07,2.774
2016-10-10,2.785
2016-10-11,2.769
2016-10-12,2.743
2016-10-13,2.705
2016-10-14,2.731
2016-10-17,2.719
2016-10-18,2.729
2016-10-19,2.736
2016-10-20,2.711
2016-10-21,2.702
2016-10-24,2.71
2016-10-25,2.737
2016-10-26,2.757
2016-10-27,2.78
2016-10-28,2.795
2016-10-31,2.918
2016-11-01,2.869
2016-11-02,2.88
2016-11-03,2.82
2016-11-07,2.779
2016-11-08,2.746
2016-11-09,2.775
2016-11-10,2.781
2016-11-11,2.74
2016-11-14,2.74
2016-11-15,2.741
2016-11-16,2.743
2016-11-17,2.793
2016-11-18,2.809
2016-11-21,2.806
2016-11-22,2.862
2016-11-23,2.873
2016-11-24,2.897
2016-11-25,2.918
2016-11-28,2.877
2016-11-29,2.88
2016-11-30,2.82
2016-12-01,2.778
2016-12-02,2.855
2016-12-05,2.895
2016-12-06,2.92
2016-12-07,2.924
2016-12-08,2.92
2016-12-09,2.92
2016-12-12,2.919
2016-12-13,2.94
2016-12-14,2.95
2016-12-15,2.971
2016-12-16,2.86
2016-12-19,2.866
2016-12-20,2.85
2016-12-21,2.8
2016-12-22,2.767
2016-12-23,2.774
2016-12-26,2.782
2016-12-27,2.81
2016-12-28,2.849
2016-12-29,2.88
2016-12-30,2.878
2017-01-03,2.914
2017-01-04,2.909
2017-01-05,2.884
2017-01-06,2.87
2017-01-09,2.907
2017-01-10,2.931
2017-01-11,2.998
2017-01-12,2.966
2017-01-13,2.958
2017-01-16,2.958
2017-01-17,2.956
2017-01-18,2.98
2017-01-19,2.988
2017-01-20,2.964
2017-01-23,2.934
2017-01-24,2.85
2017-01-25,2.811
2017-01-26,2.831
2017-01-27,2.83
2017-01-30,2.812
2017-01-31,2.814
2017-02-01,2.79
2017-02-02,2.802
2017-02-03,2.801
2017-02-06,2.77
2017-02-07,2.803
2017-02-08,2.785
2017-02-09,2.758
2017-02-10,2.685
2017-02-13,2.735
2017-02-14,2.755
2017-02-15,2.79
2017-02-16,2.79
2017-02-17,2.79
2017-02-20,2.72
2017-02-21,2.731
2017-02-22,2.68
2017-02-24,2.614
2017-02-27,2.575
2017-02-28,2.582
2017-03-01,2.62
2017-03-02,2.57
2017-03-03,2.592
2017-03-06,2.545
2017-03-07,2.504
2017-03-09,2.403
2017-03-10,2.452
2017-03-13,2.46
2017-03-14,2.48
2017-03-15,2.553
2017-03-16,2.58
2017-03-17,2.59
2017-03-20,2.745
2017-03-21,2.673
2017-03-22,2.687
2017-03-23,2.658
2017-03-24,2.64
2017-03-27,2.64
2017-03-28,2.665
2017-03-29,2.687
2017-03-30,2.736
2017-03-31,2.674
2017-04-03,2.665
2017-04-04,2.696
2017-04-05,2.719
2017-04-06,2.708
2017-04-07,2.648
2017-04-10,2.625
2017-04-11,2.642
2017-04-12,2.579
2017-04-13,2.532
2017-04-14,2.521
2017-04-17,2.557
2017-04-18,2.578
2017-04-19,2.637
2017-04-20,2.596
2017-04-21,2.573
2017-04-24,2.591
2017-04-25,2.595
2017-04-26,2.571
2017-04-27,2.521
2017-04-28,2.52
2017-05-02,2.579
2017-05-03,2.545
2017-05-04,2.55
2017-05-05,2.505
2017-05-10,2.6
2017-05-11,2.56
2017-05-12,2.565
2017-05-15,2.53
2017-05-16,2.503
2017-05-17,2.562
2017-05-18,2.553
2017-05-19,2.502
2017-05-22,2.513
2017-05-23,2.555
2017-05-24,2.535
2017-05-25,2.51
2017-05-26,2.48
2017-05-29,2.482
2017-05-30,2.504
2017-05-31,2.597
2017-06-01,2.598
2017-06-02,2.618
2017-06-05,2.629
2017-06-06,2.649
2017-06-07,2.624
2017-06-08,2.596
2017-06-09,2.6
2017-06-13,2.637
2017-06-14,2.628
2017-06-15,2.578
2017-06-16,2.517
2017-06-19,2.546
2017-06-20,2.539
2017-06-21,2.539
2017-06-22,2.5
2017-06-23,2.52
2017-06-26,2.524
2017-06-27,2.513
2017-06-28,2.511
2017-06-29,2.518
2017-06-30,2.507
2017-07-03,2.425
2017-07-04,2.432
2017-07-05,2.42
2017-07-06,2.428
2017-07-07,2.4
2017-07-10,2.398
2017-07-11,2.414
2017-07-12,2.431
2017-07-13,2.443
2017-07-14,2.441
2017-07-17,2.44
2017-07-18,2.455
2017-07-19,2.472
2017-07-20,2.446
2017-07-21,2.455
2017-07-24,2.451
2017-07-25,2.423
2017-07-26,2.43
2017-07-27,2.452
2017-07-28,2.43
2017-07-31,2.449
2017-08-01,2.47
2017-08-02,2.425
2017-08-03,2.425
2017-08-04,2.412
2017-08-07,2.455
2017-08-08,2.34
2017-08-09,2.27
2017-08-10,2.29
2017-08-11,2.3
2017-08-14,2.326
2017-08-15,2.329
2017-08-16,2.295
2017-08-17,2.277
2017-08-18,2.264
2017-08-21,2.268
2017-08-22,2.28
2017-08-23,2.29
2017-08-24,2.318
2017-08-25,2.394
2017-08-28,2.393
2017-08-29,2.368
2017-08-30,2.375
2017-08-31,2.41
2017-09-01,2.37
2017-09-04,2.35
2017-09-05,2.319
2017-09-06,2.31
2017-09-07,2.313
2017-09-08,2.303
2017-09-11,2.308
2017-09-12,2.31
