TRADEDATE,CLOSE
2024-07-05,199.0
2024-07-08,190.6
2024-07-09,186.0
2024-07-10,188.0
2024-07-11,190.5
2024-07-12,198.0
2024-07-15,192.2
2024-07-16,186.4
2024-07-17,188.55
2024-07-18,190.85
2024-07-19,187.2
2024-07-22,188.25
2024-07-23,184.0
2024-07-24,181.65
2024-07-25,183.95
2024-07-26,180.55
2024-07-29,174.7
2024-07-30,175.95
2024-07-31,177.9
2024-08-01,179.35
2024-08-02,179.8
2024-08-05,175.35
2024-08-06,171.55
2024-08-07,169.1
2024-08-08,170.1
2024-08-09,171.0
2024-08-12,177.45
2024-08-13,176.05
2024-08-14,174.2
2024-08-15,174.8
2024-08-16,174.4
2024-08-19,164.75
2024-08-20,157.7
2024-08-21,154.95
2024-08-22,157.05
2024-08-23,160.45
2024-08-26,166.25
2024-08-27,164.1
2024-08-28,167.8
2024-08-29,164.9
2024-08-30,153.35
2024-09-02,143.65
2024-09-03,137.5
2024-09-04,142.0
2024-09-05,140.0
2024-09-06,137.7
2024-09-09,137.8
2024-09-10,134.7
2024-09-11,131.6
2024-09-12,124.6
2024-09-13,121.45
2024-09-16,120.5
2024-09-17,122.9
2024-09-18,124.8
2024-09-19,137.25
2024-09-20,137.65
2024-09-23,135.1
2024-09-24,130.25
2024-09-25,127.75
2024-09-26,128.0
2024-09-27,127.9
2024-09-30,128.95
2024-10-01,123.9
2024-10-02,121.0
2024-10-03,125.1
2024-10-04,124.15
2024-10-07,121.9
2024-10-08,120.5
2024-10-09,118.9
2024-10-10,119.75
2024-10-11,116.0
2024-10-14,119.3
2024-10-15,119.05
2024-10-16,118.9
2024-10-17,116.7
2024-10-18,116.15
2024-10-21,117.05
2024-10-22,115.3
2024-10-23,114.25
2024-10-24,113.25
2024-10-25,106.15
2024-10-28,101.0
2024-10-29,102.55
2024-10-30,102.95
2024-10-31,99.7
2024-11-01,97.5
2024-11-02,93.6
2024-11-05,94.0
2024-11-06,95.5
2024-11-07,94.0
2024-11-08,93.95
2024-11-11,99.0
2024-11-12,97.45
2024-11-13,96.85
2024-11-14,95.05
2024-11-15,95.6
2024-11-18,96.9
2024-11-19,93.95
2024-11-20,93.45
2024-11-21,91.8
2024-11-22,91.75
2024-11-25,89.9
2024-11-26,85.45
2024-11-27,84.65
2024-11-28,84.15
2024-11-29,85.7
2024-12-02,84.2
2024-12-03,78.8
2024-12-04,77.5
2024-12-05,78.55
2024-12-06,77.15
2024-12-09,76.85
2024-12-10,74.7
2024-12-11,74.65
2024-12-12,72.7
2024-12-13,73.0
2024-12-16,68.0
2024-12-17,69.4
2024-12-18,73.25
2024-12-19,73.0
2024-12-20,79.6
2024-12-23,81.0
2024-12-24,80.05
2024-12-25,79.8
2024-12-26,81.35
2024-12-27,81.2
2024-12-28,82.7
2024-12-30,84.8
2025-01-03,90.3
2025-01-06,96.0
2025-01-08,95.15
2025-01-09,91.6
2025-01-10,92.4
2025-01-13,94.0
2025-01-14,94.7
2025-01-15,92.95
2025-01-16,91.95
2025-01-17,92.35
2025-01-20,92.1
2025-01-21,91.75
2025-01-22,91.65
2025-01-23,88.85
2025-01-24,89.3
2025-01-27,85.35
2025-01-28,85.45
2025-01-29,86.3
2025-01-30,91.0
2025-01-31,89.85
2025-02-03,86.0
2025-02-04,85.7
2025-02-05,85.15
2025-02-06,85.6
2025-02-07,84.55
2025-02-10,86.4
2025-02-11,85.75
2025-02-12,85.5
2025-02-13,88.05
2025-02-14,91.95
2025-02-17,100.0
2025-02-18,98.2
2025-02-19,103.5
2025-02-20,111.5
2025-02-21,110.45
2025-02-24,109.9
2025-02-25,110.25
2025-02-26,109.15
2025-02-27,106.0
2025-02-28,105.1
2025-03-03,102.1
2025-03-04,107.3
2025-03-05,107.0
2025-03-06,105.25
2025-03-07,103.15
2025-03-10,102.6
2025-03-11,101.5
2025-03-12,98.9
2025-03-13,99.7
2025-03-14,102.55
2025-03-17,108.95
2025-03-18,107.95
2025-03-19,106.3
2025-03-20,105.0
2025-03-21,107.25
2025-03-24,104.3
2025-03-25,104.4
2025-03-26,104.5
2025-03-27,102.4
2025-03-28,101.5
2025-03-31,103.5
2025-04-01,103.65
2025-04-02,102.75
2025-04-03,100.0
2025-04-04,97.55
2025-04-07,95.35
2025-04-08,95.8
2025-04-09,88.15
2025-04-10,94.3
2025-04-11,95.95
2025-04-14,97.35
2025-04-15,96.45
2025-04-16,95.5
2025-04-17,97.1
2025-04-18,95.05
2025-04-21,94.15
2025-04-22,94.0
2025-04-23,92.4
2025-04-24,92.25
2025-04-25,92.5
2025-04-28,91.2
2025-04-29,90.35
2025-04-30,91.3
2025-05-02,90.35
2025-05-05,91.4
2025-05-06,90.85
2025-05-07,90.0
2025-05-08,90.25
2025-05-12,91.1
2025-05-13,91.5
2025-05-14,89.5
2025-05-15,88.45
2025-05-16,86.8
2025-05-19,86.25
2025-05-20,84.1
2025-05-21,82.2
2025-05-22,80.05
2025-05-23,81.1
2025-05-26,78.35
2025-05-27,80.05
2025-05-28,80.9
2025-05-29,80.8
2025-05-30,79.25
2025-06-02,80.55
2025-06-03,81.9
2025-06-04,80.15
2025-06-05,80.6
2025-06-06,78.1
2025-06-09,74.7
2025-06-10,76.2
2025-06-11,76.2
2025-06-13,77.65
2025-06-16,76.2
2025-06-17,76.9
2025-06-18,76.4
2025-06-19,75.6
2025-06-20,75.25
2025-06-23,74.9
2025-06-24,74.35
2025-06-25,75.1
2025-06-26,78.95
2025-06-27,78.0
2025-06-30,79.55
2025-07-01,79.95
2025-07-02,78.35
2025-07-03,77.4
2025-07-04,75.8
2025-07-07,74.65
2025-07-08,73.95
2025-07-09,72.8
2025-07-10,72.35
2025-07-11,70.85
2025-07-14,74.15
2025-07-15,75.1
2025-07-16,73.95
2025-07-17,72.9
2025-07-18,74.6
2025-07-21,76.7
2025-07-22,75.75
2025-07-23,75.8
2025-07-24,75.35
2025-07-25,78.55
2025-07-28,80.2
2025-07-29,77.3
2025-07-30,75.25
2025-07-31,75.15
2025-08-01,74.69
2025-08-04,75.59
2025-08-05,76.16
2025-08-06,76.4
2025-08-07,77.15
2025-08-08,77.56
2025-08-11,78.64
2025-08-12,78.94
2025-08-13,78.64
2025-08-14,78.72
2025-08-15,78.16
2025-08-18,77.96
2025-08-19,78.12
2025-08-20,77.49
2025-08-21,75.99
2025-08-22,76.75
2025-08-25,76.64
2025-08-26,79.79
2025-08-27,79.57
2025-08-28,78.94
2025-08-29,79.0
2025-09-01,78.27
2025-09-02,77.84
2025-09-03,78.21
2025-09-04,78.34
2025-09-05,78.78
2025-09-08,80.05
2025-09-09,79.47
2025-09-10,77.59
2025-09-11,76.93
2025-09-12,73.5
2025-09-15,72.1
2025-09-16,72.27
2025-09-17,72.51
2025-09-18,70.91
2025-09-19,70.21
2025-09-22,69.56
2025-09-23,68.42
2025-09-24,69.27
2025-09-25,69.75
2025-09-26,69.16
2025-09-29,66.93
2025-09-30,67.03
2025-10-01,65.24
2025-10-02,62.04
2025-10-03,61.5
2025-10-06,62.68
2025-10-07,63.33
2025-10-08,61.91
2025-10-09,62.72
2025-10-10,61.68
2025-10-13,62.89
2025-10-14,62.25
2025-10-15,62.62
2025-10-16,66.2
2025-10-17,65.92
2025-10-20,66.11
2025-10-21,64.21
2025-10-22,63.77
2025-10-23,63.02
2025-10-24,62.82
2025-10-27,61.35
2025-10-28,61.27
2025-10-29,61.55
2025-10-30,61.96
2025-10-31,62.33
2025-11-01,63.39
2025-11-03,63.57
2025-11-05,63.5
2025-11-06,63.88
2025-11-07,63.94
2025-11-10,63.21
2025-11-11,63.99
2025-11-12,63.12
2025-11-13,63.77
2025-11-14,64.04
2025-11-17,67.17
2025-11-18,66.79
2025-11-19,67.35
2025-11-20,69.63
2025-11-21,71.65
