TRADEDATE,CLOSE
2022-12-14,185.4
2022-12-15,182.8
2022-12-16,155.0
2022-12-19,159.13
2022-12-20,160.48
2022-12-21,160.67
2022-12-22,159.4
2022-12-23,158.0
2022-12-26,165.0
2022-12-27,162.7
2022-12-28,164.83
2022-12-29,166.02
2022-12-30,162.0
2023-01-03,166.0
2023-01-04,165.09
2023-01-05,164.89
2023-01-06,164.0
2023-01-09,163.9
2023-01-10,163.97
2023-01-11,162.87
2023-01-12,162.59
2023-01-13,162.75
2023-01-16,163.28
2023-01-17,162.38
2023-01-18,162.53
2023-01-19,163.6
2023-01-20,163.16
2023-01-23,162.81
2023-01-24,162.36
2023-01-25,160.6
2023-01-26,159.49
2023-01-27,159.21
2023-01-30,161.7
2023-01-31,162.43
2023-02-01,161.98
2023-02-02,161.91
2023-02-03,162.0
2023-02-06,176.2
2023-02-07,171.47
2023-02-08,171.13
2023-02-09,168.35
2023-02-10,169.93
2023-02-13,172.9
2023-02-14,170.97
2023-02-15,164.1
2023-02-16,164.95
2023-02-17,166.13
2023-02-20,166.39
2023-02-21,168.68
2023-02-22,171.27
2023-02-24,174.45
2023-02-27,177.7
2023-02-28,179.46
2023-03-01,182.4
2023-03-02,182.71
2023-03-03,181.0
2023-03-06,183.29
2023-03-07,189.03
2023-03-09,196.69
2023-03-10,197.5
2023-03-13,196.09
2023-03-14,196.99
2023-03-15,193.49
2023-03-16,192.61
2023-03-17,189.87
2023-03-20,194.0
2023-03-21,194.22
2023-03-22,192.52
2023-03-23,197.57
2023-03-24,196.23
2023-03-27,203.3
2023-03-28,202.6
2023-03-29,202.81
2023-03-30,202.95
2023-03-31,201.59
2023-04-03,202.72
2023-04-04,201.34
2023-04-05,201.0
2023-04-06,211.94
2023-04-07,216.51
2023-04-10,236.77
2023-04-11,260.2
2023-04-12,257.7
2023-04-13,243.0
2023-04-14,253.55
2023-04-17,254.79
2023-04-18,252.0
2023-04-19,246.85
2023-04-20,242.95
2023-04-21,242.0
2023-04-24,244.6
2023-04-25,244.25
2023-04-26,245.03
2023-04-27,240.86
2023-04-28,234.09
2023-05-02,224.5
2023-05-03,218.08
2023-05-04,213.48
2023-05-05,216.22
2023-05-08,210.6
2023-05-10,218.52
2023-05-11,224.44
2023-05-12,222.18
2023-05-15,226.9
2023-05-16,227.11
2023-05-17,223.2
2023-05-18,221.71
2023-05-19,214.56
2023-05-22,225.0
2023-05-23,225.04
2023-05-24,223.5
2023-05-25,222.22
2023-05-26,221.96
2023-05-29,223.22
2023-05-30,219.19
2023-05-31,215.27
2023-06-01,215.52
2023-06-02,214.91
2023-06-05,216.2
2023-06-06,214.29
2023-06-07,212.1
2023-06-08,211.87
2023-06-09,211.1
2023-06-13,213.14
2023-06-14,213.6
2023-06-15,220.49
